,A,Æ,B,C,D,E,F,G,Gesture,H,I,K,L,M,N,Nummer0,Nummer1,Nummer2,Nummer3,Nummer4,Nummer5,Nummer6,Nummer7,Nummer8,Nummer9,O,P,Q,R,S,Success,T,Time,U,V,W,X,Y,Participant
0,0.0,0.0,0.0,0.0,0.999997,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,True,0.0,16,0.0,0.0,0.0,0.0,0.0,3
1,0.0,0.0,0.0,0.0,0.999997,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,True,0.0,27,0.0,0.0,0.0,0.0,0.0,3
2,0.0,0.0,0.0,0.0,0.999998,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,True,0.0,38,0.0,0.0,0.0,0.0,0.0,3
3,0.0,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,True,0.0,49,0.0,0.0,0.0,0.0,0.0,3
4,0.0,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,True,0.0,60,0.0,0.0,0.0,0.0,0.0,3
5,0.0,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,True,0.0,71,0.0,0.0,0.0,0.0,0.0,3
6,0.0,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,True,0.0,82,0.0,0.0,0.0,0.0,0.0,3
7,0.0,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,True,0.0,94,0.0,0.0,0.0,0.0,0.0,3
8,0.0,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,True,0.0,105,0.0,0.0,0.0,0.0,0.0,3
9,0.0,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,True,0.0,116,0.0,0.0,0.0,0.0,0.0,3
