Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;39741;1;-0.072060;1.612330;-0.055366;0.991827;0.113346;0.046361;0.035827;0.023374;1.573481;0.229931;0.911099;-0.037811;-0.407559;0.048636;0.063195;1.536894;0.205498;0.790483;-0.445869;-0.407122;-0.102904;0.093476;1.486449;0.204500;0.758864;-0.473846;-0.423264;-0.142977;0.042176;1.566933;0.215816;0.888256;-0.157556;-0.431275;0.013425;0.006751;1.575195;0.244971;0.911099;-0.037811;-0.407559;0.048636;0.031987;1.575440;0.252871;0.897788;0.057229;-0.436120;0.022378;0.079503;1.543079;0.219612;0.821463;-0.371598;-0.416701;-0.116079;0.106813;1.489649;0.214367;0.758864;-0.473846;-0.423264;-0.142977;0.053710;1.573567;0.235844;0.898294;-0.051438;-0.435451;0.028380;0.012508;1.573505;0.268578;0.897788;0.057229;-0.436120;0.022378;0.105156;1.503541;0.210271;0.758864;-0.473846;-0.423264;-0.142977;0.068640;1.556399;0.275200;0.839100;-0.040874;-0.527334;-0.127119;0.103809;1.529193;0.251605;0.815178;-0.290777;-0.456546;-0.206153;0.121494;1.492178;0.231145;0.773090;-0.337109;-0.403958;-0.354270;0.084546;1.549625;0.264377;0.858050;-0.099308;-0.474153;-0.170488;0.049598;1.562080;0.284756;0.839100;-0.040874;-0.527334;-0.127119;2023/04/27 14:34:06.6787;0.046579;1.568962;0.266708;0.863647;0.074048;-0.498518;0.010524;0.092146;1.538720;0.235652;0.827786;-0.332868;-0.425364;-0.151770;0.118419;1.493034;0.222982;0.758864;-0.473846;-0.423264;-0.142977;0.068526;1.565356;0.251963;0.879830;-0.051852;-0.470141;-0.046678;0.025564;1.567164;0.279140;0.863647;0.074048;-0.498518;0.010524;7f21e2e1-cf1e-4d09-8e9a-5055706c3d86;0.025241;1.493780;0.235473;0.424244;-0.513666;-0.251418;0.702106;0.083189;1.479740;0.206242;0.458702;-0.480417;-0.211175;0.717075;0.054369;1.484241;0.220909;0.543192;-0.495844;-0.198856;0.647717;0.001738;1.495869;0.242858;0.424244;-0.513666;-0.251418;0.702106;10;0.130809;1.464002;0.200930;0.758864;-0.473846;-0.423264;-0.142977
NA;39742;2;-0.072097;1.612512;-0.055657;0.991956;0.112252;0.046320;0.035752;0.022417;1.573324;0.230478;0.910188;-0.032165;-0.410160;0.047880;0.062451;1.537096;0.205881;0.791766;-0.441158;-0.409165;-0.105216;0.092780;1.486686;0.204596;0.759719;-0.469974;-0.425068;-0.145838;0.041309;1.566981;0.216390;0.887964;-0.152221;-0.433825;0.012055;0.005713;1.574813;0.245452;0.910188;-0.032165;-0.410160;0.047880;0.030898;1.575094;0.253445;0.896233;0.062373;-0.438645;0.021586;0.078671;1.543173;0.220142;0.822194;-0.366859;-0.418845;-0.118242;0.106052;1.489808;0.214572;0.759719;-0.469974;-0.425068;-0.145838;0.052721;1.573448;0.236521;0.897286;-0.046465;-0.438153;0.027231;0.011338;1.572944;0.269023;0.896233;0.062373;-0.438645;0.021586;0.104414;1.503739;0.210612;0.759719;-0.469974;-0.425068;-0.145838;0.067486;1.556037;0.275769;0.837741;-0.037290;-0.529206;-0.129385;0.102803;1.529034;0.252156;0.815084;-0.286695;-0.458147;-0.208675;0.120640;1.492211;0.231483;0.773507;-0.332571;-0.404835;-0.356641;0.083454;1.549350;0.264984;0.857082;-0.095395;-0.475929;-0.172634;0.048391;1.561648;0.285261;0.837741;-0.037290;-0.529206;-0.129385;2023/04/27 14:34:06.6904;0.045444;1.568617;0.267276;0.861897;0.077673;-0.501022;0.008815;0.091224;1.538687;0.236218;0.828114;-0.328493;-0.427278;-0.154122;0.117612;1.493134;0.223310;0.759719;-0.469974;-0.425068;-0.145838;0.067478;1.565150;0.252628;0.878699;-0.047839;-0.472485;-0.048545;0.024359;1.566710;0.279572;0.861897;0.077673;-0.501022;0.008815;7f21e2e1-cf1e-4d09-8e9a-5055706c3d86;0.024263;1.493702;0.235012;0.425279;-0.514801;-0.256295;0.698878;0.082485;1.479951;0.206190;0.459651;-0.481516;-0.216398;0.714167;0.053535;1.484312;0.220641;0.544118;-0.496466;-0.204394;0.644733;0.000697;1.495723;0.242215;0.425279;-0.514801;-0.256295;0.698878;22;0.130158;1.464304;0.201082;0.759719;-0.469974;-0.425068;-0.145838
NA;39743;3;-0.072100;1.612596;-0.056006;0.992000;0.112001;0.046456;0.035114;0.021486;1.573162;0.230995;0.909321;-0.026534;-0.412537;0.047394;0.061730;1.537295;0.206237;0.793018;-0.436599;-0.411096;-0.107256;0.092105;1.486920;0.204685;0.760453;-0.466395;-0.426777;-0.148486;0.040464;1.567027;0.216930;0.887707;-0.146963;-0.436186;0.010950;0.004709;1.574423;0.245908;0.909321;-0.026534;-0.412537;0.047394;0.029843;1.574753;0.253979;0.894736;0.067503;-0.440962;0.021057;0.077866;1.543273;0.220635;0.822906;-0.362275;-0.420891;-0.120137;0.105313;1.489970;0.214763;0.760453;-0.466395;-0.426777;-0.148486;0.051758;1.573335;0.237154;0.896320;-0.041554;-0.440669;0.026345;0.010210;1.572383;0.269433;0.894736;0.067503;-0.440962;0.021057;0.103695;1.503936;0.210936;0.760453;-0.466395;-0.426777;-0.148486;0.066380;1.555724;0.276289;0.836436;-0.034077;-0.530964;-0.131496;0.101834;1.528902;0.252669;0.814936;-0.282955;-0.459664;-0.211011;0.119816;1.492258;0.231804;0.773844;-0.328368;-0.405693;-0.358822;0.082406;1.549113;0.265542;0.856131;-0.091867;-0.477601;-0.174638;0.047237;1.561274;0.285718;0.836436;-0.034077;-0.530964;-0.131496;2023/04/27 14:34:06.7026;0.044348;1.568300;0.267799;0.860235;0.081101;-0.503354;0.007296;0.090335;1.538671;0.236744;0.828407;-0.324348;-0.429103;-0.156239;0.116833;1.493243;0.223622;0.760453;-0.466395;-0.426777;-0.148486;0.066464;1.564965;0.253243;0.877620;-0.044044;-0.474683;-0.050208;0.023198;1.566288;0.279965;0.860235;0.081101;-0.503354;0.007296;7f21e2e1-cf1e-4d09-8e9a-5055706c3d86;0.023303;1.493659;0.234511;0.426128;-0.516222;-0.260942;0.695585;0.081803;1.480163;0.206132;0.460448;-0.482891;-0.221378;0.711194;0.052722;1.484401;0.220355;0.544848;-0.497416;-0.209768;0.641651;-0.000326;1.495623;0.241519;0.426128;-0.516222;-0.260942;0.695585;34;0.129525;1.464599;0.201238;0.760453;-0.466395;-0.426777;-0.148486
NA;39744;4;-0.072122;1.612747;-0.056338;0.992046;0.111841;0.046481;0.034298;0.020575;1.572996;0.231486;0.908480;-0.020925;-0.414736;0.047125;0.061027;1.537494;0.206571;0.794240;-0.432163;-0.412940;-0.109077;0.091447;1.487153;0.204769;0.761091;-0.463051;-0.428410;-0.150961;0.039635;1.567070;0.217442;0.887473;-0.141773;-0.438397;0.010057;0.003731;1.574027;0.246341;0.908480;-0.020925;-0.414736;0.047125;0.028815;1.574418;0.254479;0.893280;0.072595;-0.443116;0.020732;0.077083;1.543379;0.221097;0.823595;-0.357828;-0.422861;-0.121821;0.104593;1.490134;0.214944;0.761091;-0.463051;-0.428410;-0.150961;0.050815;1.573228;0.237749;0.895383;-0.036714;-0.443039;0.025664;0.009116;1.571826;0.269813;0.893280;0.072595;-0.443116;0.020732;0.102995;1.504134;0.211247;0.761091;-0.463051;-0.428410;-0.150961;0.065312;1.555450;0.276770;0.835175;-0.031159;-0.532630;-0.133483;0.100894;1.528792;0.253150;0.814744;-0.279489;-0.461113;-0.213198;0.119016;1.492316;0.232113;0.774117;-0.324433;-0.406537;-0.360851;0.081391;1.548907;0.266061;0.855195;-0.088647;-0.479188;-0.176527;0.046125;1.560949;0.286139;0.835175;-0.031159;-0.532630;-0.133483;2023/04/27 14:34:06.7134;0.043284;1.568007;0.268284;0.858641;0.084364;-0.505552;0.005928;0.089471;1.538669;0.237237;0.828669;-0.320395;-0.430856;-0.158172;0.116074;1.493358;0.223923;0.761091;-0.463051;-0.428410;-0.150961;0.065477;1.564800;0.253818;0.876578;-0.040432;-0.476763;-0.051710;0.022073;1.565894;0.280327;0.858641;0.084364;-0.505552;0.005928;7f21e2e1-cf1e-4d09-8e9a-5055706c3d86;0.022360;1.493646;0.233978;0.426832;-0.517857;-0.265400;0.692245;0.081139;1.480376;0.206071;0.461125;-0.484472;-0.226155;0.708170;0.051926;1.484506;0.220054;0.545423;-0.498615;-0.214998;0.638492;-0.001332;1.495562;0.240784;0.426832;-0.517857;-0.265400;0.692245;45;0.128907;1.464889;0.201397;0.761091;-0.463051;-0.428410;-0.150961
NA;39745;5;-0.072171;1.613163;-0.056609;0.992046;0.112048;0.046634;0.033386;0.020079;1.573281;0.231446;0.908541;-0.022946;-0.414432;0.047672;0.060561;1.537759;0.206591;0.793957;-0.432859;-0.413081;-0.107846;0.091056;1.487460;0.204895;0.760815;-0.463693;-0.428644;-0.149711;0.039135;1.567331;0.217408;0.887405;-0.142860;-0.438155;0.011105;0.003242;1.574385;0.246305;0.908541;-0.022946;-0.414432;0.047672;0.028328;1.574668;0.254462;0.893557;0.072405;-0.442521;0.022110;0.076619;1.543703;0.221091;0.823549;-0.358314;-0.422910;-0.120519;0.104207;1.490486;0.215052;0.760815;-0.463693;-0.428644;-0.149711;0.050315;1.573538;0.237709;0.895566;-0.036306;-0.442603;0.027331;0.008653;1.572055;0.269822;0.893557;0.072405;-0.442521;0.022110;0.102582;1.504473;0.211314;0.760815;-0.463693;-0.428644;-0.149711;0.064861;1.555863;0.276734;0.835397;-0.031430;-0.532625;-0.132043;0.100476;1.529228;0.253161;0.814666;-0.280368;-0.461277;-0.211981;0.118636;1.492729;0.232197;0.774154;-0.325187;-0.406912;-0.359669;0.080958;1.549353;0.266032;0.855446;-0.088584;-0.479370;-0.174842;0.045665;1.561338;0.286100;0.835397;-0.031430;-0.532625;-0.132043;2023/04/27 14:34:06.7251;0.042786;1.568285;0.268240;0.858775;0.085019;-0.505189;0.007926;0.089026;1.539049;0.237233;0.828580;-0.320954;-0.431141;-0.156720;0.115687;1.493747;0.224006;0.760815;-0.463693;-0.428644;-0.149711;0.064988;1.565169;0.253766;0.876775;-0.039648;-0.476695;-0.049552;0.021590;1.566095;0.280294;0.858775;0.085019;-0.505189;0.007926;7f21e2e1-cf1e-4d09-8e9a-5055706c3d86;0.022029;1.494053;0.234183;0.426710;-0.517734;-0.263512;0.693132;0.080760;1.480671;0.206232;0.460470;-0.484970;-0.224861;0.708667;0.051557;1.484848;0.220221;0.545125;-0.498820;-0.213214;0.639185;-0.001643;1.496013;0.241045;0.426710;-0.517734;-0.263512;0.693132;57;0.128545;1.465243;0.201538;0.760815;-0.463693;-0.428644;-0.149711
NA;39746;6;-0.072023;1.613231;-0.056795;0.992160;0.110781;0.046685;0.034166;0.019576;1.573123;0.231051;0.907917;-0.021156;-0.415927;0.047371;0.060180;1.537748;0.206184;0.794226;-0.430901;-0.414365;-0.108768;0.090700;1.487467;0.204403;0.760906;-0.462136;-0.429718;-0.150981;0.038682;1.567250;0.217048;0.886996;-0.140932;-0.439617;0.010615;0.002693;1.574156;0.245861;0.907917;-0.021156;-0.415927;0.047371;0.027768;1.574434;0.254096;0.892721;0.074548;-0.443860;0.021935;0.076189;1.543652;0.220754;0.823636;-0.356379;-0.424104;-0.121471;0.103814;1.490463;0.214615;0.760906;-0.462136;-0.429718;-0.150981;0.049806;1.573399;0.237404;0.894952;-0.034278;-0.444027;0.026950;0.008050;1.571729;0.269385;0.892721;0.074548;-0.443860;0.021935;0.102200;1.504464;0.210934;0.760906;-0.462136;-0.429718;-0.150981;0.064289;1.555689;0.276391;0.834594;-0.030446;-0.533658;-0.133173;0.099950;1.529083;0.252853;0.814256;-0.279208;-0.462076;-0.213344;0.118193;1.492659;0.231830;0.774100;-0.323278;-0.407640;-0.360680;0.080411;1.549192;0.265719;0.854779;-0.087430;-0.480362;-0.175962;0.045071;1.561159;0.285714;0.834594;-0.030446;-0.533658;-0.133173;2023/04/27 14:34:06.7452;0.042213;1.568118;0.267857;0.857859;0.085894;-0.506605;0.007172;0.088547;1.538951;0.236920;0.828304;-0.319603;-0.432240;-0.157909;0.115269;1.493703;0.223633;0.760906;-0.462136;-0.429718;-0.150981;0.064459;1.565030;0.253448;0.876044;-0.038530;-0.478038;-0.050415;0.020976;1.565912;0.279837;0.857859;0.085894;-0.506605;0.007172;7f21e2e1-cf1e-4d09-8e9a-5055706c3d86;0.021523;1.493950;0.233353;0.426892;-0.518756;-0.265698;0.691419;0.080400;1.480668;0.205664;0.460624;-0.486032;-0.227240;0.707079;0.051125;1.484795;0.219516;0.545320;-0.499584;-0.215724;0.637578;-0.002183;1.495887;0.240104;0.426892;-0.518756;-0.265698;0.691419;77;0.128211;1.465277;0.201115;0.760906;-0.462136;-0.429718;-0.150981
NA;39747;7;-0.071940;1.613299;-0.057213;0.992343;0.108811;0.046877;0.034890;0.019304;1.574272;0.230546;0.907882;-0.026303;-0.415689;0.047564;0.059857;1.538629;0.205931;0.792706;-0.433977;-0.414373;-0.107593;0.090314;1.488302;0.204368;0.759950;-0.464553;-0.429185;-0.149889;0.038393;1.568229;0.216592;0.886428;-0.145260;-0.439337;0.011311;0.002424;1.575512;0.245344;0.907882;-0.026303;-0.415689;0.047564;0.027614;1.575785;0.253649;0.893344;0.070225;-0.443322;0.021681;0.075898;1.544591;0.220441;0.822616;-0.359766;-0.423367;-0.120967;0.103449;1.491337;0.214541;0.759950;-0.464553;-0.429185;-0.149889;0.049625;1.574521;0.236936;0.895172;-0.038742;-0.443230;0.026715;0.007906;1.573280;0.268985;0.893344;0.070225;-0.443322;0.021681;0.101846;1.505321;0.210786;0.759950;-0.464553;-0.429185;-0.149889;0.064226;1.557105;0.276027;0.834875;-0.034698;-0.532936;-0.133263;0.099697;1.530166;0.252577;0.813416;-0.283292;-0.461083;-0.213312;0.117860;1.493608;0.231717;0.773371;-0.325898;-0.407739;-0.359773;0.080286;1.550451;0.265357;0.854671;-0.091886;-0.479585;-0.176333;0.045059;1.562728;0.285363;0.834875;-0.034698;-0.532936;-0.133263;2023/04/27 14:34:06.7564;0.042138;1.569588;0.267436;0.858733;0.081104;-0.505922;0.006636;0.088278;1.539962;0.236611;0.827288;-0.323537;-0.431272;-0.157868;0.114924;1.494612;0.223520;0.759950;-0.464553;-0.429185;-0.149889;0.064335;1.566257;0.253005;0.876233;-0.043448;-0.477204;-0.051026;0.020914;1.567597;0.279477;0.858733;0.081104;-0.505922;0.006636;7f21e2e1-cf1e-4d09-8e9a-5055706c3d86;0.021208;1.494997;0.233445;0.426232;-0.519078;-0.263097;0.692578;0.080009;1.481523;0.205686;0.459893;-0.486520;-0.224705;0.708028;0.050768;1.485744;0.219582;0.544572;-0.500296;-0.213182;0.638513;-0.002478;1.496992;0.240248;0.426232;-0.519078;-0.263097;0.692578;88;0.127793;1.466050;0.201131;0.759950;-0.464553;-0.429185;-0.149889
NA;39748;8;-0.071910;1.613225;-0.057531;0.992368;0.108461;0.046934;0.035198;0.019308;1.574971;0.229329;0.907657;-0.029789;-0.416008;0.047004;0.059775;1.539062;0.204942;0.791224;-0.436581;-0.414383;-0.107925;0.090102;1.488651;0.203616;0.758625;-0.466722;-0.429115;-0.150064;0.038390;1.568781;0.215430;0.885795;-0.148554;-0.439523;0.010867;0.002416;1.576363;0.244101;0.907657;-0.029789;-0.416008;0.047004;0.027632;1.576642;0.252430;0.893409;0.066295;-0.443834;0.020906;0.075824;1.545046;0.219436;0.821237;-0.362747;-0.423341;-0.121517;0.103240;1.491696;0.213782;0.758625;-0.466722;-0.429115;-0.150064;0.049651;1.575164;0.235747;0.894905;-0.042665;-0.443458;0.025890;0.007898;1.574331;0.267763;0.893409;0.066295;-0.443834;0.020906;0.101675;1.505667;0.209966;0.758625;-0.466722;-0.429115;-0.150064;0.064200;1.557899;0.274954;0.834460;-0.037787;-0.533303;-0.133553;0.099568;1.530699;0.251647;0.812232;-0.286187;-0.461160;-0.213794;0.117647;1.494004;0.230956;0.772082;-0.328012;-0.408309;-0.359974;0.080233;1.551124;0.264321;0.854017;-0.095073;-0.479919;-0.176901;0.045052;1.563643;0.284257;0.834460;-0.037787;-0.533303;-0.133553;2023/04/27 14:34:06.7683;0.042153;1.570462;0.266274;0.858862;0.077321;-0.506302;0.006009;0.088183;1.540455;0.235632;0.825988;-0.326575;-0.431239;-0.158509;0.114718;1.494980;0.222753;0.758625;-0.466722;-0.429115;-0.150064;0.064340;1.566935;0.251874;0.875860;-0.047197;-0.477449;-0.051809;0.020914;1.568646;0.278317;0.858862;0.077321;-0.506302;0.006009;7f21e2e1-cf1e-4d09-8e9a-5055706c3d86;0.020988;1.495641;0.232609;0.425750;-0.520690;-0.261232;0.692371;0.079779;1.481904;0.204957;0.459675;-0.487992;-0.222680;0.707797;0.050541;1.486259;0.218819;0.544107;-0.502070;-0.211507;0.638074;-0.002701;1.497720;0.239377;0.425750;-0.520690;-0.261232;0.692371;99;0.127525;1.466288;0.200496;0.758625;-0.466722;-0.429115;-0.150064
NA;39749;9;-0.071844;1.613346;-0.057857;0.992314;0.108925;0.046830;0.035439;0.019286;1.575646;0.228186;0.907401;-0.033118;-0.416381;0.046423;0.059672;1.539481;0.204024;0.789776;-0.439055;-0.414432;-0.108314;0.089878;1.488993;0.202919;0.757375;-0.468704;-0.429093;-0.150263;0.038362;1.569314;0.214344;0.885146;-0.151721;-0.439761;0.010375;0.002381;1.577184;0.242929;0.907401;-0.033118;-0.416381;0.046423;0.027622;1.577480;0.251282;0.893423;0.062347;-0.444417;0.020054;0.075725;1.545485;0.218504;0.819855;-0.365636;-0.423361;-0.122123;0.103017;1.492047;0.213081;0.757375;-0.468704;-0.429093;-0.150263;0.049651;1.575786;0.234632;0.894590;-0.046600;-0.443749;0.024981;0.007860;1.575366;0.266607;0.893423;0.062347;-0.444417;0.020054;0.101487;1.506006;0.209208;0.757375;-0.468704;-0.429093;-0.150263;0.064143;1.558656;0.273955;0.834032;-0.040663;-0.533687;-0.133850;0.099415;1.531210;0.250787;0.811091;-0.288872;-0.461264;-0.214288;0.117419;1.494389;0.230255;0.770864;-0.329930;-0.408878;-0.360187;0.080151;1.551764;0.263360;0.853363;-0.098075;-0.480263;-0.177486;0.045013;1.564512;0.283225;0.834032;-0.040663;-0.533687;-0.133850;2023/04/27 14:34:06.7810;0.042140;1.571303;0.265188;0.858946;0.073647;-0.506714;0.005332;0.088064;1.540929;0.234727;0.824716;-0.329457;-0.431232;-0.159187;0.114497;1.495339;0.222046;0.757375;-0.468704;-0.429093;-0.150263;0.064317;1.567586;0.250821;0.875458;-0.050839;-0.477720;-0.052649;0.020886;1.569661;0.277228;0.858946;0.073647;-0.506714;0.005332;7f21e2e1-cf1e-4d09-8e9a-5055706c3d86;0.020753;1.496251;0.231826;0.425234;-0.522241;-0.259602;0.692132;0.079538;1.482276;0.204281;0.459466;-0.489351;-0.220836;0.707572;0.050303;1.486754;0.218109;0.543628;-0.503754;-0.210047;0.637637;-0.002941;1.498404;0.238555;0.425234;-0.522241;-0.259602;0.692132;112;0.127249;1.466528;0.199912;0.757375;-0.468704;-0.429093;-0.150263
NA;39750;10;-0.071764;1.613490;-0.058124;0.992275;0.109233;0.046872;0.035524;0.019241;1.576299;0.227103;0.907124;-0.036263;-0.416785;0.045847;0.059549;1.539891;0.203159;0.788373;-0.441392;-0.414510;-0.108734;0.089643;1.489331;0.202264;0.756179;-0.470542;-0.429112;-0.150484;0.038313;1.569831;0.213317;0.884496;-0.154729;-0.440032;0.009870;0.002323;1.577974;0.241815;0.907124;-0.036263;-0.416785;0.045847;0.027586;1.578292;0.250190;0.893393;0.058513;-0.445036;0.019195;0.075606;1.545912;0.217628;0.818496;-0.368392;-0.423421;-0.122747;0.102782;1.492394;0.212424;0.756179;-0.470542;-0.429112;-0.150484;0.049626;1.576389;0.233577;0.894243;-0.050417;-0.444082;0.024061;0.007796;1.576371;0.265505;0.893393;0.058513;-0.445036;0.019195;0.101286;1.506342;0.208497;0.756179;-0.470542;-0.429112;-0.150484;0.064058;1.559380;0.273015;0.833593;-0.043341;-0.534089;-0.134137;0.099241;1.531704;0.249981;0.809991;-0.291365;-0.461403;-0.214775;0.117176;1.494767;0.229599;0.769697;-0.331696;-0.409449;-0.360410;0.080043;1.552379;0.262457;0.852711;-0.100887;-0.480626;-0.178056;0.044944;1.565341;0.282251;0.833593;-0.043341;-0.534089;-0.134137;2023/04/27 14:34:06.7906;0.042099;1.572113;0.264160;0.858986;0.070147;-0.507150;0.004661;0.087923;1.541390;0.233876;0.823481;-0.332168;-0.431261;-0.159866;0.114262;1.495693;0.221385;0.756179;-0.470542;-0.429112;-0.150484;0.064268;1.568212;0.249828;0.875037;-0.054307;-0.478018;-0.053483;0.020830;1.570636;0.276195;0.858986;0.070147;-0.507150;0.004661;7f21e2e1-cf1e-4d09-8e9a-5055706c3d86;0.020504;1.496837;0.231084;0.424712;-0.523736;-0.258133;0.691873;0.079287;1.482643;0.203645;0.459265;-0.490637;-0.219133;0.707342;0.050053;1.487235;0.217440;0.543152;-0.505364;-0.208737;0.637198;-0.003195;1.499059;0.237772;0.424712;-0.523736;-0.258133;0.691873;122;0.126965;1.466771;0.199367;0.756179;-0.470542;-0.429112;-0.150484
