,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.006465,1.517153,-0.107473,0.998451,-0.028992,0.046451,0.009867,0.04495,1.485006,0.225175,0.974598,0.008922,-0.205521,-0.088546,0.058036,1.442209,0.186535,0.839743,-0.499643,-0.151366,-0.149254,0.070475,1.384136,0.181945,0.762035,-0.591904,-0.218732,-0.145291,0.053997,1.476204,0.204022,0.958203,-0.163273,-0.209693,-0.105915,0.036279,1.486407,0.246099,0.974598,0.008922,-0.205521,-0.088546,0.056453,1.426642,0.23032,0.242671,0.956217,-0.089981,0.136615,0.079487,1.443941,0.193585,0.962812,-0.100743,-0.233846,-0.090336,0.08659,1.383491,0.187012,0.762035,-0.591904,-0.218732,-0.145291,0.060687,1.454219,0.231452,0.683292,0.685435,-0.224611,0.113313,0.061981,1.413245,0.209544,0.242671,0.956217,-0.089981,0.136615,0.088682,1.397497,0.183077,0.762035,-0.591904,-0.218732,-0.145291,0.082176,1.403291,0.234415,0.144062,0.928782,-0.279614,0.196024,0.1091,1.42506,0.218236,0.919778,0.100308,-0.358837,-0.123218,0.107814,1.382823,0.199387,0.749137,-0.493358,-0.230001,-0.377481,0.087777,1.422068,0.240727,0.583698,0.737506,-0.330761,0.077325,0.087575,1.394036,0.214909,0.144062,0.928782,-0.279614,0.196024,0.068986,1.409831,0.232465,0.158699,0.951719,-0.18966,0.181864,0.095453,1.436826,0.205368,0.955823,0.04546,-0.274407,-0.095062,0.10236,1.384093,0.192537,0.762035,-0.591904,-0.218732,-0.145291,0.074377,1.435453,0.238777,0.61157,0.735325,-0.276526,0.093874,0.07558,1.399172,0.211168,0.158699,0.951719,-0.18966,0.181864,0.02451,1.42096,0.223577,0.756808,-0.116038,0.298144,0.569989,0.05901,1.380756,0.185736,0.542029,-0.518236,-0.039042,0.660387,0.035059,1.39757,0.200889,0.704917,-0.396687,0.106918,0.578187,0.031608,1.434685,0.243174,0.756808,-0.116038,0.298144,0.569989,11,0.097877,1.351054,0.172568,0.762035,-0.591904,-0.218732,-0.145291,12,Z,Dynamic,Right
1,2,0.006444,1.517192,-0.107324,0.998505,-0.028824,0.045376,0.009896,0.043811,1.485526,0.224594,0.974131,0.008281,-0.208418,-0.086965,0.057307,1.442771,0.186018,0.839761,-0.498539,-0.155003,-0.149113,0.069926,1.384723,0.181567,0.761182,-0.591679,-0.221894,-0.145878,0.053015,1.476735,0.203504,0.957667,-0.163041,-0.212912,-0.104691,0.035016,1.486953,0.245464,0.974131,0.008281,-0.208418,-0.086965,0.055524,1.42718,0.229763,0.241367,0.956151,-0.088794,0.140118,0.078712,1.444569,0.193193,0.962251,-0.099963,-0.237015,-0.088901,0.08601,1.384127,0.186734,0.761182,-0.591679,-0.221894,-0.145878,0.059639,1.454773,0.230944,0.682064,0.685807,-0.22544,0.116767,0.061241,1.413839,0.209002,0.241367,0.956151,-0.088794,0.140118,0.088094,1.398137,0.182802,0.761182,-0.591679,-0.221894,-0.145878,0.081288,1.40396,0.234064,0.142557,0.928706,-0.278145,0.199543,0.108228,1.425801,0.218045,0.918911,0.100787,-0.361622,-0.121136,0.107167,1.383536,0.199245,0.74863,-0.492418,-0.233147,-0.377783,0.086774,1.422762,0.240406,0.582602,0.737766,-0.331242,0.08096,0.086863,1.394733,0.214594,0.142557,0.928706,-0.278145,0.199543,0.068082,1.410458,0.232036,0.158093,0.951417,-0.188482,0.185169,0.094626,1.437513,0.20508,0.955146,0.045751,-0.277319,-0.093254,0.101752,1.384782,0.192362,0.761182,-0.591679,-0.221894,-0.145878,0.073349,1.436103,0.238361,0.610837,0.735251,-0.277168,0.097276,0.074845,1.399809,0.210787,0.158093,0.951417,-0.188482,0.185169,0.023551,1.421511,0.222775,0.757026,-0.119715,0.295438,0.570347,0.058444,1.381315,0.18528,0.540566,-0.521191,-0.041038,0.659139,0.03434,1.398101,0.200219,0.704137,-0.399834,0.104242,0.577458,0.030443,1.435301,0.242399,0.757026,-0.119715,0.295438,0.570347,23,0.097476,1.351705,0.172411,0.761182,-0.591679,-0.221894,-0.145878,12,Z,Dynamic,Right
2,3,0.006427,1.517251,-0.107181,0.998556,-0.028806,0.04421,0.010112,0.043195,1.485819,0.224434,0.974193,0.004666,-0.207868,-0.08785,0.056627,1.442955,0.185898,0.839642,-0.498875,-0.154668,-0.149006,0.069241,1.384899,0.181567,0.760633,-0.592508,-0.221799,-0.145523,0.052358,1.476932,0.203366,0.957386,-0.165115,-0.212382,-0.105089,0.034442,1.487412,0.24531,0.974193,0.004666,-0.207868,-0.08785,0.054878,1.427407,0.229643,0.241218,0.95624,-0.088281,0.140089,0.078036,1.444766,0.193058,0.962266,-0.10046,-0.236879,-0.088546,0.085329,1.384312,0.186724,0.760633,-0.592508,-0.221799,-0.145523,0.058975,1.455003,0.230806,0.682278,0.685691,-0.225052,0.116949,0.060603,1.414075,0.208878,0.241218,0.95624,-0.088281,0.140089,0.087408,1.398312,0.182756,0.760633,-0.592508,-0.221799,-0.145523,0.080645,1.404216,0.233988,0.14272,0.928799,-0.277516,0.199872,0.107565,1.426046,0.217931,0.919074,0.100111,-0.361587,-0.120563,0.106489,1.383743,0.199218,0.748174,-0.4933,-0.233297,-0.377443,0.086118,1.423031,0.240302,0.583112,0.737487,-0.330862,0.081382,0.086238,1.394983,0.214526,0.14272,0.928799,-0.277516,0.199872,0.067459,1.410703,0.23192,0.157614,0.951603,-0.187645,0.185472,0.093956,1.437733,0.20495,0.955248,0.045121,-0.277259,-0.092695,0.10107,1.384976,0.192336,0.760633,-0.592508,-0.221799,-0.145523,0.072689,1.436358,0.238238,0.61086,0.735349,-0.276666,0.097814,0.074252,1.400078,0.210669,0.157614,0.951603,-0.187645,0.185472,0.022951,1.421804,0.222749,0.756913,-0.120149,0.296509,0.569851,0.057762,1.381501,0.185302,0.540197,-0.52149,-0.039847,0.659278,0.033684,1.398336,0.200227,0.70391,-0.400114,0.105555,0.577303,0.029872,1.435632,0.242335,0.756913,-0.120149,0.296509,0.569851,33,0.09678,1.351858,0.172454,0.760633,-0.592508,-0.221799,-0.145523,12,Z,Dynamic,Right
3,4,0.006497,1.517348,-0.106983,0.998574,-0.02917,0.043554,0.010131,0.042561,1.486115,0.224267,0.974214,0.00125,-0.207469,-0.088666,0.055947,1.443155,0.185766,0.839564,-0.499083,-0.154491,-0.148936,0.068567,1.385092,0.181551,0.760103,-0.593235,-0.221872,-0.14522,0.05169,1.477139,0.203223,0.957098,-0.167009,-0.212014,-0.105457,0.033841,1.487865,0.245144,0.974214,0.00125,-0.207469,-0.088666,0.054221,1.427643,0.229508,0.240952,0.956336,-0.087743,0.14023,0.077357,1.444981,0.192917,0.962255,-0.100855,-0.236901,-0.088156,0.084658,1.384518,0.186703,0.760103,-0.593235,-0.221872,-0.14522,0.058295,1.455243,0.230658,0.682389,0.685628,-0.224734,0.117277,0.059962,1.414326,0.208738,0.240952,0.956336,-0.087743,0.14023,0.08673,1.398508,0.182701,0.760103,-0.593235,-0.221872,-0.14522,0.079993,1.404483,0.2339,0.142744,0.928892,-0.276853,0.200339,0.106893,1.42631,0.217819,0.919175,0.099581,-0.361688,-0.119925,0.105817,1.383972,0.199187,0.747747,-0.494041,-0.233587,-0.377141,0.085446,1.423311,0.240192,0.583495,0.737274,-0.330524,0.081946,0.085611,1.395247,0.214447,0.142744,0.928892,-0.276853,0.200339,0.066827,1.410957,0.231789,0.156959,0.951795,-0.186755,0.18594,0.093281,1.437972,0.20482,0.955307,0.044614,-0.277348,-0.09207,0.100395,1.385191,0.192303,0.760103,-0.593235,-0.221872,-0.14522,0.072011,1.436621,0.238107,0.610746,0.735523,-0.276209,0.098512,0.07366,1.400364,0.210534,0.156959,0.951795,-0.186755,0.18594,0.022347,1.422101,0.222701,0.756806,-0.120587,0.297446,0.569412,0.057092,1.381702,0.185304,0.539815,-0.521821,-0.038818,0.659391,0.033033,1.39858,0.200212,0.703691,-0.400399,0.106715,0.577158,0.029292,1.435965,0.242254,0.756806,-0.120587,0.297446,0.569412,44,0.096103,1.352035,0.172485,0.760103,-0.593235,-0.221872,-0.14522,12,Z,Dynamic,Right
4,5,0.006665,1.517455,-0.10673,0.99858,-0.029833,0.042928,0.010289,0.041088,1.486503,0.225253,0.974465,0.006214,-0.20742,-0.085772,0.054783,1.443912,0.186478,0.841577,-0.495928,-0.155819,-0.146711,0.067627,1.385907,0.182138,0.760993,-0.592068,-0.22281,-0.143882,0.050295,1.477758,0.204144,0.958066,-0.16247,-0.212485,-0.10278,0.032342,1.488007,0.246138,0.974465,0.006214,-0.20742,-0.085772,0.053124,1.428295,0.23019,0.239857,0.95673,-0.086082,0.140454,0.076188,1.445808,0.193628,0.96257,-0.099284,-0.236882,-0.086533,0.08372,1.385385,0.187288,0.760993,-0.592068,-0.22281,-0.143882,0.057094,1.455908,0.231397,0.681478,0.686784,-0.223461,0.118243,0.058908,1.415036,0.209395,0.239857,0.95673,-0.086082,0.140454,0.08574,1.399393,0.183319,0.760993,-0.592068,-0.22281,-0.143882,0.079003,1.405222,0.234522,0.141615,0.92962,-0.274947,0.200391,0.105802,1.427205,0.218488,0.919336,0.101307,-0.361396,-0.118119,0.104887,1.384899,0.199772,0.748995,-0.492889,-0.234104,-0.375849,0.084366,1.424063,0.240852,0.582556,0.738613,-0.328913,0.083046,0.084659,1.39604,0.215055,0.141615,0.92962,-0.274947,0.200391,0.065797,1.41166,0.232441,0.156004,0.952279,-0.18509,0.185929,0.092141,1.438838,0.205514,0.955469,0.046141,-0.277089,-0.090401,0.09946,1.38611,0.192892,0.760993,-0.592068,-0.22281,-0.143882,0.070882,1.437333,0.238801,0.609959,0.736595,-0.274779,0.099374,0.072661,1.401121,0.211169,0.156004,0.952279,-0.18509,0.185929,0.021256,1.42272,0.223274,0.756147,-0.121088,0.296483,0.570682,0.056164,1.382463,0.185878,0.53902,-0.521908,-0.040251,0.659886,0.032035,1.399254,0.200773,0.703094,-0.400505,0.105474,0.578039,0.028131,1.436588,0.242849,0.756147,-0.121088,0.296483,0.570682,55,0.095293,1.352977,0.17301,0.760993,-0.592068,-0.22281,-0.143882,12,Z,Dynamic,Right
5,6,0.006868,1.517547,-0.106471,0.998599,-0.03021,0.042165,0.010424,0.040502,1.487801,0.224621,0.974256,0.003211,-0.208564,-0.085537,0.054261,1.445001,0.186085,0.84022,-0.4978,-0.156979,-0.146911,0.067091,1.386973,0.182021,0.759463,-0.593623,-0.223741,-0.14411,0.049743,1.478932,0.20358,0.957372,-0.16513,-0.213636,-0.10262,0.031719,1.489441,0.245481,0.974256,0.003211,-0.208564,-0.085537,0.052513,1.429555,0.229856,0.241473,0.956161,-0.086098,0.14154,0.075653,1.44692,0.193268,0.962132,-0.101113,-0.237982,-0.086267,0.083174,1.386467,0.187204,0.759463,-0.593623,-0.223741,-0.14411,0.056487,1.457172,0.230959,0.682654,0.685269,-0.223975,0.119269,0.058336,1.416223,0.209119,0.241473,0.956161,-0.086098,0.14154,0.085208,1.400457,0.183179,0.759463,-0.593623,-0.223741,-0.14411,0.078389,1.406487,0.234319,0.142743,0.929225,-0.274452,0.202092,0.105212,1.428414,0.218265,0.919147,0.099675,-0.362645,-0.117141,0.104317,1.386028,0.199731,0.747626,-0.494198,-0.235546,-0.375954,0.083727,1.425354,0.240593,0.58348,0.737543,-0.329257,0.084685,0.084102,1.397244,0.214897,0.142743,0.929225,-0.274452,0.202092,0.065174,1.412924,0.232201,0.157764,0.95176,-0.184957,0.187231,0.09158,1.439996,0.205214,0.955271,0.044362,-0.278235,-0.08986,0.098903,1.387211,0.192835,0.759463,-0.593623,-0.223741,-0.14411,0.070254,1.438622,0.238464,0.611249,0.73518,-0.27526,0.100579,0.072078,1.402298,0.210986,0.157764,0.95176,-0.184957,0.187231,0.020684,1.424022,0.222882,0.756497,-0.123246,0.297168,0.569398,0.05562,1.38355,0.185755,0.538014,-0.52401,-0.039017,0.659115,0.031473,1.400436,0.200511,0.70263,-0.402618,0.106451,0.576956,0.027538,1.437974,0.242404,0.756497,-0.123246,0.297168,0.569398,66,0.094763,1.353993,0.17309,0.759463,-0.593623,-0.223741,-0.14411,12,Z,Dynamic,Right
6,7,0.007098,1.517635,-0.10621,0.998623,-0.030355,0.041505,0.010408,0.03991,1.489055,0.223991,0.974029,-3.5e-05,-0.209716,-0.085372,0.05373,1.446037,0.185702,0.838816,-0.499731,-0.158138,-0.147139,0.066554,1.38799,0.181901,0.758015,-0.595049,-0.224719,-0.144333,0.049185,1.480054,0.203021,0.956631,-0.167973,-0.214786,-0.102513,0.031092,1.490843,0.244824,0.974029,-3.5e-05,-0.209716,-0.085372,0.051891,1.43075,0.229526,0.242894,0.955638,-0.086056,0.142666,0.075107,1.44798,0.19292,0.961703,-0.102786,-0.239109,-0.085965,0.082626,1.387501,0.187118,0.758015,-0.595049,-0.224719,-0.144333,0.055866,1.458371,0.230534,0.683712,0.683863,-0.224474,0.120339,0.057759,1.417353,0.208843,0.242894,0.955638,-0.086056,0.142666,0.084671,1.401474,0.183039,0.758015,-0.595049,-0.224719,-0.144333,0.077768,1.407689,0.234115,0.143639,0.928874,-0.273911,0.203798,0.104612,1.429569,0.21805,0.918935,0.098228,-0.363892,-0.116153,0.103744,1.387108,0.199687,0.746342,-0.49537,-0.236994,-0.376053,0.083078,1.42658,0.24034,0.58425,0.736598,-0.329576,0.086338,0.083541,1.398394,0.214735,0.143639,0.928874,-0.273911,0.203798,0.064543,1.414123,0.231962,0.159325,0.951273,-0.184782,0.188548,0.091009,1.441101,0.204925,0.955059,0.042762,-0.279393,-0.089291,0.098344,1.388264,0.192776,0.758015,-0.595049,-0.224719,-0.144333,0.069614,1.439844,0.238135,0.612406,0.733875,-0.275721,0.101806,0.07149,1.403419,0.210801,0.159325,0.951273,-0.184782,0.188548,0.020108,1.425253,0.2225,0.756815,-0.125249,0.29779,0.568212,0.055075,1.384584,0.185627,0.537037,-0.525999,-0.037921,0.658391,0.030908,1.401556,0.200251,0.702189,-0.404583,0.107334,0.575954,0.026942,1.439282,0.241974,0.756815,-0.125249,0.29779,0.568212,77,0.094235,1.354967,0.173158,0.758015,-0.595049,-0.224719,-0.144333,12,Z,Dynamic,Right
7,8,0.00774,1.517666,-0.105662,0.998639,-0.030472,0.041078,0.010248,0.038903,1.489732,0.223104,0.97415,-0.003463,-0.209831,-0.08361,0.05289,1.446586,0.184976,0.838281,-0.500753,-0.159501,-0.14523,0.065913,1.388569,0.181385,0.757152,-0.596055,-0.226041,-0.142637,0.048202,1.480641,0.202183,0.956314,-0.170333,-0.215282,-0.100515,0.030089,1.491656,0.243926,0.97415,-0.003463,-0.209831,-0.08361,0.051104,1.431456,0.228849,0.244159,0.955393,-0.084081,0.143318,0.07426,1.44863,0.192188,0.961646,-0.104158,-0.239485,-0.083869,0.081986,1.388154,0.186606,0.757152,-0.596055,-0.226041,-0.142637,0.05498,1.459093,0.229763,0.684662,0.683074,-0.223083,0.121994,0.057024,1.418013,0.208211,0.244159,0.955393,-0.084081,0.143318,0.083985,1.40212,0.18248,0.757152,-0.596055,-0.226041,-0.142637,0.077066,1.408483,0.233513,0.144392,0.929197,-0.271725,0.204719,0.103827,1.430413,0.217389,0.919267,0.097449,-0.364011,-0.113788,0.103106,1.387881,0.199183,0.746061,-0.496325,-0.238573,-0.37435,0.082298,1.427414,0.239683,0.585127,0.736357,-0.328081,0.088132,0.082888,1.399161,0.214161,0.144392,0.929197,-0.271725,0.204719,0.063817,1.414881,0.231345,0.16037,0.95136,-0.182662,0.189292,0.090185,1.441849,0.20422,0.955277,0.041476,-0.279534,-0.087095,0.097703,1.388994,0.192267,0.757152,-0.596055,-0.226041,-0.142637,0.068791,1.440642,0.237433,0.613413,0.73335,-0.27425,0.10349,0.070812,1.40414,0.210218,0.16037,0.95136,-0.182662,0.189292,0.019303,1.425869,0.221762,0.755739,-0.128376,0.297947,0.568864,0.054443,1.385137,0.185116,0.534915,-0.527494,-0.037504,0.658946,0.030212,1.402105,0.199638,0.700426,-0.406809,0.107475,0.576506,0.026032,1.440019,0.241185,0.755739,-0.128376,0.297947,0.568864,88,0.09371,1.355611,0.172771,0.757152,-0.596055,-0.226041,-0.142637,12,Z,Dynamic,Right
8,9,0.008105,1.517706,-0.105373,0.998666,-0.030822,0.040198,0.010028,0.037676,1.491034,0.223146,0.973977,-0.00064,-0.211098,-0.082495,0.051934,1.448138,0.184835,0.83961,-0.498029,-0.1613,-0.144929,0.065096,1.390162,0.181099,0.75794,-0.594388,-0.227549,-0.143007,0.047071,1.482084,0.202207,0.956594,-0.167336,-0.216785,-0.099658,0.028794,1.492829,0.24395,0.973977,-0.00064,-0.211098,-0.082495,0.050053,1.432883,0.228666,0.242404,0.955659,-0.083587,0.144811,0.073279,1.450205,0.192115,0.961536,-0.102471,-0.240836,-0.083344,0.081156,1.389766,0.186364,0.75794,-0.594388,-0.227549,-0.143007,0.053871,1.460526,0.229663,0.683318,0.684034,-0.223513,0.123353,0.056062,1.419518,0.208002,0.242404,0.955659,-0.083587,0.144811,0.083134,1.403749,0.182286,0.75794,-0.594388,-0.227549,-0.143007,0.07606,1.409927,0.233314,0.14208,0.929486,-0.271082,0.205873,0.102814,1.431973,0.217341,0.918712,0.099524,-0.365061,-0.113107,0.102239,1.389499,0.198997,0.746929,-0.494333,-0.239584,-0.374609,0.081227,1.428851,0.239562,0.583313,0.737597,-0.328177,0.089423,0.081967,1.400688,0.213948,0.14208,0.929486,-0.271082,0.205873,0.0628,1.416328,0.231142,0.15821,0.951576,-0.182044,0.190613,0.089184,1.443422,0.204171,0.95492,0.043157,-0.280704,-0.08644,0.096853,1.390622,0.19207,0.75794,-0.594388,-0.227549,-0.143007,0.0677,1.442082,0.23732,0.611835,0.734395,-0.274478,0.104806,0.069886,1.405678,0.21,0.15821,0.951576,-0.182044,0.190613,0.018311,1.427267,0.221444,0.755805,-0.128775,0.295681,0.569868,0.053625,1.386693,0.184791,0.535053,-0.527693,-0.039616,0.658551,0.029324,1.403582,0.199288,0.700671,-0.406788,0.105321,0.576621,0.024936,1.441382,0.240929,0.755805,-0.128775,0.295681,0.569868,100,0.09299,1.357292,0.172456,0.75794,-0.594388,-0.227549,-0.143007,12,Z,Dynamic,Right
9,10,0.008436,1.517607,-0.104963,0.998677,-0.031343,0.039579,0.009809,0.036465,1.492262,0.223176,0.973798,0.002502,-0.212382,-0.081275,0.050998,1.449626,0.184684,0.840931,-0.495299,-0.163109,-0.144605,0.064297,1.39169,0.180822,0.758632,-0.59284,-0.229051,-0.143367,0.045959,1.483462,0.202219,0.956895,-0.164152,-0.218309,-0.098732,0.027512,1.493912,0.243963,0.973798,0.002502,-0.212382,-0.081275,0.049021,1.434264,0.228479,0.240859,0.955864,-0.083116,0.146295,0.072317,1.451718,0.192029,0.961397,-0.100994,-0.242191,-0.08282,0.080343,1.391314,0.18613,0.758632,-0.59284,-0.229051,-0.143367,0.052784,1.461912,0.229547,0.682145,0.684815,-0.223952,0.124707,0.055116,1.420967,0.207797,0.240859,0.955864,-0.083116,0.146295,0.0823,1.405311,0.182093,0.758632,-0.59284,-0.229051,-0.143367,0.075073,1.411324,0.233118,0.139988,0.929724,-0.270459,0.207048,0.10182,1.433476,0.217286,0.918171,0.101394,-0.366122,-0.112415,0.101388,1.391054,0.198818,0.747707,-0.49246,-0.240627,-0.374855,0.080176,1.430241,0.239435,0.581662,0.73869,-0.328292,0.090722,0.081061,1.402159,0.213742,0.139988,0.929724,-0.270459,0.207048,0.061801,1.41773,0.230942,0.156226,0.95175,-0.181437,0.191953,0.088203,1.444934,0.20411,0.954565,0.044618,-0.281877,-0.085791,0.09602,1.392185,0.191878,0.758632,-0.59284,-0.229051,-0.143367,0.06663,1.443478,0.237197,0.610419,0.735292,-0.274722,0.106125,0.068976,1.407163,0.209788,0.156226,0.95175,-0.181437,0.191953,0.01735,1.428615,0.221137,0.75585,-0.129139,0.293596,0.570803,0.052824,1.388187,0.184476,0.535155,-0.527881,-0.041573,0.658197,0.028458,1.405002,0.198951,0.700889,-0.406751,0.10335,0.576738,0.02388,1.442697,0.240677,0.75585,-0.129139,0.293596,0.570803,111,0.092283,1.358905,0.172157,0.758632,-0.59284,-0.229051,-0.143367,12,Z,Dynamic,Right
10,11,0.008746,1.517503,-0.104766,0.998712,-0.031394,0.038823,0.009029,0.03527,1.49343,0.223196,0.973608,0.005852,-0.213674,-0.079978,0.050078,1.451061,0.184522,0.842234,-0.492575,-0.164925,-0.144261,0.063511,1.393164,0.180552,0.759244,-0.591389,-0.230547,-0.143717,0.044862,1.484786,0.202219,0.957204,-0.160853,-0.219844,-0.097757,0.026245,1.494925,0.243963,0.973608,0.005852,-0.213674,-0.079978,0.048005,1.435607,0.228289,0.23948,0.956023,-0.082663,0.147772,0.071373,1.453178,0.191934,0.961237,-0.099684,-0.243546,-0.082297,0.079544,1.392808,0.185902,0.759244,-0.591389,-0.230547,-0.143717,0.051715,1.46326,0.229417,0.681105,0.685457,-0.224399,0.126057,0.054184,1.422371,0.207593,0.23948,0.956023,-0.082663,0.147772,0.081481,1.406819,0.181903,0.759244,-0.591389,-0.230547,-0.143717,0.074099,1.41268,0.232924,0.13807,0.929921,-0.269853,0.20824,0.100842,1.43493,0.217225,0.91764,0.103102,-0.36719,-0.111713,0.100551,1.392556,0.198643,0.748411,-0.490685,-0.241695,-0.375091,0.079142,1.431592,0.239304,0.580142,0.739666,-0.328422,0.092028,0.080168,1.403582,0.213541,0.13807,0.929921,-0.269853,0.20824,0.060816,1.419093,0.230742,0.154384,0.951891,-0.180837,0.193306,0.087239,1.446394,0.204042,0.954213,0.045903,-0.283054,-0.085148,0.0952,1.393695,0.191692,0.759244,-0.591389,-0.230547,-0.143717,0.065579,1.444837,0.237067,0.609133,0.73607,-0.274978,0.107448,0.06808,1.408602,0.20958,0.154384,0.951891,-0.180837,0.193306,0.016414,1.429919,0.220837,0.755877,-0.129486,0.291656,0.571682,0.052038,1.389629,0.184172,0.535225,-0.528067,-0.043407,0.657872,0.02761,1.406374,0.198623,0.701084,-0.406709,0.101523,0.576855,0.022855,1.443971,0.240428,0.755877,-0.129486,0.291656,0.571682,122,0.091589,1.36046,0.171872,0.759244,-0.591389,-0.230547,-0.143717,12,Z,Dynamic,Right
