,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.007692,1.640562,0.018288,0.992866,0.083183,-0.03536,0.077771,0.116857,1.606415,0.318869,-0.614572,0.439623,0.504257,0.418042,0.126392,1.540173,0.317238,-0.557446,0.541445,0.453948,0.435917,0.124021,1.476826,0.323692,-0.571776,0.50321,0.455345,0.460991,0.124989,1.581348,0.317301,-0.618656,0.443058,0.523465,0.383339,0.111841,1.630054,0.321602,-0.614572,0.439623,0.504257,0.418042,0.077447,1.556494,0.350821,-0.629004,-0.460784,0.588781,-0.213002,0.135323,1.538517,0.339744,-0.718103,0.2469,0.577954,0.298893,0.131579,1.473595,0.340117,-0.571776,0.50321,0.455345,0.460991,0.1035,1.571162,0.349537,-0.714293,-0.247264,0.64608,-0.105959,0.061755,1.534479,0.348342,-0.629004,-0.460784,0.588781,-0.213002,0.139783,1.486846,0.336355,-0.571776,0.50321,0.455345,0.460991,0.085472,1.528077,0.378163,-0.450824,-0.47342,0.735544,-0.177785,0.130888,1.515744,0.379447,-0.665825,0.111293,0.642928,0.361849,0.136063,1.469588,0.362076,-0.53118,0.317688,0.473173,0.626921,0.105006,1.536216,0.384403,-0.598704,-0.32231,0.733168,0.011617,0.072595,1.512474,0.36553,-0.450824,-0.47342,0.735544,-0.177785,0.077771,1.536575,0.364588,-0.488406,-0.529107,0.636836,-0.275582,0.134826,1.529268,0.360349,-0.721113,0.137521,0.61073,0.296807,0.13827,1.4712,0.352997,-0.571776,0.50321,0.455345,0.460991,0.100974,1.553026,0.369507,-0.636351,-0.340968,0.684792,-0.099289,0.067402,1.514033,0.35533,-0.488406,-0.529107,0.636836,-0.275582,0.063119,1.52463,0.340889,-0.778507,0.406952,0.046036,-0.475602,0.11094,1.476478,0.320709,-0.606325,0.636483,0.167283,-0.446402,0.083707,1.498462,0.325435,-0.75138,0.527721,0.104918,-0.382009,0.050476,1.541193,0.357654,-0.778507,0.406952,0.046036,-0.475602,11,0.144243,1.435174,0.332965,-0.571776,0.50321,0.455345,0.460991,17,D,Static,Right
1,2,0.007821,1.640782,0.018404,0.992925,0.082447,-0.035204,0.077871,0.116269,1.606307,0.319161,-0.614725,0.43899,0.504865,0.417748,0.125852,1.540075,0.317541,-0.557332,0.541185,0.454315,0.436003,0.123515,1.476727,0.323998,-0.571693,0.502915,0.455761,0.461005,0.124431,1.581249,0.3176,-0.618669,0.44258,0.523975,0.383174,0.111212,1.629937,0.321893,-0.614725,0.43899,0.504865,0.417748,0.07687,1.5564,0.351076,-0.628679,-0.460877,0.588833,-0.213615,0.134766,1.538427,0.340055,-0.717849,0.246866,0.57837,0.298728,0.13106,1.473502,0.34043,-0.571693,0.502915,0.455761,0.461005,0.102924,1.571066,0.349805,-0.714119,-0.247002,0.64633,-0.10622,0.061201,1.53437,0.348588,-0.628679,-0.460877,0.588833,-0.213615,0.139259,1.486758,0.336675,-0.571693,0.502915,0.455761,0.461005,0.084891,1.527958,0.378432,-0.45001,-0.474045,0.735381,-0.178852,0.130311,1.515656,0.379756,-0.665663,0.110971,0.643249,0.361675,0.135528,1.469501,0.362395,-0.53115,0.317316,0.473526,0.626868,0.104413,1.536113,0.38469,-0.598382,-0.322576,0.73332,0.011213,0.072073,1.512321,0.365781,-0.45001,-0.474045,0.735381,-0.178852,0.077206,1.536478,0.364855,-0.487793,-0.529441,0.636677,-0.276393,0.134257,1.52918,0.36066,-0.720886,0.137507,0.611018,0.296771,0.137741,1.471113,0.353318,-0.571693,0.502915,0.455761,0.461005,0.100398,1.55294,0.369788,-0.636089,-0.340989,0.684975,-0.099635,0.066888,1.513917,0.355586,-0.487793,-0.529441,0.636677,-0.276393,0.062576,1.524518,0.341108,-0.778374,0.407314,0.046416,-0.475474,0.110437,1.47637,0.321003,-0.606099,0.636771,0.16762,-0.446173,0.083193,1.498349,0.325695,-0.751108,0.528151,0.105408,-0.381816,0.049912,1.541083,0.357856,-0.778374,0.407314,0.046416,-0.475474,22,0.143753,1.435088,0.333295,-0.571693,0.502915,0.455761,0.461005,17,D,Static,Right
2,3,0.008005,1.640942,0.018519,0.992964,0.08208,-0.0349,0.077895,0.115738,1.606193,0.319445,-0.61489,0.438328,0.505432,0.417514,0.125361,1.539971,0.317826,-0.557222,0.540916,0.45462,0.43616,0.123057,1.476622,0.324286,-0.571603,0.502614,0.456192,0.461019,0.123927,1.581144,0.317886,-0.618686,0.442086,0.524438,0.383082,0.11064,1.629815,0.322178,-0.61489,0.438328,0.505432,0.417514,0.07634,1.556285,0.351309,-0.628208,-0.461194,0.588779,-0.214464,0.134255,1.538332,0.340348,-0.717597,0.246793,0.578827,0.29851,0.130589,1.473404,0.340725,-0.571603,0.502614,0.456192,0.461019,0.10239,1.570961,0.350052,-0.713883,-0.246892,0.646561,-0.106654,0.060712,1.534227,0.348808,-0.628208,-0.461194,0.588779,-0.214464,0.138783,1.486664,0.336979,-0.571603,0.502614,0.456192,0.461019,0.084356,1.52783,0.378682,-0.449107,-0.474758,0.73519,-0.18001,0.129781,1.515563,0.380049,-0.665501,0.110604,0.643582,0.361494,0.135041,1.469409,0.362698,-0.531115,0.316935,0.473894,0.626813,0.103864,1.536003,0.384959,-0.598022,-0.322909,0.733474,0.010764,0.071604,1.512156,0.366009,-0.449107,-0.474758,0.73519,-0.18001,0.07669,1.536365,0.365099,-0.487037,-0.529917,0.636448,-0.27734,0.133735,1.529086,0.360954,-0.720664,0.137429,0.611325,0.296713,0.137261,1.471021,0.353623,-0.571603,0.502614,0.456192,0.461019,0.099866,1.552844,0.370052,-0.635761,-0.341127,0.685147,-0.100073,0.066435,1.513781,0.355817,-0.487037,-0.529917,0.636448,-0.27734,0.062083,1.52441,0.341288,-0.778241,0.407792,0.046825,-0.475243,0.109982,1.476257,0.321277,-0.605845,0.63716,0.167951,-0.445838,0.08273,1.498234,0.325926,-0.7508,0.528705,0.105934,-0.381509,0.049396,1.540982,0.358011,-0.778241,0.407792,0.046825,-0.475243,33,0.143311,1.434997,0.33361,-0.571603,0.502614,0.456192,0.461019,17,D,Static,Right
3,4,0.008198,1.640994,0.018588,0.992956,0.082223,-0.034796,0.077888,0.115602,1.606264,0.319638,-0.61447,0.43854,0.505357,0.417999,0.125117,1.540027,0.318033,-0.55666,0.541243,0.45433,0.436774,0.122729,1.476684,0.324518,-0.571091,0.502865,0.456129,0.461442,0.123757,1.581203,0.318086,-0.618239,0.442386,0.524317,0.383624,0.110532,1.629892,0.322366,-0.61447,0.43854,0.505357,0.417999,0.076093,1.556441,0.351485,-0.628327,-0.46051,0.589286,-0.21419,0.133996,1.538385,0.340561,-0.717163,0.247284,0.578916,0.298972,0.130249,1.473462,0.340962,-0.571091,0.502865,0.456129,0.461442,0.102172,1.571064,0.350233,-0.713898,-0.246042,0.646947,-0.106173,0.06043,1.534408,0.348985,-0.628327,-0.46051,0.589286,-0.21419,0.138462,1.486711,0.337213,-0.571091,0.502865,0.456129,0.461442,0.08407,1.52801,0.37889,-0.449269,-0.47388,0.735717,-0.179767,0.12947,1.515636,0.380267,-0.665011,0.111407,0.643583,0.362145,0.134682,1.469469,0.362936,-0.530528,0.317141,0.473964,0.627152,0.103599,1.536136,0.385165,-0.598043,-0.321884,0.733898,0.01139,0.07129,1.512357,0.366219,-0.449269,-0.47388,0.735717,-0.179767,0.076404,1.536578,0.365305,-0.487549,-0.528848,0.637219,-0.276709,0.133452,1.529147,0.36117,-0.720216,0.138171,0.61133,0.297445,0.13691,1.471075,0.353861,-0.571091,0.502865,0.456129,0.461442,0.099633,1.552983,0.370251,-0.635998,-0.339898,0.68567,-0.099157,0.06608,1.514022,0.35603,-0.487549,-0.528848,0.637219,-0.276709,0.061807,1.524546,0.34149,-0.778653,0.407645,0.046484,-0.474725,0.109656,1.476334,0.321503,-0.605997,0.637409,0.167639,-0.445393,0.082427,1.498344,0.326137,-0.750975,0.528871,0.105689,-0.381003,0.04915,1.541132,0.358222,-0.778653,0.407645,0.046484,-0.474725,44,0.142927,1.435037,0.333865,-0.571091,0.502865,0.456129,0.461442,17,D,Static,Right
4,5,0.008378,1.640994,0.018604,0.992961,0.082648,-0.034621,0.077456,0.115485,1.60632,0.319826,-0.614036,0.438751,0.505265,0.418526,0.124891,1.540069,0.318233,-0.556114,0.541536,0.454043,0.437402,0.122429,1.476731,0.324741,-0.570602,0.503074,0.45611,0.461838,0.123604,1.581247,0.318281,-0.617787,0.442671,0.524189,0.384198,0.110444,1.629955,0.322551,-0.614036,0.438751,0.505265,0.418526,0.075861,1.556571,0.351652,-0.628408,-0.459883,0.589774,-0.213959,0.133755,1.538425,0.340767,-0.71675,0.247697,0.579033,0.299393,0.129935,1.473507,0.341192,-0.570602,0.503074,0.45611,0.461838,0.101967,1.571149,0.350407,-0.713876,-0.245287,0.647326,-0.105756,0.060166,1.534561,0.349151,-0.628408,-0.459883,0.589774,-0.213959,0.138165,1.486745,0.33744,-0.570602,0.503074,0.45611,0.461838,0.083803,1.528178,0.379092,-0.449495,-0.472937,0.736269,-0.179427,0.129178,1.515695,0.380478,-0.664524,0.112217,0.643576,0.362803,0.13435,1.469516,0.363166,-0.529973,0.317301,0.474065,0.627464,0.103353,1.536255,0.385365,-0.598077,-0.320836,0.734318,0.012049,0.070989,1.51255,0.366425,-0.449495,-0.472937,0.736269,-0.179427,0.076132,1.536777,0.365503,-0.488118,-0.527716,0.638039,-0.275977,0.133187,1.529195,0.361379,-0.719775,0.138861,0.611342,0.298163,0.136585,1.471117,0.354093,-0.570602,0.503074,0.45611,0.461838,0.099416,1.553105,0.370442,-0.636244,-0.338652,0.686198,-0.098189,0.065732,1.514253,0.356236,-0.488118,-0.527716,0.638039,-0.275977,0.061551,1.524656,0.341688,-0.779062,0.407423,0.046158,-0.474276,0.109356,1.476395,0.321722,-0.606117,0.637637,0.16739,-0.444996,0.082147,1.498432,0.326341,-0.751144,0.528987,0.105479,-0.380566,0.048922,1.541252,0.358432,-0.779062,0.407423,0.046158,-0.474276,55,0.142575,1.435065,0.334113,-0.570602,0.503074,0.45611,0.461838,17,D,Static,Right
5,6,0.008537,1.640969,0.018596,0.99295,0.082947,-0.034825,0.07718,0.115382,1.606364,0.320012,-0.613593,0.438957,0.505162,0.419085,0.124681,1.540099,0.318426,-0.555581,0.541803,0.453761,0.438042,0.12215,1.476766,0.324958,-0.57013,0.50325,0.456127,0.462211,0.123464,1.58128,0.318471,-0.617334,0.442941,0.524057,0.384794,0.110371,1.630006,0.322733,-0.613593,0.438957,0.505162,0.419085,0.075642,1.556681,0.351811,-0.628458,-0.459299,0.590247,-0.213762,0.133528,1.538454,0.340967,-0.716353,0.248049,0.579172,0.299783,0.129642,1.47354,0.341415,-0.57013,0.50325,0.456127,0.462211,0.101771,1.571217,0.350575,-0.713826,-0.244602,0.647701,-0.105388,0.059917,1.534693,0.349309,-0.628458,-0.459299,0.590247,-0.213762,0.137888,1.486768,0.337661,-0.57013,0.50325,0.456127,0.462211,0.083552,1.528336,0.379289,-0.449765,-0.471947,0.736838,-0.179015,0.128902,1.515743,0.380683,-0.664038,0.113029,0.643561,0.363466,0.134039,1.469553,0.363391,-0.529445,0.317424,0.474191,0.627752,0.103123,1.536363,0.385559,-0.598119,-0.319773,0.734736,0.01273,0.070701,1.512736,0.366626,-0.449765,-0.471947,0.736838,-0.179015,0.075872,1.536963,0.365695,-0.488728,-0.526537,0.638894,-0.275168,0.132938,1.529232,0.361581,-0.719342,0.139511,0.61136,0.298869,0.136282,1.471148,0.354318,-0.57013,0.50325,0.456127,0.462211,0.099213,1.553214,0.370627,-0.636494,-0.337395,0.686728,-0.097182,0.065391,1.514473,0.356437,-0.488728,-0.526537,0.638894,-0.275168,0.061311,1.524746,0.341883,-0.779467,0.407141,0.045846,-0.473883,0.109078,1.476442,0.321934,-0.606212,0.637849,0.167194,-0.444637,0.081886,1.498503,0.326539,-0.751307,0.529065,0.105301,-0.380184,0.04871,1.541349,0.358641,-0.779467,0.407141,0.045846,-0.473883,66,0.142249,1.435082,0.334355,-0.57013,0.50325,0.456127,0.462211,17,D,Static,Right
6,7,0.008704,1.640883,0.01857,0.992919,0.083513,-0.035353,0.076734,0.114704,1.60607,0.321526,-0.617667,0.435421,0.503948,0.41825,0.124345,1.539877,0.31939,-0.55946,0.539351,0.45236,0.437579,0.122104,1.476482,0.325408,-0.573966,0.500743,0.454294,0.461992,0.122939,1.58105,0.319758,-0.621209,0.439462,0.522858,0.384178,0.109538,1.629653,0.324456,-0.617667,0.435421,0.503948,0.41825,0.075321,1.556087,0.353091,-0.628108,-0.461904,0.589679,-0.210722,0.133278,1.538084,0.341885,-0.718871,0.244759,0.577228,0.300209,0.129668,1.473153,0.341811,-0.573966,0.500743,0.454294,0.461992,0.101433,1.570654,0.351854,-0.714198,-0.247648,0.646538,-0.102862,0.059584,1.534117,0.350502,-0.628108,-0.461904,0.589679,-0.210722,0.137845,1.486446,0.338139,-0.573966,0.500743,0.454294,0.461992,0.083457,1.527503,0.38035,-0.449208,-0.475131,0.736181,-0.174645,0.128887,1.515028,0.381429,-0.666493,0.109317,0.640782,0.365013,0.134159,1.469004,0.36374,-0.532901,0.315337,0.471355,0.628016,0.103047,1.535501,0.386598,-0.598436,-0.323187,0.732905,0.016586,0.070567,1.512004,0.367602,-0.449208,-0.475131,0.736181,-0.174645,0.075685,1.536221,0.366827,-0.487797,-0.529597,0.638521,-0.271797,0.132799,1.528691,0.362425,-0.721572,0.135966,0.609077,0.299787,0.136363,1.470683,0.354673,-0.573966,0.500743,0.454294,0.461992,0.099019,1.552472,0.37179,-0.636527,-0.34077,0.685443,-0.094224,0.065197,1.513791,0.357434,-0.487797,-0.529597,0.638521,-0.271797,0.061175,1.524126,0.342901,-0.780483,0.403141,0.047055,-0.47551,0.109024,1.476127,0.322425,-0.60828,0.634539,0.16898,-0.445871,0.08178,1.498068,0.327285,-0.75299,0.525324,0.106417,-0.381728,0.048582,1.540557,0.359834,-0.780483,0.403141,0.047055,-0.47551,77,0.142412,1.434809,0.334393,-0.573966,0.500743,0.454294,0.461992,17,D,Static,Right
7,8,0.008863,1.640774,0.018565,0.99288,0.084031,-0.035453,0.076621,0.113562,1.605925,0.321632,-0.618341,0.432725,0.506278,0.417236,0.123608,1.539797,0.319473,-0.560124,0.537048,0.454716,0.43712,0.12168,1.476382,0.325374,-0.574746,0.498336,0.456245,0.461701,0.121965,1.580961,0.31987,-0.621721,0.436791,0.525205,0.383193,0.108231,1.629471,0.324565,-0.618341,0.432725,0.506278,0.417236,0.074349,1.555753,0.35303,-0.626749,-0.462626,0.590037,-0.212176,0.132472,1.538017,0.341997,-0.718777,0.242309,0.579006,0.298994,0.129201,1.473068,0.341799,-0.574746,0.498336,0.456245,0.461701,0.100417,1.570404,0.351886,-0.712922,-0.248781,0.647299,-0.104189,0.058684,1.533739,0.350379,-0.626749,-0.462626,0.590037,-0.212176,0.13732,1.486409,0.338191,-0.574746,0.498336,0.456245,0.461701,0.08258,1.527141,0.380295,-0.446782,-0.477416,0.735828,-0.176116,0.128065,1.51488,0.381492,-0.666459,0.10647,0.641695,0.364314,0.133637,1.46891,0.363753,-0.533946,0.31263,0.472631,0.627522,0.102111,1.535218,0.386623,-0.596938,-0.325634,0.733068,0.015448,0.06983,1.511593,0.367466,-0.446782,-0.477416,0.735828,-0.176116,0.074793,1.535858,0.366744,-0.485842,-0.530854,0.63826,-0.273451,0.131971,1.528592,0.362521,-0.721329,0.133604,0.61047,0.2986,0.135863,1.470614,0.354696,-0.574746,0.498336,0.456245,0.461701,0.098045,1.552199,0.371796,-0.635082,-0.342347,0.68579,-0.095715,0.064439,1.51339,0.357293,-0.485842,-0.530854,0.63826,-0.273451,0.060461,1.523705,0.342658,-0.779765,0.403056,0.049734,-0.476486,0.108616,1.475963,0.322328,-0.607051,0.634941,0.172154,-0.44576,0.081243,1.497768,0.327075,-0.752363,0.525154,0.109358,-0.382366,0.047739,1.540046,0.359581,-0.779765,0.403056,0.049734,-0.476486,89,0.142168,1.434802,0.334385,-0.574746,0.498336,0.456245,0.461701,17,D,Static,Right
8,9,0.009069,1.640647,0.018554,0.992836,0.084458,-0.035462,0.076717,0.1125,1.60578,0.321736,-0.618935,0.430229,0.508456,0.416288,0.122923,1.539715,0.319562,-0.560714,0.534908,0.456922,0.436686,0.121285,1.476282,0.325352,-0.575455,0.496095,0.458054,0.461441,0.121059,1.580868,0.319982,-0.62217,0.43431,0.527403,0.382264,0.107016,1.629291,0.324671,-0.618935,0.430229,0.508456,0.416288,0.073443,1.555434,0.352982,-0.6255,-0.46325,0.590395,-0.213504,0.131722,1.537946,0.342112,-0.718674,0.240023,0.580673,0.297853,0.128764,1.472981,0.341797,-0.575455,0.496095,0.458054,0.461441,0.099471,1.570162,0.351924,-0.711735,-0.249793,0.648019,-0.105401,0.057843,1.53338,0.350274,-0.6255,-0.46325,0.590395,-0.213504,0.13683,1.486367,0.338251,-0.575455,0.496095,0.458054,0.461441,0.081765,1.526798,0.380254,-0.444485,-0.479552,0.735499,-0.177494,0.127298,1.514734,0.381561,-0.666412,0.10384,0.642518,0.363708,0.133148,1.468816,0.363778,-0.534898,0.310109,0.473814,0.62707,0.101242,1.534948,0.386659,-0.595526,-0.327909,0.733224,0.014412,0.069148,1.511205,0.367349,-0.444485,-0.479552,0.735499,-0.177494,0.073964,1.535516,0.366676,-0.484042,-0.531979,0.638036,-0.274976,0.131199,1.52849,0.362622,-0.72108,0.131433,0.611769,0.297504,0.135395,1.470542,0.354731,-0.575455,0.496095,0.458054,0.461441,0.09714,1.551938,0.371811,-0.633747,-0.343762,0.686126,-0.097078,0.063732,1.513014,0.357172,-0.484042,-0.531979,0.638036,-0.274976,0.059799,1.523307,0.342434,-0.779131,0.40293,0.052223,-0.477364,0.108237,1.475805,0.322245,-0.605876,0.635361,0.175134,-0.445599,0.080744,1.497483,0.326882,-0.7518,0.524975,0.112099,-0.382926,0.046959,1.539564,0.359349,-0.779131,0.40293,0.052223,-0.477364,100,0.141939,1.434789,0.334391,-0.575455,0.496095,0.458054,0.461441,17,D,Static,Right
9,10,0.009281,1.640555,0.018568,0.992836,0.084685,-0.035271,0.076559,0.112943,1.60623,0.320953,-0.617584,0.431998,0.508725,0.416134,0.123194,1.54013,0.319028,-0.559109,0.536542,0.457061,0.436595,0.12139,1.476725,0.325066,-0.573863,0.49778,0.458339,0.461327,0.121439,1.58129,0.319294,-0.620844,0.436125,0.527595,0.38209,0.107518,1.629765,0.3238,-0.617584,0.431998,0.508725,0.416134,0.073761,1.556116,0.352383,-0.626507,-0.461458,0.590571,-0.213943,0.131986,1.538426,0.341586,-0.717772,0.242207,0.580911,0.297796,0.12886,1.473469,0.341525,-0.573863,0.49778,0.458339,0.461327,0.099828,1.570772,0.351273,-0.712303,-0.247608,0.648184,-0.105697,0.058114,1.534086,0.349753,-0.626507,-0.461458,0.590571,-0.213943,0.136961,1.48682,0.337926,-0.573863,0.49778,0.458339,0.461327,0.081998,1.527597,0.379789,-0.446009,-0.47725,0.736062,-0.177542,0.127497,1.515379,0.381124,-0.6657,0.106092,0.642913,0.363662,0.13323,1.469377,0.36352,-0.533451,0.311726,0.474659,0.626861,0.101509,1.535696,0.386156,-0.596243,-0.325488,0.733721,0.01434,0.069301,1.512017,0.366948,-0.446009,-0.47725,0.736062,-0.177542,0.074203,1.536284,0.366172,-0.485736,-0.529816,0.638547,-0.274978,0.131437,1.529051,0.362132,-0.720412,0.133612,0.612096,0.29748,0.135483,1.471063,0.354466,-0.573863,0.49778,0.458339,0.461327,0.097447,1.552632,0.371238,-0.634694,-0.341261,0.686513,-0.096976,0.063871,1.513791,0.356754,-0.485736,-0.529816,0.638547,-0.274978,0.060017,1.523979,0.341948,-0.7787,0.40503,0.051043,-0.476417,0.108341,1.47627,0.321961,-0.605243,0.636745,0.173445,-0.445145,0.080905,1.498038,0.326515,-0.751132,0.526798,0.110809,-0.382107,0.047197,1.540343,0.358775,-0.7787,0.40503,0.051043,-0.476417,111,0.141936,1.435214,0.334267,-0.573863,0.49778,0.458339,0.461327,17,D,Static,Right
10,11,0.009528,1.640475,0.018609,0.99287,0.084652,-0.035032,0.076266,0.112414,1.606159,0.320363,-0.617964,0.431561,0.509721,0.414801,0.122836,1.540085,0.318531,-0.559238,0.536391,0.458027,0.435603,0.121168,1.47669,0.324712,-0.573806,0.49786,0.459413,0.460242,0.120983,1.581241,0.318737,-0.621093,0.435772,0.528501,0.380833,0.106912,1.62968,0.323177,-0.617964,0.431561,0.509721,0.414801,0.07334,1.556017,0.351848,-0.626804,-0.461306,0.589928,-0.21517,0.131629,1.538449,0.341093,-0.717883,0.242079,0.581632,0.296221,0.128644,1.473485,0.341178,-0.573806,0.49786,0.459413,0.460242,0.099377,1.570723,0.350708,-0.712434,-0.247495,0.64785,-0.107117,0.057733,1.533953,0.349265,-0.626804,-0.461306,0.589928,-0.21517,0.136717,1.486846,0.337544,-0.573806,0.49786,0.459413,0.460242,0.081664,1.527606,0.379324,-0.446248,-0.47758,0.735422,-0.178705,0.127185,1.515476,0.38068,-0.665953,0.10612,0.643334,0.362447,0.133021,1.46945,0.363175,-0.533773,0.311735,0.475704,0.62579,0.101159,1.535755,0.385676,-0.59656,-0.325641,0.733419,0.013086,0.069,1.511976,0.366511,-0.446248,-0.47758,0.735422,-0.178705,0.073832,1.53626,0.365688,-0.486297,-0.529613,0.637952,-0.27576,0.131097,1.529116,0.36166,-0.720555,0.1337,0.612568,0.296116,0.135271,1.471121,0.354118,-0.573806,0.49786,0.459413,0.460242,0.097058,1.552645,0.370715,-0.635072,-0.341009,0.686139,-0.098027,0.063515,1.513739,0.356321,-0.486297,-0.529613,0.637952,-0.27576,0.059693,1.523856,0.341499,-0.77758,0.406169,0.051084,-0.47727,0.108118,1.4762,0.321614,-0.604218,0.637076,0.173531,-0.446029,0.080641,1.497922,0.326136,-0.750055,0.527654,0.110995,-0.382987,0.046826,1.540236,0.358275,-0.77758,0.406169,0.051084,-0.47727,122,0.141805,1.435243,0.333996,-0.573806,0.49786,0.459413,0.460242,17,D,Static,Right
