,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.054135,1.605106,0.012343,0.98105,0.180917,0.063716,0.027411,0.132401,1.595516,0.388997,0.901697,-0.421612,-0.049831,0.081867,0.147032,1.545679,0.350794,0.868307,-0.474203,-0.067598,0.128863,0.163931,1.489314,0.335054,0.825828,-0.559712,-0.035791,0.058736,0.137588,1.577451,0.372123,0.906772,-0.402156,-0.065046,0.108651,0.128897,1.613728,0.403048,0.901697,-0.421612,-0.049831,0.081867,0.161555,1.610593,0.386205,0.886905,-0.459353,-0.048646,0.005215,0.169262,1.550272,0.345902,0.862073,-0.502917,-0.034246,0.052261,0.180654,1.491129,0.330119,0.825828,-0.559712,-0.035791,0.058736,0.164283,1.588795,0.367842,0.90487,-0.422235,-0.032417,0.04333,0.159553,1.63242,0.40014,0.886905,-0.459353,-0.048646,0.005215,0.176281,1.505142,0.326236,0.825828,-0.559712,-0.035791,0.058736,0.20082,1.536155,0.393973,0.768958,0.609985,-0.176604,-0.073708,0.210087,1.534288,0.349566,0.968466,-0.225817,-0.07672,-0.072073,0.203111,1.492288,0.328636,0.826868,-0.527535,-0.033554,-0.192014,0.206382,1.548606,0.37786,0.933561,0.32731,-0.105847,-0.100643,0.192217,1.515769,0.399553,0.768958,0.609985,-0.176604,-0.073708,0.188754,1.594243,0.392917,0.966613,-0.243464,-0.068377,-0.041348,0.190156,1.544838,0.346937,0.892829,-0.449897,-0.014,-0.015921,0.194577,1.493115,0.325676,0.825828,-0.559712,-0.035791,0.058736,0.189723,1.577414,0.371042,0.94549,-0.32061,-0.034093,-0.045787,0.186375,1.60774,0.414228,0.966613,-0.243464,-0.068377,-0.041348,0.167716,1.519179,0.400049,0.555891,0.165339,0.543295,0.607025,0.15907,1.484348,0.345848,0.511448,-0.184444,0.127511,0.829544,0.153137,1.497871,0.37624,0.602351,-0.047091,0.398516,0.69003,0.187526,1.532155,0.40974,0.555891,0.165339,0.543295,0.607025,11,0.1833,1.460012,0.30657,0.825828,-0.559712,-0.035791,0.058736,11,W,Static,Right
1,2,-0.053962,1.605073,0.01259,0.981075,0.180506,0.064496,0.02737,0.13182,1.595405,0.388878,0.901621,-0.421837,-0.052152,0.080091,0.146605,1.545566,0.350738,0.868259,-0.474486,-0.069795,0.12696,0.163528,1.489165,0.335151,0.825514,-0.560266,-0.037888,0.05651,0.137079,1.577344,0.372022,0.906766,-0.402243,-0.067378,0.10694,0.128258,1.613621,0.40291,0.901621,-0.421837,-0.052152,0.080091,0.161033,1.610451,0.386238,0.887036,-0.458888,-0.050788,0.003148,0.16887,1.550125,0.345977,0.861903,-0.503287,-0.036318,0.050074,0.180282,1.490955,0.330315,0.825514,-0.560266,-0.037888,0.05651,0.163829,1.588667,0.367871,0.905014,-0.421946,-0.034655,0.041364,0.158988,1.632266,0.400188,0.887036,-0.458888,-0.050788,0.003148,0.175948,1.504969,0.326392,0.825514,-0.560266,-0.037888,0.05651,0.200102,1.53592,0.394268,0.768731,0.609681,-0.179206,-0.072302,0.209651,1.534091,0.349901,0.968355,-0.224883,-0.079703,-0.073237,0.202746,1.492081,0.328965,0.826408,-0.527331,-0.035783,-0.194143,0.205775,1.548368,0.378192,0.933151,0.327667,-0.108853,-0.100074,0.191444,1.51555,0.39982,0.768731,0.609681,-0.179206,-0.072302,0.188141,1.593994,0.393187,0.966731,-0.24195,-0.071119,-0.042818,0.18975,1.544664,0.347143,0.892993,-0.449419,-0.016329,-0.017917,0.19423,1.492917,0.325953,0.825514,-0.560266,-0.037888,0.05651,0.189221,1.577217,0.371277,0.945745,-0.319327,-0.036699,-0.047434,0.185648,1.607431,0.414523,0.966731,-0.24195,-0.071119,-0.042818,0.166952,1.519064,0.400176,0.55799,0.163047,0.540947,0.607815,0.158599,1.484216,0.345922,0.512308,-0.186748,0.126444,0.82866,0.152519,1.497763,0.376274,0.60389,-0.0493,0.396583,0.689644,0.186684,1.532037,0.41003,0.55799,0.163047,0.540947,0.607815,22,0.183025,1.459813,0.306807,0.825514,-0.560266,-0.037888,0.05651,11,W,Static,Right
2,3,-0.053775,1.605037,0.012749,0.981024,0.180643,0.064988,0.027153,0.131124,1.595737,0.389257,0.90163,-0.421691,-0.0527,0.080394,0.145989,1.545915,0.351126,0.868174,-0.474488,-0.070374,0.127213,0.162982,1.489513,0.335621,0.825162,-0.560732,-0.03855,0.056584,0.136414,1.577683,0.372403,0.906717,-0.40218,-0.067928,0.107245,0.127534,1.613944,0.403293,0.90163,-0.421691,-0.0527,0.080394,0.160335,1.610853,0.386568,0.886908,-0.459067,-0.051396,0.003254,0.168255,1.550489,0.346384,0.861524,-0.503885,-0.036912,0.050138,0.17974,1.491312,0.3308,0.825162,-0.560732,-0.03855,0.056584,0.163164,1.589056,0.36822,0.904819,-0.422302,-0.035238,0.041494,0.15826,1.632672,0.400506,0.886908,-0.459067,-0.051396,0.003254,0.175393,1.505317,0.326856,0.825162,-0.560732,-0.03855,0.056584,0.199439,1.536304,0.394744,0.769102,0.609273,-0.179291,-0.071588,0.209046,1.534494,0.350369,0.96842,-0.22446,-0.080458,-0.072845,0.2022,1.492455,0.329472,0.826184,-0.527662,-0.036568,-0.194051,0.205115,1.548748,0.378665,0.933255,0.327467,-0.109193,-0.09939,0.190794,1.515934,0.400316,0.769102,0.609273,-0.179291,-0.071588,0.187447,1.594388,0.393607,0.966708,-0.241912,-0.071708,-0.042581,0.189139,1.545047,0.347578,0.892927,-0.449531,-0.016944,-0.01782,0.193687,1.493281,0.32645,0.825162,-0.560732,-0.03855,0.056584,0.188562,1.577606,0.371702,0.945703,-0.31941,-0.037299,-0.047249,0.184923,1.607823,0.414941,0.966708,-0.241912,-0.071708,-0.042581,0.166327,1.519459,0.400644,0.558011,0.161924,0.540441,0.608546,0.158049,1.484572,0.346394,0.511925,-0.187131,0.126492,0.828803,0.151944,1.49813,0.376735,0.603663,-0.050027,0.396376,0.689909,0.186013,1.532467,0.410543,0.558011,0.161924,0.540441,0.608546,33,0.182531,1.460146,0.307328,0.825162,-0.560732,-0.03855,0.056584,11,W,Static,Right
3,4,-0.053561,1.604857,0.012869,0.980958,0.180933,0.065372,0.02667,0.13128,1.595546,0.38988,0.902811,-0.419353,-0.052973,0.079177,0.14609,1.545894,0.351507,0.869493,-0.472356,-0.070706,0.125949,0.162984,1.489517,0.335803,0.826307,-0.559176,-0.038588,0.055224,0.136554,1.577569,0.37294,0.907805,-0.39999,-0.068304,0.105984,0.12771,1.613685,0.40401,0.902811,-0.419353,-0.052973,0.079177,0.160536,1.610619,0.387283,0.888169,-0.456626,-0.051431,0.00187,0.168373,1.550437,0.346812,0.86275,-0.50191,-0.037001,0.048792,0.179752,1.491298,0.331011,0.826307,-0.559176,-0.038588,0.055224,0.163339,1.588912,0.368825,0.905938,-0.420011,-0.035414,0.040162,0.158492,1.632364,0.401341,0.888169,-0.456626,-0.051431,0.00187,0.175437,1.505328,0.327115,0.826307,-0.559176,-0.038588,0.055224,0.199448,1.535926,0.395174,0.767753,0.610611,-0.180205,-0.072358,0.209123,1.534336,0.350788,0.968939,-0.221648,-0.080856,-0.074108,0.202211,1.492396,0.329716,0.826988,-0.525936,-0.036147,-0.195386,0.205169,1.548432,0.37916,0.932335,0.329567,-0.109909,-0.100289,0.190756,1.515551,0.400658,0.767753,0.610611,-0.180205,-0.072358,0.187596,1.593974,0.394365,0.967625,-0.237861,-0.071999,-0.044043,0.189243,1.544945,0.348013,0.894265,-0.446806,-0.016963,-0.019157,0.193704,1.493253,0.326686,0.826307,-0.559176,-0.038588,0.055224,0.188707,1.577357,0.372335,0.946831,-0.315827,-0.037449,-0.048611,0.185067,1.607234,0.415807,0.967625,-0.237861,-0.071999,-0.044043,0.166323,1.519175,0.40098,0.55861,0.162945,0.538106,0.609792,0.158031,1.484545,0.346553,0.513301,-0.186094,0.124721,0.828454,0.151939,1.497982,0.376951,0.604657,-0.048778,0.394367,0.69028,0.186001,1.532108,0.410993,0.55861,0.162945,0.538106,0.609792,44,0.182501,1.460219,0.307418,0.826307,-0.559176,-0.038588,0.055224,11,W,Static,Right
4,5,-0.053446,1.604935,0.013077,0.980856,0.181431,0.065908,0.02569,0.131403,1.595363,0.390463,0.903896,-0.417192,-0.053306,0.07799,0.146168,1.545868,0.351869,0.870711,-0.470377,-0.071087,0.124715,0.16297,1.489514,0.335981,0.827383,-0.557707,-0.038674,0.05389,0.136664,1.577456,0.373445,0.908798,-0.397979,-0.068734,0.104757,0.12785,1.613436,0.404679,0.903896,-0.417192,-0.053306,0.07799,0.160703,1.610385,0.387969,0.889359,-0.454296,-0.051533,0.000537,0.168467,1.550381,0.347222,0.863936,-0.499978,-0.037153,0.047492,0.179748,1.491279,0.331217,0.827383,-0.557707,-0.038674,0.05389,0.163484,1.588764,0.369407,0.906998,-0.417818,-0.035651,0.03888,0.158685,1.632058,0.402141,0.889359,-0.454296,-0.051533,0.000537,0.175463,1.505331,0.327366,0.827383,-0.557707,-0.038674,0.05389,0.199432,1.535565,0.395586,0.766458,0.611881,-0.181134,-0.073037,0.209177,1.534179,0.351195,0.969397,-0.219062,-0.081297,-0.075321,0.202207,1.492333,0.329955,0.827739,-0.524289,-0.035799,-0.196692,0.205199,1.54813,0.379635,0.931459,0.331533,-0.110662,-0.101119,0.190694,1.515188,0.400985,0.766458,0.611881,-0.181134,-0.073037,0.187711,1.593566,0.395093,0.968503,-0.233886,-0.072354,-0.045441,0.189324,1.54484,0.348431,0.89554,-0.444184,-0.01705,-0.020452,0.193706,1.493219,0.326917,0.827383,-0.557707,-0.038674,0.05389,0.188822,1.57711,0.372943,0.947915,-0.312325,-0.037666,-0.049919,0.185173,1.606653,0.416641,0.968503,-0.233886,-0.072354,-0.045441,0.166294,1.518901,0.401299,0.559221,0.163902,0.535915,0.610904,0.157997,1.484513,0.346707,0.514613,-0.185194,0.123021,0.828096,0.151911,1.497838,0.377156,0.605633,-0.047653,0.392442,0.690599,0.185964,1.531762,0.411419,0.559221,0.163902,0.535915,0.610904,56,0.18246,1.460281,0.30751,0.827383,-0.557707,-0.038674,0.05389,11,W,Static,Right
5,6,-0.053235,1.605025,0.013334,0.980806,0.181666,0.066273,0.025004,0.13151,1.595391,0.390418,0.90394,-0.417052,-0.052895,0.078502,0.146259,1.545907,0.351804,0.870735,-0.470248,-0.070716,0.125246,0.163072,1.489552,0.33593,0.827238,-0.557898,-0.038352,0.054375,0.136762,1.577487,0.373393,0.908814,-0.397882,-0.068321,0.105255,0.127963,1.61346,0.404642,0.90394,-0.417052,-0.052895,0.078502,0.160805,1.610432,0.387879,0.889442,-0.454178,-0.051143,0.000983,0.168551,1.550427,0.347131,0.863894,-0.500034,-0.036786,0.047957,0.179844,1.491322,0.331147,0.827238,-0.557898,-0.038352,0.054375,0.163576,1.588813,0.369314,0.907015,-0.417776,-0.03524,0.039314,0.158793,1.6321,0.402059,0.889442,-0.454178,-0.051143,0.000983,0.175547,1.505369,0.327293,0.827238,-0.557898,-0.038352,0.054375,0.199566,1.535619,0.395479,0.766754,0.61167,-0.180559,-0.073119,0.209273,1.534246,0.35107,0.969496,-0.218897,-0.080935,-0.074914,0.202298,1.492385,0.329861,0.827657,-0.524611,-0.035539,-0.196226,0.205309,1.548184,0.379519,0.931582,0.331411,-0.1101,-0.10099,0.190846,1.51524,0.400899,0.766754,0.61167,-0.180559,-0.073119,0.187825,1.593587,0.395017,0.968723,-0.233169,-0.071912,-0.04513,0.189411,1.544896,0.348321,0.895651,-0.443994,-0.016667,-0.020029,0.193794,1.493265,0.326831,0.827238,-0.557898,-0.038352,0.054375,0.188922,1.577155,0.372848,0.948115,-0.311827,-0.037238,-0.049554,0.185302,1.60664,0.416587,0.968723,-0.233169,-0.071912,-0.04513,0.166459,1.518965,0.401243,0.558797,0.163819,0.536132,0.611123,0.158114,1.484555,0.346666,0.514317,-0.18472,0.123478,0.828318,0.152066,1.497887,0.377119,0.605199,-0.047503,0.392802,0.690785,0.186123,1.531844,0.411353,0.558797,0.163819,0.536132,0.611123,66,0.182542,1.460312,0.307454,0.827238,-0.557898,-0.038352,0.054375,11,W,Static,Right
6,7,-0.052977,1.605154,0.013636,0.980801,0.181625,0.066641,0.024523,0.130927,1.595767,0.38948,0.903405,-0.418492,-0.055443,0.075167,0.145772,1.546154,0.351067,0.870332,-0.471549,-0.072955,0.121821,0.16249,1.489696,0.335461,0.826513,-0.559176,-0.040422,0.050632,0.136238,1.577806,0.372534,0.908328,-0.399387,-0.07089,0.102005,0.127343,1.613883,0.403635,0.903405,-0.418492,-0.055443,0.075167,0.160287,1.610707,0.387103,0.888733,-0.455258,-0.053744,-0.002459,0.168117,1.550576,0.346557,0.863273,-0.501257,-0.039128,0.044379,0.179306,1.491389,0.330804,0.826513,-0.559176,-0.040422,0.050632,0.163118,1.58903,0.368614,0.906413,-0.419147,-0.037924,0.035965,0.158248,1.632415,0.401219,0.888733,-0.455258,-0.053744,-0.002459,0.17509,1.505443,0.326882,0.826513,-0.559176,-0.040422,0.050632,0.198688,1.535692,0.395206,0.766738,0.610572,-0.184704,-0.072112,0.208743,1.534246,0.350852,0.969005,-0.218824,-0.084463,-0.077532,0.20177,1.492361,0.32969,0.826495,-0.524908,-0.037977,-0.19984,0.2046,1.548203,0.379266,0.931286,0.330671,-0.114387,-0.101382,0.189847,1.515362,0.400614,0.766738,0.610572,-0.184704,-0.072112,0.187184,1.593755,0.394518,0.968032,-0.234442,-0.075251,-0.047835,0.188945,1.544967,0.347923,0.895215,-0.444596,-0.019337,-0.023463,0.193294,1.493267,0.326592,0.826513,-0.559176,-0.040422,0.050632,0.188388,1.577264,0.372398,0.947477,-0.312883,-0.040357,-0.052566,0.184546,1.606876,0.416032,0.968032,-0.234442,-0.075251,-0.047835,0.165475,1.519145,0.400834,0.561966,0.161324,0.532705,0.611877,0.157432,1.484744,0.346171,0.516242,-0.187233,0.122309,0.826727,0.151238,1.49811,0.37658,0.60775,-0.049911,0.390151,0.689878,0.18505,1.531983,0.411165,0.561966,0.161324,0.532705,0.611877,78,0.182064,1.460311,0.307206,0.826513,-0.559176,-0.040422,0.050632,11,W,Static,Right
7,8,-0.052742,1.605165,0.013932,0.98089,0.180996,0.06709,0.024376,0.130386,1.59611,0.388618,0.902871,-0.419873,-0.057816,0.072028,0.145316,1.546377,0.350391,0.869957,-0.472735,-0.075034,0.118608,0.161944,1.489825,0.335031,0.825844,-0.560327,-0.042358,0.047138,0.13575,1.578096,0.371746,0.907854,-0.4008,-0.07328,0.098949,0.126769,1.614271,0.402706,0.902871,-0.419873,-0.057816,0.072028,0.159801,1.610959,0.386389,0.888031,-0.456302,-0.056184,-0.005669,0.16771,1.550708,0.346035,0.862681,-0.502385,-0.041323,0.041041,0.178799,1.491447,0.330492,0.825844,-0.560327,-0.042358,0.047138,0.162689,1.589226,0.367975,0.905811,-0.420466,-0.040439,0.03284,0.157738,1.632705,0.400443,0.888031,-0.456302,-0.056184,-0.005669,0.174662,1.505507,0.326508,0.825844,-0.560327,-0.042358,0.047138,0.197863,1.535749,0.394962,0.76669,0.609558,-0.188562,-0.071196,0.208244,1.53424,0.350661,0.968551,-0.218657,-0.087753,-0.079979,0.201273,1.492335,0.329539,0.825415,-0.525143,-0.040248,-0.20321,0.203933,1.548211,0.379043,0.930981,0.330009,-0.118373,-0.101762,0.18891,1.515464,0.400358,0.76669,0.609558,-0.188562,-0.071196,0.186583,1.593914,0.394056,0.967309,-0.235877,-0.078359,-0.050348,0.188507,1.545026,0.347565,0.894785,-0.445166,-0.021843,-0.026658,0.192822,1.493265,0.326377,0.825844,-0.560327,-0.042358,0.047138,0.187885,1.577359,0.37199,0.946806,-0.314038,-0.043267,-0.05537,0.183838,1.607111,0.415511,0.967309,-0.235877,-0.078359,-0.050348,0.164549,1.51929,0.400472,0.564862,0.158957,0.529278,0.612804,0.156793,1.484915,0.345716,0.518043,-0.189434,0.12109,0.825278,0.150467,1.4983,0.376089,0.610088,-0.052111,0.387482,0.689155,0.184032,1.53209,0.411021,0.564862,0.158957,0.529278,0.612804,88,0.181614,1.460307,0.306982,0.825844,-0.560327,-0.042358,0.047138,11,W,Static,Right
8,9,-0.05251,1.6051,0.014168,0.980972,0.180426,0.067591,0.023917,0.131086,1.596072,0.390006,0.903616,-0.418313,-0.055937,0.073239,0.145869,1.54646,0.351563,0.870842,-0.471042,-0.073306,0.119917,0.162407,1.489966,0.335895,0.827036,-0.558608,-0.040182,0.04852,0.136384,1.578104,0.373064,0.908498,-0.39939,-0.071438,0.100079,0.127524,1.614188,0.404166,0.903616,-0.418313,-0.055937,0.073239,0.16056,1.610911,0.387718,0.889211,-0.454305,-0.053757,-0.004633,0.168239,1.550805,0.347102,0.863708,-0.500701,-0.039022,0.042246,0.179239,1.491603,0.331272,0.827036,-0.558608,-0.040182,0.04852,0.163345,1.589244,0.36921,0.906681,-0.418737,-0.038014,0.033821,0.158575,1.632593,0.401881,0.889211,-0.454305,-0.053757,-0.004633,0.17508,1.505679,0.327364,0.827036,-0.558608,-0.040182,0.04852,0.198665,1.535701,0.395847,0.767134,0.609419,-0.186326,-0.073472,0.208796,1.534315,0.351446,0.969196,-0.217024,-0.084912,-0.079684,0.201705,1.492492,0.3302,0.826519,-0.524102,-0.037592,-0.201918,0.204645,1.548178,0.379904,0.931122,0.33019,-0.115546,-0.103128,0.189732,1.515421,0.401291,0.767134,0.609419,-0.186326,-0.073472,0.18739,1.593766,0.395239,0.96837,-0.232455,-0.075628,-0.050051,0.189044,1.545115,0.348498,0.895825,-0.443249,-0.019232,-0.02564,0.193237,1.493435,0.327087,0.827036,-0.558608,-0.040182,0.04852,0.188569,1.57734,0.37307,0.947825,-0.311428,-0.040515,-0.054758,0.184759,1.606805,0.416804,0.96837,-0.232455,-0.075628,-0.050051,0.165354,1.51909,0.401523,0.562877,0.161548,0.528539,0.614588,0.157315,1.485016,0.34659,0.518173,-0.185333,0.120474,0.826217,0.151186,1.498232,0.377077,0.608976,-0.048925,0.386741,0.690787,0.18486,1.531852,0.412078,0.562877,0.161548,0.528539,0.614588,100,0.18192,1.460554,0.307626,0.827036,-0.558608,-0.040182,0.04852,11,W,Static,Right
9,10,-0.052262,1.605219,0.014384,0.980979,0.180253,0.068227,0.023102,0.130264,1.596228,0.389512,0.903321,-0.41848,-0.058417,0.073982,0.145369,1.546648,0.351152,0.870392,-0.471331,-0.075804,0.120499,0.16215,1.490191,0.335609,0.826605,-0.559044,-0.042666,0.048716,0.13569,1.578268,0.372602,0.908065,-0.399731,-0.0739,0.10086,0.126583,1.614335,0.403653,0.903321,-0.41848,-0.058417,0.073982,0.159713,1.611203,0.387265,0.888879,-0.454654,-0.05628,-0.004139,0.167743,1.551058,0.346776,0.863172,-0.501394,-0.041513,0.042605,0.178995,1.491877,0.33105,0.826605,-0.559044,-0.042666,0.048716,0.16264,1.589516,0.368804,0.906211,-0.419476,-0.040472,0.03441,0.157603,1.632893,0.401398,0.888879,-0.454654,-0.05628,-0.004139,0.174801,1.505935,0.32711,0.826605,-0.559044,-0.042666,0.048716,0.198017,1.536079,0.395675,0.767404,0.609214,-0.186858,-0.070944,0.208332,1.534698,0.351296,0.969139,-0.216766,-0.087299,-0.078489,0.201456,1.492833,0.330064,0.826499,-0.524045,-0.040145,-0.201654,0.204017,1.54855,0.379736,0.931327,0.329831,-0.116862,-0.100916,0.189127,1.51578,0.40112,0.767404,0.609214,-0.186858,-0.070944,0.186568,1.5941,0.394968,0.968371,-0.231905,-0.077964,-0.048989,0.188559,1.545434,0.348259,0.895659,-0.443501,-0.021696,-0.025128,0.192998,1.493747,0.326917,0.826605,-0.559044,-0.042666,0.048716,0.187887,1.577675,0.372805,0.94781,-0.311305,-0.042909,-0.053891,0.183807,1.607116,0.416531,0.968371,-0.231905,-0.077964,-0.048989,0.164755,1.519327,0.401287,0.562794,0.15896,0.527041,0.616622,0.157037,1.485236,0.346292,0.51706,-0.186608,0.119387,0.826785,0.150783,1.498427,0.376764,0.608425,-0.051077,0.385039,0.692066,0.184143,1.532167,0.411962,0.562794,0.15896,0.527041,0.616622,112,0.18186,1.460811,0.307443,0.826605,-0.559044,-0.042666,0.048716,11,W,Static,Right
10,11,-0.052016,1.605376,0.014562,0.980985,0.179942,0.069189,0.02239,0.129487,1.596364,0.38905,0.903108,-0.4185,-0.060742,0.074592,0.144888,1.546824,0.350756,0.870025,-0.471507,-0.078152,0.120953,0.161896,1.490402,0.335335,0.826194,-0.559458,-0.045043,0.04881,0.135032,1.578418,0.372165,0.907721,-0.399914,-0.076215,0.101502,0.125698,1.614459,0.403179,0.903108,-0.4185,-0.060742,0.074592,0.158905,1.611482,0.386821,0.888513,-0.455064,-0.058717,-0.003757,0.167266,1.551294,0.346464,0.862623,-0.502112,-0.043911,0.042854,0.178753,1.492131,0.330838,0.826194,-0.559458,-0.045043,0.04881,0.161967,1.589772,0.368409,0.905724,-0.420253,-0.042848,0.034882,0.156676,1.633182,0.400921,0.888513,-0.455064,-0.058717,-0.003757,0.174529,1.506172,0.326867,0.826194,-0.559458,-0.045043,0.04881,0.197384,1.536419,0.395511,0.767501,0.609191,-0.187448,-0.068503,0.207884,1.535053,0.351157,0.969086,-0.216441,-0.089642,-0.077401,0.201208,1.493148,0.329937,0.826461,-0.523974,-0.042587,-0.201493,0.203407,1.548889,0.379579,0.931453,0.329636,-0.118204,-0.098809,0.188535,1.516099,0.400945,0.767501,0.609191,-0.187448,-0.068503,0.185779,1.594416,0.394702,0.968324,-0.231521,-0.080239,-0.048037,0.188093,1.54573,0.348033,0.895469,-0.443784,-0.024082,-0.024717,0.19276,1.494035,0.326756,0.826194,-0.559458,-0.045043,0.04881,0.187234,1.577989,0.37255,0.947753,-0.311281,-0.045237,-0.053133,0.182894,1.607416,0.416258,0.968324,-0.231521,-0.080239,-0.048037,0.164175,1.519548,0.401061,0.562771,0.156476,0.525553,0.618546,0.156762,1.485443,0.346006,0.51606,-0.187829,0.118371,0.827279,0.15039,1.498611,0.376464,0.607951,-0.053131,0.383399,0.693237,0.18345,1.532461,0.411853,0.562771,0.156476,0.525553,0.618546,123,0.181791,1.461051,0.30727,0.826194,-0.559458,-0.045043,0.04881,11,W,Static,Right
