,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.019317,1.655002,0.088077,0.959456,0.280214,0.029576,0.007084,0.013271,1.345931,0.512215,-0.606322,-0.784518,0.12755,-0.025225,0.029967,1.409085,0.506842,-0.787012,-0.59124,0.175982,0.008829,0.063669,1.417522,0.453801,-0.950456,-0.158333,0.223289,0.14733,0.018236,1.371231,0.516593,-0.64516,-0.747693,0.157003,-0.008526,0.010554,1.322573,0.506979,-0.606322,-0.784518,0.12755,-0.025225,0.027377,1.334845,0.522206,-0.634779,-0.757338,0.140844,0.060483,0.051343,1.405591,0.517278,-0.769459,-0.611359,0.176095,0.056243,0.08038,1.414849,0.459585,-0.950456,-0.158333,0.223289,0.14733,0.035648,1.363048,0.526076,-0.658442,-0.731525,0.173609,0.034436,0.020262,1.309188,0.518415,-0.634779,-0.757338,0.140844,0.060483,0.076668,1.418609,0.474382,-0.950456,-0.158333,0.223289,0.14733,0.070998,1.335009,0.518429,-0.70524,-0.663771,0.080836,0.235607,0.091742,1.385328,0.511592,-0.729627,-0.645705,0.09734,0.203063,0.103804,1.405134,0.468289,-0.918016,-0.237583,0.052681,0.31309,0.078378,1.355487,0.516458,-0.709732,-0.672967,0.045027,0.203394,0.060992,1.313949,0.522251,-0.70524,-0.663771,0.080836,0.235607,0.046891,1.330833,0.522481,-0.603485,-0.770525,0.157577,0.131402,0.071664,1.396219,0.517146,-0.756287,-0.62905,0.145126,0.106133,0.096833,1.411299,0.467019,-0.950456,-0.158333,0.223289,0.14733,0.05685,1.357586,0.524132,-0.676369,-0.714788,0.133926,0.116905,0.03672,1.307078,0.517953,-0.603485,-0.770525,0.157577,0.131402,0.008345,1.382179,0.486838,-0.687347,-0.215106,0.322048,-0.614466,0.054155,1.412435,0.445974,-0.710718,0.117328,0.527122,-0.450839,0.02424,1.401641,0.460554,-0.77164,-0.108863,0.356005,-0.515734,0.002566,1.36456,0.505761,-0.687347,-0.215106,0.322048,-0.614466,11,0.101994,1.431626,0.431486,-0.950456,-0.158333,0.223289,0.14733,26,M,Static,Right
1,2,-0.019331,1.655184,0.088263,0.959617,0.279595,0.030275,0.006712,0.014129,1.344683,0.512542,-0.603789,-0.786988,0.124118,-0.026151,0.030362,1.407973,0.507487,-0.785763,-0.593823,0.17291,0.007298,0.063858,1.416577,0.454347,-0.951177,-0.158777,0.221353,0.145104,0.018919,1.36999,0.517076,-0.642832,-0.750387,0.153607,-0.009539,0.01157,1.321341,0.507159,-0.603789,-0.786988,0.124118,-0.026151,0.028267,1.333693,0.522656,-0.633407,-0.759149,0.137544,0.059755,0.051789,1.40459,0.517855,-0.769171,-0.612697,0.173039,0.055093,0.080603,1.413997,0.46008,-0.951177,-0.158777,0.221353,0.145104,0.036375,1.361933,0.5266,-0.65753,-0.73313,0.170409,0.033701,0.021303,1.30801,0.518765,-0.633407,-0.759149,0.137544,0.059755,0.07691,1.417748,0.474882,-0.951177,-0.158777,0.221353,0.145104,0.071891,1.33409,0.518995,-0.706722,-0.662886,0.076883,0.234977,0.092277,1.384539,0.512037,-0.730277,-0.645752,0.093539,0.202363,0.104097,1.404417,0.468699,-0.918895,-0.237313,0.050572,0.311058,0.079121,1.354613,0.516946,-0.711149,-0.671904,0.040961,0.202816,0.062047,1.312969,0.522902,-0.706722,-0.662886,0.076883,0.234977,0.047778,1.329787,0.523016,-0.603718,-0.771065,0.154209,0.131159,0.072159,1.395325,0.517657,-0.756353,-0.629862,0.141927,0.10517,0.097089,1.410545,0.467453,-0.951177,-0.158777,0.221353,0.145104,0.057591,1.356596,0.524634,-0.676886,-0.715009,0.130541,0.116392,0.037727,1.305979,0.518499,-0.603718,-0.771065,0.154209,0.131159,0.008915,1.380828,0.487573,-0.685692,-0.216983,0.32044,-0.616492,0.054353,1.411421,0.446555,-0.709943,0.114706,0.526379,-0.453595,0.024564,1.400413,0.461233,-0.77031,-0.111203,0.35419,-0.518465,0.003303,1.36317,0.50651,-0.685692,-0.216983,0.32044,-0.616492,23,0.102031,1.430906,0.431908,-0.951177,-0.158777,0.221353,0.145104,26,M,Static,Right
2,3,-0.019364,1.655304,0.08843,0.959743,0.279112,0.030815,0.006427,0.013642,1.347799,0.513096,-0.608962,-0.782679,0.12734,-0.019058,0.030772,1.410785,0.50721,-0.789544,-0.588288,0.174135,0.014616,0.064034,1.418692,0.453819,-0.951286,-0.154645,0.219635,0.151327,0.018848,1.37308,0.517299,-0.647799,-0.745562,0.156486,-0.002475,0.01069,1.324438,0.508002,-0.608962,-0.782679,0.12734,-0.019058,0.027756,1.336648,0.522919,-0.635924,-0.755899,0.140868,0.066134,0.05222,1.407169,0.517456,-0.771666,-0.608379,0.174856,0.061902,0.080782,1.415924,0.459458,-0.951286,-0.154645,0.219635,0.151327,0.036276,1.364799,0.526629,-0.66016,-0.72974,0.173392,0.040049,0.020416,1.311038,0.519243,-0.635924,-0.755899,0.140868,0.066134,0.07723,1.419799,0.474259,-0.951286,-0.154645,0.219635,0.151327,0.071286,1.336469,0.518779,-0.705943,-0.660891,0.081436,0.241322,0.092403,1.386564,0.51147,-0.73136,-0.641913,0.097457,0.208717,0.104199,1.406085,0.467964,-0.917547,-0.233833,0.049864,0.317716,0.078833,1.35687,0.516657,-0.710463,-0.670359,0.045577,0.209246,0.061123,1.315516,0.522775,-0.705943,-0.660891,0.081436,0.241322,0.047181,1.3325,0.522971,-0.604165,-0.76883,0.158821,0.136609,0.072465,1.397637,0.517169,-0.758085,-0.625971,0.144923,0.111646,0.097265,1.412299,0.466735,-0.951286,-0.154645,0.219635,0.151327,0.05738,1.35917,0.524484,-0.677197,-0.712972,0.134621,0.12228,0.036775,1.308824,0.518559,-0.604165,-0.76883,0.158821,0.136609,0.008853,1.383842,0.48762,-0.691509,-0.214875,0.317941,-0.612012,0.054416,1.413613,0.446117,-0.714423,0.11829,0.521816,-0.450906,0.024599,1.403062,0.46107,-0.775276,-0.108255,0.351026,-0.513818,0.003126,1.366367,0.506693,-0.691509,-0.214875,0.317941,-0.612012,34,0.10224,1.432429,0.431063,-0.951286,-0.154645,0.219635,0.151327,26,M,Static,Right
3,4,-0.019332,1.655413,0.088594,0.959676,0.279296,0.031202,0.006525,0.013266,1.346231,0.513901,-0.606972,-0.784438,0.125859,-0.020046,0.030154,1.409297,0.50825,-0.788587,-0.589948,0.172946,0.013489,0.063385,1.41745,0.454875,-0.951354,-0.156176,0.219157,0.150015,0.018373,1.371514,0.518212,-0.646193,-0.747251,0.155043,-0.003428,0.01041,1.322883,0.508691,-0.606972,-0.784438,0.125859,-0.020046,0.027396,1.335107,0.523795,-0.635509,-0.756592,0.139343,0.065429,0.051615,1.405728,0.518485,-0.771049,-0.609632,0.173563,0.060903,0.080142,1.414723,0.460505,-0.951354,-0.156176,0.219157,0.150015,0.035822,1.363279,0.527559,-0.659523,-0.730702,0.171929,0.039307,0.020138,1.309479,0.520086,-0.635509,-0.756592,0.139343,0.065429,0.076579,1.418548,0.475318,-0.951354,-0.156176,0.219157,0.150015,0.070905,1.335084,0.519571,-0.70539,-0.662053,0.080049,0.240215,0.091866,1.385271,0.512446,-0.730507,-0.64343,0.09624,0.207596,0.103594,1.404939,0.468988,-0.91779,-0.235032,0.04905,0.316254,0.078387,1.355517,0.517519,-0.709679,-0.671645,0.044282,0.208059,0.060811,1.314087,0.523506,-0.70539,-0.662053,0.080049,0.240215,0.046838,1.331017,0.523765,-0.603306,-0.769972,0.157208,0.135837,0.071892,1.396264,0.518174,-0.757201,-0.627534,0.143628,0.110546,0.096638,1.411132,0.467774,-0.951354,-0.156176,0.219157,0.150015,0.056943,1.357719,0.525355,-0.67636,-0.714208,0.133126,0.121334,0.036515,1.307318,0.519286,-0.603306,-0.769972,0.157208,0.135837,0.008314,1.382341,0.488586,-0.690247,-0.216372,0.318314,-0.612715,0.053782,1.412362,0.44716,-0.713871,0.116581,0.522592,-0.451326,0.023996,1.401682,0.462085,-0.774325,-0.109855,0.351487,-0.514597,0.002649,1.364798,0.507614,-0.690247,-0.216372,0.318314,-0.612715,47,0.101543,1.431367,0.432152,-0.951354,-0.156176,0.219157,0.150015,26,M,Static,Right
4,5,-0.019304,1.655442,0.088757,0.959574,0.279637,0.031128,0.007206,0.013205,1.34764,0.512509,-0.60615,-0.784242,0.131148,-0.018637,0.030747,1.410545,0.507049,-0.787577,-0.589833,0.177639,0.016264,0.064279,1.418623,0.453849,-0.949867,-0.157421,0.221632,0.154437,0.018544,1.372864,0.516888,-0.645191,-0.747031,0.160218,-0.001725,0.010137,1.324331,0.507248,-0.60615,-0.784242,0.131148,-0.018637,0.027218,1.336336,0.522305,-0.633728,-0.757021,0.144364,0.066841,0.052129,1.40674,0.517362,-0.769299,-0.610246,0.178218,0.06338,0.080984,1.415716,0.459538,-0.949867,-0.157421,0.221632,0.154437,0.03589,1.364413,0.526216,-0.657541,-0.731205,0.176933,0.040925,0.019735,1.310788,0.518484,-0.633728,-0.757021,0.144364,0.066841,0.077397,1.419505,0.474357,-0.949867,-0.157421,0.221632,0.154437,0.07068,1.335952,0.518178,-0.701834,-0.664525,0.085523,0.241912,0.092219,1.385942,0.511416,-0.72812,-0.644712,0.101549,0.209466,0.104314,1.405676,0.468088,-0.915759,-0.237344,0.051478,0.320006,0.078402,1.356313,0.51631,-0.706252,-0.674366,0.049974,0.209622,0.060329,1.315044,0.521917,-0.701834,-0.664525,0.085523,0.241912,0.046617,1.332072,0.522246,-0.600191,-0.771168,0.162282,0.136879,0.072321,1.397093,0.517101,-0.755091,-0.628561,0.148431,0.112767,0.097421,1.411938,0.46687,-0.949867,-0.157421,0.221632,0.154437,0.056966,1.358666,0.524057,-0.673246,-0.715931,0.138231,0.122778,0.036095,1.308496,0.517583,-0.600191,-0.771168,0.162282,0.136879,0.008668,1.383985,0.487175,-0.692454,-0.214714,0.322094,-0.608819,0.054659,1.413667,0.446067,-0.715403,0.118881,0.52436,-0.44622,0.024699,1.403246,0.460825,-0.776171,-0.10807,0.354975,-0.509777,0.002735,1.366431,0.506111,-0.692454,-0.214714,0.322094,-0.608819,63,0.102665,1.432269,0.431351,-0.949867,-0.157421,0.221632,0.154437,26,M,Static,Right
5,6,-0.019303,1.655476,0.089071,0.959607,0.279477,0.031444,0.007618,0.013419,1.346645,0.513333,-0.605856,-0.784749,0.129941,-0.014938,0.03109,1.409497,0.507773,-0.788204,-0.589545,0.175458,0.019647,0.064206,1.417473,0.454293,-0.950571,-0.156278,0.218026,0.156387,0.018856,1.371849,0.517702,-0.64534,-0.747203,0.158808,0.001965,0.010256,1.323354,0.508048,-0.605856,-0.784749,0.129941,-0.014938,0.02747,1.335306,0.523071,-0.633742,-0.756929,0.142961,0.070657,0.052544,1.405634,0.517913,-0.770025,-0.609581,0.176061,0.066892,0.080948,1.414515,0.459846,-0.950571,-0.156278,0.218026,0.156387,0.036253,1.363358,0.526913,-0.658186,-0.730771,0.175401,0.044724,0.019889,1.309784,0.519278,-0.633742,-0.756929,0.142961,0.070657,0.077498,1.418309,0.474698,-0.950571,-0.156278,0.218026,0.156387,0.070918,1.334788,0.518628,-0.701694,-0.66357,0.083542,0.245603,0.092525,1.38472,0.51165,-0.72837,-0.643568,0.099307,0.213154,0.104324,1.404402,0.468217,-0.915551,-0.235777,0.048161,0.322266,0.078673,1.355128,0.516671,-0.706548,-0.673021,0.047795,0.213422,0.06054,1.313907,0.522442,-0.701694,-0.66357,0.083542,0.245603,0.046881,1.330977,0.522945,-0.60107,-0.770074,0.160631,0.141061,0.072705,1.39593,0.517492,-0.755832,-0.627583,0.145893,0.116505,0.097439,1.410682,0.467052,-0.950571,-0.156278,0.218026,0.156387,0.057315,1.357548,0.524613,-0.674345,-0.714588,0.136116,0.12687,0.036257,1.307425,0.518399,-0.60107,-0.770074,0.160631,0.141061,0.008685,1.382988,0.487977,-0.694378,-0.216452,0.320333,-0.606939,0.054505,1.412557,0.446588,-0.717847,0.117876,0.521952,-0.445385,0.024614,1.402212,0.461538,-0.7781,-0.109315,0.352874,-0.508027,0.002823,1.36544,0.50694,-0.694378,-0.216452,0.320333,-0.606939,79,0.102452,1.430985,0.431483,-0.950571,-0.156278,0.218026,0.156387,26,M,Static,Right
6,7,-0.019295,1.655492,0.089255,0.959601,0.279473,0.031629,0.007771,0.013544,1.346136,0.513708,-0.605402,-0.785241,0.129263,-0.013268,0.031257,1.40897,0.508135,-0.788351,-0.589629,0.174335,0.021176,0.064171,1.416903,0.454523,-0.950915,-0.155742,0.216279,0.157255,0.01902,1.37133,0.518089,-0.64516,-0.747516,0.158034,0.003644,0.010345,1.322856,0.508393,-0.605402,-0.785241,0.129263,-0.013268,0.02761,1.334785,0.523445,-0.63358,-0.757042,0.142184,0.072444,0.052746,1.405083,0.518193,-0.770334,-0.609334,0.174932,0.068527,0.08093,1.413923,0.46001,-0.950915,-0.155742,0.216279,0.157255,0.036439,1.362827,0.527256,-0.65845,-0.730621,0.174564,0.046514,0.019987,1.309275,0.519654,-0.63358,-0.757042,0.142184,0.072444,0.077547,1.417719,0.474878,-0.950915,-0.155742,0.216279,0.157255,0.071066,1.334204,0.518876,-0.701788,-0.662975,0.082246,0.247374,0.092676,1.384118,0.511777,-0.728497,-0.643049,0.097908,0.214929,0.10433,1.403777,0.468294,-0.915469,-0.235025,0.046548,0.323285,0.078823,1.354538,0.516861,-0.706938,-0.672125,0.046354,0.215263,0.060688,1.313332,0.522737,-0.701788,-0.662975,0.082246,0.247374,0.047031,1.330426,0.523321,-0.601648,-0.769451,0.159629,0.143123,0.072894,1.395354,0.517694,-0.75622,-0.627109,0.144471,0.118293,0.097448,1.410066,0.467155,-0.950915,-0.155742,0.216279,0.157255,0.057499,1.356989,0.5249,-0.67511,-0.713741,0.134865,0.128887,0.036363,1.306881,0.518841,-0.601648,-0.769451,0.159629,0.143123,0.008702,1.382462,0.488365,-0.695114,-0.21734,0.319572,-0.60618,0.054432,1.412004,0.446854,-0.718876,0.117274,0.520929,-0.445082,0.024577,1.40168,0.46189,-0.77886,-0.110034,0.351936,-0.507357,0.002877,1.364911,0.507337,-0.695114,-0.21734,0.319572,-0.60618,88,0.102347,1.430355,0.431563,-0.950915,-0.155742,0.216279,0.157255,26,M,Static,Right
7,8,-0.01928,1.655463,0.089495,0.959706,0.279116,0.031615,0.00765,0.013834,1.347854,0.513092,-0.608465,-0.782749,0.130079,-0.012431,0.031727,1.410597,0.507047,-0.790473,-0.586582,0.174905,0.021978,0.064649,1.418279,0.453403,-0.951058,-0.153866,0.216623,0.157757,0.01939,1.373064,0.517277,-0.648053,-0.744835,0.158836,0.00441,0.010559,1.324545,0.507958,-0.608465,-0.782749,0.130079,-0.012431,0.027891,1.336499,0.522807,-0.636697,-0.754152,0.143263,0.073125,0.053211,1.406706,0.517115,-0.77196,-0.606959,0.175809,0.069063,0.081403,1.415289,0.458899,-0.951058,-0.153866,0.216623,0.157757,0.0368,1.364542,0.526417,-0.660974,-0.728077,0.175508,0.04705,0.020192,1.31098,0.519235,-0.636697,-0.754152,0.143263,0.073125,0.078028,1.419145,0.473752,-0.951058,-0.153866,0.216623,0.157757,0.071347,1.335825,0.518066,-0.702802,-0.66151,0.084123,0.247785,0.093102,1.385646,0.510767,-0.729777,-0.641198,0.099648,0.215318,0.104784,1.405131,0.467214,-0.915587,-0.233354,0.047259,0.324058,0.079166,1.356128,0.515985,-0.707847,-0.670885,0.048251,0.215727,0.060905,1.314999,0.522003,-0.702802,-0.66151,0.084123,0.247785,0.047317,1.332109,0.522599,-0.603562,-0.767615,0.16103,0.143348,0.073341,1.396939,0.516648,-0.757791,-0.624847,0.145645,0.118769,0.097914,1.411429,0.466053,-0.951058,-0.153866,0.216623,0.157757,0.05785,1.358652,0.524063,-0.676539,-0.712067,0.136227,0.129219,0.036592,1.308566,0.518246,-0.603562,-0.767615,0.16103,0.143348,0.009132,1.384015,0.487354,-0.695734,-0.21625,0.318526,-0.60641,0.0549,1.413369,0.445754,-0.718905,0.118804,0.520188,-0.445494,0.02503,1.40313,0.460818,-0.779304,-0.108559,0.351197,-0.507505,0.003304,1.366529,0.506385,-0.695734,-0.21625,0.318526,-0.60641,103,0.102844,1.431584,0.43039,-0.951058,-0.153866,0.216623,0.157757,26,M,Static,Right
8,9,-0.019309,1.65534,0.089737,0.959724,0.279106,0.031247,0.007276,0.013066,1.346364,0.512497,-0.60759,-0.783523,0.12901,-0.016825,0.030526,1.409258,0.506705,-0.78925,-0.588324,0.175087,0.017434,0.063732,1.417318,0.453295,-0.950745,-0.15644,0.21885,0.154,0.01841,1.371606,0.516763,-0.646873,-0.746049,0.158008,-4.8e-05,0.009989,1.323038,0.507318,-0.60759,-0.783523,0.12901,-0.016825,0.027124,1.335094,0.522321,-0.636696,-0.754715,0.14246,0.068764,0.051975,1.4055,0.516899,-0.770958,-0.608682,0.175982,0.064493,0.080474,1.414442,0.45889,-0.950745,-0.15644,0.21885,0.154,0.035814,1.363196,0.526002,-0.660383,-0.729037,0.174873,0.042646,0.019622,1.309521,0.518718,-0.636696,-0.754715,0.14246,0.068764,0.076971,1.41824,0.473728,-0.950745,-0.15644,0.21885,0.154,0.070613,1.334764,0.517787,-0.702815,-0.66327,0.083858,0.24309,0.092061,1.384756,0.510748,-0.729424,-0.643159,0.099642,0.210615,0.103873,1.404444,0.467322,-0.916326,-0.235773,0.048857,0.319954,0.0783,1.355127,0.515801,-0.707783,-0.672489,0.048025,0.210941,0.060297,1.313855,0.521617,-0.702815,-0.66327,0.083858,0.24309,0.046597,1.33085,0.522193,-0.603316,-0.768853,0.159898,0.138951,0.072179,1.395885,0.516534,-0.757026,-0.626639,0.145622,0.114148,0.096963,1.410693,0.466135,-0.950745,-0.15644,0.21885,0.154,0.056924,1.357468,0.523761,-0.676052,-0.713468,0.135564,0.124659,0.036071,1.307232,0.51776,-0.603316,-0.768853,0.159898,0.138951,0.008291,1.382463,0.486784,-0.691712,-0.216269,0.321037,-0.60967,0.054072,1.412344,0.445574,-0.715318,0.116923,0.523742,-0.447598,0.024196,1.401793,0.46041,-0.775689,-0.109491,0.354058,-0.510844,0.002467,1.364876,0.505724,-0.691712,-0.216269,0.321037,-0.60967,118,0.101968,1.43098,0.430556,-0.950745,-0.15644,0.21885,0.154,26,M,Static,Right
9,10,-0.01938,1.655117,0.090092,0.959672,0.279322,0.030936,0.007156,0.011773,1.343529,0.511385,-0.605544,-0.78528,0.126651,-0.024727,0.028385,1.406713,0.506169,-0.786372,-0.592379,0.174994,0.009116,0.06207,1.415455,0.453176,-0.950182,-0.161057,0.22262,0.147159,0.016712,1.368821,0.515839,-0.644032,-0.748866,0.156065,-0.008111,0.009071,1.32018,0.506101,-0.605544,-0.78528,0.126651,-0.024727,0.025803,1.332426,0.521495,-0.636699,-0.755709,0.140687,0.061043,0.04977,1.4032,0.51658,-0.768884,-0.612123,0.175945,0.05627,0.07879,1.412791,0.458945,-0.950182,-0.161057,0.22262,0.147159,0.03409,1.360634,0.525297,-0.659293,-0.730791,0.173388,0.034841,0.018663,1.306757,0.51784,-0.636699,-0.755709,0.140687,0.061043,0.075061,1.41649,0.473748,-0.950182,-0.161057,0.22262,0.147159,0.069352,1.332728,0.517364,-0.703134,-0.666076,0.082771,0.234724,0.090202,1.383034,0.510774,-0.728603,-0.646848,0.099109,0.202247,0.102217,1.403094,0.467574,-0.917642,-0.240053,0.051504,0.312498,0.076778,1.353201,0.515518,-0.707985,-0.67496,0.046973,0.202434,0.059285,1.311669,0.521028,-0.703134,-0.666076,0.082771,0.234724,0.045365,1.328448,0.521539,-0.60326,-0.770771,0.157331,0.131292,0.070107,1.393862,0.516392,-0.755403,-0.630161,0.145086,0.105894,0.095236,1.409254,0.46634,-0.950182,-0.161057,0.22262,0.147159,0.055309,1.355202,0.523261,-0.675488,-0.715684,0.133803,0.11666,0.035207,1.30469,0.516995,-0.60326,-0.770771,0.157331,0.131292,0.00684,1.379464,0.485851,-0.684137,-0.21612,0.325712,-0.61576,0.052575,1.410356,0.445334,-0.70855,0.113078,0.530069,-0.451882,0.022719,1.399202,0.459765,-0.768803,-0.111454,0.35901,-0.517332,0.001024,1.361695,0.504623,-0.684137,-0.21612,0.325712,-0.61576,134,0.100352,1.42978,0.430915,-0.950182,-0.161057,0.22262,0.147159,26,M,Static,Right
10,11,-0.019419,1.654902,0.09023,0.959387,0.280415,0.029883,0.007199,0.011441,1.345946,0.511933,-0.608664,-0.782601,0.129081,-0.020064,0.028667,1.408934,0.506255,-0.788379,-0.589275,0.17612,0.013971,0.062208,1.417223,0.453101,-0.950184,-0.158501,0.221529,0.151503,0.016662,1.371215,0.516192,-0.646959,-0.745912,0.158266,-0.003451,0.008473,1.32259,0.506823,-0.608664,-0.782601,0.129081,-0.020064,0.025436,1.334734,0.521963,-0.638968,-0.752972,0.14299,0.065626,0.050063,1.405254,0.516586,-0.770386,-0.609405,0.177249,0.060947,0.078929,1.414426,0.458808,-0.950184,-0.158501,0.221529,0.151503,0.034017,1.36288,0.525566,-0.661578,-0.728001,0.175439,0.03937,0.018027,1.309115,0.518495,-0.638968,-0.752972,0.14299,0.065626,0.075291,1.418204,0.473612,-0.950184,-0.158501,0.221529,0.151503,0.069015,1.334625,0.517586,-0.703247,-0.664079,0.08481,0.239271,0.090286,1.384709,0.510661,-0.729629,-0.643988,0.100727,0.206824,0.1023,1.404547,0.467359,-0.916639,-0.237962,0.051057,0.317082,0.076621,1.355021,0.515629,-0.70843,-0.672934,0.048904,0.207112,0.058766,1.313673,0.521358,-0.703247,-0.664079,0.08481,0.239271,0.044967,1.330594,0.521968,-0.604884,-0.768202,0.160057,0.13551,0.070314,1.395733,0.516336,-0.757103,-0.626938,0.146658,0.110613,0.095368,1.410767,0.466138,-0.950184,-0.158501,0.221529,0.151503,0.055176,1.357259,0.523507,-0.67706,-0.713019,0.136056,0.121176,0.034559,1.306914,0.517587,-0.604884,-0.768202,0.160057,0.13551,0.006808,1.381808,0.486133,-0.6879,-0.214874,0.324264,-0.612761,0.052638,1.412179,0.445316,-0.711507,0.115323,0.527254,-0.449958,0.022757,1.40132,0.459919,-0.772035,-0.109677,0.357113,-0.514202,0.000914,1.364151,0.504985,-0.6879,-0.214874,0.324264,-0.612761,152,0.10052,1.431155,0.430638,-0.950184,-0.158501,0.221529,0.151503,26,M,Static,Right
