,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.035981,1.484187,-0.028295,0.998668,-0.003003,0.047047,0.020952,0.03773,1.39888,0.346184,-0.336103,-0.940399,-0.01025,-0.050791,0.042259,1.421829,0.306188,-0.997444,0.027888,0.059066,-0.028958,0.056404,1.366568,0.283525,-0.842389,0.524979,0.119068,0.024516,0.037595,1.423868,0.344902,-0.72385,-0.687863,0.034993,-0.040754,0.040375,1.38355,0.329176,-0.336103,-0.940399,-0.01025,-0.050791,0.05531,1.40052,0.351578,-0.355368,-0.93408,0.028654,0.019685,0.064944,1.425589,0.306805,-0.995743,0.032432,0.077343,0.038226,0.073324,1.366888,0.284591,-0.842389,0.524979,0.119068,0.024516,0.058246,1.428705,0.350377,-0.721741,-0.686507,0.086856,-0.015913,0.054112,1.382591,0.333161,-0.355368,-0.93408,0.028654,0.019685,0.074633,1.382415,0.285155,-0.842389,0.524979,0.119068,0.024516,0.120109,1.441628,0.353147,-0.893936,0.327767,0.000828,0.30569,0.102977,1.407352,0.317776,-0.857325,0.440207,-0.068882,0.257812,0.099553,1.368114,0.292135,-0.836715,0.464684,0.106178,0.269634,0.113891,1.430101,0.336846,-0.886586,0.328448,-0.048372,0.3221,0.125077,1.455753,0.370083,-0.893936,0.327767,0.000828,0.30569,0.070714,1.40283,0.357509,-0.433066,-0.881473,0.184364,0.038335,0.084687,1.419034,0.311873,-0.98509,0.100191,0.070263,0.120925,0.092011,1.369636,0.287494,-0.842389,0.524979,0.119068,0.024516,0.080102,1.427641,0.350818,-0.784756,-0.593963,0.157864,0.08028,0.064786,1.383047,0.343244,-0.433066,-0.881473,0.184364,0.038335,-0.003697,1.403469,0.30696,-0.494143,0.625064,0.094086,-0.596881,0.045311,1.360861,0.286471,-0.549439,0.575,0.051132,-0.604051,0.020178,1.379943,0.297635,-0.606812,0.602604,0.053465,-0.515547,-0.025255,1.41623,0.310823,-0.494143,0.625064,0.094086,-0.596881,11,0.084322,1.339241,0.263506,-0.842389,0.524979,0.119068,0.024516,13,Y,Static,Right
1,2,-0.035733,1.484629,-0.02778,0.998654,-0.004179,0.047333,0.020778,0.037131,1.398927,0.346469,-0.337241,-0.940003,-0.011711,-0.05026,0.041531,1.421801,0.306406,-0.997436,0.028852,0.058109,-0.030209,0.055787,1.366581,0.283713,-0.842556,0.524809,0.118971,0.022817,0.036937,1.423911,0.345124,-0.724703,-0.687028,0.03346,-0.040966,0.039779,1.383559,0.329496,-0.337241,-0.940003,-0.011711,-0.05026,0.054731,1.400567,0.351789,-0.355625,-0.934022,0.027009,0.020114,0.064207,1.425624,0.306978,-0.995858,0.032787,0.07641,0.036795,0.072708,1.366948,0.284745,-0.842556,0.524809,0.118971,0.022817,0.057587,1.428759,0.350561,-0.722064,-0.686369,0.085187,-0.016259,0.053547,1.382627,0.333382,-0.355625,-0.934022,0.027009,0.020114,0.073974,1.382479,0.285307,-0.842556,0.524809,0.118971,0.022817,0.119489,1.441802,0.353201,-0.893925,0.329109,-0.000564,0.304278,0.102313,1.407493,0.317873,-0.85767,0.440228,-0.069578,0.256438,0.098948,1.368247,0.292236,-0.837212,0.464775,0.105995,0.268002,0.113228,1.430248,0.336935,-0.8866,0.329557,-0.049633,0.320732,0.124506,1.455961,0.370094,-0.893925,0.329109,-0.000564,0.304278,0.07015,1.402918,0.357683,-0.433442,-0.881603,0.182779,0.038692,0.083978,1.419124,0.312007,-0.985282,0.100604,0.069315,0.119556,0.091392,1.369748,0.28761,-0.842556,0.524809,0.118971,0.022817,0.07946,1.427748,0.350956,-0.785215,-0.59383,0.156265,0.079907,0.064242,1.383115,0.343437,-0.433442,-0.881603,0.182779,0.038692,-0.004401,1.403273,0.307277,-0.492647,0.624718,0.095197,-0.598302,0.044716,1.360842,0.286683,-0.548632,0.574076,0.051519,-0.605628,0.019549,1.379838,0.297916,-0.605843,0.602106,0.05412,-0.517198,-0.026015,1.415936,0.311152,-0.492647,0.624718,0.095197,-0.598302,22,0.083742,1.339333,0.263635,-0.842556,0.524809,0.118971,0.022817,13,Y,Static,Right
2,3,-0.035621,1.484752,-0.027638,0.998636,-0.004697,0.047535,0.021065,0.03658,1.398999,0.346725,-0.338519,-0.939553,-0.012987,-0.049771,0.040867,1.421787,0.30659,-0.99742,0.029944,0.057248,-0.0313,0.055222,1.366603,0.283873,-0.842691,0.524676,0.118885,0.02129,0.036334,1.423979,0.345311,-0.725651,-0.686081,0.032113,-0.041135,0.039229,1.383588,0.329791,-0.338519,-0.939553,-0.012987,-0.049771,0.0542,1.400631,0.351973,-0.355976,-0.933921,0.025544,0.020502,0.063534,1.425668,0.307122,-0.995954,0.033212,0.075576,0.035509,0.072144,1.367013,0.284874,-0.842691,0.524676,0.118885,0.02129,0.056985,1.428828,0.350714,-0.722442,-0.686148,0.083691,-0.016571,0.053027,1.382676,0.33358,-0.355976,-0.933921,0.025544,0.020502,0.073372,1.382547,0.285432,-0.842691,0.524676,0.118885,0.02129,0.118933,1.441974,0.35323,-0.893818,0.330549,-0.001953,0.303024,0.101705,1.407632,0.317949,-0.857944,0.440282,-0.070278,0.255235,0.098393,1.368378,0.292317,-0.837645,0.464876,0.105836,0.266534,0.112627,1.430391,0.337002,-0.886525,0.330737,-0.050883,0.319527,0.124003,1.45617,0.370076,-0.893818,0.330549,-0.001953,0.303024,0.069633,1.403022,0.357832,-0.433898,-0.881653,0.181374,0.03903,0.08333,1.419217,0.312115,-0.985438,0.101102,0.068447,0.118343,0.090826,1.36986,0.287705,-0.842691,0.524676,0.118885,0.02129,0.078875,1.427867,0.351066,-0.785708,-0.593595,0.154834,0.079595,0.063742,1.383198,0.343608,-0.433898,-0.881653,0.181374,0.03903,-0.005047,1.403104,0.30755,-0.491174,0.624486,0.096282,-0.59958,0.044172,1.360836,0.286865,-0.54789,0.573236,0.051861,-0.607065,0.018973,1.379754,0.298159,-0.604914,0.601696,0.054746,-0.518695,-0.026715,1.415674,0.311429,-0.491174,0.624486,0.096282,-0.59958,32,0.08321,1.339426,0.263743,-0.842691,0.524676,0.118885,0.02129,13,Y,Static,Right
3,4,-0.035415,1.484861,-0.027546,0.99863,-0.004861,0.04755,0.021302,0.036623,1.399071,0.34658,-0.338423,-0.939592,-0.013261,-0.049603,0.040886,1.421773,0.306412,-0.997395,0.031015,0.057006,-0.03148,0.055233,1.366596,0.283659,-0.842777,0.524607,0.118635,0.020993,0.036369,1.424048,0.34513,-0.726146,-0.685572,0.031823,-0.041117,0.03927,1.383663,0.329642,-0.338423,-0.939592,-0.013261,-0.049603,0.054257,1.40065,0.351807,-0.356274,-0.933806,0.025324,0.020825,0.063552,1.425659,0.306927,-0.995976,0.033541,0.075212,0.03537,0.072155,1.367007,0.284653,-0.842777,0.524607,0.118635,0.020993,0.057036,1.428847,0.350522,-0.722769,-0.68585,0.083342,-0.016402,0.053073,1.382684,0.333426,-0.356274,-0.933806,0.025324,0.020825,0.073385,1.382544,0.285224,-0.842777,0.524607,0.118635,0.020993,0.119034,1.441963,0.352984,-0.893618,0.331142,-0.002871,0.302958,0.101736,1.407632,0.317723,-0.857913,0.440286,-0.070981,0.255137,0.098415,1.368381,0.292088,-0.837753,0.4649,0.105563,0.26626,0.112693,1.43038,0.33677,-0.886357,0.331109,-0.051714,0.319476,0.124147,1.456166,0.36981,-0.893618,0.331142,-0.002871,0.302958,0.069699,1.40303,0.357656,-0.43436,-0.881447,0.181178,0.039474,0.083354,1.419213,0.311905,-0.985464,0.101228,0.067997,0.11828,0.090844,1.369862,0.287481,-0.842777,0.524607,0.118635,0.020993,0.078935,1.427869,0.350858,-0.786041,-0.593214,0.154442,0.079901,0.063789,1.383195,0.343455,-0.43436,-0.881447,0.181178,0.039474,-0.005055,1.403128,0.307213,-0.490582,0.625501,0.096668,-0.598944,0.044181,1.360825,0.28664,-0.547885,0.573816,0.051891,-0.606519,0.018979,1.379765,0.297889,-0.604649,0.602468,0.05505,-0.518075,-0.026737,1.415694,0.311024,-0.490582,0.625501,0.096668,-0.598944,44,0.083218,1.339429,0.263521,-0.842777,0.524607,0.118635,0.020993,13,Y,Static,Right
4,5,-0.035212,1.485003,-0.027454,0.998623,-0.004808,0.047629,0.021448,0.036999,1.398985,0.347004,-0.334782,-0.940956,-0.013369,-0.048421,0.041169,1.421926,0.306991,-0.99756,0.028016,0.055854,-0.031133,0.055425,1.366886,0.283831,-0.844574,0.521999,0.117367,0.020895,0.03675,1.423972,0.345733,-0.723743,-0.688202,0.031169,-0.040034,0.039599,1.383708,0.329941,-0.334782,-0.940956,-0.013369,-0.048421,0.054646,1.400561,0.352238,-0.353739,-0.934747,0.025026,0.022147,0.063838,1.425798,0.307473,-0.996145,0.031029,0.073847,0.035765,0.072348,1.367279,0.284793,-0.844574,0.521999,0.117367,0.020895,0.057435,1.428764,0.3511,-0.720993,-0.687832,0.082631,-0.015152,0.053408,1.382697,0.333761,-0.353739,-0.934747,0.025026,0.022147,0.073595,1.382817,0.285473,-0.844574,0.521999,0.117367,0.020895,0.119518,1.441782,0.353461,-0.894293,0.329297,-0.005753,0.302938,0.102041,1.407686,0.318057,-0.858994,0.437972,-0.073549,0.254756,0.098636,1.368599,0.292184,-0.839287,0.46262,0.103541,0.266194,0.113095,1.430298,0.337209,-0.886935,0.329244,-0.054614,0.319317,0.124719,1.455885,0.370345,-0.894293,0.329297,-0.005753,0.302938,0.070119,1.402911,0.358059,-0.432108,-0.882532,0.180842,0.041428,0.08365,1.419312,0.312359,-0.985757,0.098988,0.066154,0.118781,0.091054,1.370112,0.287606,-0.844574,0.521999,0.117367,0.020895,0.079358,1.427778,0.351368,-0.784626,-0.595143,0.153355,0.081545,0.064151,1.383162,0.343763,-0.432108,-0.882532,0.180842,0.041428,-0.004836,1.403319,0.307598,-0.492017,0.624569,0.098616,-0.598421,0.044372,1.361101,0.286782,-0.549871,0.572117,0.053336,-0.606201,0.019191,1.379997,0.298152,-0.606429,0.600883,0.056458,-0.517683,-0.026527,1.415857,0.311447,-0.492017,0.624569,0.098616,-0.598421,55,0.083352,1.339835,0.263474,-0.844574,0.521999,0.117367,0.020895,13,Y,Static,Right
5,6,-0.03507,1.48509,-0.027321,0.998619,-0.004977,0.047724,0.021377,0.037346,1.398908,0.347378,-0.331296,-0.942243,-0.013472,-0.047323,0.041429,1.422074,0.307516,-0.997705,0.025178,0.054781,-0.030811,0.055599,1.367164,0.28398,-0.84622,0.519594,0.116191,0.020804,0.0371,1.423904,0.346279,-0.721415,-0.690727,0.030556,-0.039025,0.039901,1.383758,0.330196,-0.331296,-0.942243,-0.013472,-0.047323,0.055004,1.400495,0.352626,-0.351462,-0.935583,0.024752,0.023362,0.064101,1.425934,0.307966,-0.996292,0.028791,0.072588,0.036125,0.072523,1.367539,0.284913,-0.84622,0.519594,0.116191,0.020804,0.057801,1.428701,0.351622,-0.719381,-0.68962,0.081973,-0.014004,0.053715,1.382722,0.334065,-0.351462,-0.935583,0.024752,0.023362,0.073786,1.383077,0.285695,-0.84622,0.519594,0.116191,0.020804,0.119971,1.441624,0.353884,-0.894869,0.327675,-0.008492,0.30293,0.10232,1.407744,0.318355,-0.859947,0.435877,-0.07599,0.254418,0.098837,1.36881,0.292263,-0.840691,0.460518,0.101673,0.266131,0.113469,1.430231,0.337599,-0.887412,0.327614,-0.057371,0.319183,0.125259,1.455636,0.370816,-0.894869,0.327675,-0.008492,0.30293,0.070507,1.402822,0.358422,-0.430074,-0.883498,0.180549,0.043251,0.083921,1.419411,0.312768,-0.986004,0.09706,0.06442,0.119267,0.091244,1.370353,0.287712,-0.84622,0.519594,0.116191,0.020804,0.07975,1.427712,0.351826,-0.783356,-0.596857,0.152354,0.083091,0.064484,1.383151,0.344041,-0.430074,-0.883498,0.180549,0.043251,-0.004644,1.403505,0.307923,-0.493249,0.623851,0.100515,-0.59784,0.044543,1.361366,0.2869,-0.551694,0.570626,0.054716,-0.605827,0.01938,1.380222,0.298374,-0.608037,0.599515,0.057836,-0.517232,-0.026347,1.416015,0.311798,-0.493249,0.623851,0.100515,-0.59784,66,0.083472,1.340219,0.263423,-0.84622,0.519594,0.116191,0.020804,13,Y,Static,Right
6,7,-0.034946,1.485127,-0.027132,0.998617,-0.005151,0.0479,0.021069,0.037473,1.398642,0.347384,-0.329492,-0.942914,-0.014135,-0.046347,0.041447,1.421879,0.307577,-0.99778,0.024278,0.053652,-0.03109,0.05556,1.367054,0.283793,-0.847286,0.518135,0.115046,0.020174,0.037207,1.423641,0.346353,-0.720508,-0.691751,0.029525,-0.038424,0.039998,1.383558,0.330139,-0.329492,-0.942914,-0.014135,-0.046347,0.055153,1.400272,0.352623,-0.350119,-0.936065,0.024205,0.024755,0.064119,1.425744,0.307978,-0.996406,0.028492,0.071091,0.036192,0.072486,1.367428,0.284686,-0.847286,0.518135,0.115046,0.020174,0.057949,1.428481,0.351654,-0.718976,-0.690182,0.08096,-0.012921,0.053811,1.382554,0.334014,-0.350119,-0.936065,0.024205,0.024755,0.073754,1.382967,0.28553,-0.847286,0.518135,0.115046,0.020174,0.120097,1.441187,0.353897,-0.895881,0.325023,-0.010188,0.302746,0.102372,1.407528,0.318196,-0.861151,0.433504,-0.077604,0.253911,0.098826,1.368683,0.291979,-0.841665,0.459411,0.1001,0.265557,0.113562,1.429895,0.337556,-0.888304,0.325202,-0.059183,0.318838,0.125414,1.455089,0.370912,-0.895881,0.325023,-0.010188,0.302746,0.070679,1.402467,0.358308,-0.427658,-0.884746,0.179824,0.044687,0.083954,1.419209,0.312702,-0.986248,0.09569,0.062726,0.119264,0.09122,1.37024,0.287454,-0.847286,0.518135,0.115046,0.020174,0.079903,1.427387,0.351798,-0.782237,-0.598486,0.151104,0.084184,0.064631,1.38288,0.343824,-0.427658,-0.884746,0.179824,0.044687,-0.004702,1.403233,0.30797,-0.49356,0.622824,0.102217,-0.598365,0.044509,1.361244,0.286707,-0.552569,0.568919,0.055795,-0.606535,0.019345,1.380024,0.298303,-0.608817,0.597993,0.058905,-0.517955,-0.026435,1.415676,0.311892,-0.49356,0.622824,0.102217,-0.598365,78,0.083388,1.340189,0.263082,-0.847286,0.518135,0.115046,0.020174,13,Y,Static,Right
7,8,-0.034888,1.48515,-0.026858,0.998616,-0.005625,0.048128,0.020436,0.037433,1.398189,0.347886,-0.326857,-0.943834,-0.016568,-0.04547,0.041174,1.421602,0.308176,-0.99785,0.022107,0.052079,-0.033081,0.055394,1.36691,0.284141,-0.848412,0.516514,0.11441,0.017921,0.037059,1.423191,0.346973,-0.718843,-0.693572,0.026945,-0.038692,0.039963,1.383207,0.330552,-0.326857,-0.943834,-0.016568,-0.04547,0.055123,1.399891,0.353082,-0.347923,-0.936917,0.021744,0.025769,0.063834,1.425547,0.308509,-0.996642,0.026741,0.069325,0.034413,0.07232,1.367338,0.284979,-0.848412,0.516514,0.11441,0.017921,0.057809,1.428113,0.352215,-0.717714,-0.691787,0.078429,-0.012925,0.053783,1.382259,0.334391,-0.347923,-0.936917,0.021744,0.025769,0.07354,1.382882,0.28588,-0.848412,0.516514,0.11441,0.017921,0.119932,1.440986,0.354321,-0.897081,0.32349,-0.011902,0.300763,0.102188,1.407433,0.318527,-0.862433,0.432018,-0.078947,0.251671,0.098687,1.368666,0.29219,-0.843103,0.458269,0.09895,0.263394,0.113373,1.429744,0.337955,-0.889384,0.323957,-0.060977,0.316751,0.125264,1.454826,0.371381,-0.897081,0.32349,-0.011902,0.300763,0.070659,1.40211,0.358712,-0.425698,-0.886136,0.177361,0.045688,0.083709,1.419067,0.313139,-0.986741,0.094026,0.060927,0.117425,0.091059,1.370211,0.287698,-0.848412,0.516514,0.11441,0.017921,0.079769,1.427091,0.352278,-0.781357,-0.600301,0.148504,0.084059,0.064641,1.382576,0.344144,-0.425698,-0.886136,0.177361,0.045688,-0.004993,1.402706,0.308627,-0.492958,0.621159,0.10472,-0.600156,0.04437,1.36105,0.28706,-0.552431,0.56667,0.057587,-0.608596,0.019152,1.37966,0.298814,-0.608678,0.596051,0.060767,-0.520137,-0.026793,1.415005,0.312628,-0.492958,0.621159,0.10472,-0.600156,88,0.083246,1.340216,0.263251,-0.848412,0.516514,0.11441,0.017921,13,Y,Static,Right
8,9,-0.034707,1.48513,-0.026732,0.998625,-0.005797,0.047996,0.020275,0.037402,1.39775,0.34834,-0.324148,-0.944764,-0.018868,-0.044641,0.040923,1.421351,0.308737,-0.997911,0.019782,0.050594,-0.034963,0.055238,1.366784,0.284463,-0.849473,0.514972,0.113798,0.01582,0.036926,1.422754,0.347554,-0.71708,-0.695471,0.024502,-0.038941,0.039936,1.382874,0.330917,-0.324148,-0.944764,-0.018868,-0.044641,0.055098,1.399517,0.353494,-0.345594,-0.937804,0.0194,0.026696,0.06357,1.42537,0.309006,-0.996861,0.024823,0.06768,0.032725,0.072164,1.367264,0.28525,-0.849473,0.514972,0.113798,0.01582,0.057679,1.427752,0.352741,-0.716322,-0.693493,0.076046,-0.012948,0.053763,1.381976,0.334717,-0.345594,-0.937804,0.0194,0.026696,0.073341,1.38281,0.286205,-0.849473,0.514972,0.113798,0.01582,0.119785,1.440807,0.354711,-0.898174,0.322119,-0.013552,0.298897,0.102018,1.407351,0.318835,-0.863608,0.43065,-0.080236,0.249568,0.098556,1.368658,0.292384,-0.84445,0.457178,0.097851,0.261375,0.1132,1.42961,0.338324,-0.890354,0.322871,-0.062704,0.314789,0.125134,1.454591,0.371811,-0.898174,0.322119,-0.013552,0.298897,0.070641,1.401773,0.359085,-0.423781,-0.887469,0.175036,0.046609,0.083483,1.418941,0.313547,-0.987205,0.092371,0.059261,0.115679,0.090908,1.370193,0.287923,-0.849473,0.514972,0.113798,0.01582,0.079643,1.426813,0.352728,-0.780475,-0.602064,0.146064,0.083918,0.064653,1.382291,0.344434,-0.423781,-0.887469,0.175036,0.046609,-0.005269,1.402205,0.309249,-0.492373,0.619525,0.107177,-0.601889,0.04424,1.360878,0.287387,-0.552304,0.564452,0.059339,-0.610601,0.018973,1.379322,0.299295,-0.608531,0.594154,0.062607,-0.522256,-0.027134,1.414364,0.313327,-0.492373,0.619525,0.107177,-0.601889,101,0.083111,1.340251,0.263405,-0.849473,0.514972,0.113798,0.01582,13,Y,Static,Right
9,10,-0.034624,1.485154,-0.026669,0.998637,-0.00569,0.047827,0.0201,0.037379,1.397324,0.348758,-0.321387,-0.945698,-0.021063,-0.043847,0.040688,1.421119,0.309268,-0.997963,0.017348,0.049177,-0.036758,0.055091,1.366673,0.284764,-0.850482,0.513492,0.113206,0.013839,0.036805,1.42233,0.348102,-0.715245,-0.697423,0.022168,-0.039174,0.039915,1.382555,0.331244,-0.321387,-0.945698,-0.021063,-0.043847,0.055079,1.399151,0.353871,-0.343169,-0.938713,0.01715,0.027557,0.063324,1.425208,0.309476,-0.997066,0.022787,0.066129,0.031112,0.072017,1.367201,0.285502,-0.850482,0.513492,0.113206,0.013839,0.057558,1.427398,0.353238,-0.714838,-0.695266,0.073779,-0.012983,0.053748,1.381705,0.335004,-0.343169,-0.938713,0.01715,0.027557,0.073153,1.382751,0.286511,-0.850482,0.513492,0.113206,0.013839,0.119653,1.440644,0.355075,-0.899185,0.320866,-0.015153,0.297124,0.101859,1.407279,0.319125,-0.864702,0.42937,-0.081484,0.247575,0.098432,1.368658,0.292563,-0.845727,0.456128,0.096793,0.259469,0.11304,1.429488,0.33867,-0.891242,0.321902,-0.06438,0.312926,0.125019,1.454376,0.372211,-0.899185,0.320866,-0.015153,0.297124,0.070626,1.401454,0.359432,-0.421894,-0.888755,0.172819,0.047469,0.08327,1.418827,0.313933,-0.987644,0.090725,0.057698,0.114011,0.090764,1.370183,0.288132,-0.850482,0.513492,0.113206,0.013839,0.079525,1.42655,0.353152,-0.77959,-0.603787,0.143748,0.083766,0.064667,1.382024,0.344701,-0.421894,-0.888755,0.172819,0.047469,-0.005534,1.401726,0.309844,-0.491801,0.617917,0.109598,-0.603571,0.044117,1.360723,0.287693,-0.552185,0.56226,0.061061,-0.612558,0.018803,1.379004,0.299752,-0.608378,0.592294,0.064432,-0.524321,-0.027461,1.413746,0.313997,-0.491801,0.617917,0.109598,-0.603571,111,0.082982,1.340294,0.263546,-0.850482,0.513492,0.113206,0.013839,13,Y,Static,Right
10,11,-0.034436,1.485297,-0.026558,0.998653,-0.005229,0.047419,0.020397,0.037504,1.398029,0.347845,-0.324962,-0.944455,-0.020927,-0.044348,0.040873,1.421428,0.308161,-0.997836,0.022365,0.04968,-0.036803,0.055275,1.366776,0.284147,-0.848319,0.516988,0.113512,0.013888,0.036938,1.423028,0.346976,-0.718198,-0.694342,0.02257,-0.03965,0.04006,1.383128,0.330446,-0.324962,-0.944455,-0.020927,-0.044348,0.055209,1.399878,0.352968,-0.347114,-0.937269,0.017612,0.026982,0.063512,1.425505,0.308357,-0.996901,0.027574,0.06683,0.031016,0.072203,1.367305,0.284886,-0.848319,0.516988,0.113512,0.013888,0.057698,1.428118,0.35209,-0.717848,-0.692095,0.074255,-0.013606,0.053895,1.382274,0.334248,-0.347114,-0.937269,0.017612,0.026982,0.073336,1.382855,0.285749,-0.848319,0.516988,0.113512,0.013888,0.119813,1.441286,0.353876,-0.897579,0.325004,-0.013836,0.297544,0.102027,1.407632,0.318189,-0.862924,0.432713,-0.080173,0.248384,0.098601,1.368797,0.291941,-0.843731,0.459481,0.098118,0.259553,0.113201,1.429991,0.337566,-0.889742,0.325689,-0.062892,0.313576,0.125187,1.455171,0.370885,-0.897579,0.325004,-0.013836,0.297544,0.070758,1.40219,0.358529,-0.425894,-0.88675,0.173552,0.046563,0.08345,1.419148,0.312886,-0.987164,0.09509,0.058536,0.11419,0.090939,1.37029,0.28749,-0.848319,0.516988,0.113512,0.013888,0.079682,1.427222,0.352032,-0.782185,-0.600281,0.144655,0.083221,0.064792,1.382631,0.343973,-0.425894,-0.88675,0.173552,0.046563,-0.00532,1.401998,0.309099,-0.489273,0.619199,0.107123,-0.604756,0.044304,1.360857,0.287144,-0.550045,0.563566,0.058282,-0.613553,0.01901,1.379215,0.299127,-0.60606,0.594006,0.062012,-0.525359,-0.02725,1.414031,0.313199,-0.489273,0.619199,0.107123,-0.604756,122,0.083161,1.340206,0.263142,-0.848319,0.516988,0.113512,0.013888,13,Y,Static,Right
