,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.071193,1.639574,0.02579,0.985054,0.092508,-0.091226,0.113084,0.053949,1.413722,0.294914,-0.610485,-0.346829,0.557879,-0.44248,0.08646,1.468632,0.291086,-0.613794,-0.258032,0.64199,-0.380165,0.145089,1.458366,0.303045,-0.681966,0.044028,0.729975,0.010971,0.063213,1.437021,0.292756,-0.587617,-0.350363,0.578259,-0.444487,0.044294,1.39292,0.298313,-0.610485,-0.346829,0.557879,-0.44248,0.091527,1.422074,0.314459,0.138849,-0.717,-0.26599,-0.629191,0.085721,1.474642,0.313416,-0.609585,-0.364304,0.591687,-0.381569,0.146514,1.462851,0.31976,-0.681966,0.044028,0.729975,0.010971,0.066013,1.434827,0.314944,-0.176424,-0.697555,0.14806,-0.678506,0.113619,1.434974,0.310544,0.138849,-0.717,-0.26599,-0.629191,0.135024,1.47223,0.317696,-0.681966,0.044028,0.729975,0.010971,0.111551,1.431427,0.34106,0.437535,-0.683722,-0.254692,-0.525565,0.100577,1.463625,0.353161,-0.534849,-0.509689,0.586263,-0.332339,0.146888,1.463963,0.343683,-0.761153,-0.122538,0.620253,0.144624,0.091404,1.433885,0.346577,-0.002478,-0.788978,0.092993,-0.607338,0.123743,1.450501,0.338935,0.437535,-0.683722,-0.254692,-0.525565,0.103478,1.426908,0.327875,0.346526,-0.696815,-0.290379,-0.556821,0.091244,1.470963,0.333904,-0.594256,-0.436977,0.564924,-0.369827,0.146991,1.46712,0.335215,-0.681966,0.044028,0.729975,0.010971,0.077183,1.433118,0.33309,-0.069716,-0.765457,0.093992,-0.632757,0.119329,1.44624,0.32435,0.346526,-0.696815,-0.290379,-0.556821,0.098865,1.398757,0.282463,-0.045107,0.418082,0.720416,-0.551519,0.144998,1.447389,0.296471,-0.087805,0.401829,0.664955,-0.623425,0.124198,1.42185,0.289493,-0.194433,0.384319,0.67286,-0.60146,0.085606,1.37998,0.271434,-0.045107,0.418082,0.720416,-0.551519,10,0.184327,1.469819,0.321975,-0.681966,0.044028,0.729975,0.010971,4,Q,Static,Right
1,2,0.071191,1.639905,0.025884,0.984963,0.092646,-0.091516,0.113529,0.053496,1.413853,0.295476,-0.611533,-0.34883,0.556207,-0.441564,0.0859,1.46882,0.291533,-0.615132,-0.260016,0.640277,-0.379539,0.144596,1.45859,0.303185,-0.683905,0.04324,0.728205,0.011,0.062715,1.437169,0.293296,-0.588696,-0.352407,0.576624,-0.443566,0.043889,1.393034,0.298903,-0.611533,-0.34883,0.556207,-0.441564,0.091054,1.422143,0.314824,0.138036,-0.719131,-0.263173,-0.628122,0.085271,1.4748,0.313875,-0.610794,-0.365767,0.590327,-0.380342,0.146104,1.463058,0.319897,-0.683905,0.04324,0.728205,0.011,0.065583,1.434977,0.315451,-0.177461,-0.699111,0.149138,-0.676395,0.113203,1.434918,0.310824,0.138036,-0.719131,-0.263173,-0.628122,0.134598,1.472432,0.317894,-0.683905,0.04324,0.728205,0.011,0.111287,1.431572,0.341329,0.438612,-0.684812,-0.253338,-0.523901,0.100346,1.463745,0.353527,-0.535843,-0.511136,0.584906,-0.330904,0.146606,1.464142,0.343808,-0.762762,-0.122974,0.618105,0.144975,0.091166,1.434006,0.34695,-0.001934,-0.790549,0.093044,-0.605286,0.123464,1.450651,0.339162,0.438612,-0.684812,-0.253338,-0.523901,0.103117,1.42705,0.32818,0.34751,-0.698179,-0.28894,-0.555245,0.090905,1.4711,0.334329,-0.595416,-0.438387,0.563543,-0.368396,0.146662,1.46731,0.335344,-0.683905,0.04324,0.728205,0.011,0.076849,1.433252,0.333541,-0.06947,-0.767162,0.094171,-0.630688,0.118961,1.446376,0.324593,0.34751,-0.698179,-0.28894,-0.555245,0.098323,1.398923,0.282877,-0.046987,0.415937,0.720474,-0.552907,0.144477,1.447614,0.296609,-0.089384,0.399544,0.664996,-0.624624,0.12367,1.422049,0.28975,-0.196097,0.382065,0.672484,-0.602774,0.085018,1.380129,0.271933,-0.046987,0.415937,0.720474,-0.552907,22,0.183926,1.470064,0.321912,-0.683905,0.04324,0.728205,0.011,4,Q,Static,Right
2,3,0.071003,1.640483,0.026075,0.985078,0.091953,-0.091789,0.112879,0.053068,1.41398,0.295998,-0.61257,-0.350647,0.554661,-0.440632,0.085372,1.469,0.291946,-0.616395,-0.261897,0.638633,-0.378965,0.144128,1.458801,0.303313,-0.685721,0.042509,0.726539,0.011021,0.062247,1.437309,0.293796,-0.589758,-0.354272,0.575106,-0.44264,0.043501,1.393146,0.299452,-0.61257,-0.350647,0.554661,-0.440632,0.090598,1.422199,0.315161,0.13693,-0.721216,-0.26021,-0.627208,0.084847,1.474951,0.314298,-0.61193,-0.367103,0.589065,-0.379183,0.145714,1.463255,0.320023,-0.685721,0.042509,0.726539,0.011021,0.065176,1.435122,0.31592,-0.17863,-0.700503,0.150318,-0.674382,0.112813,1.434834,0.311082,0.13693,-0.721216,-0.26021,-0.627208,0.134196,1.472624,0.318072,-0.685721,0.042509,0.726539,0.011021,0.111036,1.431711,0.341575,0.439474,-0.685873,-0.251995,-0.522436,0.100126,1.463863,0.353862,-0.536749,-0.512436,0.583684,-0.329581,0.146338,1.464314,0.343917,-0.764268,-0.123373,0.616087,0.145299,0.090939,1.434124,0.347291,-0.001478,-0.79197,0.093136,-0.603413,0.123206,1.450789,0.339368,0.439474,-0.685873,-0.251995,-0.522436,0.102769,1.427184,0.32846,0.348283,-0.699529,-0.287468,-0.553824,0.090585,1.471231,0.33472,-0.596529,-0.439654,0.562273,-0.367024,0.146349,1.467493,0.335456,-0.685721,0.042509,0.726539,0.011021,0.076529,1.433384,0.333957,-0.069327,-0.768742,0.094407,-0.628743,0.118614,1.446497,0.324813,0.348283,-0.699529,-0.287468,-0.553824,0.097812,1.399067,0.2833,-0.048747,0.413813,0.720379,-0.554471,0.143982,1.447823,0.29674,-0.090823,0.397303,0.664904,-0.625943,0.12317,1.422229,0.29001,-0.197625,0.379877,0.671981,-0.604218,0.084461,1.380249,0.272452,-0.048747,0.413813,0.720379,-0.554471,33,0.183544,1.470298,0.321846,-0.685721,0.042509,0.726539,0.011021,4,Q,Static,Right
3,4,0.071068,1.640054,0.025691,0.985316,0.09013,-0.092198,0.111932,0.052412,1.414088,0.296275,-0.614907,-0.35065,0.554191,-0.437958,0.084937,1.468969,0.292106,-0.618733,-0.261763,0.637786,-0.376669,0.143703,1.458501,0.30318,-0.687388,0.043861,0.724852,0.012804,0.061685,1.437377,0.294047,-0.592068,-0.354361,0.574604,-0.440129,0.042758,1.393299,0.299758,-0.614907,-0.35065,0.554191,-0.437958,0.089938,1.421982,0.315264,0.133019,-0.724219,-0.254436,-0.626958,0.084543,1.474902,0.314466,-0.614107,-0.366602,0.588878,-0.376428,0.145386,1.462928,0.319888,-0.687388,0.043861,0.724852,0.012804,0.064661,1.43518,0.316139,-0.182373,-0.701175,0.153946,-0.671859,0.112321,1.434292,0.311111,0.133019,-0.724219,-0.254436,-0.626958,0.133897,1.472349,0.31801,-0.687388,0.043861,0.724852,0.012804,0.110645,1.431509,0.341587,0.439038,-0.687424,-0.24911,-0.522148,0.099954,1.463708,0.353948,-0.538642,-0.511888,0.583959,-0.326845,0.146121,1.46396,0.34379,-0.7653,-0.121996,0.614532,0.147591,0.090586,1.434022,0.347393,-0.002921,-0.793043,0.095439,-0.601636,0.1229,1.450529,0.339344,0.439038,-0.687424,-0.24911,-0.522148,0.102278,1.427022,0.328511,0.347333,-0.701503,-0.284315,-0.55355,0.090358,1.471137,0.334857,-0.598496,-0.43916,0.562352,-0.364281,0.146107,1.467146,0.335333,-0.687388,0.043861,0.724852,0.012804,0.076096,1.433366,0.334122,-0.071005,-0.769812,0.096675,-0.626899,0.118231,1.446236,0.324809,0.347333,-0.701503,-0.284315,-0.55355,0.097036,1.399021,0.283222,-0.051851,0.414362,0.719901,-0.554398,0.143481,1.447537,0.296587,-0.093982,0.39751,0.664409,-0.625871,0.122524,1.422052,0.28989,-0.200658,0.380072,0.671426,-0.603712,0.083557,1.380288,0.272387,-0.051851,0.414362,0.719901,-0.554398,44,0.183252,1.469796,0.321553,-0.687388,0.043861,0.724852,0.012804,4,Q,Static,Right
4,5,0.070936,1.640542,0.025973,0.985587,0.088032,-0.093025,0.110521,0.051787,1.414194,0.29654,-0.617158,-0.350632,0.553742,-0.435367,0.084521,1.468943,0.292258,-0.620962,-0.261659,0.636949,-0.374482,0.143297,1.458229,0.30305,-0.688975,0.045108,0.723236,0.01446,0.061151,1.437445,0.294287,-0.59428,-0.35445,0.57411,-0.437716,0.042049,1.39345,0.300053,-0.617158,-0.350632,0.553742,-0.435367,0.089298,1.421767,0.315365,0.128936,-0.727143,-0.2486,-0.626767,0.084251,1.474858,0.314625,-0.616168,-0.366124,0.588688,-0.373814,0.145071,1.46263,0.319753,-0.688975,0.045108,0.723236,0.01446,0.06417,1.435238,0.316349,-0.186144,-0.701737,0.157573,-0.669393,0.111849,1.433742,0.311141,0.128936,-0.727143,-0.2486,-0.626767,0.133609,1.472096,0.317949,-0.688975,0.045108,0.723236,0.01446,0.110271,1.431323,0.341599,0.438642,-0.688863,-0.246402,-0.521869,0.099788,1.463565,0.354029,-0.540437,-0.511347,0.584221,-0.32425,0.145911,1.463633,0.343668,-0.76629,-0.120715,0.613033,0.149727,0.090249,1.433931,0.34749,-0.004317,-0.794045,0.097635,-0.599952,0.122605,1.450288,0.339323,0.438642,-0.688863,-0.246402,-0.521869,0.10181,1.426873,0.328562,0.346374,-0.703371,-0.28131,-0.553317,0.090139,1.471052,0.334987,-0.600334,-0.438676,0.562433,-0.361706,0.145873,1.466827,0.335213,-0.688975,0.045108,0.723236,0.01446,0.075685,1.433353,0.334279,-0.072611,-0.770794,0.098826,-0.62517,0.117867,1.44599,0.324807,0.346374,-0.703371,-0.28131,-0.553317,0.096306,1.398997,0.28311,-0.054778,0.414926,0.719573,-0.554121,0.143005,1.44728,0.296432,-0.096975,0.397736,0.664059,-0.625641,0.121913,1.421902,0.289755,-0.203505,0.380279,0.671069,-0.603026,0.082708,1.380349,0.272275,-0.054778,0.414926,0.719573,-0.554121,55,0.182967,1.469333,0.321272,-0.688975,0.045108,0.723236,0.01446,4,Q,Static,Right
5,6,0.070792,1.640964,0.026227,0.985815,0.086177,-0.093611,0.109453,0.051187,1.4143,0.296799,-0.619345,-0.350595,0.553306,-0.432836,0.08412,1.468923,0.292405,-0.623109,-0.261583,0.636115,-0.372382,0.142905,1.457979,0.30292,-0.690501,0.046274,0.721672,0.016015,0.060637,1.437513,0.294521,-0.596417,-0.35454,0.573617,-0.435377,0.041367,1.393599,0.30034,-0.619345,-0.350595,0.553306,-0.432836,0.088672,1.421553,0.315464,0.124664,-0.730012,-0.242666,-0.626622,0.083968,1.47482,0.314777,-0.618142,-0.365658,0.588495,-0.371305,0.144767,1.462353,0.319619,-0.690501,0.046274,0.721672,0.016015,0.063697,1.435299,0.316552,-0.189967,-0.702199,0.161224,-0.666961,0.111391,1.433181,0.311173,0.124664,-0.730012,-0.242666,-0.626622,0.133328,1.471861,0.317889,-0.690501,0.046274,0.721672,0.016015,0.109911,1.431148,0.341611,0.438275,-0.690217,-0.243831,-0.521595,0.099629,1.463433,0.354106,-0.542155,-0.510806,0.584476,-0.321764,0.145706,1.463329,0.343549,-0.767247,-0.119509,0.611576,0.151741,0.089925,1.433849,0.347583,-0.00568,-0.79499,0.099751,-0.598338,0.122318,1.450062,0.339303,0.438275,-0.690217,-0.243831,-0.521595,0.10136,1.426733,0.328612,0.345398,-0.705159,-0.278411,-0.553117,0.089928,1.470973,0.335111,-0.602072,-0.438197,0.562517,-0.35926,0.145646,1.46653,0.335097,-0.690501,0.046274,0.721672,0.016015,0.07529,1.433345,0.33443,-0.074165,-0.771707,0.100892,-0.62353,0.117518,1.445755,0.324807,0.345398,-0.705159,-0.278411,-0.553117,0.095611,1.398991,0.282969,-0.057569,0.415505,0.719367,-0.553672,0.142548,1.447048,0.296277,-0.099841,0.397981,0.663828,-0.625281,0.121329,1.421774,0.289607,-0.206205,0.380498,0.670873,-0.602188,0.081904,1.380429,0.272126,-0.057569,0.415505,0.719367,-0.553672,66,0.182689,1.468902,0.321,-0.690501,0.046274,0.721672,0.016015,4,Q,Static,Right
6,7,0.07069,1.641313,0.026472,0.985997,0.084402,-0.094182,0.108699,0.05095,1.414599,0.296306,-0.618823,-0.350036,0.554087,-0.433037,0.08389,1.469227,0.291988,-0.622375,-0.261326,0.636742,-0.372717,0.142649,1.458248,0.302606,-0.689859,0.046385,0.722272,0.016318,0.060412,1.43781,0.294051,-0.595842,-0.354025,0.574338,-0.435633,0.041113,1.393903,0.299823,-0.618823,-0.350036,0.554087,-0.433037,0.088241,1.421734,0.315054,0.12149,-0.730347,-0.239549,-0.628052,0.083701,1.47512,0.314361,-0.617911,-0.364791,0.589461,-0.37101,0.144484,1.462618,0.319309,-0.689859,0.046385,0.722272,0.016318,0.063352,1.435638,0.316091,-0.191935,-0.701006,0.163602,-0.667073,0.111074,1.433156,0.310817,0.12149,-0.730347,-0.239549,-0.628052,0.133054,1.472133,0.31756,-0.689859,0.046385,0.722272,0.016318,0.109564,1.431446,0.341232,0.438236,-0.68971,-0.244118,-0.522165,0.099286,1.463717,0.353715,-0.541812,-0.51039,0.585099,-0.321871,0.145382,1.463589,0.34324,-0.766649,-0.119556,0.612275,0.151906,0.089568,1.434141,0.347172,-0.005383,-0.794521,0.099798,-0.598955,0.121973,1.450362,0.338951,0.438236,-0.68971,-0.244118,-0.522165,0.100995,1.426995,0.32822,0.344395,-0.705083,-0.277798,-0.554147,0.089623,1.471266,0.334705,-0.601835,-0.437488,0.563389,-0.359153,0.145338,1.466792,0.334788,-0.689859,0.046385,0.722272,0.016318,0.074929,1.43366,0.333994,-0.074716,-0.771072,0.101746,-0.62411,0.117209,1.445973,0.32444,0.344395,-0.705083,-0.277798,-0.554147,0.095401,1.399245,0.282572,-0.05674,0.415938,0.71951,-0.553247,0.142298,1.447318,0.295961,-0.099138,0.398436,0.663872,-0.625056,0.121097,1.422037,0.289263,-0.205423,0.380985,0.671155,-0.601834,0.081722,1.380678,0.271701,-0.05674,0.415938,0.71951,-0.553247,77,0.182408,1.469147,0.320758,-0.689859,0.046385,0.722272,0.016318,4,Q,Static,Right
7,8,0.070738,1.641546,0.026928,0.986121,0.083374,-0.094453,0.108133,0.051075,1.415132,0.295719,-0.618904,-0.348992,0.555889,-0.431452,0.084217,1.469654,0.291567,-0.622147,-0.260577,0.638075,-0.37134,0.142935,1.458511,0.302247,-0.689276,0.04667,0.722772,0.017935,0.060635,1.438309,0.293527,-0.595835,-0.353033,0.576045,-0.434189,0.041138,1.394473,0.299176,-0.618904,-0.348992,0.555889,-0.431452,0.088224,1.421963,0.31456,0.117468,-0.731197,-0.234205,-0.629841,0.084005,1.475506,0.313951,-0.617984,-0.363743,0.591084,-0.369333,0.144753,1.46284,0.318962,-0.689276,0.04667,0.722772,0.017935,0.063474,1.436113,0.315578,-0.194607,-0.699784,0.167782,-0.666544,0.111222,1.433077,0.31039,0.117468,-0.731197,-0.234205,-0.629841,0.133346,1.472384,0.317226,-0.689276,0.04667,0.722772,0.017935,0.109699,1.431714,0.34078,0.437999,-0.689275,-0.24299,-0.523463,0.099494,1.463988,0.353309,-0.541394,-0.50985,0.586481,-0.320915,0.145608,1.46376,0.342911,-0.765825,-0.1196,0.612929,0.153381,0.089703,1.434452,0.346699,-0.005386,-0.793978,0.101442,-0.599399,0.122163,1.4506,0.338552,0.437999,-0.689275,-0.24299,-0.523463,0.10111,1.427299,0.327752,0.343703,-0.704896,-0.27622,-0.555602,0.089883,1.471598,0.334297,-0.601633,-0.436748,0.564952,-0.357937,0.145586,1.466978,0.334465,-0.689276,0.04667,0.722772,0.017935,0.075058,1.434046,0.333496,-0.075049,-0.770466,0.103718,-0.624494,0.117404,1.446221,0.324029,0.343703,-0.704896,-0.27622,-0.555602,0.095654,1.399628,0.281898,-0.056192,0.417274,0.720674,-0.550775,0.142572,1.447603,0.295567,-0.099244,0.399544,0.664496,-0.623668,0.121352,1.422368,0.288753,-0.205256,0.382043,0.672307,-0.599931,0.082012,1.381116,0.270887,-0.056192,0.417274,0.720674,-0.550775,89,0.182686,1.469263,0.320502,-0.689276,0.04667,0.722772,0.017935,4,Q,Static,Right
8,9,0.070667,1.641728,0.026797,0.986232,0.082771,-0.094524,0.107519,0.051153,1.415643,0.295185,-0.619123,-0.347944,0.557598,-0.429775,0.084501,1.470055,0.291183,-0.622051,-0.259836,0.639296,-0.369918,0.143183,1.458754,0.301906,-0.688806,0.046964,0.723161,0.019478,0.060815,1.438783,0.293052,-0.595965,-0.352048,0.577658,-0.432666,0.041116,1.395023,0.298586,-0.619123,-0.347944,0.557598,-0.429775,0.088168,1.422164,0.314106,0.113334,-0.732168,-0.228737,-0.631478,0.084275,1.475867,0.313577,-0.61818,-0.362725,0.592573,-0.367615,0.144989,1.463043,0.318631,-0.688806,0.046964,0.723161,0.019478,0.063563,1.436566,0.315114,-0.197407,-0.698638,0.171957,-0.665858,0.111327,1.43296,0.309993,0.113334,-0.732168,-0.228737,-0.631478,0.133602,1.472615,0.316914,-0.688806,0.046964,0.723161,0.019478,0.109811,1.431961,0.340362,0.437766,-0.688948,-0.241823,-0.524627,0.099681,1.464241,0.352936,-0.541083,-0.509354,0.587737,-0.319926,0.145808,1.463914,0.3426,-0.76511,-0.119604,0.613461,0.154811,0.089816,1.434743,0.346264,-0.00546,-0.793533,0.103053,-0.599713,0.122328,1.450817,0.338179,0.437766,-0.688948,-0.241823,-0.524627,0.101198,1.427583,0.327319,0.343063,-0.704789,-0.274663,-0.556903,0.090115,1.471909,0.333925,-0.601528,-0.436055,0.566379,-0.356701,0.145806,1.467147,0.33416,-0.688806,0.046964,0.723161,0.019478,0.075162,1.434409,0.333042,-0.075394,-0.76996,0.105598,-0.624761,0.117567,1.44645,0.323647,0.343063,-0.704789,-0.274663,-0.556903,0.095876,1.399987,0.28124,-0.055618,0.418529,0.72195,-0.548205,0.142808,1.44787,0.295188,-0.099378,0.400544,0.665155,-0.6223,0.121573,1.422678,0.288261,-0.205095,0.383,0.673524,-0.598007,0.082277,1.38153,0.270085,-0.055618,0.418529,0.72195,-0.548205,100,0.18293,1.469362,0.32025,-0.688806,0.046964,0.723161,0.019478,4,Q,Static,Right
9,10,0.070742,1.641735,0.026867,0.98637,0.083295,-0.094224,0.106105,0.050855,1.4161,0.294552,-0.617563,-0.348019,0.559106,-0.43,0.0842,1.470531,0.290797,-0.620504,-0.259939,0.640826,-0.369795,0.142831,1.459156,0.301719,-0.687432,0.046434,0.724467,0.020727,0.060517,1.439248,0.292507,-0.59443,-0.35198,0.579204,-0.432766,0.040819,1.395467,0.297871,-0.617563,-0.348019,0.559106,-0.43,0.087596,1.42246,0.313627,0.110607,-0.731777,-0.224856,-0.633805,0.083891,1.476291,0.313203,-0.617028,-0.362106,0.594567,-0.366942,0.144575,1.463402,0.318461,-0.687432,0.046434,0.724467,0.020727,0.063089,1.437032,0.314569,-0.198675,-0.696935,0.175487,-0.666344,0.110873,1.433043,0.309635,0.110607,-0.731777,-0.224856,-0.633805,0.133202,1.472987,0.316725,-0.687432,0.046434,0.724467,0.020727,0.109268,1.432292,0.339981,0.437862,-0.687625,-0.241603,-0.526382,0.099133,1.464558,0.352595,-0.539639,-0.509063,0.589371,-0.319824,0.145299,1.464215,0.342438,-0.763695,-0.120537,0.614831,0.155638,0.089256,1.435088,0.345819,-0.004777,-0.792412,0.104286,-0.600988,0.121813,1.45114,0.337887,0.437862,-0.687625,-0.241603,-0.526382,0.100676,1.427934,0.326898,0.342751,-0.703667,-0.273942,-0.558866,0.089648,1.47228,0.333564,-0.600278,-0.435595,0.568273,-0.356355,0.145333,1.467468,0.334006,-0.687432,0.046434,0.724467,0.020727,0.074635,1.434807,0.33254,-0.075083,-0.768767,0.107303,-0.625976,0.117098,1.446774,0.323328,0.342751,-0.703667,-0.273942,-0.558866,0.095563,1.40047,0.280736,-0.05489,0.419742,0.722505,-0.546617,0.142474,1.448289,0.294971,-0.098702,0.401898,0.666008,-0.62062,0.121252,1.423128,0.287894,-0.204496,0.38412,0.674344,-0.596568,0.081995,1.382046,0.269489,-0.05489,0.419742,0.722505,-0.546617,111,0.182514,1.469683,0.320247,-0.687432,0.046434,0.724467,0.020727,4,Q,Static,Right
10,11,0.070832,1.641643,0.026855,0.986443,0.083833,-0.093914,0.105275,0.050782,1.416378,0.294589,-0.61887,-0.347007,0.559147,-0.428884,0.084268,1.470719,0.290737,-0.621538,-0.259148,0.640522,-0.36914,0.142881,1.459196,0.301603,-0.687741,0.047742,0.724071,0.021328,0.060512,1.439495,0.29251,-0.595643,-0.351144,0.579132,-0.431873,0.040675,1.395784,0.297939,-0.61887,-0.347007,0.559147,-0.428884,0.087447,1.422537,0.313612,0.106653,-0.733312,-0.221025,-0.634056,0.083997,1.476499,0.313138,-0.618174,-0.361036,0.594651,-0.365929,0.144653,1.463451,0.31834,-0.687741,0.047742,0.724071,0.021328,0.063062,1.437312,0.314564,-0.201912,-0.69646,0.177878,-0.665232,0.110841,1.432851,0.309592,0.106653,-0.733312,-0.221025,-0.634056,0.133303,1.473063,0.316614,-0.687741,0.047742,0.724071,0.021328,0.109294,1.432454,0.339925,0.437141,-0.688357,-0.240803,-0.526391,0.099245,1.464759,0.352525,-0.540526,-0.508371,0.5895,-0.319185,0.145401,1.46428,0.342323,-0.763839,-0.119279,0.614686,0.156475,0.089296,1.435305,0.345784,-0.005946,-0.792627,0.105016,-0.600566,0.121879,1.451272,0.337803,0.437141,-0.688357,-0.240803,-0.526391,0.100651,1.428096,0.326857,0.341611,-0.704643,-0.2728,-0.558892,0.089763,1.47249,0.333497,-0.601327,-0.434708,0.568396,-0.355475,0.145435,1.467526,0.333888,-0.687741,0.047742,0.724071,0.021328,0.07464,1.435061,0.332524,-0.076551,-0.76893,0.108228,-0.625439,0.117133,1.446876,0.323249,0.341611,-0.704643,-0.2728,-0.558892,0.095439,1.400635,0.280675,-0.055712,0.420558,0.721894,-0.546714,0.14249,1.44833,0.294856,-0.09967,0.402643,0.665366,-0.620671,0.121197,1.423224,0.287798,-0.205526,0.384853,0.673537,-0.596654,0.081817,1.382244,0.269439,-0.055712,0.420558,0.721894,-0.546714,122,0.182608,1.469626,0.320091,-0.687741,0.047742,0.724071,0.021328,4,Q,Static,Right
