,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.027382,1.65075,0.023569,0.996707,0.07628,0.012799,0.024337,0.062311,1.461563,0.395543,-0.456172,-0.54297,0.671713,0.214226,0.122797,1.456624,0.393446,-0.637243,-0.263216,0.540468,0.482216,0.119724,1.419101,0.345682,-0.630823,0.164058,0.230747,0.722428,0.085774,1.46392,0.404334,-0.494352,-0.478816,0.667382,0.284523,0.042167,1.456811,0.385096,-0.456172,-0.54297,0.671713,0.214226,0.078441,1.433807,0.377233,0.163617,-0.700362,0.573802,-0.391758,0.124299,1.437058,0.405704,-0.54343,-0.366587,0.619166,0.432355,0.120772,1.403522,0.353109,-0.630823,0.164058,0.230747,0.722428,0.080295,1.443146,0.404125,-0.133727,-0.645707,0.744575,-0.103866,0.096696,1.427472,0.360017,0.163617,-0.700362,0.573802,-0.391758,0.128143,1.409422,0.36476,-0.630823,0.164058,0.230747,0.722428,0.081411,1.400469,0.377992,0.263288,-0.56406,0.644836,-0.443513,0.108174,1.396422,0.408926,-0.408367,-0.36157,0.733112,0.406263,0.11687,1.381902,0.364788,-0.496482,-0.001898,0.182036,0.848743,0.079781,1.405977,0.398225,-0.049552,-0.603673,0.785221,-0.128655,0.099913,1.394435,0.366234,0.263288,-0.56406,0.644836,-0.443513,0.080259,1.416014,0.375237,0.248844,-0.617612,0.604657,-0.43706,0.117627,1.416962,0.409632,-0.487055,-0.389171,0.668817,0.404978,0.121557,1.388879,0.361465,-0.630823,0.164058,0.230747,0.722428,0.07859,1.423529,0.401655,-0.064975,-0.635034,0.759454,-0.125458,0.100527,1.409944,0.361462,0.248844,-0.617612,0.604657,-0.43706,0.085014,1.479301,0.374346,-0.829758,0.499819,0.248314,0.004868,0.111137,1.426481,0.339696,-0.843801,0.475635,0.248536,0.000881,0.097044,1.45352,0.353971,-0.885399,0.393855,0.231859,0.084785,0.075525,1.501183,0.383357,-0.829758,0.499819,0.248314,0.004868,10,0.131987,1.381786,0.323816,-0.630823,0.164058,0.230747,0.722428,4,T,Static,Right
1,2,0.027387,1.651037,0.023918,0.99682,0.074853,0.012629,0.024231,0.061866,1.461095,0.395526,-0.454913,-0.546011,0.670936,0.211592,0.122355,1.456502,0.393571,-0.637975,-0.265339,0.539974,0.480638,0.119411,1.419044,0.34575,-0.632602,0.163178,0.230306,0.721212,0.085279,1.463591,0.404413,-0.493692,-0.481727,0.666712,0.282318,0.041809,1.456216,0.384971,-0.454913,-0.546011,0.670936,0.211592,0.078003,1.433558,0.377403,0.163613,-0.701865,0.573672,-0.389252,0.123949,1.436921,0.405793,-0.544471,-0.367919,0.617514,0.432276,0.120535,1.403456,0.35315,-0.632602,0.163178,0.230306,0.721212,0.079919,1.442844,0.404309,-0.134119,-0.647255,0.743398,-0.102142,0.096195,1.427313,0.360088,0.163613,-0.701865,0.573672,-0.389252,0.127893,1.409375,0.364798,-0.632602,0.163178,0.230306,0.721212,0.081184,1.400241,0.378055,0.264453,-0.565442,0.644814,-0.441085,0.108003,1.39621,0.408951,-0.409022,-0.363679,0.731447,0.406725,0.11674,1.381806,0.364783,-0.498379,-0.00252,0.181155,0.847818,0.079557,1.405674,0.398309,-0.048783,-0.605541,0.784097,-0.127015,0.099681,1.394327,0.366229,0.264453,-0.565442,0.644814,-0.441085,0.07994,1.415777,0.375355,0.249788,-0.618942,0.604304,-0.435125,0.117367,1.41679,0.40969,-0.487957,-0.390751,0.66713,0.405153,0.121395,1.388809,0.361471,-0.632602,0.163178,0.230306,0.721212,0.078291,1.42322,0.401795,-0.06465,-0.636726,0.758294,-0.124059,0.1002,1.40982,0.36152,0.249788,-0.618942,0.604304,-0.435125,0.084388,1.478987,0.374579,-0.830464,0.498143,0.249352,0.00259,0.110777,1.42639,0.33979,-0.844439,0.47399,0.249507,-0.001418,0.096545,1.453318,0.354138,-0.88616,0.392278,0.232486,0.082395,0.074785,1.500793,0.383649,-0.830464,0.498143,0.249352,0.00259,22,0.131836,1.381829,0.323803,-0.632602,0.163178,0.230306,0.721212,4,T,Static,Right
2,3,0.027446,1.651485,0.024322,0.996954,0.073203,0.012575,0.023779,0.063119,1.460816,0.396411,-0.452883,-0.544201,0.671155,0.219758,0.123573,1.455643,0.394141,-0.635089,-0.265484,0.537399,0.487219,0.120418,1.418749,0.345891,-0.630667,0.160298,0.226022,0.724899,0.086605,1.462966,0.405194,-0.491305,-0.48024,0.666227,0.290053,0.042939,1.456278,0.385939,-0.452883,-0.544201,0.671155,0.219758,0.078982,1.433272,0.377805,0.164805,-0.698936,0.579473,-0.385408,0.125009,1.435919,0.40615,-0.541053,-0.36804,0.616108,0.438429,0.121407,1.403074,0.353119,-0.630667,0.160298,0.226022,0.724899,0.081029,1.44223,0.404812,-0.131555,-0.644932,0.7466,-0.096667,0.097053,1.427058,0.360352,0.164805,-0.698936,0.579473,-0.385408,0.128781,1.408792,0.36486,-0.630667,0.160298,0.226022,0.724899,0.082069,1.399855,0.377934,0.266846,-0.561343,0.649061,-0.438642,0.108754,1.395297,0.408852,-0.404579,-0.364167,0.730851,0.41177,0.117422,1.381309,0.364536,-0.495088,-0.004903,0.176751,0.850661,0.080401,1.40507,0.398242,-0.044343,-0.603088,0.786796,-0.123572,0.100547,1.393957,0.36607,0.266846,-0.561343,0.649061,-0.438642,0.080912,1.41546,0.37544,0.252114,-0.615049,0.6091,-0.432609,0.118273,1.415796,0.409821,-0.483765,-0.391473,0.666379,0.410683,0.122131,1.388313,0.361304,-0.630667,0.160298,0.226022,0.724899,0.079253,1.422604,0.401962,-0.060476,-0.634328,0.761279,-0.120105,0.101138,1.409521,0.361547,0.252114,-0.615049,0.6091,-0.432609,0.085978,1.47884,0.375148,-0.831556,0.497227,0.247384,0.008994,0.111875,1.426242,0.339983,-0.8464,0.471257,0.247997,0.00455,0.097885,1.453176,0.354555,-0.886768,0.390404,0.230952,0.088817,0.076616,1.500709,0.384322,-0.831556,0.497227,0.247384,0.008994,32,0.132553,1.381664,0.323571,-0.630667,0.160298,0.226022,0.724899,4,T,Static,Right
3,4,0.027784,1.652511,0.025504,0.997144,0.070718,0.012948,0.023148,0.063191,1.46114,0.396643,-0.456633,-0.542166,0.669468,0.222161,0.123647,1.45592,0.39389,-0.637248,-0.262959,0.535634,0.487713,0.120368,1.418902,0.345739,-0.631345,0.162473,0.225871,0.723871,0.086762,1.463278,0.405197,-0.494769,-0.477965,0.664454,0.291982,0.0429,1.45661,0.386383,-0.456633,-0.542166,0.669468,0.222161,0.078957,1.433475,0.377847,0.161674,-0.700542,0.579692,-0.383484,0.125156,1.436231,0.405948,-0.543302,-0.366433,0.615166,0.438315,0.121396,1.403249,0.353006,-0.631345,0.162473,0.225871,0.723871,0.081163,1.442504,0.404819,-0.134632,-0.64523,0.745919,-0.095695,0.096892,1.427213,0.360272,0.161674,-0.700542,0.579692,-0.383484,0.128797,1.408994,0.364719,-0.631345,0.162473,0.225871,0.723871,0.082158,1.400069,0.378018,0.265462,-0.562909,0.648838,-0.437805,0.108962,1.395597,0.408827,-0.406662,-0.363521,0.73004,0.411729,0.117471,1.381497,0.364517,-0.495975,-0.002634,0.176941,0.850114,0.080552,1.405315,0.398322,-0.046089,-0.603898,0.786129,-0.123229,0.100597,1.394181,0.366089,0.265462,-0.562909,0.648838,-0.437805,0.080927,1.415673,0.375505,0.249979,-0.616755,0.609228,-0.431237,0.118459,1.416111,0.409702,-0.485977,-0.390349,0.665375,0.410769,0.122159,1.388498,0.361246,-0.631345,0.162473,0.225871,0.723871,0.079394,1.422863,0.402022,-0.062916,-0.634948,0.760698,-0.119249,0.101076,1.409725,0.361505,0.249979,-0.616755,0.609228,-0.431237,0.086003,1.479141,0.374816,-0.830361,0.499761,0.246326,0.007977,0.111814,1.426381,0.339828,-0.845718,0.473004,0.247019,0.003356,0.097854,1.453372,0.354322,-0.886063,0.392732,0.230064,0.087884,0.076675,1.50107,0.383881,-0.830361,0.499761,0.246326,0.007977,44,0.132439,1.381757,0.32349,-0.631345,0.162473,0.225871,0.723871,4,T,Static,Right
4,5,0.027939,1.652724,0.025825,0.997271,0.068919,0.013135,0.02298,0.063251,1.461432,0.39687,-0.460125,-0.540273,0.667847,0.224435,0.123706,1.45617,0.393662,-0.63927,-0.260617,0.533934,0.488188,0.120317,1.419038,0.345601,-0.632007,0.164465,0.225723,0.722889,0.086901,1.463558,0.405208,-0.498008,-0.47584,0.662746,0.293822,0.042859,1.456911,0.386811,-0.460125,-0.540273,0.667847,0.224435,0.078922,1.433654,0.377892,0.158698,-0.702062,0.579926,-0.381589,0.125284,1.436514,0.405764,-0.545406,-0.364963,0.614261,0.4382,0.121383,1.403407,0.352902,-0.632007,0.164465,0.225723,0.722889,0.081281,1.442748,0.404829,-0.137534,-0.645519,0.745263,-0.094725,0.096727,1.427348,0.3602,0.158698,-0.702062,0.579926,-0.381589,0.128807,1.409177,0.364591,-0.632007,0.164465,0.225723,0.722889,0.082234,1.400264,0.378102,0.264217,-0.564376,0.648661,-0.43693,0.109152,1.395867,0.408805,-0.408613,-0.362958,0.729205,0.411773,0.117515,1.381665,0.3645,-0.496835,-0.000549,0.177099,0.849583,0.080686,1.405535,0.398404,-0.047684,-0.604685,0.785494,-0.122805,0.100637,1.394389,0.36611,0.264217,-0.564376,0.648661,-0.43693,0.080929,1.415865,0.375574,0.247967,-0.618369,0.609392,-0.429853,0.118626,1.416394,0.409594,-0.488063,-0.389309,0.664371,0.410906,0.122182,1.388664,0.361194,-0.632007,0.164465,0.225723,0.722889,0.079519,1.423097,0.402087,-0.065225,-0.635542,0.76015,-0.118338,0.101003,1.409911,0.361469,0.247967,-0.618369,0.609392,-0.429853,0.086008,1.479412,0.374505,-0.829216,0.502109,0.245436,0.006991,0.111753,1.426504,0.339687,-0.845053,0.474624,0.246198,0.002206,0.097815,1.453548,0.354105,-0.885393,0.394875,0.229327,0.086963,0.076707,1.501394,0.383467,-0.829216,0.502109,0.245436,0.006991,55,0.132331,1.38184,0.323418,-0.632007,0.164465,0.225723,0.722889,4,T,Static,Right
5,6,0.028136,1.652676,0.025996,0.997335,0.067922,0.013493,0.022975,0.064135,1.461858,0.397127,-0.4606,-0.537866,0.668772,0.226479,0.124547,1.456248,0.393757,-0.638656,-0.258258,0.533889,0.49029,0.120939,1.41915,0.345684,-0.630407,0.165278,0.224909,0.724352,0.087818,1.463853,0.405403,-0.498127,-0.473466,0.663515,0.295715,0.043685,1.457453,0.387133,-0.4606,-0.537866,0.668772,0.226479,0.079566,1.433987,0.378105,0.156194,-0.701106,0.582663,-0.380209,0.126042,1.436581,0.405852,-0.544973,-0.362779,0.614459,0.440269,0.121934,1.403512,0.35298,-0.630407,0.165278,0.224909,0.724352,0.082072,1.443055,0.405037,-0.138982,-0.643564,0.746896,-0.093036,0.097241,1.427575,0.360321,0.156194,-0.701106,0.582663,-0.380209,0.129393,1.409239,0.364668,-0.630407,0.165278,0.224909,0.724352,0.082792,1.400569,0.37822,0.263066,-0.563008,0.650527,-0.436616,0.109719,1.39601,0.408898,-0.40774,-0.36139,0.729616,0.413286,0.117969,1.381781,0.36458,-0.494884,0.00023,0.176731,0.850797,0.081289,1.40582,0.398531,-0.047978,-0.602966,0.786941,-0.121878,0.101147,1.394624,0.36619,0.263066,-0.563008,0.650527,-0.436616,0.081549,1.416175,0.375728,0.246491,-0.617157,0.611422,-0.429561,0.119291,1.416492,0.409683,-0.48744,-0.3875,0.664766,0.412714,0.122666,1.388758,0.361272,-0.630407,0.165278,0.224909,0.724352,0.080206,1.423395,0.402247,-0.065752,-0.633789,0.761694,-0.117522,0.101562,1.410131,0.361575,0.246491,-0.617157,0.611422,-0.429561,0.087021,1.479746,0.374591,-0.828879,0.503584,0.243465,0.009394,0.112412,1.426663,0.339775,-0.845167,0.475318,0.24443,0.004459,0.098645,1.453787,0.354207,-0.88501,0.396078,0.227734,0.08954,0.077874,1.501804,0.383525,-0.828879,0.503584,0.243465,0.009394,65,0.132744,1.381897,0.323484,-0.630407,0.165278,0.224909,0.724352,4,T,Static,Right
6,7,0.028298,1.652432,0.02625,0.997374,0.067348,0.013943,0.022705,0.064445,1.462146,0.397321,-0.462004,-0.536801,0.667633,0.229485,0.124818,1.456393,0.393513,-0.639654,-0.256528,0.531461,0.49253,0.12111,1.419355,0.345398,-0.630655,0.165832,0.223807,0.724351,0.088191,1.464065,0.405432,-0.49963,-0.472083,0.662027,0.29871,0.043919,1.45781,0.387453,-0.462004,-0.536801,0.667633,0.229485,0.079722,1.434204,0.378045,0.154757,-0.701604,0.583816,-0.378101,0.126337,1.436713,0.405585,-0.545914,-0.361738,0.61319,0.441726,0.122109,1.40371,0.352674,-0.630655,0.165832,0.223807,0.724351,0.082371,1.443238,0.404975,-0.140491,-0.643403,0.747009,-0.090956,0.097292,1.427787,0.36016,0.154757,-0.701604,0.583816,-0.378101,0.129586,1.409411,0.364366,-0.630655,0.165832,0.223807,0.724351,0.083007,1.400803,0.378064,0.263173,-0.5631,0.651388,-0.435146,0.11001,1.396144,0.408629,-0.408367,-0.361166,0.728315,0.415153,0.118154,1.381957,0.364278,-0.49498,0.00099,0.175744,0.850945,0.081548,1.405998,0.398393,-0.047991,-0.603162,0.787057,-0.120141,0.101338,1.394891,0.36598,0.263173,-0.5631,0.651388,-0.435146,0.081713,1.416402,0.37561,0.245597,-0.61757,0.612659,-0.427713,0.11959,1.416623,0.409411,-0.488244,-0.386872,0.663523,0.41435,0.122846,1.388936,0.360965,-0.630655,0.165832,0.223807,0.724351,0.08048,1.423572,0.402148,-0.066677,-0.633791,0.761918,-0.115515,0.10166,1.41037,0.361358,0.245597,-0.61757,0.612659,-0.427713,0.087382,1.48007,0.374306,-0.828299,0.50517,0.242117,0.010209,0.112591,1.426887,0.339501,-0.845348,0.475553,0.243334,0.004946,0.098898,1.454037,0.353954,-0.884654,0.397307,0.226617,0.090439,0.078322,1.502184,0.383188,-0.828299,0.50517,0.242117,0.010209,77,0.132836,1.382109,0.323148,-0.630655,0.165832,0.223807,0.724351,4,T,Static,Right
7,8,0.028496,1.652372,0.026197,0.997317,0.068181,0.014507,0.022333,0.064737,1.462423,0.397538,-0.463396,-0.535764,0.666457,0.2325,0.125068,1.456528,0.393282,-0.640678,-0.254779,0.528956,0.494799,0.121267,1.419546,0.345127,-0.630924,0.166365,0.22277,0.724314,0.088546,1.464265,0.40548,-0.501156,-0.470696,0.660481,0.301749,0.044136,1.458154,0.387798,-0.463396,-0.535764,0.666457,0.2325,0.07986,1.434405,0.378,0.153363,-0.702115,0.584887,-0.376061,0.12661,1.436838,0.405333,-0.546872,-0.360711,0.61193,0.443126,0.122272,1.403895,0.352386,-0.630924,0.166365,0.22277,0.724314,0.082648,1.443408,0.404926,-0.141994,-0.643266,0.747086,-0.088933,0.097328,1.427985,0.360016,0.153363,-0.702115,0.584887,-0.376061,0.129764,1.409573,0.364082,-0.630924,0.166365,0.22277,0.724314,0.083206,1.401026,0.377928,0.263349,-0.563195,0.652198,-0.4337,0.110284,1.396268,0.408376,-0.409023,-0.360957,0.72697,0.417043,0.118328,1.38212,0.363995,-0.495112,0.001721,0.174812,0.851059,0.081789,1.406164,0.398275,-0.047969,-0.603391,0.787145,-0.118414,0.101514,1.39515,0.365793,0.263349,-0.563195,0.652198,-0.4337,0.081856,1.416617,0.375511,0.244696,-0.61801,0.613867,-0.425858,0.119869,1.416745,0.409156,-0.489081,-0.386242,0.66226,0.415967,0.123013,1.389101,0.360678,-0.630924,0.166365,0.22277,0.724314,0.080734,1.423737,0.402068,-0.067643,-0.633813,0.762119,-0.113491,0.101735,1.410596,0.36116,0.244696,-0.61801,0.613867,-0.425858,0.087722,1.480383,0.374022,-0.827644,0.506835,0.240837,0.011018,0.112756,1.427096,0.339242,-0.845481,0.475832,0.242315,0.005418,0.099134,1.454274,0.35371,-0.884242,0.39861,0.225579,0.091324,0.078748,1.502555,0.382847,-0.827644,0.506835,0.240837,0.011018,88,0.132918,1.382307,0.322832,-0.630924,0.166365,0.22277,0.724314,4,T,Static,Right
8,9,0.028858,1.652506,0.026107,0.997134,0.070565,0.015002,0.02281,0.064915,1.462167,0.397983,-0.46214,-0.535868,0.666752,0.23391,0.125205,1.456122,0.393633,-0.640013,-0.254559,0.527907,0.496887,0.121255,1.419284,0.345381,-0.630335,0.166056,0.221209,0.725375,0.08873,1.463928,0.405927,-0.500112,-0.470702,0.660499,0.303429,0.04431,1.457972,0.38822,-0.46214,-0.535868,0.666752,0.23391,0.079889,1.434183,0.378374,0.15281,-0.701457,0.587002,-0.374215,0.126707,1.436392,0.405625,-0.546243,-0.36023,0.611258,0.445216,0.122231,1.403609,0.352594,-0.630335,0.166056,0.221209,0.725375,0.082764,1.443092,0.405322,-0.141955,-0.642441,0.74805,-0.086832,0.097273,1.427757,0.360311,0.15281,-0.701457,0.587002,-0.374215,0.129754,1.40924,0.364292,-0.630335,0.166056,0.221209,0.725375,0.083144,1.400834,0.378195,0.263201,-0.562192,0.654448,-0.431699,0.11028,1.395856,0.408564,-0.408345,-0.360489,0.726057,0.419695,0.118247,1.381817,0.364134,-0.494098,0.001607,0.173339,0.85195,0.081791,1.405878,0.398569,-0.047641,-0.602522,0.788232,-0.115705,0.101401,1.394964,0.36598,0.263201,-0.562192,0.654448,-0.431699,0.081834,1.416412,0.375834,0.244337,-0.617176,0.615962,-0.424245,0.119918,1.416305,0.409395,-0.488487,-0.385685,0.661541,0.418319,0.122947,1.388795,0.360834,-0.630335,0.166056,0.221209,0.725375,0.080789,1.423439,0.402418,-0.067468,-0.632928,0.763185,-0.111349,0.101655,1.410383,0.361406,0.244337,-0.617176,0.615962,-0.424245,0.087878,1.480067,0.374561,-0.828909,0.505306,0.239657,0.011845,0.112748,1.426867,0.339533,-0.846531,0.474569,0.2411,0.006378,0.099209,1.454022,0.354122,-0.885175,0.397053,0.22428,0.092269,0.078959,1.502218,0.383496,-0.828909,0.505306,0.239657,0.011845,99,0.132801,1.382087,0.322959,-0.630335,0.166056,0.221209,0.725375,4,T,Static,Right
9,10,0.029166,1.652503,0.026148,0.996974,0.072142,0.015998,0.024121,0.064581,1.462325,0.397625,-0.460762,-0.536666,0.667606,0.232362,0.12486,1.456284,0.393423,-0.639519,-0.254884,0.528508,0.496718,0.121088,1.419424,0.34517,-0.630075,0.165117,0.222435,0.725442,0.088367,1.464101,0.405654,-0.499053,-0.471369,0.661311,0.302367,0.044026,1.458108,0.387767,-0.460762,-0.536666,0.667606,0.232362,0.079549,1.434349,0.3781,0.152526,-0.701228,0.587241,-0.374385,0.126333,1.436563,0.405432,-0.545757,-0.360462,0.61187,0.444783,0.12204,1.403755,0.352396,-0.630075,0.165117,0.222435,0.725442,0.082392,1.443269,0.405048,-0.141603,-0.642252,0.748214,-0.087388,0.096928,1.427901,0.360039,0.152526,-0.701228,0.587241,-0.374385,0.129515,1.409385,0.364126,-0.630075,0.165117,0.222435,0.725442,0.082851,1.401014,0.377931,0.264245,-0.56168,0.654137,-0.432198,0.109911,1.396023,0.408348,-0.407537,-0.361092,0.726287,0.419564,0.118019,1.381958,0.363951,-0.493987,0.00044,0.174369,0.851805,0.081441,1.406048,0.398303,-0.046404,-0.602513,0.788218,-0.116353,0.101141,1.395157,0.365759,0.264245,-0.56168,0.654137,-0.432198,0.081537,1.416586,0.375563,0.245008,-0.616757,0.615753,-0.424771,0.119539,1.416476,0.409195,-0.487825,-0.386149,0.66195,0.418017,0.122727,1.388936,0.360661,-0.630075,0.165117,0.222435,0.725442,0.080424,1.42361,0.402145,-0.06646,-0.632873,0.763206,-0.112122,0.101386,1.410561,0.361172,0.245008,-0.616757,0.615753,-0.424771,0.087697,1.48034,0.374084,-0.827295,0.507397,0.240729,0.013462,0.112614,1.427011,0.339278,-0.845695,0.475357,0.242442,0.007598,0.099051,1.454204,0.353773,-0.88399,0.398535,0.225745,0.093652,0.078799,1.502552,0.382885,-0.827295,0.507397,0.240729,0.013462,112,0.132698,1.382207,0.322821,-0.630075,0.165117,0.222435,0.725442,4,T,Static,Right
