,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.005716,1.739645,0.028331,0.968717,0.242478,0.040289,0.03419,-0.001723,1.631077,0.196957,-0.610398,-0.421431,0.62205,-0.250729,0.053344,1.627082,0.194019,-0.718139,0.112078,0.649127,0.224386,0.060843,1.567275,0.194672,-0.55738,0.404787,0.541486,0.481942,0.019045,1.64467,0.199158,-0.664013,-0.285571,0.680149,-0.122199,-0.015132,1.612608,0.194504,-0.610398,-0.421431,0.62205,-0.250729,-0.00445,1.62817,0.215148,-0.527556,-0.504291,0.632026,-0.260611,0.057055,1.625537,0.216572,-0.694267,0.074887,0.670832,0.249738,0.063703,1.564162,0.211232,-0.55738,0.404787,0.541486,0.481942,0.017705,1.644861,0.220478,-0.621321,-0.317114,0.702695,-0.140069,-0.015834,1.606419,0.207807,-0.527556,-0.504291,0.632026,-0.260611,0.068748,1.578004,0.213332,-0.55738,0.404787,0.541486,0.481942,0.001921,1.611092,0.244036,-0.396661,-0.46679,0.777605,-0.141766,0.047867,1.601723,0.251677,-0.622619,-0.008326,0.700719,0.348237,0.06236,1.56013,0.235844,-0.523194,0.2019,0.538588,0.628831,0.020202,1.616768,0.252239,-0.547302,-0.331949,0.766001,0.059262,-0.009952,1.598621,0.229533,-0.396661,-0.46679,0.777605,-0.141766,-0.0039,1.619979,0.229671,-0.425578,-0.513539,0.695855,-0.266359,0.053587,1.615805,0.235225,-0.676166,0.035518,0.674868,0.293414,0.06603,1.562367,0.227995,-0.55738,0.404787,0.541486,0.481942,0.017931,1.63356,0.238687,-0.574084,-0.343175,0.740053,-0.070568,-0.01343,1.600248,0.217642,-0.425578,-0.513539,0.695855,-0.266359,-0.00392,1.599819,0.177006,-0.795182,0.332931,0.14651,-0.485156,0.052083,1.565434,0.185681,-0.462023,0.734647,0.361918,-0.340358,0.024265,1.579851,0.174301,-0.653792,0.601577,0.314763,-0.334044,-0.018315,1.610506,0.194777,-0.795182,0.332931,0.14651,-0.485156,11,0.080442,1.530471,0.210093,-0.55738,0.404787,0.541486,0.481942,37,Ø,Dynamic,Right
1,2,0.005816,1.739905,0.028626,0.968905,0.241783,0.040134,0.033961,-0.001336,1.631394,0.196425,-0.613637,-0.420328,0.619285,-0.251516,0.053699,1.627429,0.19318,-0.71982,0.114888,0.647664,0.221791,0.06112,1.567618,0.194149,-0.557614,0.408385,0.540845,0.479349,0.019423,1.645033,0.198417,-0.666811,-0.284371,0.677578,-0.124036,-0.014754,1.612906,0.194174,-0.613637,-0.420328,0.619285,-0.251516,-0.00395,1.628749,0.21469,-0.531586,-0.502789,0.63007,-0.260062,0.057555,1.626015,0.215717,-0.696061,0.078369,0.669163,0.24815,0.064087,1.564602,0.210709,-0.557614,0.408385,0.540845,0.479349,0.018267,1.645434,0.219774,-0.624698,-0.315176,0.700471,-0.140563,-0.015441,1.606984,0.207558,-0.531586,-0.502789,0.63007,-0.260062,0.069166,1.578448,0.212688,-0.557614,0.408385,0.540845,0.479349,0.002589,1.611704,0.243569,-0.399694,-0.466679,0.775717,-0.143938,0.048567,1.602424,0.251024,-0.624678,-0.005487,0.700068,0.345909,0.062903,1.560718,0.235348,-0.523933,0.205875,0.538632,0.626886,0.020899,1.617463,0.251646,-0.550274,-0.330614,0.764613,0.057098,-0.009314,1.599106,0.229201,-0.399694,-0.466679,0.775717,-0.143938,-0.003304,1.620565,0.229226,-0.429242,-0.513,0.693737,-0.267042,0.054197,1.6164,0.234451,-0.678058,0.038818,0.673628,0.291473,0.066524,1.562903,0.227461,-0.557614,0.408385,0.540845,0.479349,0.018577,1.634205,0.238027,-0.577332,-0.341616,0.738114,-0.071929,-0.012904,1.600759,0.217378,-0.429242,-0.513,0.693737,-0.267042,-0.003711,1.600158,0.176789,-0.795362,0.332986,0.141758,-0.486235,0.052295,1.565735,0.185232,-0.461446,0.735065,0.358754,-0.343574,0.02442,1.580132,0.173963,-0.653757,0.602166,0.31084,-0.336715,-0.017941,1.610955,0.194626,-0.795362,0.332986,0.141758,-0.486235,22,0.080777,1.530881,0.209658,-0.557614,0.408385,0.540845,0.479349,37,Ø,Dynamic,Right
2,3,0.006046,1.74028,0.028968,0.96906,0.241289,0.039911,0.033325,-0.00097,1.631663,0.195903,-0.616636,-0.419341,0.616591,-0.252446,0.054032,1.627755,0.192378,-0.721402,0.117418,0.646357,0.219125,0.061382,1.567942,0.193648,-0.557811,0.411781,0.540241,0.476889,0.019769,1.645358,0.1977,-0.669361,-0.283415,0.675086,-0.126061,-0.014388,1.613152,0.193845,-0.616636,-0.419341,0.616591,-0.252446,-0.003476,1.629307,0.214245,-0.535437,-0.501276,0.628264,-0.25945,0.058026,1.626465,0.214898,-0.69773,0.08172,0.667552,0.246718,0.064448,1.565017,0.210206,-0.557811,0.411781,0.540241,0.476889,0.018801,1.645981,0.219097,-0.627889,-0.313299,0.698374,-0.140975,-0.015073,1.607534,0.207313,-0.535437,-0.501276,0.628264,-0.25945,0.06956,1.578867,0.212069,-0.557811,0.411781,0.540241,0.476889,0.003218,1.612288,0.243119,-0.402543,-0.466586,0.773921,-0.145955,0.049226,1.603087,0.250394,-0.626621,-0.002806,0.699409,0.343751,0.063415,1.561274,0.234868,-0.524611,0.209629,0.538677,0.625034,0.021557,1.618121,0.251075,-0.553098,-0.329321,0.763275,0.055152,-0.008712,1.599571,0.228879,-0.402543,-0.466586,0.773921,-0.145955,-0.00274,1.621133,0.228797,-0.432741,-0.512426,0.69177,-0.267601,0.054771,1.616961,0.233707,-0.679825,0.042014,0.672406,0.289729,0.06699,1.56341,0.226947,-0.557811,0.411781,0.540241,0.476889,0.019191,1.634823,0.237394,-0.580414,-0.340081,0.736286,-0.073131,-0.01241,1.601259,0.21712,-0.432741,-0.512426,0.69177,-0.267601,-0.003507,1.600488,0.176578,-0.795592,0.332952,0.137216,-0.487184,0.052494,1.56602,0.184801,-0.460916,0.735476,0.355718,-0.346549,0.02457,1.580402,0.173636,-0.653767,0.602701,0.30708,-0.339179,-0.017576,1.61139,0.19448,-0.795592,0.332952,0.137216,-0.487184,33,0.081094,1.531268,0.20924,-0.557811,0.411781,0.540241,0.476889,37,Ø,Dynamic,Right
3,4,0.006246,1.740335,0.029547,0.969358,0.240097,0.040147,0.032971,-0.000621,1.631894,0.195391,-0.619441,-0.418447,0.613957,-0.25348,0.054348,1.628064,0.191605,-0.722901,0.119726,0.64517,0.216415,0.06163,1.568249,0.193164,-0.557978,0.41501,0.539666,0.47454,0.020091,1.645654,0.197004,-0.671713,-0.282649,0.67266,-0.128219,-0.014031,1.613358,0.193518,-0.619441,-0.418447,0.613957,-0.25348,-0.003022,1.629847,0.213813,-0.539136,-0.499756,0.62658,-0.258793,0.058471,1.626891,0.214109,-0.699295,0.084962,0.66599,0.24541,0.064792,1.565412,0.20972,-0.557978,0.41501,0.539666,0.47454,0.019312,1.646508,0.218443,-0.630926,-0.311472,0.696381,-0.141324,-0.014725,1.60807,0.207071,-0.539136,-0.499756,0.62658,-0.258793,0.069933,1.579265,0.211472,-0.557978,0.41501,0.539666,0.47454,0.003815,1.612849,0.242682,-0.405237,-0.466513,0.772197,-0.147855,0.049852,1.603718,0.249782,-0.628468,-0.000258,0.69875,0.341725,0.063901,1.561804,0.234402,-0.525237,0.213201,0.538722,0.623257,0.022183,1.618749,0.250522,-0.555793,-0.32807,0.761981,0.053371,-0.008139,1.600019,0.228564,-0.405237,-0.466513,0.772197,-0.147855,-0.002202,1.621685,0.22838,-0.436097,-0.511828,0.689921,-0.268069,0.055315,1.617494,0.232987,-0.681489,0.045117,0.671204,0.288135,0.067432,1.563892,0.226449,-0.557978,0.41501,0.539666,0.47454,0.019778,1.635417,0.236782,-0.583355,-0.338572,0.734546,-0.074215,-0.011941,1.601748,0.216868,-0.436097,-0.511828,0.689921,-0.268069,-0.003306,1.600811,0.176373,-0.795857,0.332852,0.13285,-0.48803,0.052684,1.566291,0.184385,-0.460424,0.735879,0.352792,-0.349329,0.024716,1.580663,0.173319,-0.653811,0.60319,0.303457,-0.341477,-0.017217,1.611812,0.194337,-0.795857,0.332852,0.13285,-0.48803,44,0.081395,1.531638,0.208835,-0.557978,0.41501,0.539666,0.47454,37,Ø,Dynamic,Right
4,5,0.006645,1.740378,0.02992,0.969704,0.238762,0.040312,0.03228,-0.000929,1.631956,0.195407,-0.618445,-0.418912,0.613996,-0.255045,0.054039,1.628215,0.191737,-0.722365,0.119321,0.64603,0.215862,0.061345,1.568407,0.193326,-0.557619,0.414481,0.540307,0.474695,0.019748,1.645764,0.197057,-0.670914,-0.283078,0.673036,-0.129477,-0.01428,1.61338,0.193511,-0.618445,-0.418912,0.613996,-0.255045,-0.003396,1.629993,0.213856,-0.538793,-0.499383,0.627132,-0.25889,0.058124,1.627049,0.214248,-0.69882,0.084494,0.666596,0.245278,0.064484,1.565574,0.209888,-0.557619,0.414481,0.540307,0.474695,0.018944,1.646638,0.218518,-0.630493,-0.311175,0.696914,-0.141277,-0.015105,1.608226,0.207097,-0.538793,-0.499383,0.627132,-0.25889,0.069618,1.579428,0.211638,-0.557619,0.414481,0.540307,0.474695,0.00342,1.612961,0.242735,-0.404142,-0.467126,0.772236,-0.148709,0.049456,1.603875,0.24991,-0.628049,-0.001082,0.699221,0.341531,0.063556,1.561968,0.234561,-0.524937,0.212541,0.539287,0.623247,0.021769,1.618876,0.250608,-0.555109,-0.328623,0.762268,0.052996,-0.008476,1.600111,0.228586,-0.404142,-0.467126,0.772236,-0.148709,-0.002593,1.621844,0.228436,-0.435656,-0.511598,0.69033,-0.268172,0.05494,1.617652,0.233123,-0.681034,0.044639,0.671718,0.288089,0.0671,1.564057,0.226613,-0.557619,0.414481,0.540307,0.474695,0.019388,1.635558,0.236865,-0.582937,-0.338368,0.734988,-0.074052,-0.012327,1.601915,0.216905,-0.435656,-0.511598,0.69033,-0.268172,-0.003547,1.600999,0.176526,-0.796588,0.3316,0.132656,-0.487742,0.052406,1.566442,0.184541,-0.460506,0.736091,0.352964,-0.348599,0.024462,1.580838,0.173446,-0.654325,0.602849,0.303508,-0.341052,-0.01742,1.611971,0.194537,-0.796588,0.3316,0.132656,-0.487742,55,0.081113,1.531808,0.209029,-0.557619,0.414481,0.540307,0.474695,37,Ø,Dynamic,Right
5,6,0.006901,1.740244,0.030324,0.969893,0.237995,0.041002,0.031386,-0.001202,1.63202,0.195396,-0.61759,-0.419347,0.613898,-0.25663,0.053763,1.628366,0.191826,-0.721914,0.119051,0.646798,0.215218,0.061087,1.568563,0.193456,-0.557283,0.414119,0.540885,0.474747,0.019441,1.645876,0.197074,-0.670253,-0.283443,0.673288,-0.130779,-0.014492,1.613402,0.193487,-0.61759,-0.419347,0.613898,-0.25663,-0.003729,1.63015,0.213876,-0.538626,-0.498962,0.627596,-0.258925,0.057817,1.62721,0.214343,-0.698439,0.084177,0.6671,0.245103,0.064208,1.565738,0.210023,-0.557283,0.414119,0.540885,0.474747,0.01862,1.646778,0.218558,-0.630227,-0.310791,0.697343,-0.141197,-0.015451,1.608393,0.207107,-0.538626,-0.498962,0.627596,-0.258925,0.069338,1.579594,0.211766,-0.557283,0.414119,0.540885,0.474747,0.003074,1.613094,0.24277,-0.403272,-0.467648,0.772231,-0.149454,0.049111,1.604045,0.250001,-0.627743,-0.001731,0.699584,0.341347,0.063253,1.562139,0.234686,-0.524676,0.212069,0.539819,0.623167,0.021409,1.61902,0.250667,-0.554619,-0.329022,0.762471,0.052733,-0.008775,1.600226,0.228597,-0.403272,-0.467648,0.772231,-0.149454,-0.002939,1.622023,0.228472,-0.435434,-0.511301,0.690691,-0.268169,0.054612,1.617819,0.233216,-0.680678,0.044339,0.672117,0.288047,0.066807,1.564227,0.226743,-0.557283,0.414119,0.540885,0.474747,0.01905,1.635713,0.236918,-0.58271,-0.338037,0.735347,-0.073798,-0.012677,1.602102,0.216931,-0.435434,-0.511301,0.690691,-0.268169,-0.00376,1.601194,0.176664,-0.797371,0.3303,0.132227,-0.487461,0.052153,1.566592,0.184667,-0.460607,0.736317,0.352965,-0.347986,0.024231,1.581014,0.17355,-0.65487,0.602526,0.303361,-0.340706,-0.017586,1.612141,0.194727,-0.797371,0.3303,0.132227,-0.487461,67,0.08086,1.531978,0.20919,-0.557283,0.414119,0.540885,0.474747,37,Ø,Dynamic,Right
6,7,0.007151,1.740174,0.030633,0.96993,0.237931,0.041355,0.030243,-0.001228,1.632136,0.19581,-0.616785,-0.419851,0.614665,-0.255909,0.05374,1.628477,0.192292,-0.721677,0.118064,0.646913,0.216209,0.061045,1.568667,0.193784,-0.557385,0.41326,0.540571,0.475732,0.019416,1.645981,0.197547,-0.66953,-0.284136,0.673875,-0.129959,-0.014527,1.613529,0.193838,-0.616785,-0.419851,0.614665,-0.255909,-0.003778,1.630299,0.214303,-0.537943,-0.499049,0.62859,-0.257764,0.057767,1.627265,0.214811,-0.698106,0.083584,0.666989,0.246551,0.064145,1.565801,0.210348,-0.557385,0.41326,0.540571,0.475732,0.018595,1.646876,0.219048,-0.62965,-0.311027,0.698035,-0.139827,-0.015534,1.608581,0.207466,-0.537943,-0.499049,0.62859,-0.257764,0.069276,1.579652,0.212133,-0.557385,0.41326,0.540571,0.475732,0.002971,1.613094,0.243151,-0.402433,-0.46789,0.772766,-0.148192,0.049012,1.604017,0.250403,-0.627346,-0.002939,0.699482,0.342275,0.063158,1.562143,0.235004,-0.524511,0.211163,0.539341,0.624027,0.021306,1.618983,0.251078,-0.553863,-0.329617,0.762676,0.053977,-0.008882,1.60028,0.228934,-0.402433,-0.46789,0.772766,-0.148192,-0.003003,1.622094,0.228875,-0.434415,-0.511616,0.691417,-0.26735,0.054537,1.61783,0.233658,-0.680328,0.043536,0.671973,0.28933,0.066722,1.564249,0.227071,-0.557385,0.41326,0.540571,0.475732,0.018988,1.635745,0.237381,-0.58191,-0.338576,0.735841,-0.072702,-0.012738,1.602211,0.217268,-0.434415,-0.511616,0.691417,-0.26735,-0.003728,1.601415,0.176984,-0.798286,0.329106,0.133,-0.48656,0.052123,1.56672,0.184978,-0.461473,0.736266,0.353354,-0.346549,0.024241,1.581208,0.173848,-0.655777,0.601989,0.303891,-0.339434,-0.017545,1.61232,0.195079,-0.798286,0.329106,0.133,-0.48656,77,0.080785,1.532038,0.209456,-0.557385,0.41326,0.540571,0.475732,37,Ø,Dynamic,Right
7,8,0.007533,1.740097,0.030835,0.969772,0.238655,0.041525,0.029351,-0.001294,1.631844,0.196079,-0.613816,-0.421318,0.616,-0.257423,0.053696,1.628433,0.192874,-0.720412,0.114999,0.648901,0.216125,0.061197,1.568644,0.194235,-0.557216,0.410163,0.542198,0.476758,0.019272,1.645783,0.197984,-0.666733,-0.286454,0.675395,-0.131356,-0.014505,1.61319,0.193972,-0.613816,-0.421318,0.616,-0.257423,-0.003925,1.629923,0.214548,-0.534543,-0.500754,0.629367,-0.259626,0.057597,1.62717,0.215412,-0.696802,0.080362,0.668754,0.246531,0.06421,1.565741,0.210809,-0.557216,0.410163,0.542198,0.476758,0.018322,1.646612,0.219488,-0.62654,-0.313636,0.699342,-0.141424,-0.015527,1.608168,0.207569,-0.534543,-0.500754,0.629367,-0.259626,0.069283,1.579604,0.212665,-0.557216,0.410163,0.542198,0.476758,0.002685,1.612639,0.243351,-0.398671,-0.470138,0.773032,-0.149845,0.048715,1.603791,0.250886,-0.625922,-0.00676,0.70102,0.341683,0.063092,1.562009,0.23545,-0.524307,0.207687,0.540318,0.62452,0.020928,1.618613,0.251423,-0.550868,-0.332811,0.763577,0.052266,-0.008997,1.5998,0.229015,-0.398671,-0.470138,0.773032,-0.149845,-0.003202,1.621628,0.229064,-0.430374,-0.513546,0.69159,-0.269726,0.05429,1.61767,0.234213,-0.678964,0.040096,0.673794,0.288795,0.066695,1.56415,0.227543,-0.557216,0.410163,0.542198,0.476758,0.018634,1.635407,0.237763,-0.578566,-0.341585,0.736861,-0.074948,-0.01272,1.601711,0.217335,-0.430374,-0.513546,0.69159,-0.269726,-0.003551,1.601269,0.17716,-0.798123,0.328332,0.136188,-0.486469,0.052334,1.566692,0.18537,-0.46104,0.736199,0.356277,-0.344267,0.024486,1.581144,0.174108,-0.65556,0.601385,0.307078,-0.338055,-0.017473,1.612065,0.19524,-0.798123,0.328332,0.136188,-0.486469,89,0.080969,1.532038,0.209918,-0.557216,0.410163,0.542198,0.476758,37,Ø,Dynamic,Right
8,9,0.007973,1.739835,0.031084,0.96944,0.240027,0.041766,0.028802,-0.001346,1.631562,0.196307,-0.611036,-0.42274,0.617138,-0.258972,0.053657,1.628399,0.193394,-0.719254,0.112127,0.650754,0.215918,0.061343,1.568631,0.194644,-0.557041,0.407333,0.543732,0.477642,0.019138,1.645599,0.198367,-0.664091,-0.288746,0.676722,-0.132881,-0.014468,1.612859,0.194078,-0.611036,-0.42274,0.617138,-0.258972,-0.004044,1.629539,0.214747,-0.531224,-0.502587,0.629859,-0.261697,0.057442,1.627092,0.215949,-0.695629,0.07722,0.670428,0.246301,0.064276,1.565696,0.211226,-0.557041,0.407333,0.543732,0.477642,0.018065,1.646356,0.219872,-0.623497,-0.31641,0.700422,-0.143337,-0.01548,1.607738,0.207637,-0.531224,-0.502587,0.629859,-0.261697,0.069294,1.57957,0.213146,-0.557041,0.407333,0.543732,0.477642,0.002433,1.612203,0.243503,-0.39499,-0.472462,0.773122,-0.151807,0.048446,1.603596,0.251317,-0.624603,-0.010404,0.70253,0.340904,0.063038,1.561899,0.235853,-0.524117,0.204509,0.541257,0.624915,0.020581,1.618273,0.251716,-0.547966,-0.336033,0.764391,0.050215,-0.00907,1.599325,0.229057,-0.39499,-0.472462,0.773122,-0.151807,-0.003366,1.621159,0.229201,-0.426401,-0.515584,0.691482,-0.272411,0.054066,1.617534,0.234708,-0.677705,0.036777,0.675594,0.287986,0.066676,1.564071,0.227971,-0.557041,0.407333,0.543732,0.477642,0.018301,1.635085,0.238084,-0.575287,-0.344701,0.737701,-0.077612,-0.012655,1.601197,0.217365,-0.426401,-0.515584,0.691482,-0.272411,-0.003381,1.60114,0.177317,-0.798003,0.327511,0.139013,-0.486419,0.052535,1.566673,0.185726,-0.460595,0.736154,0.358945,-0.342183,0.024719,1.58109,0.174341,-0.655362,0.600808,0.309962,-0.33683,-0.017393,1.611834,0.195387,-0.798003,0.327511,0.139013,-0.486419,100,0.081146,1.532048,0.210342,-0.557041,0.407333,0.543732,0.477642,37,Ø,Dynamic,Right
9,10,0.008498,1.739727,0.031363,0.969166,0.241121,0.042138,0.028342,-0.000929,1.631826,0.196103,-0.610815,-0.42151,0.618423,-0.258433,0.054055,1.628476,0.193298,-0.718232,0.113141,0.651223,0.21737,0.06152,1.56868,0.194583,-0.555544,0.407954,0.54362,0.478981,0.019591,1.645805,0.198206,-0.663568,-0.28765,0.677831,-0.132217,-0.014105,1.613165,0.193847,-0.610815,-0.42151,0.618423,-0.258433,-0.003689,1.629784,0.214531,-0.531195,-0.501089,0.631301,-0.261155,0.05779,1.627163,0.215862,-0.694573,0.077898,0.67106,0.247343,0.064408,1.56574,0.211171,-0.555544,0.407954,0.54362,0.478981,0.018458,1.646536,0.2197,-0.622981,-0.315226,0.701533,-0.142755,-0.015198,1.608027,0.207402,-0.531195,-0.501089,0.631301,-0.261155,0.069472,1.579596,0.213098,-0.555544,0.407954,0.54362,0.478981,0.002661,1.612409,0.243278,-0.394035,-0.471539,0.77407,-0.152326,0.048636,1.603712,0.251219,-0.623308,-0.010096,0.70343,0.341427,0.063105,1.561956,0.2358,-0.522387,0.204973,0.541512,0.625989,0.020799,1.618445,0.25154,-0.546921,-0.335267,0.765475,0.050224,-0.008819,1.599545,0.228803,-0.394035,-0.471539,0.77407,-0.152326,-0.003059,1.621366,0.228964,-0.425809,-0.51453,0.692464,-0.272835,0.05434,1.617624,0.234618,-0.676543,0.0373,0.67642,0.288711,0.066767,1.564112,0.227924,-0.555544,0.407954,0.54362,0.478981,0.018608,1.635258,0.237901,-0.574409,-0.343875,0.738758,-0.077725,-0.012351,1.601416,0.21711,-0.425809,-0.51453,0.692464,-0.272835,-0.003024,1.601444,0.177132,-0.799265,0.327342,0.138603,-0.484574,0.052725,1.566751,0.185645,-0.460758,0.737377,0.357927,-0.340389,0.024996,1.58128,0.174189,-0.655937,0.601575,0.309237,-0.335001,-0.016991,1.612178,0.195215,-0.799265,0.327342,0.138603,-0.484574,111,0.081154,1.53203,0.210335,-0.555544,0.407954,0.54362,0.478981,37,Ø,Dynamic,Right
10,11,0.008993,1.739908,0.031823,0.968897,0.242156,0.042985,0.027411,-0.000534,1.632079,0.1959,-0.610602,-0.420371,0.619595,-0.257983,0.054429,1.628552,0.193196,-0.717271,0.114133,0.651657,0.218722,0.06169,1.568731,0.194518,-0.554128,0.408552,0.543547,0.480191,0.020019,1.646004,0.198043,-0.66308,-0.286625,0.678853,-0.131641,-0.013758,1.613455,0.193619,-0.610602,-0.420371,0.619595,-0.257983,-0.00336,1.63001,0.214313,-0.531229,-0.499618,0.632651,-0.260635,0.058117,1.627236,0.215767,-0.693593,0.078479,0.671692,0.248194,0.064536,1.565788,0.211113,-0.554128,0.408552,0.543547,0.480191,0.018823,1.646702,0.219523,-0.622515,-0.314093,0.702556,-0.142252,-0.014938,1.608295,0.20717,-0.531229,-0.499618,0.632651,-0.260635,0.069642,1.579629,0.213046,-0.554128,0.408552,0.543547,0.480191,0.002877,1.612604,0.243054,-0.393098,-0.470747,0.774903,-0.152959,0.048818,1.603832,0.251118,-0.622104,-0.009857,0.704311,0.341812,0.063173,1.56202,0.235743,-0.520766,0.205423,0.541787,0.626954,0.021004,1.618611,0.25136,-0.545945,-0.334581,0.766476,0.050142,-0.008576,1.599747,0.228551,-0.393098,-0.470747,0.774903,-0.152959,-0.00277,1.621556,0.228727,-0.425263,-0.513557,0.693343,-0.273288,0.0546,1.617717,0.234521,-0.675465,0.037735,0.677234,0.28927,0.066857,1.56416,0.227873,-0.554128,0.408552,0.543547,0.480191,0.018894,1.63542,0.237714,-0.573595,-0.343117,0.739724,-0.077906,-0.012064,1.601616,0.216858,-0.425263,-0.513557,0.693343,-0.273288,-0.002687,1.601727,0.176953,-0.800453,0.327093,0.138136,-0.482912,0.052908,1.566828,0.185562,-0.460846,0.738533,0.356983,-0.338753,0.02526,1.581457,0.174037,-0.656463,0.602272,0.308536,-0.333362,-0.016606,1.612495,0.195051,-0.800453,0.327093,0.138136,-0.482912,122,0.081167,1.532022,0.210326,-0.554128,0.408552,0.543547,0.480191,37,Ø,Dynamic,Right
