,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.035386,1.56104,0.024455,0.997728,0.061075,0.028101,0.004438,0.106518,1.495506,0.347646,0.894108,-0.411061,-0.13425,-0.116522,0.118753,1.440963,0.310449,0.861665,-0.48217,-0.138653,-0.076292,0.141081,1.383439,0.295544,0.830492,-0.511366,-0.207288,-0.076286,0.111958,1.475973,0.330852,0.900658,-0.396843,-0.153523,-0.088102,0.103677,1.514745,0.362138,0.894108,-0.411061,-0.13425,-0.116522,0.119275,1.492947,0.370441,0.928451,-0.292302,-0.198195,-0.115139,0.141941,1.445052,0.316057,0.909011,-0.365717,-0.184077,-0.077889,0.15902,1.38489,0.298498,0.830492,-0.511366,-0.207288,-0.076286,0.129028,1.477305,0.346969,0.942535,-0.263795,-0.192843,-0.069648,0.111848,1.509817,0.390272,0.928451,-0.292302,-0.198195,-0.115139,0.157046,1.400131,0.295065,0.830492,-0.511366,-0.207288,-0.076286,0.151706,1.412087,0.366918,0.498408,0.806688,-0.308323,0.076033,0.178927,1.425889,0.33524,0.950575,-0.050729,-0.280918,-0.122146,0.18135,1.385105,0.307375,0.826613,-0.426194,-0.191377,-0.31376,0.161566,1.431383,0.363096,0.76606,0.573339,-0.290566,-0.002572,0.146352,1.391577,0.356125,0.498408,0.806688,-0.308323,0.076033,0.135311,1.421541,0.370104,0.506516,0.831197,-0.206847,0.098831,0.161245,1.43818,0.325423,0.968603,-0.102747,-0.214331,-0.072897,0.17457,1.386752,0.300994,0.830492,-0.511366,-0.207288,-0.076286,0.144338,1.447909,0.362894,0.789285,0.56627,-0.232643,0.047389,0.133595,1.397507,0.359288,0.506516,0.831197,-0.206847,0.098831,0.108831,1.405434,0.361396,0.657164,-0.012905,0.286443,0.697079,0.13137,1.377366,0.302464,0.545445,-0.334896,-0.051306,0.766618,0.111314,1.387463,0.3296,0.677609,-0.203036,0.156505,0.689295,0.117255,1.417215,0.383794,0.657164,-0.012905,0.286443,0.697079,11,0.172152,1.35521,0.274073,0.830492,-0.511366,-0.207288,-0.076286,19,U,Static,Right
1,2,0.035339,1.56091,0.024273,0.997696,0.061729,0.027812,0.004336,0.105485,1.49588,0.346212,0.893835,-0.41151,-0.135883,-0.11513,0.117966,1.441288,0.309177,0.86095,-0.483163,-0.14027,-0.075114,0.140523,1.383761,0.294631,0.828995,-0.513159,-0.209339,-0.07491,0.111025,1.476336,0.329464,0.900313,-0.397325,-0.155105,-0.086674,0.102548,1.515135,0.360665,0.893835,-0.41151,-0.135883,-0.11513,0.118147,1.493582,0.368885,0.927735,-0.29395,-0.200227,-0.113188,0.141127,1.445487,0.314817,0.907879,-0.36786,-0.186089,-0.076196,0.15845,1.385289,0.29762,0.828995,-0.513159,-0.209339,-0.07491,0.128021,1.477867,0.345514,0.941794,-0.265574,-0.194724,-0.06765,0.110602,1.510515,0.388618,0.927735,-0.29395,-0.200227,-0.113188,0.156435,1.400505,0.294103,0.828995,-0.513159,-0.209339,-0.07491,0.150883,1.412886,0.365893,0.500719,0.80534,-0.307428,0.07872,0.178133,1.426554,0.334189,0.950256,-0.053431,-0.282486,-0.119833,0.180761,1.385629,0.306551,0.825769,-0.427725,-0.19392,-0.312333,0.160693,1.432186,0.361967,0.767599,0.571271,-0.290587,0.000248,0.145613,1.392287,0.35523,0.500719,0.80534,-0.307428,0.07872,0.134446,1.422285,0.368992,0.509009,0.82963,-0.205926,0.10109,0.160433,1.438731,0.324265,0.968157,-0.105254,-0.215799,-0.070886,0.17399,1.387218,0.300145,0.828995,-0.513159,-0.209339,-0.07491,0.143411,1.448633,0.361639,0.790717,0.564097,-0.232531,0.04991,0.132817,1.398172,0.358338,0.509009,0.82963,-0.205926,0.10109,0.107984,1.406008,0.36027,0.656333,-0.01652,0.287147,0.697496,0.130815,1.377692,0.301558,0.54317,-0.337363,-0.050496,0.767205,0.11065,1.387872,0.328583,0.676032,-0.206452,0.156788,0.689766,0.116282,1.417944,0.382633,0.656333,-0.01652,0.287147,0.697496,22,0.171743,1.355523,0.273389,0.828995,-0.513159,-0.209339,-0.07491,19,U,Static,Right
2,3,0.035293,1.560821,0.024117,0.997683,0.061959,0.027767,0.004407,0.105358,1.495014,0.347544,0.894712,-0.409954,-0.134955,-0.11496,0.1178,1.440584,0.310252,0.8622,-0.481195,-0.139515,-0.074818,0.140371,1.383137,0.29541,0.830391,-0.511219,-0.208609,-0.074762,0.110874,1.475534,0.330712,0.9012,-0.395681,-0.15423,-0.086543,0.102443,1.514215,0.362072,0.894712,-0.409954,-0.134955,-0.11496,0.118087,1.49267,0.370159,0.928387,-0.292516,-0.199195,-0.113375,0.140968,1.444768,0.315874,0.90876,-0.366146,-0.185152,-0.07623,0.158302,1.384662,0.298374,0.830391,-0.511219,-0.208609,-0.074762,0.127915,1.477027,0.34672,0.942385,-0.264136,-0.193748,-0.067862,0.11058,1.509538,0.389962,0.928387,-0.292516,-0.199195,-0.113375,0.156265,1.399892,0.294923,0.830391,-0.511219,-0.208609,-0.074762,0.150821,1.411903,0.366778,0.499021,0.806703,-0.306936,0.077454,0.178016,1.425764,0.335095,0.950664,-0.050807,-0.281481,-0.120106,0.180619,1.38497,0.307261,0.827012,-0.425994,-0.192612,-0.312219,0.160611,1.431229,0.36293,0.766454,0.573228,-0.289754,-0.000683,0.145546,1.391352,0.356025,0.499021,0.806703,-0.306936,0.077454,0.13439,1.421304,0.369946,0.506881,0.831165,-0.205444,0.100145,0.160293,1.437978,0.325258,0.968598,-0.102965,-0.214879,-0.071023,0.173836,1.386585,0.300874,0.830391,-0.511219,-0.208609,-0.074762,0.143326,1.447694,0.362705,0.789526,0.566114,-0.231838,0.049151,0.132766,1.397248,0.359165,0.506881,0.831165,-0.205444,0.100145,0.108018,1.405052,0.361248,0.65576,-0.014051,0.286336,0.698422,0.130684,1.377031,0.302336,0.543828,-0.334971,-0.051676,0.767708,0.11059,1.387069,0.329465,0.676141,-0.203763,0.156167,0.690598,0.116369,1.416884,0.383646,0.65576,-0.014051,0.286336,0.698422,34,0.171562,1.355016,0.273973,0.830391,-0.511219,-0.208609,-0.074762,19,U,Static,Right
3,4,0.035272,1.560887,0.024066,0.997714,0.061477,0.027686,0.004573,0.105213,1.494218,0.34874,0.895413,-0.408728,-0.134172,-0.114777,0.117627,1.439927,0.311232,0.863288,-0.479469,-0.138898,-0.074502,0.140217,1.382558,0.296123,0.831663,-0.50943,-0.207978,-0.074591,0.110709,1.47479,0.331842,0.901913,-0.394373,-0.153489,-0.08639,0.102315,1.513376,0.363328,0.895413,-0.408728,-0.134172,-0.114777,0.118012,1.491839,0.37131,0.928926,-0.291372,-0.198254,-0.113556,0.140801,1.4441,0.316837,0.909534,-0.364648,-0.184298,-0.076254,0.158154,1.384082,0.299063,0.831663,-0.50943,-0.207978,-0.074591,0.127797,1.476254,0.347814,0.94287,-0.263005,-0.19285,-0.068069,0.110542,1.508656,0.39117,0.928926,-0.291372,-0.198254,-0.113556,0.156092,1.399323,0.295671,0.831663,-0.50943,-0.207978,-0.074591,0.150743,1.410984,0.367581,0.497393,0.808007,-0.306427,0.076333,0.177888,1.425035,0.335922,0.951039,-0.048239,-0.280589,-0.120282,0.180472,1.384363,0.307908,0.828158,-0.424393,-0.19145,-0.312077,0.160512,1.430335,0.363806,0.765354,0.575097,-0.288955,-0.001477,0.145467,1.390478,0.356742,0.497393,0.808007,-0.306427,0.076333,0.134316,1.420394,0.370812,0.504808,0.832645,-0.204941,0.099347,0.160143,1.437281,0.326163,0.968998,-0.100831,-0.214063,-0.071088,0.173679,1.386002,0.301538,0.831663,-0.50943,-0.207978,-0.074591,0.143223,1.446822,0.363677,0.788396,0.568008,-0.23118,0.048524,0.132705,1.396392,0.359908,0.504808,0.832645,-0.204941,0.099347,0.108059,1.404163,0.362151,0.655147,-0.01164,0.28572,0.699294,0.130554,1.376416,0.30305,0.544392,-0.332655,-0.052704,0.768246,0.11053,1.386321,0.330281,0.676188,-0.20113,0.155747,0.691419,0.116469,1.415899,0.384578,0.655147,-0.01164,0.28572,0.699294,55,0.171383,1.354547,0.274506,0.831663,-0.50943,-0.207978,-0.074591,19,U,Static,Right
4,5,0.035189,1.560932,0.023968,0.997734,0.061248,0.027463,0.004585,0.106246,1.494298,0.348571,0.89494,-0.410401,-0.131813,-0.11523,0.11834,1.439889,0.311124,0.863057,-0.480547,-0.136503,-0.074667,0.140683,1.382432,0.295981,0.83177,-0.510315,-0.205306,-0.07474,0.111608,1.474807,0.331704,0.901551,-0.396019,-0.151103,-0.086856,0.103471,1.513505,0.363119,0.89494,-0.410401,-0.131813,-0.11523,0.119193,1.491895,0.371133,0.928681,-0.293548,-0.195561,-0.114616,0.141553,1.44399,0.316622,0.90964,-0.365589,-0.181602,-0.076947,0.158638,1.383901,0.298836,0.83177,-0.510315,-0.205306,-0.07474,0.128805,1.476219,0.347627,0.942886,-0.26458,-0.190208,-0.069174,0.111893,1.508808,0.390976,0.928681,-0.293548,-0.195561,-0.114616,0.1566,1.399144,0.295429,0.83177,-0.510315,-0.205306,-0.07474,0.151602,1.410884,0.367365,0.499172,0.80706,-0.306658,0.073779,0.178661,1.424819,0.335558,0.951437,-0.049302,-0.278522,-0.121505,0.180986,1.384114,0.30757,0.827873,-0.42578,-0.189034,-0.312417,0.161422,1.430194,0.363512,0.766514,0.573921,-0.288194,-0.003893,0.146197,1.390373,0.356599,0.499172,0.80706,-0.306658,0.073779,0.135234,1.420296,0.370637,0.505366,0.832586,-0.205084,0.096677,0.160914,1.437116,0.325867,0.969383,-0.101169,-0.211725,-0.072343,0.17417,1.385769,0.301229,0.83177,-0.510315,-0.205306,-0.07474,0.144191,1.446696,0.36346,0.789015,0.567725,-0.230278,0.045992,0.133499,1.396301,0.359737,0.505366,0.832586,-0.205084,0.096677,0.108971,1.404153,0.362203,0.655207,-0.009723,0.287271,0.698631,0.131041,1.376329,0.302971,0.545623,-0.330392,-0.050435,0.768501,0.111216,1.386297,0.330324,0.67662,-0.199053,0.157992,0.691088,0.11751,1.415872,0.38459,0.655207,-0.009723,0.287271,0.698631,66,0.171648,1.354298,0.274236,0.83177,-0.510315,-0.205306,-0.07474,19,U,Static,Right
5,6,0.035183,1.561102,0.024032,0.997769,0.060616,0.027605,0.004599,0.105743,1.494655,0.348041,0.894578,-0.410543,-0.133214,-0.115923,0.11794,1.440212,0.310677,0.862617,-0.480833,-0.137818,-0.075481,0.14033,1.382729,0.295702,0.831014,-0.510853,-0.206757,-0.075475,0.111153,1.47515,0.331204,0.901155,-0.396235,-0.152502,-0.087524,0.102927,1.513873,0.362566,0.894578,-0.410543,-0.133214,-0.115923,0.118609,1.492356,0.370579,0.927934,-0.294632,-0.197177,-0.115114,0.141134,1.44432,0.316247,0.908959,-0.366387,-0.183155,-0.077517,0.158276,1.384202,0.298615,0.831014,-0.510853,-0.206757,-0.075475,0.128292,1.476614,0.347145,0.942205,-0.26573,-0.191802,-0.069631,0.111253,1.509325,0.390352,0.927934,-0.294632,-0.197177,-0.115114,0.15625,1.399439,0.295176,0.831014,-0.510853,-0.206757,-0.075475,0.151005,1.411277,0.367079,0.499456,0.80643,-0.307484,0.075288,0.178177,1.425176,0.335339,0.950932,-0.049609,-0.280247,-0.121365,0.180593,1.384426,0.307424,0.827201,-0.425912,-0.19067,-0.313021,0.16084,1.43058,0.363227,0.766502,0.57329,-0.289493,-0.002751,0.145629,1.390748,0.356334,0.499456,0.80643,-0.307484,0.075288,0.134624,1.420736,0.370301,0.506152,0.831709,-0.206044,0.098065,0.160463,1.437459,0.325569,0.96893,-0.10197,-0.213358,-0.07249,0.173799,1.386072,0.301057,0.831014,-0.510853,-0.206757,-0.075475,0.143621,1.447113,0.363089,0.789347,0.56663,-0.231648,0.046917,0.132907,1.396714,0.359458,0.506152,0.831709,-0.206044,0.098065,0.108393,1.404566,0.361779,0.655723,-0.011601,0.286606,0.698391,0.130664,1.376638,0.30267,0.545317,-0.332155,-0.05067,0.767943,0.11075,1.386656,0.329938,0.676755,-0.200851,0.157388,0.690573,0.116846,1.416323,0.384179,0.655723,-0.011601,0.286606,0.698391,77,0.171366,1.354558,0.274105,0.831014,-0.510853,-0.206757,-0.075475,19,U,Static,Right
6,7,0.035227,1.561224,0.024089,0.997801,0.06005,0.02766,0.004687,0.105268,1.494978,0.347548,0.894291,-0.410575,-0.134484,-0.116557,0.117558,1.440509,0.310253,0.862239,-0.48105,-0.139007,-0.076235,0.139994,1.383003,0.295434,0.830306,-0.511354,-0.208112,-0.076141,0.110723,1.475464,0.330736,0.900832,-0.396342,-0.153773,-0.088139,0.102414,1.514202,0.362057,0.894291,-0.410575,-0.134484,-0.116557,0.118058,1.492786,0.370051,0.927222,-0.295683,-0.198681,-0.115568,0.140735,1.444625,0.31589,0.908315,-0.367148,-0.184601,-0.078032,0.157931,1.38448,0.298402,0.830306,-0.511354,-0.208112,-0.076141,0.127805,1.476981,0.346687,0.941556,-0.266848,-0.193282,-0.070048,0.11065,1.509809,0.389759,0.927222,-0.295683,-0.198681,-0.115568,0.155915,1.399712,0.294934,0.830306,-0.511354,-0.208112,-0.076141,0.150441,1.41164,0.366805,0.499735,0.805839,-0.308236,0.076683,0.177716,1.425508,0.335127,0.950465,-0.049864,-0.281847,-0.121215,0.180219,1.384717,0.307281,0.826578,-0.426035,-0.192197,-0.313565,0.160288,1.430936,0.362954,0.766489,0.572709,-0.290684,-0.001683,0.145091,1.391093,0.356081,0.499735,0.805839,-0.308236,0.076683,0.134048,1.42115,0.369985,0.506995,0.83082,-0.206953,0.099326,0.160034,1.437777,0.325283,0.968504,-0.102758,-0.214862,-0.072631,0.173445,1.386353,0.30089,0.830306,-0.511354,-0.208112,-0.076141,0.143083,1.447504,0.362735,0.789713,0.565527,-0.23292,0.047753,0.132343,1.397101,0.359201,0.506995,0.83082,-0.206953,0.099326,0.107842,1.404951,0.361373,0.656208,-0.013401,0.285975,0.698162,0.130306,1.376923,0.302381,0.545017,-0.333837,-0.050887,0.767411,0.110306,1.386989,0.32957,0.676874,-0.202577,0.15681,0.690083,0.116213,1.416745,0.383784,0.656208,-0.013401,0.285975,0.698162,88,0.171096,1.3548,0.273977,0.830306,-0.511354,-0.208112,-0.076141,19,U,Static,Right
7,8,0.035289,1.561319,0.024198,0.997822,0.059447,0.028203,0.004709,0.105183,1.49436,0.348092,0.894805,-0.408559,-0.13519,-0.118856,0.117477,1.440075,0.310525,0.863413,-0.478353,-0.139781,-0.078478,0.139795,1.382621,0.295331,0.83183,-0.508365,-0.208344,-0.078841,0.110644,1.474915,0.331203,0.901422,-0.394153,-0.154608,-0.09043,0.102333,1.513528,0.362677,0.894805,-0.408559,-0.13519,-0.118856,0.117951,1.491906,0.370718,0.927665,-0.292969,-0.199095,-0.118185,0.140648,1.444083,0.316261,0.909364,-0.363734,-0.185113,-0.080546,0.157726,1.384025,0.298364,0.83183,-0.508365,-0.208344,-0.078841,0.127717,1.476233,0.347272,0.942089,-0.263765,-0.193979,-0.072585,0.110547,1.50883,0.390511,0.927665,-0.292969,-0.199095,-0.118185,0.155767,1.399289,0.295009,0.83183,-0.508365,-0.208344,-0.078841,0.150114,1.410671,0.366955,0.496329,0.807176,-0.310487,0.075644,0.177519,1.424718,0.335462,0.950099,-0.046157,-0.282543,-0.123897,0.179992,1.384132,0.307313,0.827472,-0.422687,-0.191638,-0.316071,0.160032,1.429966,0.363286,0.763783,0.575346,-0.292578,-0.003326,0.144723,1.390226,0.356058,0.496329,0.807176,-0.310487,0.075644,0.133741,1.42018,0.370139,0.503267,0.832562,-0.209166,0.09906,0.1599,1.43711,0.325659,0.968507,-0.098928,-0.215855,-0.074929,0.173242,1.385837,0.300915,0.83183,-0.508365,-0.208344,-0.078841,0.142864,1.446571,0.36314,0.787014,0.568513,-0.235008,0.046626,0.132009,1.396228,0.359146,0.503267,0.832562,-0.209166,0.09906,0.107483,1.404144,0.361334,0.657621,-0.011824,0.281973,0.698489,0.130067,1.376515,0.302199,0.547246,-0.333027,-0.054311,0.765941,0.110005,1.386423,0.3294,0.678821,-0.200872,0.153279,0.689462,0.115795,1.415741,0.383869,0.657621,-0.011824,0.281973,0.698489,100,0.170885,1.354495,0.273756,0.83183,-0.508365,-0.208344,-0.078841,19,U,Static,Right
8,9,0.035402,1.561401,0.024296,0.99782,0.059351,0.028448,0.004769,0.104667,1.494118,0.347643,0.894811,-0.408719,-0.135704,-0.117673,0.117099,1.439846,0.310102,0.863406,-0.478376,-0.14039,-0.077311,0.139526,1.382407,0.295013,0.831443,-0.508947,-0.208856,-0.077814,0.110178,1.474678,0.330764,0.901433,-0.39421,-0.155106,-0.08922,0.101771,1.513289,0.362214,0.894811,-0.408719,-0.135704,-0.117673,0.117476,1.49182,0.37017,0.927392,-0.294008,-0.199492,-0.117074,0.140263,1.443909,0.315828,0.909001,-0.364658,-0.185548,-0.079458,0.157455,1.383851,0.298041,0.831443,-0.508947,-0.208856,-0.077814,0.127271,1.47611,0.346761,0.941842,-0.264712,-0.19431,-0.071454,0.110042,1.508783,0.389919,0.927392,-0.294008,-0.199492,-0.117074,0.155465,1.399105,0.294657,0.831443,-0.508947,-0.208856,-0.077814,0.149797,1.410614,0.36659,0.497375,0.806792,-0.309658,0.076269,0.177174,1.424651,0.33506,0.950191,-0.046789,-0.28265,-0.122707,0.179721,1.384018,0.306986,0.827392,-0.423296,-0.192289,-0.315068,0.15968,1.429919,0.362876,0.764455,0.574759,-0.291984,-0.002391,0.144433,1.390133,0.355748,0.497375,0.806792,-0.309658,0.076269,0.133409,1.420112,0.369754,0.504081,0.83222,-0.20827,0.099684,0.15953,1.436991,0.325236,0.96848,-0.099808,-0.215954,-0.07382,0.172967,1.385697,0.300586,0.831443,-0.508947,-0.208856,-0.077814,0.142482,1.446505,0.362699,0.787579,0.567908,-0.234387,0.047559,0.131718,1.396133,0.358812,0.504081,0.83222,-0.20827,0.099684,0.107201,1.403986,0.360985,0.656894,-0.012502,0.282743,0.69885,0.129812,1.376295,0.301894,0.546195,-0.333383,-0.053892,0.766565,0.109736,1.386212,0.329082,0.677975,-0.201416,0.15392,0.689993,0.115502,1.415638,0.383496,0.656894,-0.012502,0.282743,0.69885,111,0.170668,1.3543,0.273486,0.831443,-0.508947,-0.208856,-0.077814,19,U,Static,Right
9,10,0.035496,1.561452,0.024403,0.997807,0.059453,0.028733,0.004636,0.104165,1.493863,0.347246,0.895007,-0.408472,-0.136159,-0.116507,0.116732,1.439631,0.309692,0.863553,-0.47813,-0.140942,-0.076183,0.139264,1.382206,0.294707,0.831064,-0.509507,-0.209359,-0.076837,0.109724,1.474442,0.330361,0.901617,-0.393879,-0.155552,-0.088039,0.101221,1.513024,0.361822,0.895007,-0.408472,-0.136159,-0.116507,0.117011,1.491747,0.369633,0.927138,-0.294949,-0.199925,-0.115981,0.139889,1.443748,0.315409,0.908611,-0.365623,-0.186005,-0.078412,0.157191,1.383689,0.29773,0.831064,-0.509507,-0.209359,-0.076837,0.126837,1.476002,0.346261,0.941598,-0.265607,-0.194675,-0.070344,0.109544,1.508744,0.38934,0.927138,-0.294949,-0.199925,-0.115981,0.155172,1.398933,0.294318,0.831064,-0.509507,-0.209359,-0.076837,0.149484,1.410568,0.366239,0.498458,0.806364,-0.308866,0.076926,0.176837,1.424592,0.334672,0.950264,-0.047464,-0.282802,-0.121528,0.179457,1.383913,0.306672,0.827308,-0.423878,-0.192927,-0.314114,0.159334,1.429881,0.362479,0.76514,0.574128,-0.291437,-0.001437,0.144148,1.39005,0.355454,0.498458,0.806364,-0.308866,0.076926,0.133082,1.420062,0.369385,0.504956,0.831823,-0.207438,0.100299,0.159169,1.436882,0.324828,0.968435,-0.100762,-0.216069,-0.072768,0.172699,1.385568,0.30027,0.831064,-0.509507,-0.209359,-0.076837,0.14211,1.446455,0.362271,0.788178,0.567236,-0.233818,0.048461,0.131431,1.396055,0.358498,0.504956,0.831823,-0.207438,0.100299,0.106933,1.403841,0.36065,0.656204,-0.013067,0.28357,0.699152,0.129562,1.376089,0.301601,0.545189,-0.33372,-0.053473,0.767164,0.109474,1.386016,0.328775,0.677173,-0.20189,0.154598,0.69049,0.11523,1.415547,0.383134,0.656204,-0.013067,0.28357,0.699152,121,0.170455,1.354119,0.273226,0.831064,-0.509507,-0.209359,-0.076837,19,U,Static,Right
10,11,0.03557,1.561479,0.024529,0.997799,0.059474,0.02895,0.004661,0.103673,1.493597,0.34689,0.895347,-0.407918,-0.136569,-0.115356,0.116374,1.439427,0.309293,0.863814,-0.477681,-0.141451,-0.075088,0.139008,1.382017,0.294409,0.830692,-0.51005,-0.209853,-0.075903,0.109281,1.474207,0.329986,0.90193,-0.393256,-0.15596,-0.086883,0.100681,1.512738,0.361483,0.895347,-0.407918,-0.136569,-0.115356,0.116553,1.491683,0.369105,0.926895,-0.295817,-0.200387,-0.114904,0.139524,1.443595,0.315002,0.908201,-0.366615,-0.186477,-0.077402,0.156933,1.383537,0.297428,0.830692,-0.51005,-0.209853,-0.075903,0.126411,1.475905,0.34577,0.941356,-0.266464,-0.195064,-0.069253,0.109052,1.508712,0.388773,0.926895,-0.295817,-0.200387,-0.114904,0.154885,1.398771,0.293988,0.830692,-0.51005,-0.209853,-0.075903,0.149176,1.410532,0.365898,0.499567,0.805904,-0.308106,0.077607,0.176506,1.424538,0.334297,0.950322,-0.048169,-0.282987,-0.12036,0.179197,1.383816,0.306367,0.827221,-0.424439,-0.193554,-0.313199,0.158993,1.429852,0.362092,0.765832,0.573466,-0.290925,-0.00047,0.143866,1.389975,0.355171,0.499567,0.805904,-0.308106,0.077607,0.13276,1.420026,0.369028,0.505873,0.831387,-0.206655,0.100909,0.158817,1.43678,0.324432,0.968376,-0.101769,-0.216196,-0.071761,0.172436,1.385448,0.299962,0.830692,-0.51005,-0.209853,-0.075903,0.141745,1.446417,0.361852,0.788798,0.566515,-0.233291,0.049339,0.131145,1.395992,0.358198,0.505873,0.831387,-0.206655,0.100909,0.106675,1.403707,0.360324,0.655543,-0.013548,0.284438,0.69941,0.129319,1.375894,0.301316,0.544219,-0.334044,-0.053056,0.767741,0.109219,1.385831,0.328478,0.676407,-0.202312,0.155301,0.69096,0.114974,1.415463,0.382781,0.655543,-0.013548,0.284438,0.69941,133,0.170247,1.353947,0.272974,0.830692,-0.51005,-0.209853,-0.075903,19,U,Static,Right
