,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.030784,1.470895,0.0179,-0.995597,-0.088831,-0.018078,-0.023841,0.084463,1.458877,0.510199,-0.098278,-0.988393,-0.013908,-0.115006,0.091899,1.490134,0.479354,-0.989078,-0.076645,0.120575,-0.036222,0.107896,1.43384,0.454003,-0.854645,0.490768,0.15442,0.069883,0.082391,1.48359,0.5185,-0.57659,-0.809136,0.063253,-0.094032,0.090315,1.453214,0.487526,-0.098278,-0.988393,-0.013908,-0.115006,0.101741,1.454193,0.51468,-0.06104,-0.9968,0.012963,-0.049964,0.1155,1.493177,0.482789,-0.981207,-0.131712,0.135953,0.037433,0.125497,1.433724,0.456577,-0.854645,0.490768,0.15442,0.069883,0.102721,1.481708,0.52567,-0.557353,-0.818756,0.122488,-0.063198,0.104665,1.449668,0.488332,-0.06104,-0.9968,0.012963,-0.049964,0.126799,1.449624,0.457762,-0.854645,0.490768,0.15442,0.069883,0.131404,1.441969,0.512327,-0.041832,-0.969797,0.225254,-0.083691,0.153283,1.471913,0.496765,-0.938217,-0.213965,0.246538,0.114836,0.151514,1.433259,0.466504,-0.843522,0.417655,0.132428,0.31064,0.136366,1.460513,0.522777,-0.510785,-0.827339,0.233581,-0.006986,0.133973,1.438108,0.48916,-0.041832,-0.969797,0.225254,-0.083691,0.11662,1.445116,0.513438,-0.01264,-0.988578,0.127918,-0.078682,0.135263,1.485222,0.489641,-0.964254,-0.194403,0.166874,0.067643,0.144239,1.435495,0.461001,-0.854645,0.490768,0.15442,0.069883,0.120655,1.470437,0.526094,-0.527183,-0.830473,0.177805,-0.027895,0.120431,1.442191,0.487647,-0.01264,-0.988578,0.127918,-0.078682,0.042276,1.464012,0.485966,-0.524128,0.563971,0.147776,-0.620797,0.096173,1.427983,0.456623,-0.571378,0.510059,0.105871,-0.63416,0.069307,1.443678,0.472621,-0.621615,0.550691,0.115069,-0.545063,0.019247,1.47494,0.493189,-0.524128,0.563971,0.147776,-0.620797,8,0.138098,1.40607,0.432735,-0.854645,0.490768,0.15442,0.069883,25,A,Static,Right
1,2,-0.030482,1.471465,0.018505,-0.995711,-0.0874,-0.017219,-0.024996,0.084352,1.459006,0.510216,-0.099709,-0.988245,-0.012967,-0.115165,0.09187,1.49022,0.479307,-0.989126,-0.075892,0.120899,-0.035408,0.107787,1.433869,0.454031,-0.854257,0.491365,0.154308,0.070672,0.082328,1.483744,0.518456,-0.577652,-0.808343,0.064154,-0.093728,0.090205,1.45327,0.487561,-0.099709,-0.988245,-0.012967,-0.115165,0.101625,1.454316,0.51471,-0.062216,-0.996702,0.013815,-0.050243,0.115473,1.493227,0.482753,-0.981241,-0.130779,0.136431,0.038082,0.125386,1.433727,0.456616,-0.854257,0.491365,0.154308,0.070672,0.102646,1.481851,0.525645,-0.558202,-0.81806,0.123313,-0.063102,0.104558,1.449726,0.488374,-0.062216,-0.996702,0.013815,-0.050243,0.126714,1.449626,0.457783,-0.854257,0.491365,0.154308,0.070672,0.13126,1.442017,0.512381,-0.043396,-0.969482,0.226255,-0.083849,0.153212,1.471914,0.496777,-0.938162,-0.213265,0.247046,0.115489,0.151396,1.433229,0.466558,-0.842978,0.418153,0.132513,0.31141,0.13626,1.460573,0.522792,-0.51166,-0.826544,0.234486,-0.006752,0.133814,1.438082,0.489224,-0.043396,-0.969482,0.226255,-0.083849,0.116487,1.445196,0.513484,-0.013807,-0.988425,0.12877,-0.079016,0.135219,1.485245,0.489626,-0.964277,-0.19362,0.167392,0.068272,0.144128,1.435471,0.461048,-0.854257,0.491365,0.154308,0.070672,0.120563,1.470536,0.52609,-0.528004,-0.82977,0.178665,-0.027786,0.120303,1.442207,0.487701,-0.013807,-0.988425,0.12877,-0.079016,0.042187,1.464145,0.485954,-0.524433,0.564167,0.147131,-0.620516,0.096053,1.428036,0.456652,-0.571536,0.510401,0.105426,-0.633817,0.069201,1.443772,0.472632,-0.621689,0.551068,0.11466,-0.544684,0.019176,1.475111,0.493175,-0.524433,0.564167,0.147131,-0.620516,27,0.137955,1.406025,0.432813,-0.854257,0.491365,0.154308,0.070672,25,A,Static,Right
2,3,-0.030182,1.472052,0.0195,-0.996007,-0.084566,-0.016295,-0.023504,0.084082,1.458931,0.510027,-0.100643,-0.988088,-0.009675,-0.116018,0.091865,1.490112,0.479149,-0.989073,-0.075693,0.122299,-0.032393,0.107494,1.433665,0.453907,-0.853857,0.491733,0.153827,0.073923,0.082192,1.483678,0.518272,-0.577707,-0.808142,0.067367,-0.092861,0.089951,1.453133,0.487393,-0.100643,-0.988088,-0.009675,-0.116018,0.10131,1.454129,0.514549,-0.062268,-0.9966,0.017142,-0.05116,0.115479,1.492972,0.482653,-0.980912,-0.130739,0.137941,0.041134,0.125086,1.433413,0.456535,-0.853857,0.491733,0.153827,0.073923,0.102482,1.481649,0.525507,-0.557943,-0.817807,0.126588,-0.062189,0.104272,1.449525,0.488218,-0.062268,-0.9966,0.017142,-0.05116,0.12651,1.449303,0.457708,-0.853857,0.491733,0.153827,0.073923,0.130857,1.441618,0.512337,-0.044699,-0.968596,0.229474,-0.084653,0.15305,1.471425,0.496767,-0.93738,-0.213152,0.248907,0.118029,0.151068,1.432753,0.466542,-0.841857,0.41816,0.132238,0.314534,0.135961,1.460158,0.522724,-0.512177,-0.825323,0.237656,-0.005986,0.133416,1.437609,0.489193,-0.044699,-0.968596,0.229474,-0.084653,0.116102,1.444879,0.513373,-0.014634,-0.987897,0.132155,-0.079875,0.135158,1.484868,0.489574,-0.963712,-0.193907,0.169107,0.071153,0.143828,1.435041,0.461015,-0.853857,0.491733,0.153827,0.073923,0.120323,1.470195,0.52598,-0.528047,-0.829061,0.18194,-0.026854,0.11994,1.441829,0.4876,-0.014634,-0.987897,0.132155,-0.079875,0.042003,1.464326,0.485689,-0.526413,0.565035,0.145972,-0.618318,0.095717,1.427904,0.456497,-0.573339,0.511414,0.104713,-0.631485,0.068919,1.443794,0.472414,-0.623342,0.551848,0.113743,-0.54219,0.019049,1.475433,0.492876,-0.526413,0.565035,0.145972,-0.618318,44,0.137541,1.405634,0.432762,-0.853857,0.491733,0.153827,0.073923,25,A,Static,Right
3,4,-0.029972,1.472083,0.020934,-0.996246,-0.082614,-0.016025,-0.020319,0.083899,1.458748,0.510111,-0.10156,-0.988194,-0.011454,-0.114137,0.091462,1.489924,0.479149,-0.989311,-0.075393,0.120135,-0.033874,0.107149,1.433505,0.453884,-0.854121,0.491968,0.152728,0.071546,0.081969,1.483504,0.518318,-0.578441,-0.807903,0.064883,-0.092135,0.089693,1.452916,0.487465,-0.10156,-0.988194,-0.011454,-0.114137,0.101152,1.454013,0.514586,-0.063411,-0.996661,0.015708,-0.048981,0.115082,1.492856,0.482548,-0.981366,-0.130117,0.135611,0.040005,0.124753,1.433307,0.456434,-0.854121,0.491968,0.152728,0.071546,0.102306,1.481561,0.525477,-0.559081,-0.817469,0.124226,-0.061159,0.104006,1.449355,0.488253,-0.063411,-0.996661,0.015708,-0.048981,0.126133,1.449202,0.457586,-0.854121,0.491968,0.152728,0.071546,0.130726,1.441593,0.512257,-0.046357,-0.969012,0.228126,-0.082614,0.152777,1.471431,0.496515,-0.938314,-0.212281,0.246553,0.117116,0.150778,1.432731,0.466326,-0.842455,0.418944,0.131143,0.312341,0.135839,1.460171,0.522574,-0.51377,-0.82498,0.235426,-0.004855,0.133182,1.437533,0.489111,-0.046357,-0.969012,0.228126,-0.082614,0.115962,1.444809,0.513357,-0.015952,-0.988223,0.130874,-0.077666,0.134814,1.484815,0.489389,-0.96434,-0.1932,0.166689,0.070258,0.143507,1.434993,0.460828,-0.854121,0.491968,0.152728,0.071546,0.120184,1.470162,0.525887,-0.529375,-0.828746,0.179672,-0.025682,0.119684,1.44171,0.487573,-0.015952,-0.988223,0.130874,-0.077666,0.041678,1.463887,0.486012,-0.525556,0.562995,0.145847,-0.620932,0.095402,1.427711,0.456534,-0.572328,0.509391,0.104368,-0.634088,0.068621,1.44348,0.472601,-0.622421,0.550202,0.113489,-0.544969,0.018715,1.474895,0.493325,-0.525556,0.562995,0.145847,-0.620932,61,0.137185,1.405548,0.432624,-0.854121,0.491968,0.152728,0.071546,25,A,Static,Right
4,5,-0.029609,1.471459,0.02136,-0.996221,-0.083497,-0.0152,-0.018451,0.084191,1.458567,0.509102,-0.104086,-0.987914,-0.006598,-0.114666,0.092128,1.489593,0.478055,-0.989434,-0.073474,0.121513,-0.029279,0.107363,1.433036,0.452844,-0.85369,0.492495,0.151327,0.075913,0.08249,1.483368,0.517221,-0.58019,-0.806491,0.06936,-0.090228,0.089974,1.452587,0.486492,-0.104086,-0.987914,-0.006598,-0.114666,0.101425,1.453609,0.513534,-0.063766,-0.99652,0.020174,-0.049754,0.115767,1.49231,0.481502,-0.98107,-0.129282,0.137237,0.04419,0.124963,1.432686,0.455418,-0.85369,0.492495,0.151327,0.075913,0.102801,1.481153,0.524409,-0.559484,-0.81666,0.128435,-0.059568,0.104292,1.448917,0.487208,-0.063766,-0.99652,0.020174,-0.049754,0.126472,1.448563,0.456552,-0.85369,0.492495,0.151327,0.075913,0.130889,1.440904,0.511243,-0.046782,-0.967878,0.232536,-0.083367,0.153239,1.470541,0.495538,-0.937548,-0.211208,0.248463,0.121082,0.150949,1.431867,0.465336,-0.840947,0.419139,0.130035,0.316579,0.136148,1.459438,0.521564,-0.513685,-0.823824,0.239645,-0.003393,0.13335,1.436809,0.488103,-0.046782,-0.967878,0.232536,-0.083367,0.116147,1.444249,0.512347,-0.017135,-0.987527,0.135377,-0.078555,0.135412,1.484089,0.48838,-0.963879,-0.192356,0.168574,0.074288,0.14371,1.434196,0.459825,-0.85369,0.492495,0.151327,0.075913,0.120577,1.46958,0.524851,-0.529867,-0.827546,0.183912,-0.024162,0.119883,1.441067,0.486575,-0.017135,-0.987527,0.135377,-0.078555,0.042151,1.463783,0.48522,-0.528784,0.561593,0.143854,-0.619925,0.095568,1.427346,0.455504,-0.574993,0.50828,0.102932,-0.632803,0.068921,1.443238,0.471672,-0.625099,0.548888,0.111508,-0.543635,0.019292,1.474927,0.492649,-0.528784,0.561593,0.143854,-0.619925,77,0.137176,1.404815,0.431602,-0.85369,0.492495,0.151327,0.075913,25,A,Static,Right
5,6,-0.02913,1.470858,0.021031,-0.9959,-0.087086,-0.014934,-0.019401,0.08317,1.458672,0.508564,-0.105106,-0.987379,-0.005622,-0.118338,0.091386,1.489637,0.477524,-0.989045,-0.072464,0.125295,-0.028993,0.106731,1.433027,0.452499,-0.852743,0.492866,0.154241,0.078246,0.081442,1.483491,0.516625,-0.580716,-0.805568,0.072039,-0.092951,0.089116,1.452643,0.48601,-0.105106,-0.987379,-0.005622,-0.118338,0.10036,1.453709,0.513149,-0.06491,-0.996236,0.021159,-0.053416,0.115001,1.492326,0.481144,-0.980645,-0.128383,0.141026,0.044324,0.124311,1.432656,0.455206,-0.852743,0.492866,0.154241,0.078246,0.101699,1.481273,0.523975,-0.559921,-0.815736,0.131086,-0.06229,0.103416,1.44895,0.486856,-0.06491,-0.996236,0.021159,-0.053416,0.125833,1.448532,0.456332,-0.852743,0.492866,0.154241,0.078246,0.129827,1.440919,0.511056,-0.046771,-0.967368,0.2333,-0.08708,0.152338,1.470525,0.495489,-0.936593,-0.211189,0.252244,0.120691,0.150221,1.431815,0.465322,-0.839963,0.418585,0.133109,0.31864,0.135033,1.45946,0.52139,-0.513353,-0.823298,0.242096,-0.006303,0.132453,1.436783,0.487942,-0.046771,-0.967368,0.2333,-0.08708,0.115087,1.444309,0.512045,-0.017141,-0.987127,0.136026,-0.082368,0.134583,1.484088,0.48818,-0.963313,-0.191894,0.172374,0.074106,0.143026,1.434146,0.459753,-0.852743,0.492866,0.154241,0.078246,0.119454,1.469647,0.524558,-0.529598,-0.827064,0.186439,-0.027061,0.119016,1.441097,0.486306,-0.017141,-0.987127,0.136026,-0.082368,0.04131,1.463895,0.484338,-0.528171,0.564455,0.145218,-0.617526,0.094909,1.427357,0.455077,-0.574686,0.511082,0.104399,-0.63058,0.06816,1.443302,0.471024,-0.624626,0.551452,0.113252,-0.541218,0.018405,1.475074,0.491572,-0.528171,0.564455,0.145218,-0.617526,93,0.136664,1.404738,0.43152,-0.852743,0.492866,0.154241,0.078246,25,A,Static,Right
6,7,-0.028649,1.470187,0.021063,-0.995418,-0.092259,-0.014532,-0.020479,0.082619,1.458564,0.508058,-0.104161,-0.987491,-0.007455,-0.118136,0.090691,1.489611,0.477057,-0.988981,-0.073505,0.124774,-0.030759,0.106252,1.433106,0.451935,-0.853372,0.491853,0.154886,0.076468,0.080803,1.483364,0.516157,-0.579982,-0.806164,0.070337,-0.093671,0.088569,1.45259,0.48549,-0.104161,-0.987491,-0.007455,-0.118136,0.099844,1.453676,0.512592,-0.063649,-0.996369,0.019107,-0.053232,0.114298,1.49239,0.480665,-0.980684,-0.129406,0.140373,0.042524,0.123836,1.432803,0.454626,-0.853372,0.491853,0.154886,0.076468,0.101072,1.481218,0.52349,-0.55877,-0.816755,0.129264,-0.063073,0.102903,1.448991,0.486287,-0.063649,-0.996369,0.019107,-0.053232,0.125291,1.448683,0.455772,-0.853372,0.491853,0.154886,0.076468,0.129361,1.440965,0.510447,-0.045955,-0.967938,0.231259,-0.086627,0.151733,1.470717,0.494948,-0.936624,-0.21298,0.251482,0.118879,0.149753,1.43205,0.464716,-0.841012,0.417709,0.133403,0.316895,0.134486,1.459505,0.520825,-0.512395,-0.82446,0.240141,-0.007046,0.131987,1.436874,0.487325,-0.045955,-0.967938,0.231259,-0.086627,0.114612,1.444319,0.511445,-0.015823,-0.987456,0.134024,-0.081966,0.133918,1.48422,0.487674,-0.963316,-0.19325,0.171591,0.072344,0.142545,1.434361,0.459156,-0.853372,0.491853,0.154886,0.076468,0.118873,1.469638,0.524031,-0.528352,-0.828258,0.184556,-0.027781,0.11854,1.441185,0.485696,-0.015823,-0.987456,0.134024,-0.081966,0.04074,1.463617,0.48394,-0.527873,0.56273,0.146309,-0.619095,0.094457,1.427383,0.45452,-0.573862,0.509745,0.105728,-0.63219,0.067663,1.443174,0.470543,-0.624026,0.550149,0.114571,-0.542957,0.017813,1.474692,0.491261,-0.527873,0.56273,0.146309,-0.619095,111,0.136284,1.404975,0.430878,-0.853372,0.491853,0.154886,0.076468,25,A,Static,Right
7,8,-0.028563,1.470508,0.021487,-0.995257,-0.094126,-0.014689,-0.019707,0.08248,1.458496,0.508087,-0.102843,-0.98766,-0.007485,-0.117874,0.090526,1.489613,0.477156,-0.98893,-0.074636,0.124514,-0.03071,0.106088,1.433177,0.451872,-0.854044,0.490781,0.154627,0.07638,0.080662,1.483276,0.516247,-0.579011,-0.806903,0.070174,-0.093431,0.088419,1.452583,0.4855,-0.102843,-0.98766,-0.007485,-0.117874,0.099709,1.453609,0.512614,-0.062773,-0.996442,0.019031,-0.052929,0.114134,1.492391,0.480758,-0.9806,-0.130398,0.140024,0.042576,0.123672,1.432871,0.454556,-0.854044,0.490781,0.154627,0.07638,0.100936,1.481129,0.523567,-0.557955,-0.817368,0.129055,-0.062778,0.102754,1.448971,0.486299,-0.062773,-0.996442,0.019031,-0.052929,0.125127,1.448749,0.455748,-0.854044,0.490781,0.154627,0.07638,0.129231,1.440903,0.510399,-0.044755,-0.968049,0.231266,-0.085992,0.151584,1.470694,0.494965,-0.936457,-0.214121,0.250979,0.119206,0.1496,1.432102,0.464637,-0.841624,0.416724,0.132834,0.316803,0.134358,1.459415,0.520826,-0.511296,-0.825216,0.239899,-0.006524,0.131842,1.436874,0.487264,-0.044755,-0.968049,0.231266,-0.085992,0.114485,1.444252,0.511411,-0.014496,-0.987522,0.133945,-0.081535,0.133761,1.484209,0.487735,-0.963148,-0.194394,0.171186,0.07247,0.142388,1.434425,0.459087,-0.854044,0.490781,0.154627,0.07638,0.118741,1.469537,0.524066,-0.527231,-0.82904,0.184302,-0.027426,0.1184,1.44119,0.485652,-0.014496,-0.987522,0.133945,-0.081535,0.040543,1.463606,0.483885,-0.528233,0.562561,0.147348,-0.618696,0.094293,1.427444,0.454438,-0.574406,0.509269,0.106601,-0.631933,0.06749,1.443199,0.470481,-0.624402,0.549846,0.115596,-0.542614,0.017603,1.474658,0.4912,-0.528233,0.562561,0.147348,-0.618696,127,0.13612,1.405108,0.430739,-0.854044,0.490781,0.154627,0.07638,25,A,Static,Right
8,9,-0.028377,1.470469,0.022331,-0.995347,-0.09363,-0.014786,-0.017286,0.082225,1.458359,0.508107,-0.100171,-0.987992,-0.007473,-0.117393,0.090227,1.489601,0.477312,-0.988834,-0.076725,0.12405,-0.030528,0.10578,1.433295,0.451711,-0.855297,0.488767,0.154121,0.076294,0.080406,1.483099,0.516387,-0.577104,-0.808344,0.069941,-0.092952,0.088143,1.45257,0.485483,-0.100171,-0.987992,-0.007473,-0.117393,0.09946,1.453472,0.512634,-0.061342,-0.996561,0.018981,-0.052378,0.113838,1.492373,0.480903,-0.980444,-0.132167,0.139411,0.042732,0.123363,1.432978,0.454387,-0.855297,0.488767,0.154121,0.076294,0.100689,1.480952,0.523685,-0.556537,-0.818427,0.128738,-0.062211,0.102477,1.44891,0.486303,-0.061342,-0.996561,0.018981,-0.052378,0.124825,1.448855,0.455677,-0.855297,0.488767,0.154121,0.076294,0.128989,1.440784,0.510284,-0.042364,-0.968223,0.231441,-0.084764,0.151313,1.470627,0.494969,-0.936169,-0.216054,0.249998,0.120036,0.149315,1.432178,0.464462,-0.842748,0.414869,0.13175,0.316705,0.134125,1.459239,0.520807,-0.509142,-0.826649,0.239576,-0.005422,0.131569,1.436877,0.487125,-0.042364,-0.968223,0.231441,-0.084764,0.114249,1.444114,0.511323,-0.011989,-0.98763,0.133877,-0.080753,0.133476,1.484168,0.487821,-0.962837,-0.196447,0.170455,0.072793,0.142096,1.434524,0.45893,-0.855297,0.488767,0.154121,0.076294,0.118502,1.469336,0.524106,-0.525128,-0.830484,0.183908,-0.026734,0.118143,1.441187,0.485544,-0.011989,-0.98763,0.133877,-0.080753,0.040142,1.463611,0.48363,-0.528654,0.563029,0.149575,-0.617374,0.093981,1.427547,0.454228,-0.575475,0.508892,0.108333,-0.630969,0.067151,1.443255,0.470272,-0.624954,0.549944,0.117829,-0.541397,0.017166,1.474631,0.490881,-0.528654,0.563029,0.149575,-0.617374,140,0.135813,1.405337,0.43045,-0.855297,0.488767,0.154121,0.076294,25,A,Static,Right
9,10,-0.028251,1.47068,0.022759,-0.995493,-0.092261,-0.015025,-0.015966,0.082248,1.4591,0.507266,-0.104821,-0.987485,-0.008146,-0.117562,0.090258,1.490014,0.476164,-0.989196,-0.071562,0.124084,-0.031216,0.105838,1.433473,0.451121,-0.852986,0.492738,0.154654,0.075537,0.080421,1.48392,0.515301,-0.58107,-0.805469,0.069523,-0.093512,0.088176,1.453098,0.4847,-0.104821,-0.987485,-0.008146,-0.117562,0.099492,1.454245,0.511826,-0.065637,-0.996281,0.018549,-0.052652,0.113867,1.492825,0.479735,-0.981071,-0.127334,0.139732,0.041956,0.123423,1.43319,0.453796,-0.852986,0.492738,0.154654,0.075537,0.100709,1.481826,0.522625,-0.560249,-0.815879,0.128415,-0.063035,0.102522,1.449457,0.485536,-0.065637,-0.996281,0.018549,-0.052652,0.124872,1.449076,0.454921,-0.852986,0.492738,0.154654,0.075537,0.129031,1.441516,0.509582,-0.046125,-0.968095,0.230732,-0.086185,0.151343,1.471221,0.494014,-0.937129,-0.211808,0.250713,0.118615,0.149363,1.432487,0.463868,-0.840815,0.418751,0.133399,0.316042,0.134148,1.460064,0.519949,-0.512621,-0.824519,0.239459,-0.006907,0.131638,1.437424,0.486458,-0.046125,-0.968095,0.230732,-0.086185,0.114284,1.444877,0.510612,-0.016396,-0.987571,0.133341,-0.081578,0.133504,1.48469,0.486735,-0.96379,-0.191672,0.170896,0.071875,0.142145,1.434779,0.458313,-0.852986,0.492738,0.154654,0.075537,0.118525,1.470218,0.523163,-0.528931,-0.828064,0.183762,-0.027818,0.118191,1.44172,0.484863,-0.016396,-0.987571,0.133341,-0.081578,0.040251,1.464002,0.482957,-0.526509,0.564008,0.14624,-0.619111,0.094046,1.427744,0.453713,-0.573003,0.510598,0.10529,-0.632353,0.067233,1.443557,0.469681,-0.622669,0.551602,0.114807,-0.54299,0.017296,1.47507,0.490203,-0.526509,0.564008,0.14624,-0.619111,153,0.135876,1.405326,0.430106,-0.852986,0.492738,0.154654,0.075537,25,A,Static,Right
10,11,-0.02798,1.470412,0.022961,-0.995564,-0.091451,-0.015094,-0.016159,0.082264,1.459779,0.506477,-0.109052,-0.987003,-0.008758,-0.117713,0.090281,1.490386,0.475095,-0.989507,-0.066778,0.124113,-0.031834,0.105886,1.433635,0.450566,-0.850863,0.496353,0.155128,0.074847,0.080431,1.48467,0.514285,-0.584696,-0.802814,0.069145,-0.09402,0.088201,1.453585,0.483965,-0.109052,-0.987003,-0.008758,-0.117713,0.099518,1.454952,0.511063,-0.0695,-0.996013,0.018148,-0.052899,0.113889,1.493233,0.478648,-0.981627,-0.122891,0.140016,0.041255,0.123474,1.433383,0.45324,-0.850863,0.496353,0.155128,0.074847,0.100723,1.482622,0.521633,-0.563613,-0.813547,0.128116,-0.063782,0.102558,1.44996,0.484813,-0.0695,-0.996013,0.018148,-0.052899,0.124909,1.449275,0.45421,-0.850863,0.496353,0.155128,0.074847,0.129067,1.442183,0.508915,-0.049446,-0.967973,0.230062,-0.087498,0.151366,1.471759,0.49312,-0.937989,-0.207924,0.251357,0.117318,0.149401,1.432769,0.463306,-0.839034,0.422288,0.134891,0.315434,0.134165,1.460814,0.519141,-0.51574,-0.822592,0.239343,-0.008273,0.131699,1.437927,0.485824,-0.049446,-0.967973,0.230062,-0.087498,0.114312,1.445576,0.509941,-0.020396,-0.9875,0.132851,-0.08233,0.133527,1.485162,0.485722,-0.964648,-0.187263,0.171289,0.071049,0.142184,1.435012,0.457729,-0.850863,0.496353,0.155128,0.074847,0.118543,1.471023,0.522278,-0.532393,-0.825838,0.183629,-0.028801,0.118231,1.442209,0.48422,-0.020396,-0.9875,0.132851,-0.08233,0.040356,1.464354,0.482355,-0.524631,0.564698,0.143101,-0.620806,0.094103,1.427925,0.45323,-0.570755,0.51201,0.102463,-0.633708,0.067307,1.443829,0.469138,-0.620637,0.552937,0.111943,-0.544555,0.017425,1.475466,0.489607,-0.524631,0.564698,0.143101,-0.620806,166,0.135928,1.405317,0.429773,-0.850863,0.496353,0.155128,0.074847,25,A,Static,Right
