,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.071691,1.575908,-0.012532,0.987145,0.151801,-0.046432,0.0186,0.214036,1.551261,0.446645,-0.950852,0.285208,0.102577,-0.063359,0.23313,1.508811,0.403847,-0.888454,0.430529,0.129204,-0.092734,0.248813,1.457819,0.37595,-0.881288,0.466022,0.073406,-0.027702,0.221098,1.537627,0.42702,-0.941618,0.301623,0.123375,-0.084601,0.208964,1.564325,0.464826,-0.950852,0.285208,0.102577,-0.063359,0.248275,1.55919,0.456021,-0.978248,0.195198,0.060161,0.036176,0.255383,1.513902,0.401926,-0.909615,0.412414,0.049162,-0.009907,0.26564,1.459929,0.373554,-0.881288,0.466022,0.073406,-0.027702,0.251087,1.54688,0.430754,-0.973245,0.224266,0.049439,-0.007383,0.246047,1.570136,0.479082,-0.978248,0.195198,0.060161,0.036176,0.263892,1.474666,0.373735,-0.881288,0.466022,0.073406,-0.027702,0.306945,1.529742,0.442384,-0.95898,0.164872,0.035619,0.227828,0.295229,1.497001,0.405168,-0.877019,0.447102,-0.066809,0.16271,0.29008,1.461299,0.375343,-0.877694,0.423681,0.043354,0.2197,0.303503,1.521017,0.423791,-0.943098,0.2296,-0.029525,0.238702,0.307432,1.538371,0.463172,-0.95898,0.164872,0.035619,0.227828,0.276656,1.550879,0.453311,-0.985123,0.121782,0.079784,0.091308,0.275843,1.508077,0.403382,-0.902855,0.425187,0.005909,0.063515,0.281929,1.462894,0.372011,-0.881288,0.466022,0.073406,-0.027702,0.277576,1.538804,0.428905,-0.969108,0.224897,0.039106,0.093393,0.273875,1.558757,0.47687,-0.985123,0.121782,0.079784,0.091308,0.210562,1.460342,0.442915,-0.511177,0.259474,0.152865,-0.804987,0.240933,1.450857,0.383035,-0.536898,0.201607,0.086823,-0.81459,0.226877,1.453358,0.413158,-0.605796,0.255675,0.072138,-0.749959,0.19507,1.460992,0.462836,-0.511177,0.259474,0.152865,-0.804987,11,0.272402,1.435429,0.345544,-0.881288,0.466022,0.073406,-0.027702,38,Æ,Static,Right
1,2,0.071796,1.575986,-0.012558,0.987199,0.151539,-0.046179,0.018507,0.214686,1.550802,0.447467,-0.951264,0.28483,0.101035,-0.061328,0.233498,1.508308,0.404587,-0.889023,0.430271,0.127397,-0.090966,0.248928,1.45732,0.376543,-0.881945,0.465122,0.071718,-0.026307,0.221645,1.537157,0.427812,-0.942101,0.301305,0.121817,-0.082592,0.20971,1.563868,0.465672,-0.951264,0.28483,0.101035,-0.061328,0.248924,1.558566,0.456793,-0.978407,0.194428,0.058959,0.037956,0.255767,1.513317,0.402637,-0.909871,0.412063,0.047616,-0.008441,0.265759,1.459369,0.374121,-0.881945,0.465122,0.071718,-0.026307,0.251647,1.546284,0.431503,-0.973465,0.223628,0.048206,-0.005651,0.246776,1.569477,0.479878,-0.978407,0.194428,0.058959,0.037956,0.26407,1.474112,0.37434,-0.881945,0.465122,0.071718,-0.026307,0.307403,1.528844,0.443065,-0.958928,0.163221,0.034726,0.229371,0.295552,1.496251,0.405767,-0.877312,0.445918,-0.068177,0.163808,0.290208,1.460639,0.375869,-0.877788,0.422951,0.041467,0.221092,0.303921,1.520191,0.424445,-0.943081,0.228077,-0.030584,0.240091,0.307926,1.537396,0.463883,-0.958928,0.163221,0.034726,0.229371,0.277248,1.550101,0.454054,-0.98517,0.120755,0.078735,0.093058,0.276206,1.507408,0.404042,-0.903133,0.424418,0.004372,0.064809,0.282057,1.462273,0.372555,-0.881945,0.465122,0.071718,-0.026307,0.27809,1.538081,0.429618,-0.969239,0.22387,0.037878,0.094989,0.27453,1.557929,0.477638,-0.98517,0.120755,0.078735,0.093058,0.210809,1.459912,0.443571,-0.513325,0.258697,0.152349,-0.803968,0.241033,1.450372,0.383625,-0.538896,0.20088,0.086623,-0.813471,0.227027,1.452892,0.41377,-0.607774,0.254631,0.071376,-0.748786,0.195358,1.460604,0.463523,-0.513325,0.258697,0.152349,-0.803968,22,0.272374,1.434908,0.346043,-0.881945,0.465122,0.071718,-0.026307,38,Æ,Static,Right
2,3,0.0719,1.576077,-0.012562,0.987269,0.15113,-0.045877,0.018845,0.215019,1.550196,0.448791,-0.952602,0.280283,0.099899,-0.063332,0.23382,1.508063,0.405573,-0.890226,0.427542,0.126879,-0.092779,0.249365,1.457132,0.377494,-0.882102,0.464742,0.071668,-0.027847,0.221951,1.536748,0.428991,-0.943482,0.296816,0.120831,-0.084508,0.210068,1.56308,0.467132,-0.952602,0.280283,0.099899,-0.063332,0.249162,1.55827,0.457822,-0.978671,0.193541,0.058536,0.036311,0.256072,1.513133,0.403591,-0.910124,0.411462,0.04765,-0.010102,0.266187,1.459233,0.375041,-0.882102,0.464742,0.071668,-0.027847,0.251889,1.546054,0.432501,-0.973742,0.22244,0.047899,-0.00731,0.247012,1.569136,0.480929,-0.978671,0.193541,0.058536,0.036311,0.264438,1.473968,0.375257,-0.882102,0.464742,0.071668,-0.027847,0.307725,1.528898,0.443853,-0.959032,0.165451,0.034038,0.227431,0.295909,1.496173,0.406649,-0.877136,0.446973,-0.068031,0.161926,0.290615,1.460565,0.376738,-0.878245,0.422807,0.041289,0.219581,0.304227,1.520177,0.425269,-0.943114,0.229858,-0.030987,0.238203,0.308281,1.537536,0.464635,-0.959032,0.165451,0.034038,0.227431,0.277498,1.550037,0.454927,-0.985172,0.122353,0.078249,0.091344,0.27653,1.507279,0.40496,-0.903079,0.424794,0.004549,0.063075,0.282455,1.462179,0.373438,-0.882102,0.464742,0.071668,-0.027847,0.278345,1.537977,0.430511,-0.969219,0.224722,0.03765,0.093263,0.274795,1.557936,0.478489,-0.985172,0.122353,0.078249,0.091344,0.211518,1.459771,0.444652,-0.512991,0.257063,0.150256,-0.805098,0.24152,1.450157,0.384605,-0.538127,0.200162,0.085348,-0.814292,0.227591,1.452705,0.414783,-0.607245,0.253327,0.069158,-0.749864,0.196172,1.460491,0.464683,-0.512991,0.257063,0.150256,-0.805098,33,0.272804,1.434803,0.346924,-0.882102,0.464742,0.071668,-0.027847,38,Æ,Static,Right
3,4,0.072036,1.576175,-0.012586,0.987336,0.150734,-0.045606,0.019164,0.215235,1.550999,0.448359,-0.952068,0.282683,0.099177,-0.061817,0.233874,1.508633,0.405293,-0.889673,0.429277,0.1258,-0.091533,0.249199,1.457567,0.377335,-0.881518,0.466114,0.070427,-0.026524,0.222114,1.53744,0.428616,-0.942999,0.299077,0.120023,-0.083076,0.210334,1.563987,0.46664,-0.952068,0.282683,0.099177,-0.061817,0.24942,1.55898,0.457348,-0.978243,0.195561,0.058001,0.03785,0.256143,1.513616,0.403279,-0.909422,0.413157,0.046664,-0.008731,0.266026,1.459597,0.374866,-0.881518,0.466114,0.070427,-0.026524,0.25209,1.546654,0.432074,-0.973326,0.22444,0.047228,-0.005767,0.24732,1.569943,0.480414,-0.978243,0.195561,0.058001,0.03785,0.264343,1.474341,0.37505,-0.881518,0.466114,0.070427,-0.026524,0.307863,1.529327,0.443444,-0.958372,0.167307,0.033821,0.228882,0.295919,1.49652,0.406353,-0.876117,0.448348,-0.06875,0.163328,0.290472,1.460846,0.376548,-0.877257,0.424217,0.040478,0.220956,0.304327,1.520557,0.42489,-0.942347,0.231393,-0.03124,0.239717,0.308463,1.538038,0.464194,-0.958372,0.167307,0.033821,0.228882,0.277727,1.550616,0.454472,-0.984824,0.124247,0.07787,0.092853,0.27658,1.507692,0.404649,-0.902275,0.426298,0.003646,0.06447,0.282315,1.462481,0.37325,-0.881518,0.466114,0.070427,-0.026524,0.278515,1.538467,0.430098,-0.968671,0.226533,0.037102,0.094782,0.275067,1.558607,0.478007,-0.984824,0.124247,0.07787,0.092853,0.21133,1.46053,0.444468,-0.514347,0.257836,0.148264,-0.804355,0.241322,1.450642,0.38446,-0.539355,0.201244,0.084022,-0.813349,0.227388,1.453323,0.414624,-0.6083,0.254413,0.067784,-0.748766,0.196004,1.461375,0.464509,-0.514347,0.257836,0.148264,-0.804355,44,0.272543,1.435065,0.346822,-0.881518,0.466114,0.070427,-0.026524,38,Æ,Static,Right
4,5,0.072198,1.57625,-0.012612,0.98741,0.150285,-0.045395,0.019389,0.21542,1.551724,0.447966,-0.951515,0.285042,0.098568,-0.060459,0.233917,1.509141,0.405047,-0.889141,0.430885,0.124856,-0.090433,0.24904,1.457959,0.377188,-0.881023,0.467285,0.069279,-0.025359,0.222253,1.538059,0.428282,-0.942496,0.301283,0.11933,-0.081799,0.210562,1.564813,0.466188,-0.951515,0.285042,0.098568,-0.060459,0.249647,1.559613,0.456926,-0.97785,0.197398,0.057501,0.039206,0.256201,1.514047,0.403003,-0.908789,0.414671,0.045763,-0.007532,0.265871,1.459924,0.374706,-0.881023,0.467285,0.069279,-0.025359,0.252265,1.547188,0.431695,-0.972938,0.226275,0.046603,-0.004409,0.247594,1.570665,0.479954,-0.97785,0.197398,0.057501,0.039206,0.26425,1.474676,0.374864,-0.881023,0.467285,0.069279,-0.025359,0.307981,1.529703,0.44308,-0.957798,0.168886,0.033601,0.230155,0.295924,1.496829,0.406087,-0.875235,0.449523,-0.069409,0.164543,0.290335,1.461101,0.376373,-0.876397,0.425434,0.0397,0.222166,0.30441,1.520893,0.424552,-0.941683,0.232682,-0.031487,0.24104,0.30862,1.538475,0.463804,-0.957798,0.168886,0.033601,0.230155,0.277929,1.551126,0.454069,-0.984522,0.125856,0.077494,0.094186,0.27662,1.508059,0.404371,-0.901576,0.427595,0.002808,0.065689,0.282181,1.462754,0.373078,-0.881023,0.467285,0.069279,-0.025359,0.278664,1.5389,0.429732,-0.96819,0.228104,0.036575,0.096119,0.275309,1.559194,0.477583,-0.984522,0.125856,0.077494,0.094186,0.21114,1.461196,0.444292,-0.515587,0.258505,0.146555,-0.803659,0.241134,1.451078,0.384324,-0.540457,0.202223,0.082968,-0.812483,0.22719,1.45387,0.414473,-0.609248,0.255402,0.06671,-0.747754,0.195831,1.462151,0.464341,-0.515587,0.258505,0.146555,-0.803659,55,0.272298,1.435306,0.346724,-0.881023,0.467285,0.069279,-0.025359,38,Æ,Static,Right
5,6,0.072361,1.5763,-0.012614,0.987506,0.149761,-0.04503,0.019378,0.21563,1.551328,0.448007,-0.952111,0.283102,0.098858,-0.059704,0.234114,1.508876,0.404959,-0.889809,0.42961,0.125136,-0.089533,0.249223,1.457734,0.377015,-0.881442,0.466469,0.06975,-0.024504,0.222463,1.537734,0.428273,-0.943093,0.299496,0.119659,-0.080987,0.210773,1.564344,0.46628,-0.952111,0.283102,0.098858,-0.059704,0.249816,1.559236,0.456958,-0.977957,0.196547,0.058105,0.039905,0.256406,1.513763,0.402958,-0.909162,0.413813,0.046248,-0.006718,0.26606,1.459686,0.374564,-0.881442,0.466469,0.06975,-0.024504,0.25246,1.546853,0.431709,-0.973103,0.225445,0.047228,-0.003699,0.24774,1.570249,0.480001,-0.977957,0.196547,0.058105,0.039905,0.264459,1.474441,0.374753,-0.881442,0.466469,0.06975,-0.024504,0.308135,1.529238,0.443192,-0.957911,0.167066,0.03402,0.230952,0.296107,1.4965,0.406069,-0.875936,0.447891,-0.069144,0.165378,0.29053,1.460836,0.376276,-0.876677,0.424419,0.039944,0.222958,0.304588,1.520494,0.424628,-0.941951,0.230871,-0.031148,0.241779,0.308745,1.537938,0.463947,-0.957911,0.167066,0.03402,0.230952,0.278098,1.550696,0.45415,-0.984572,0.124586,0.078044,0.094902,0.276817,1.507752,0.404346,-0.902056,0.426455,0.003165,0.066493,0.282382,1.462504,0.372971,-0.881442,0.466469,0.06975,-0.024504,0.278856,1.53853,0.429784,-0.968392,0.226857,0.037053,0.096851,0.275452,1.558708,0.47768,-0.984572,0.124586,0.078044,0.094902,0.211179,1.4609,0.444037,-0.516282,0.258803,0.147329,-0.802975,0.241293,1.450847,0.384118,-0.541014,0.202794,0.084221,-0.811841,0.227279,1.453603,0.414238,-0.609883,0.255677,0.067774,-0.747047,0.195843,1.461848,0.464066,-0.516282,0.258803,0.147329,-0.802975,66,0.272513,1.435118,0.346548,-0.881442,0.466469,0.06975,-0.024504,38,Æ,Static,Right
6,7,0.07252,1.576352,-0.012583,0.987595,0.149344,-0.044583,0.01911,0.215424,1.550809,0.448113,-0.95275,0.280987,0.09894,-0.059369,0.233896,1.508522,0.4049,-0.890626,0.427962,0.125276,-0.089103,0.248952,1.457448,0.376801,-0.882114,0.465242,0.069639,-0.023985,0.222253,1.537297,0.428321,-0.943736,0.297519,0.119791,-0.080594,0.210571,1.563745,0.466444,-0.95275,0.280987,0.09894,-0.059369,0.249631,1.558751,0.45703,-0.978039,0.196048,0.058069,0.040421,0.256192,1.513396,0.402917,-0.909763,0.412505,0.046167,-0.006242,0.265791,1.459389,0.374362,-0.882114,0.465242,0.069639,-0.023985,0.252268,1.546404,0.431763,-0.973277,0.224705,0.047227,-0.003182,0.247561,1.569741,0.480086,-0.978039,0.196048,0.058069,0.040421,0.264214,1.474147,0.3746,-0.882114,0.465242,0.069639,-0.023985,0.307994,1.528718,0.443182,-0.957853,0.166566,0.033038,0.231696,0.295877,1.496089,0.405983,-0.876415,0.44663,-0.070033,0.165874,0.290273,1.460515,0.376087,-0.877182,0.423169,0.039497,0.223429,0.304411,1.520015,0.424605,-0.941948,0.230084,-0.032123,0.242412,0.308648,1.537387,0.463948,-0.957853,0.166566,0.033038,0.231696,0.277937,1.550213,0.454185,-0.984582,0.124203,0.077743,0.09554,0.276597,1.507363,0.404289,-0.902541,0.425353,0.002812,0.066985,0.282127,1.4622,0.372787,-0.882114,0.465242,0.069639,-0.023985,0.278673,1.538076,0.429803,-0.968481,0.226282,0.036709,0.097438,0.275309,1.558206,0.477723,-0.984582,0.124203,0.077743,0.09554,0.210826,1.460429,0.443788,-0.517052,0.258318,0.148611,-0.802398,0.241003,1.450549,0.383871,-0.54162,0.202457,0.085833,-0.811352,0.226952,1.453216,0.413982,-0.610583,0.255111,0.069217,-0.746536,0.195479,1.461331,0.46381,-0.517052,0.258318,0.148611,-0.802398,78,0.272237,1.434898,0.346284,-0.882114,0.465242,0.069639,-0.023985,38,Æ,Static,Right
7,8,0.072692,1.576428,-0.012516,0.987683,0.148949,-0.044126,0.018707,0.215201,1.550316,0.448212,-0.953313,0.279042,0.099145,-0.059166,0.233683,1.508188,0.40485,-0.891371,0.426393,0.125546,-0.088799,0.248685,1.457181,0.376597,-0.882762,0.464055,0.069503,-0.023526,0.222034,1.53688,0.42837,-0.944295,0.295707,0.120044,-0.080335,0.210345,1.563176,0.466595,-0.953313,0.279042,0.099145,-0.059166,0.249449,1.558301,0.457101,-0.978055,0.195888,0.058016,0.040878,0.255982,1.513049,0.402881,-0.910349,0.411227,0.046076,-0.005834,0.265526,1.459112,0.374169,-0.882762,0.464055,0.069503,-0.023526,0.252079,1.545979,0.43182,-0.973392,0.224218,0.047204,-0.002718,0.247387,1.569285,0.48016,-0.978055,0.195888,0.058016,0.040878,0.263975,1.473872,0.374457,-0.882762,0.464055,0.069503,-0.023526,0.307885,1.528248,0.443147,-0.957696,0.166696,0.031791,0.232425,0.295654,1.495702,0.405901,-0.876738,0.445652,-0.071118,0.166334,0.290022,1.460216,0.375907,-0.877673,0.421971,0.039037,0.223844,0.304251,1.51957,0.424569,-0.94181,0.229817,-0.033328,0.24304,0.308602,1.536909,0.463915,-0.957696,0.166696,0.031791,0.232425,0.27779,1.549783,0.454201,-0.984539,0.124328,0.077356,0.09614,0.276383,1.506997,0.404238,-0.902938,0.42444,0.002407,0.067432,0.281878,1.461916,0.372611,-0.882762,0.464055,0.069503,-0.023526,0.278498,1.537655,0.429814,-0.968475,0.226137,0.036288,0.097991,0.275188,1.557782,0.47774,-0.984539,0.124328,0.077356,0.09614,0.210471,1.459962,0.443546,-0.517744,0.257832,0.150034,-0.801845,0.240717,1.450269,0.383634,-0.542164,0.202079,0.087531,-0.810901,0.226628,1.452841,0.413736,-0.61122,0.254532,0.07079,-0.746065,0.195109,1.46081,0.46356,-0.517744,0.257832,0.150034,-0.801845,88,0.271967,1.434695,0.346033,-0.882762,0.464055,0.069503,-0.023526,38,Æ,Static,Right
8,9,0.072843,1.576494,-0.012425,0.987842,0.14807,-0.043703,0.018281,0.214968,1.549843,0.448307,-0.953819,0.277223,0.099438,-0.059066,0.233473,1.50787,0.404807,-0.892061,0.424882,0.125909,-0.088592,0.248422,1.456929,0.376402,-0.883392,0.462899,0.069346,-0.023114,0.221811,1.53648,0.42842,-0.944792,0.29402,0.120383,-0.08018,0.210102,1.562632,0.466738,-0.953819,0.277223,0.099438,-0.059066,0.24927,1.557879,0.457169,-0.978022,0.195985,0.057946,0.041288,0.255777,1.51272,0.40285,-0.910921,0.409974,0.045976,-0.005479,0.265264,1.45885,0.373983,-0.883392,0.462899,0.069346,-0.023114,0.251892,1.545571,0.431881,-0.973463,0.223922,0.047161,-0.002297,0.247217,1.568868,0.480226,-0.978022,0.195985,0.057946,0.041288,0.263739,1.473613,0.374321,-0.883392,0.462899,0.069346,-0.023114,0.307801,1.527817,0.443094,-0.957464,0.167299,0.03034,0.233138,0.295436,1.495336,0.405822,-0.876944,0.444887,-0.072357,0.166764,0.289776,1.459934,0.375734,-0.878155,0.420816,0.038566,0.224213,0.304106,1.519152,0.424521,-0.941569,0.229942,-0.034714,0.243659,0.308593,1.536488,0.463855,-0.957464,0.167299,0.03034,0.233138,0.277655,1.549395,0.454202,-0.984454,0.124836,0.0769,0.096706,0.276173,1.506649,0.40419,-0.903269,0.423672,0.001962,0.067841,0.281633,1.461649,0.372442,-0.883392,0.462899,0.069346,-0.023114,0.27833,1.537261,0.429818,-0.968397,0.226318,0.035807,0.098514,0.275083,1.557418,0.477737,-0.984454,0.124836,0.0769,0.096706,0.210115,1.4595,0.443312,-0.518374,0.257344,0.151555,-0.801307,0.240435,1.450006,0.383405,-0.54266,0.201671,0.089287,-0.81048,0.226307,1.452477,0.413497,-0.611808,0.253945,0.072452,-0.745623,0.194736,1.460289,0.463315,-0.518374,0.257344,0.151555,-0.801307,112,0.271702,1.434506,0.345792,-0.883392,0.462899,0.069346,-0.023114,38,Æ,Static,Right
9,10,0.072976,1.576555,-0.012239,0.987897,0.147919,-0.043293,0.017467,0.21485,1.550303,0.448413,-0.953766,0.277446,0.099614,-0.058589,0.233348,1.508333,0.404903,-0.892195,0.424668,0.125988,-0.088161,0.248317,1.457432,0.376433,-0.88367,0.462318,0.069728,-0.022952,0.221694,1.536936,0.428529,-0.944801,0.294052,0.120537,-0.079727,0.209983,1.563102,0.466836,-0.953766,0.277446,0.099614,-0.058589,0.24911,1.558375,0.457266,-0.977882,0.196548,0.058311,0.041414,0.255652,1.513189,0.402969,-0.910864,0.410068,0.046294,-0.00528,0.26516,1.459357,0.374033,-0.88367,0.462318,0.069728,-0.022952,0.251749,1.546046,0.431991,-0.97335,0.224337,0.047513,-0.00215,0.247042,1.569392,0.480309,-0.977882,0.196548,0.058311,0.041414,0.263641,1.474121,0.374395,-0.88367,0.462318,0.069728,-0.022952,0.307579,1.528184,0.443353,-0.957643,0.166428,0.030783,0.232967,0.295311,1.495806,0.405949,-0.87788,0.443151,-0.071486,0.166833,0.289679,1.460443,0.375809,-0.878433,0.420147,0.038779,0.224339,0.303921,1.519561,0.424753,-0.941962,0.228609,-0.034151,0.243473,0.308341,1.536823,0.464127,-0.957643,0.166428,0.030783,0.232967,0.277468,1.54977,0.454414,-0.984539,0.123956,0.077283,0.096673,0.276048,1.507118,0.404317,-0.903709,0.422724,0.002405,0.067892,0.281538,1.462161,0.372514,-0.88367,0.462318,0.069728,-0.022952,0.278169,1.537679,0.430009,-0.968596,0.22541,0.036202,0.098494,0.274872,1.557752,0.47796,-0.984539,0.123956,0.077283,0.096673,0.209889,1.459893,0.443281,-0.518479,0.257471,0.152431,-0.801033,0.240316,1.450499,0.383412,-0.542686,0.201917,0.090396,-0.810278,0.226137,1.452921,0.413484,-0.611877,0.254134,0.073636,-0.745386,0.194485,1.460654,0.463266,-0.518479,0.257471,0.152431,-0.801033,122,0.27163,1.435053,0.34582,-0.88367,0.462318,0.069728,-0.022952,38,Æ,Static,Right
10,11,0.073256,1.576617,-0.012128,0.987989,0.147495,-0.042753,0.017172,0.215422,1.549236,0.445785,-0.954986,0.27443,0.097617,-0.056218,0.233568,1.507427,0.401975,-0.893824,0.422313,0.12381,-0.086032,0.248116,1.456603,0.373132,-0.88509,0.460069,0.067171,-0.020973,0.222136,1.535955,0.425798,-0.946082,0.291356,0.118591,-0.077307,0.210678,1.561937,0.464308,-0.954986,0.27443,0.097617,-0.056218,0.249715,1.557135,0.45458,-0.977724,0.197355,0.056467,0.0438,0.255893,1.512168,0.400001,-0.912507,0.406661,0.044126,-0.003448,0.264962,1.458434,0.37071,-0.88509,0.460069,0.067171,-0.020973,0.252225,1.544818,0.429284,-0.973533,0.223934,0.045696,0.000227,0.24777,1.56819,0.477615,-0.977724,0.197355,0.056467,0.0438,0.263578,1.473212,0.37119,-0.88509,0.460069,0.067171,-0.020973,0.308058,1.526791,0.440222,-0.956903,0.168563,0.027386,0.23489,0.295462,1.494547,0.402766,-0.878335,0.441253,-0.074249,0.168257,0.289542,1.459381,0.372452,-0.878998,0.418195,0.035674,0.22628,0.304247,1.518174,0.421651,-0.94115,0.229583,-0.037398,0.245215,0.309008,1.535481,0.460968,-0.956903,0.168563,0.027386,0.23489,0.278056,1.548455,0.451533,-0.984362,0.124686,0.075077,0.099238,0.276259,1.505975,0.401254,-0.904768,0.420168,-3.5e-05,0.069668,0.281401,1.461162,0.369191,-0.88509,0.460069,0.067171,-0.020973,0.278602,1.536374,0.427119,-0.968441,0.225422,0.033806,0.100822,0.275596,1.556468,0.475083,-0.984362,0.124686,0.075077,0.099238,0.209497,1.459078,0.439852,-0.522295,0.257293,0.152365,-0.79862,0.240047,1.449682,0.380046,-0.545842,0.20277,0.092275,-0.807729,0.225769,1.452092,0.410072,-0.615068,0.254252,0.074817,-0.742597,0.194106,1.459917,0.459843,-0.522295,0.257293,0.152365,-0.79862,133,0.271262,1.434256,0.34238,-0.88509,0.460069,0.067171,-0.020973,38,Æ,Static,Right
