,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.032212,1.522634,-0.146987,0.99933,0.03077,0.019378,0.004155,-0.001335,1.460171,0.190671,0.900828,0.02475,-0.409907,0.140968,0.050758,1.444586,0.157762,0.843119,-0.27906,-0.458579,0.031318,0.058028,1.386474,0.178911,0.595112,-0.641382,-0.402855,-0.268659,0.018913,1.46238,0.174824,0.887911,-0.019304,-0.438844,0.136596,-0.018808,1.457485,0.206565,0.900828,0.02475,-0.409907,0.140968,0.023919,1.508379,0.186963,0.732926,-0.440912,-0.479174,-0.196998,0.067355,1.448955,0.174143,0.741384,-0.457255,-0.467087,-0.151976,0.07125,1.387764,0.190967,0.595112,-0.641382,-0.402855,-0.268659,0.042121,1.48633,0.180775,0.766526,-0.40755,-0.477628,-0.134953,0.010915,1.531204,0.190727,0.732926,-0.440912,-0.479174,-0.196998,0.07582,1.399422,0.181641,0.595112,-0.641382,-0.402855,-0.268659,0.073057,1.491085,0.217505,0.624026,-0.476943,-0.508584,-0.352787,0.080735,1.437791,0.215579,0.588095,-0.567745,-0.431557,-0.381535,0.084006,1.389823,0.209405,0.588754,-0.488877,-0.44417,-0.465919,0.078309,1.470315,0.21502,0.640109,-0.468768,-0.471837,-0.38456,0.067249,1.513665,0.217592,0.624026,-0.476943,-0.508584,-0.352787,0.052598,1.510935,0.199371,0.675781,-0.475279,-0.497337,-0.264739,0.075632,1.445596,0.194339,0.666446,-0.532439,-0.438812,-0.282494,0.082415,1.388998,0.200312,0.595112,-0.641382,-0.402855,-0.268659,0.063869,1.485248,0.196323,0.691644,-0.469089,-0.475326,-0.275047,0.043254,1.535058,0.20036,0.675781,-0.475279,-0.497337,-0.264739,0.002343,1.439543,0.192166,0.548663,-0.630845,0.044407,0.546838,0.045182,1.38518,0.181234,0.523107,-0.652125,0.026783,0.548064,0.021471,1.409748,0.186344,0.610572,-0.645567,0.046048,0.456427,-0.014832,1.458845,0.196164,0.548663,-0.630845,0.044407,0.546838,11,0.084284,1.34989,0.189139,0.595112,-0.641382,-0.402855,-0.268659,21,F,Static,Right
1,2,0.032479,1.522706,-0.146719,0.999345,0.030111,0.019841,0.00303,-0.001627,1.459754,0.191583,0.901523,0.027027,-0.408086,0.141394,0.050361,1.444421,0.158384,0.844594,-0.276902,-0.457099,0.032355,0.057883,1.38625,0.17928,0.597628,-0.640328,-0.401811,-0.26715,0.018544,1.462067,0.175652,0.888746,-0.016989,-0.437097,0.137072,-0.019022,1.456973,0.207546,0.901523,0.027027,-0.408086,0.141394,0.023529,1.508066,0.187924,0.734976,-0.439562,-0.477642,-0.196094,0.067022,1.448771,0.174705,0.743368,-0.455851,-0.465612,-0.151029,0.071158,1.387528,0.191279,0.597628,-0.640328,-0.401811,-0.26715,0.041745,1.486074,0.181579,0.768415,-0.406083,-0.476072,-0.134129,0.010495,1.530851,0.191826,0.734976,-0.439562,-0.477642,-0.196094,0.075652,1.399233,0.181973,0.597628,-0.640328,-0.401811,-0.26715,0.072941,1.490774,0.218156,0.62574,-0.477129,-0.50645,-0.352572,0.080623,1.437485,0.216035,0.590086,-0.567594,-0.429779,-0.380691,0.083993,1.38955,0.209662,0.591336,-0.488238,-0.44256,-0.46485,0.078175,1.470009,0.215587,0.641827,-0.46885,-0.469708,-0.384203,0.06715,1.513358,0.21833,0.62574,-0.477129,-0.50645,-0.352572,0.052347,1.510667,0.200175,0.677659,-0.474722,-0.495601,-0.264192,0.075401,1.445357,0.194849,0.668324,-0.531898,-0.437117,-0.281701,0.082362,1.388755,0.200573,0.597628,-0.640328,-0.401811,-0.26715,0.063617,1.484994,0.197003,0.693424,-0.468604,-0.473511,-0.274519,0.042992,1.534781,0.201275,0.677659,-0.474722,-0.495601,-0.264192,0.002098,1.439088,0.193066,0.548917,-0.628332,0.043548,0.549539,0.045052,1.384913,0.18166,0.523606,-0.649513,0.025928,0.550724,0.021291,1.409381,0.187009,0.611137,-0.643052,0.045632,0.459253,-0.015124,1.458311,0.197235,0.548917,-0.628332,0.043548,0.549539,28,0.084283,1.349696,0.189242,0.597628,-0.640328,-0.401811,-0.26715,21,F,Static,Right
2,3,0.033075,1.522558,-0.146213,0.999345,0.02944,0.020994,0.001547,-0.0026,1.459184,0.19074,0.899255,0.02614,-0.412802,0.142312,0.049741,1.443826,0.158145,0.841765,-0.277939,-0.461745,0.031205,0.057052,1.385678,0.179176,0.595046,-0.639203,-0.405349,-0.270245,0.017736,1.46151,0.175023,0.886307,-0.01782,-0.441774,0.137764,-0.020161,1.456394,0.206519,0.899255,0.02614,-0.412802,0.142312,0.022582,1.507511,0.187322,0.731952,-0.4392,-0.481664,-0.198367,0.066222,1.448205,0.17464,0.740645,-0.455318,-0.469761,-0.153153,0.070191,1.386978,0.19132,0.595046,-0.639203,-0.405349,-0.270245,0.040861,1.485506,0.181204,0.765524,-0.405903,-0.480296,-0.136131,0.009521,1.53031,0.191046,0.731952,-0.4392,-0.481664,-0.198367,0.07479,1.39868,0.18207,0.595046,-0.639203,-0.405349,-0.270245,0.071748,1.490283,0.218132,0.622776,-0.475605,-0.509693,-0.355194,0.079377,1.436979,0.216131,0.587377,-0.565984,-0.432727,-0.383924,0.082833,1.389037,0.20986,0.588672,-0.48603,-0.446171,-0.467089,0.076971,1.469507,0.215636,0.638776,-0.467494,-0.472847,-0.38708,0.065973,1.512871,0.218232,0.622776,-0.475605,-0.509693,-0.355194,0.051314,1.510153,0.199875,0.674503,-0.473971,-0.499232,-0.266768,0.074383,1.444821,0.194879,0.665578,-0.530832,-0.440779,-0.284495,0.081301,1.388229,0.200756,0.595046,-0.639203,-0.405349,-0.270245,0.062594,1.484466,0.196861,0.690397,-0.467782,-0.477244,-0.277074,0.041971,1.534277,0.200841,0.674503,-0.473971,-0.499232,-0.266768,0.001242,1.438663,0.191999,0.550676,-0.631579,0.042791,0.54409,0.044193,1.384333,0.181394,0.52286,-0.654748,0.023815,0.545303,0.0204,1.408867,0.186278,0.611416,-0.64683,0.043424,0.453758,-0.015897,1.458005,0.195953,0.550676,-0.631579,0.042791,0.54409,46,0.083358,1.349155,0.189499,0.595046,-0.639203,-0.405349,-0.270245,21,F,Static,Right
3,4,0.03328,1.522394,-0.146152,0.999309,0.029991,0.021917,0.001016,-0.003074,1.458899,0.19034,0.898174,0.025799,-0.415015,0.142762,0.04943,1.443534,0.158031,0.840421,-0.278426,-0.463932,0.030633,0.056642,1.385396,0.179122,0.593825,-0.63866,-0.407018,-0.271701,0.017338,1.461236,0.174724,0.885149,-0.01812,-0.443969,0.138111,-0.020711,1.456102,0.206033,0.898174,0.025799,-0.415015,0.142762,0.022116,1.507234,0.187041,0.730519,-0.439027,-0.483542,-0.199459,0.065825,1.447926,0.174607,0.739384,-0.455011,-0.471717,-0.154142,0.069716,1.386706,0.191334,0.593825,-0.63866,-0.407018,-0.271701,0.040424,1.485224,0.18103,0.764171,-0.405779,-0.482282,-0.137076,0.009044,1.53004,0.190682,0.730519,-0.439027,-0.483542,-0.199459,0.074364,1.398407,0.182113,0.593825,-0.63866,-0.407018,-0.271701,0.071159,1.490037,0.218128,0.621489,-0.474721,-0.511257,-0.356381,0.07877,1.436729,0.216173,0.586168,-0.565143,-0.434108,-0.385449,0.082266,1.388784,0.20995,0.587413,-0.484977,-0.447872,-0.468139,0.07638,1.469257,0.215662,0.637412,-0.466743,-0.474325,-0.388423,0.065383,1.512626,0.218198,0.621489,-0.474721,-0.511257,-0.356381,0.050799,1.509895,0.199741,0.673056,-0.473542,-0.500946,-0.267968,0.073883,1.444557,0.19489,0.664335,-0.53025,-0.442516,-0.285786,0.080781,1.38797,0.200839,0.593825,-0.63866,-0.407018,-0.271701,0.062087,1.484203,0.196796,0.689019,-0.467308,-0.479011,-0.278253,0.04146,1.534023,0.200646,0.673056,-0.473542,-0.500946,-0.267968,0.000847,1.438471,0.191456,0.551746,-0.633109,0.042666,0.54123,0.04377,1.384046,0.18126,0.522472,-0.657442,0.022905,0.542466,0.019971,1.408621,0.185903,0.611625,-0.648708,0.042517,0.450872,-0.016236,1.457883,0.195307,0.551746,-0.633109,0.042666,0.54123,62,0.082903,1.348889,0.189618,0.593825,-0.63866,-0.407018,-0.271701,21,F,Static,Right
4,5,0.03361,1.522259,-0.145925,0.999247,0.03095,0.023415,0.000336,-0.002709,1.45837,0.191846,0.901015,0.027162,-0.409221,0.141327,0.049364,1.443133,0.158738,0.844278,-0.276131,-0.458162,0.032157,0.056881,1.384917,0.179508,0.598036,-0.639261,-0.402304,-0.268048,0.017493,1.460724,0.175962,0.888221,-0.016313,-0.438153,0.137186,-0.020143,1.455577,0.207765,0.901015,0.027162,-0.409221,0.141327,0.022563,1.506807,0.188292,0.734106,-0.439983,-0.477826,-0.197955,0.06599,1.447457,0.175101,0.743002,-0.455511,-0.466055,-0.15248,0.07013,1.386176,0.191538,0.598036,-0.639261,-0.402304,-0.268048,0.040754,1.484789,0.181966,0.767944,-0.405889,-0.476572,-0.13563,0.009595,1.529634,0.192168,0.734106,-0.439983,-0.477826,-0.197955,0.074638,1.397908,0.182275,0.598036,-0.639261,-0.402304,-0.268048,0.07209,1.489418,0.218497,0.623538,-0.479223,-0.50547,-0.355028,0.079517,1.436086,0.216433,0.588695,-0.568254,-0.429326,-0.382368,0.08293,1.388168,0.209958,0.591594,-0.48697,-0.442776,-0.465646,0.077204,1.46862,0.215961,0.639972,-0.470251,-0.469114,-0.386305,0.066472,1.512046,0.218626,0.623538,-0.479223,-0.50547,-0.355028,0.051545,1.509417,0.200486,0.675954,-0.476229,-0.49526,-0.266476,0.074332,1.444003,0.195255,0.667133,-0.53251,-0.436975,-0.283584,0.081317,1.387393,0.200865,0.598036,-0.639261,-0.402304,-0.268048,0.062696,1.483686,0.197365,0.691939,-0.469713,-0.473352,-0.276635,0.042327,1.533586,0.201533,0.675954,-0.476229,-0.49526,-0.266476,0.001193,1.437806,0.193254,0.552027,-0.626859,0.044263,0.548046,0.044044,1.383564,0.181852,0.524082,-0.650398,0.024966,0.549269,0.020281,1.408047,0.187124,0.613064,-0.642264,0.045717,0.457777,-0.015911,1.457114,0.197516,0.552027,-0.626859,0.044263,0.548046,74,0.083285,1.34836,0.189449,0.598036,-0.639261,-0.402304,-0.268048,21,F,Static,Right
5,6,0.033807,1.522275,-0.145864,0.999185,0.032371,0.024127,0.000384,-0.002857,1.458275,0.191589,0.900297,0.02757,-0.410542,0.141988,0.049322,1.443029,0.15867,0.843374,-0.276567,-0.459587,0.031792,0.056805,1.384823,0.179482,0.59737,-0.638818,-0.403478,-0.268824,0.017394,1.460639,0.175769,0.887474,-0.016486,-0.439562,0.137488,-0.020333,1.455444,0.207456,0.900297,0.02757,-0.410542,0.141988,0.022396,1.506699,0.188129,0.733553,-0.43927,-0.479207,-0.198249,0.065893,1.447367,0.175084,0.742253,-0.455241,-0.467342,-0.152996,0.070015,1.386094,0.191553,0.59737,-0.638818,-0.403478,-0.268824,0.04062,1.48469,0.181862,0.76721,-0.405588,-0.477896,-0.136024,0.009388,1.529508,0.191971,0.733553,-0.43927,-0.479207,-0.198249,0.074546,1.397826,0.182302,0.59737,-0.638818,-0.403478,-0.268824,0.071836,1.489349,0.218483,0.62276,-0.478654,-0.506633,-0.355503,0.079296,1.436017,0.216463,0.588081,-0.567561,-0.430544,-0.382971,0.082756,1.3881,0.210014,0.590946,-0.486201,-0.443928,-0.466175,0.076958,1.46855,0.215974,0.639122,-0.46982,-0.470204,-0.386911,0.066206,1.511974,0.218586,0.62276,-0.478654,-0.506633,-0.355503,0.051326,1.509325,0.200427,0.675358,-0.475516,-0.496522,-0.266914,0.074173,1.443925,0.195265,0.666599,-0.531854,-0.43822,-0.284149,0.081172,1.38732,0.200916,0.59737,-0.638818,-0.403478,-0.268824,0.062497,1.483598,0.197343,0.69123,-0.469224,-0.474539,-0.277206,0.042081,1.533484,0.201449,0.675358,-0.475516,-0.496522,-0.266914,0.001013,1.437657,0.193053,0.551746,-0.627736,0.043088,0.54742,0.043962,1.383464,0.181784,0.523831,-0.651204,0.02385,0.548604,0.020158,1.40792,0.186987,0.612796,-0.643043,0.044399,0.457172,-0.016127,1.456945,0.197262,0.551746,-0.627736,0.043088,0.54742,88,0.083199,1.348285,0.18952,0.59737,-0.638818,-0.403478,-0.268824,21,F,Static,Right
6,7,0.033972,1.522161,-0.145725,0.999125,0.033752,0.024678,0.001029,-0.003003,1.45784,0.19191,0.901228,0.02829,-0.408339,0.14229,0.049035,1.442712,0.158707,0.84468,-0.275612,-0.457669,0.033056,0.05671,1.384506,0.17945,0.598813,-0.638976,-0.402342,-0.266934,0.017164,1.460245,0.17599,0.888489,-0.015485,-0.437378,0.138014,-0.020398,1.454985,0.207862,0.901228,0.02829,-0.408339,0.14229,0.022159,1.506315,0.188351,0.735153,-0.438996,-0.477647,-0.196686,0.065683,1.447063,0.175041,0.743688,-0.455031,-0.465755,-0.151485,0.06998,1.385787,0.191454,0.598813,-0.638976,-0.402342,-0.266934,0.04039,1.484344,0.181971,0.76873,-0.405153,-0.476246,-0.134521,0.009129,1.529097,0.19228,0.735153,-0.438996,-0.477647,-0.196686,0.074444,1.397529,0.182178,0.598813,-0.638976,-0.402342,-0.266934,0.071798,1.489024,0.21843,0.624269,-0.479218,-0.505173,-0.354174,0.079309,1.435702,0.216343,0.589541,-0.568102,-0.429302,-0.381316,0.082807,1.387794,0.209842,0.592578,-0.486828,-0.442624,-0.464688,0.07693,1.468232,0.215884,0.640637,-0.470364,-0.468757,-0.3855,0.066152,1.511645,0.218571,0.624269,-0.479218,-0.505173,-0.354174,0.051159,1.508981,0.200502,0.677091,-0.475382,-0.495146,-0.265313,0.074069,1.443618,0.195178,0.668026,-0.532095,-0.43677,-0.282575,0.081179,1.387019,0.200751,0.598813,-0.638976,-0.402342,-0.266934,0.062357,1.483275,0.19734,0.692854,-0.469221,-0.473074,-0.275657,0.041874,1.533122,0.201594,0.677091,-0.475382,-0.495146,-0.265313,0.000907,1.43723,0.193445,0.551272,-0.625903,0.043646,0.549946,0.043882,1.38313,0.181827,0.523786,-0.649072,0.024547,0.551137,0.02007,1.407538,0.18722,0.612664,-0.641245,0.04538,0.459771,-0.016254,1.456471,0.197774,0.551272,-0.625903,0.043646,0.549946,102,0.083205,1.347995,0.189316,0.598813,-0.638976,-0.402342,-0.266934,21,F,Static,Right
7,8,0.034029,1.522027,-0.145565,0.999082,0.034873,0.024835,0.001758,-0.002861,1.457217,0.191601,0.900633,0.028322,-0.409479,0.142776,0.049278,1.442155,0.158526,0.844106,-0.275325,-0.458892,0.033168,0.056943,1.383956,0.179294,0.598395,-0.638462,-0.403366,-0.267557,0.017344,1.459648,0.175732,0.88786,-0.015338,-0.438513,0.13848,-0.020293,1.454345,0.207508,0.900633,0.028322,-0.409479,0.142776,0.022273,1.505727,0.188125,0.734812,-0.438226,-0.478777,-0.196932,0.06588,1.446518,0.174904,0.743206,-0.454559,-0.466854,-0.151885,0.070182,1.385247,0.191333,0.598395,-0.638462,-0.403366,-0.267557,0.040543,1.483779,0.18178,0.768305,-0.404535,-0.477391,-0.134749,0.009205,1.528491,0.192036,0.734812,-0.438226,-0.478777,-0.196932,0.074659,1.39699,0.182063,0.598395,-0.638462,-0.403366,-0.267557,0.071845,1.48848,0.218337,0.623955,-0.478293,-0.506142,-0.354593,0.079406,1.435165,0.216242,0.589289,-0.567282,-0.430197,-0.381916,0.082957,1.38726,0.209748,0.592178,-0.486039,-0.443578,-0.465113,0.077001,1.467693,0.215793,0.640319,-0.469497,-0.469684,-0.385956,0.066173,1.511094,0.218476,0.623955,-0.478293,-0.506142,-0.354593,0.051235,1.508418,0.200356,0.676804,-0.474464,-0.496261,-0.265605,0.074215,1.443078,0.195063,0.66766,-0.531447,-0.437778,-0.283097,0.081353,1.386484,0.200653,0.598395,-0.638462,-0.403366,-0.267557,0.062469,1.482726,0.197209,0.692516,-0.468429,-0.474148,-0.276007,0.041912,1.532545,0.20144,0.676804,-0.474464,-0.496261,-0.265605,0.001068,1.436631,0.193202,0.551128,-0.62641,0.04268,0.549588,0.044111,1.382572,0.181645,0.523725,-0.649496,0.023665,0.550733,0.020269,1.406959,0.187002,0.612633,-0.641596,0.044415,0.459416,-0.016121,1.455854,0.197501,0.551128,-0.62641,0.04268,0.549588,117,0.083439,1.347462,0.189222,0.598395,-0.638462,-0.403366,-0.267557,21,F,Static,Right
8,9,0.034232,1.522008,-0.145198,0.999019,0.036507,0.024886,0.002933,-0.002634,1.456033,0.191034,0.899517,0.028632,-0.411538,0.143829,0.049689,1.441097,0.158199,0.843019,-0.274844,-0.461158,0.033376,0.057334,1.382907,0.179004,0.597639,-0.637494,-0.40524,-0.268717,0.017637,1.458519,0.175258,0.886689,-0.014954,-0.440589,0.139427,-0.020132,1.453114,0.20686,0.899517,0.028632,-0.411538,0.143829,0.022448,1.50461,0.187731,0.734241,-0.436717,-0.480814,-0.19745,0.066204,1.44548,0.174658,0.742384,-0.453592,-0.468838,-0.15268,0.070514,1.384215,0.191106,0.597639,-0.637494,-0.40524,-0.268717,0.040788,1.482704,0.181445,0.767564,-0.40333,-0.479456,-0.135252,0.009311,1.527339,0.191614,0.734241,-0.436717,-0.480814,-0.19745,0.075018,1.395964,0.181853,0.597639,-0.637494,-0.40524,-0.268717,0.071876,1.487438,0.218199,0.623698,-0.476159,-0.507995,-0.355266,0.079545,1.434141,0.216059,0.589037,-0.56556,-0.431802,-0.383047,0.083194,1.386242,0.209577,0.591452,-0.484565,-0.44532,-0.46591,0.077085,1.466665,0.215647,0.639951,-0.467623,-0.471362,-0.386794,0.066137,1.510035,0.218352,0.623698,-0.476159,-0.507995,-0.355266,0.051326,1.507342,0.200112,0.676348,-0.472678,-0.498275,-0.266179,0.074447,1.442049,0.194856,0.667118,-0.530092,-0.43963,-0.284046,0.081636,1.385465,0.200474,0.597639,-0.637494,-0.40524,-0.268717,0.062628,1.481677,0.196987,0.69197,-0.466866,-0.476087,-0.276685,0.041934,1.531442,0.201189,0.676348,-0.472678,-0.498275,-0.266179,0.001335,1.435507,0.1927,0.551052,-0.627424,0.041044,0.548632,0.044494,1.381508,0.1813,0.523553,-0.650558,0.02203,0.54971,0.020598,1.405861,0.186567,0.612584,-0.642439,0.042635,0.458471,-0.015895,1.454708,0.196938,0.551052,-0.627424,0.041044,0.548632,129,0.083831,1.346447,0.189048,0.597639,-0.637494,-0.40524,-0.268717,21,F,Static,Right
9,10,0.034434,1.521982,-0.144902,0.999044,0.036441,0.02383,0.003972,-0.002039,1.455908,0.190787,0.899495,0.027017,-0.411991,0.14298,0.050287,1.440785,0.158036,0.842576,-0.276115,-0.461261,0.032621,0.057752,1.38261,0.178948,0.596516,-0.638378,-0.404953,-0.269547,0.018257,1.458311,0.175031,0.886599,-0.016451,-0.440958,0.138666,-0.019565,1.453073,0.206597,0.899495,0.027017,-0.411991,0.14298,0.023171,1.504407,0.187448,0.733471,-0.437661,-0.480821,-0.198204,0.066795,1.445151,0.174506,0.741578,-0.454684,-0.468773,-0.153548,0.070922,1.383903,0.191063,0.596516,-0.638378,-0.404953,-0.269547,0.041468,1.482452,0.181208,0.766908,-0.404283,-0.479491,-0.136004,0.010083,1.527171,0.191287,0.733471,-0.437661,-0.480821,-0.198204,0.075467,1.395623,0.181794,0.596516,-0.638378,-0.404953,-0.269547,0.072611,1.48718,0.217988,0.622035,-0.477939,-0.507363,-0.356693,0.080058,1.433845,0.215942,0.587612,-0.566663,-0.431287,-0.384183,0.083586,1.385926,0.209543,0.590169,-0.485385,-0.445397,-0.466609,0.077727,1.466379,0.215478,0.638421,-0.469064,-0.470933,-0.388098,0.066994,1.509808,0.218092,0.622035,-0.477939,-0.507363,-0.356693,0.052128,1.507121,0.199832,0.675092,-0.474107,-0.497999,-0.26734,0.075005,1.441732,0.19472,0.665836,-0.531353,-0.43927,-0.285251,0.082036,1.385138,0.20044,0.596516,-0.638378,-0.404953,-0.269547,0.063335,1.481408,0.196766,0.690742,-0.468216,-0.475859,-0.277863,0.042829,1.53126,0.200853,0.675092,-0.474107,-0.497999,-0.26734,0.001858,1.435363,0.192516,0.551187,-0.628066,0.041882,0.547697,0.044906,1.38125,0.181233,0.523779,-0.651094,0.022974,0.548821,0.021064,1.405667,0.186449,0.612588,-0.643102,0.043371,0.457465,-0.015334,1.454608,0.196708,0.551187,-0.628066,0.041882,0.547697,143,0.084139,1.346096,0.189081,0.596516,-0.638378,-0.404953,-0.269547,21,F,Static,Right
