,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.000264,1.521366,0.06226,0.99681,0.053143,-0.036289,0.047212,-0.056435,1.477636,0.479611,0.844011,-0.529689,0.037531,0.075274,-0.060083,1.422321,0.448034,0.861539,-0.505045,0.047581,0.020404,-0.084249,1.369414,0.432986,0.833867,-0.525664,0.167954,-0.011611,-0.057697,1.456237,0.466907,0.867665,-0.491994,0.055005,0.045542,-0.057285,1.49869,0.488719,0.844011,-0.529689,0.037531,0.075274,-0.074301,1.484256,0.494973,0.86685,-0.481678,0.089142,0.092801,-0.082066,1.428581,0.449579,0.89947,-0.427495,0.080542,0.041417,-0.101217,1.372561,0.432975,0.833867,-0.525664,0.167954,-0.011611,-0.077247,1.462722,0.476934,0.903636,-0.417084,0.081978,0.052564,-0.073227,1.506636,0.507408,0.86685,-0.481678,0.089142,0.092801,-0.097438,1.386543,0.4295,0.833867,-0.525664,0.167954,-0.011611,-0.103311,1.392662,0.489984,0.312775,0.927896,0.196059,-0.052364,-0.121161,1.414976,0.462631,0.975604,0.048486,0.204577,0.06321,-0.123323,1.375298,0.437899,0.842819,-0.460453,0.154178,0.232098,-0.108395,1.41281,0.491344,0.683611,0.7063,0.183821,-0.005085,-0.102012,1.37833,0.472671,0.312775,0.927896,0.196059,-0.052364,-0.087952,1.406095,0.497923,0.387075,0.912819,0.125679,-0.033768,-0.102068,1.424387,0.455662,0.987548,-0.096982,0.114517,0.047228,-0.115918,1.375878,0.432908,0.833867,-0.525664,0.167954,-0.011611,-0.093391,1.432478,0.493844,0.758143,0.636938,0.139441,-0.009271,-0.086897,1.387102,0.481706,0.387075,0.912819,0.125679,-0.033768,-0.064037,1.395416,0.495017,0.619915,0.081127,-0.465891,-0.626154,-0.07678,1.363196,0.441107,0.502869,-0.322519,-0.014067,-0.801814,-0.06001,1.374761,0.467494,0.642252,-0.168287,-0.272912,-0.696212,-0.080274,1.408389,0.509346,0.619915,0.081127,-0.465891,-0.626154,11,-0.11281,1.344506,0.40942,0.833867,-0.525664,0.167954,-0.011611,36,U,Static,Left
1,2,-0.000409,1.521365,0.062287,0.996817,0.052706,-0.036553,0.047355,-0.056436,1.476847,0.479802,0.844332,-0.529597,0.037908,0.072071,-0.060317,1.421549,0.448223,0.86162,-0.505002,0.047848,0.017195,-0.084735,1.368766,0.433144,0.833854,-0.525505,0.168265,-0.014772,-0.057786,1.455453,0.467097,0.867838,-0.49195,0.055228,0.042331,-0.057187,1.497903,0.488911,0.844332,-0.529597,0.037908,0.072071,-0.074327,1.483594,0.495084,0.866952,-0.482067,0.089225,0.089691,-0.082268,1.427934,0.449701,0.899612,-0.427508,0.080439,0.038279,-0.101684,1.372009,0.433084,0.833854,-0.525505,0.168265,-0.014772,-0.077339,1.462059,0.477056,0.903704,-0.417346,0.081829,0.049451,-0.073169,1.505981,0.507497,0.866952,-0.482067,0.089225,0.089691,-0.097821,1.385968,0.429612,0.833854,-0.525505,0.168265,-0.014772,-0.10383,1.392154,0.490069,0.313189,0.928428,0.192949,-0.052009,-0.121476,1.414561,0.462654,0.976072,0.048821,0.203102,0.060417,-0.123793,1.374876,0.437948,0.843502,-0.460678,0.15439,0.229007,-0.108802,1.412332,0.491403,0.684057,0.70663,0.180837,-0.006104,-0.102564,1.377804,0.472768,0.313189,0.928428,0.192949,-0.052009,-0.088421,1.405498,0.49802,0.386731,0.913408,0.122433,-0.033703,-0.102311,1.423859,0.455732,0.98782,-0.096894,0.113438,0.044223,-0.116371,1.37541,0.432977,0.833854,-0.525505,0.168265,-0.014772,-0.093693,1.431914,0.493934,0.758207,0.637468,0.136543,-0.010642,-0.087439,1.386513,0.481789,0.386731,0.913408,0.122433,-0.033703,-0.064509,1.394687,0.495209,0.617594,0.080131,-0.466798,-0.627898,-0.077318,1.362512,0.441285,0.500445,-0.321763,-0.01393,-0.803635,-0.060543,1.373994,0.467704,0.639864,-0.168494,-0.273295,-0.698208,-0.080691,1.407765,0.509504,0.617594,0.080131,-0.466798,-0.627898,22,-0.113375,1.344002,0.409523,0.833854,-0.525505,0.168265,-0.014772,36,U,Static,Left
2,3,-0.000549,1.521452,0.062365,0.996844,0.051945,-0.037045,0.047235,-0.056453,1.476073,0.479982,0.844678,-0.529421,0.038286,0.069048,-0.060558,1.420797,0.448393,0.861725,-0.50489,0.048123,0.014166,-0.085208,1.36813,0.433285,0.833816,-0.525379,0.16856,-0.017737,-0.057889,1.454687,0.467273,0.868016,-0.491862,0.055459,0.039303,-0.057111,1.49713,0.489097,0.844678,-0.529421,0.038286,0.069048,-0.074375,1.482945,0.49518,0.867009,-0.482484,0.089285,0.08679,-0.082478,1.427299,0.449808,0.899733,-0.427526,0.080326,0.035351,-0.102139,1.371462,0.433181,0.833816,-0.525379,0.16856,-0.017737,-0.077447,1.461409,0.477164,0.903741,-0.41763,0.081673,0.046548,-0.073139,1.505342,0.507569,0.867009,-0.482484,0.089285,0.08679,-0.098201,1.385399,0.429713,0.833816,-0.525379,0.16856,-0.017737,-0.104335,1.391652,0.490143,0.313588,0.928913,0.190028,-0.051693,-0.12179,1.414144,0.46267,0.976502,0.049116,0.201726,0.057786,-0.124253,1.374452,0.437989,0.844118,-0.460912,0.1546,0.226107,-0.109202,1.411857,0.491451,0.684492,0.706911,0.17804,-0.007072,-0.103101,1.377285,0.472854,0.313588,0.928913,0.190028,-0.051693,-0.088881,1.40491,0.498099,0.386256,0.914016,0.119373,-0.033655,-0.102558,1.423335,0.45579,0.988065,-0.096819,0.112428,0.041407,-0.116815,1.374943,0.433038,0.833816,-0.525379,0.16856,-0.017737,-0.093995,1.431357,0.494011,0.758211,0.638016,0.133825,-0.011936,-0.087969,1.385939,0.481848,0.386256,0.914016,0.119373,-0.033655,-0.064951,1.393973,0.495378,0.615459,0.079094,-0.467546,-0.629568,-0.077839,1.361842,0.441444,0.498158,-0.321146,-0.013732,-0.805305,-0.061053,1.373245,0.46789,0.637639,-0.168786,-0.273553,-0.700069,-0.081076,1.40715,0.509647,0.615459,0.079094,-0.467546,-0.629568,33,-0.113924,1.3435,0.409617,0.833816,-0.525379,0.16856,-0.017737,36,U,Static,Left
3,4,-0.000697,1.521605,0.062487,0.996866,0.051359,-0.037525,0.047026,-0.057209,1.476999,0.480273,0.84467,-0.529186,0.036842,0.071674,-0.060998,1.421728,0.448636,0.861904,-0.504628,0.046783,0.016839,-0.085314,1.368922,0.433472,0.83418,-0.52542,0.166897,-0.014926,-0.058523,1.455616,0.467547,0.86809,-0.491654,0.054145,0.041997,-0.057989,1.498044,0.489405,0.84467,-0.529186,0.036842,0.071674,-0.075201,1.483759,0.49546,0.866647,-0.482892,0.087786,0.089622,-0.08296,1.428087,0.450061,0.899784,-0.427405,0.079057,0.038253,-0.102266,1.372145,0.433371,0.83418,-0.52542,0.166897,-0.014926,-0.078137,1.462205,0.477443,0.903593,-0.417857,0.080412,0.049492,-0.074108,1.506167,0.507842,0.866647,-0.482892,0.087786,0.089622,-0.098413,1.38611,0.429915,0.83418,-0.52542,0.166897,-0.014926,-0.104582,1.392229,0.490346,0.313019,0.928535,0.193127,-0.050438,-0.122185,1.414663,0.462908,0.976264,0.049434,0.201801,0.061175,-0.124393,1.374985,0.43818,0.843656,-0.460894,0.153,0.228939,-0.109584,1.4124,0.491686,0.683963,0.70686,0.180342,-0.004608,-0.103251,1.377899,0.473035,0.313019,0.928535,0.193127,-0.050438,-0.089213,1.405602,0.49833,0.38591,0.913815,0.122336,-0.032402,-0.103013,1.423986,0.456038,0.987975,-0.096621,0.112152,0.044626,-0.116959,1.37553,0.433229,0.83418,-0.52542,0.166897,-0.014926,-0.094497,1.432019,0.494268,0.757935,0.637944,0.135911,-0.009469,-0.088182,1.386652,0.482061,0.38591,0.913815,0.122336,-0.032402,-0.065277,1.394774,0.495642,0.617028,0.081244,-0.466763,-0.628338,-0.077909,1.362673,0.441628,0.500918,-0.320127,-0.014197,-0.803989,-0.061223,1.374125,0.468117,0.639765,-0.166936,-0.273702,-0.698513,-0.081482,1.407827,0.509933,0.617028,0.081244,-0.466763,-0.628338,44,-0.113866,1.344134,0.40977,0.83418,-0.52542,0.166897,-0.014926,36,U,Static,Left
4,5,-0.000825,1.521798,0.062648,0.996884,0.050517,-0.038078,0.047125,-0.057923,1.477833,0.480536,0.844627,-0.529017,0.035549,0.074051,-0.061427,1.422566,0.448861,0.862043,-0.504414,0.045583,0.019256,-0.085434,1.369633,0.433647,0.834497,-0.525473,0.165351,-0.012356,-0.059126,1.456451,0.467797,0.868124,-0.491509,0.052969,0.044435,-0.058812,1.498869,0.489681,0.844627,-0.529017,0.035549,0.074051,-0.075983,1.484496,0.495707,0.866239,-0.483387,0.086405,0.092206,-0.083426,1.428793,0.450292,0.899794,-0.427353,0.077891,0.040899,-0.102406,1.372756,0.433548,0.834497,-0.525473,0.165351,-0.012356,-0.078795,1.462921,0.477695,0.9034,-0.418168,0.079249,0.05218,-0.075023,1.506916,0.508077,0.866239,-0.483387,0.086405,0.092206,-0.09863,1.386746,0.430103,0.834497,-0.525473,0.165351,-0.012356,-0.104833,1.392743,0.490533,0.312492,0.928179,0.195977,-0.049251,-0.12257,1.415122,0.463126,0.976038,0.049745,0.201841,0.064305,-0.124543,1.375458,0.438356,0.843214,-0.460899,0.151517,0.231528,-0.109959,1.412881,0.491901,0.683478,0.706801,0.182445,-0.002309,-0.103411,1.378448,0.4732,0.312492,0.928179,0.195977,-0.049251,-0.089543,1.406225,0.498545,0.385646,0.913599,0.125052,-0.031238,-0.103454,1.424566,0.456266,0.987881,-0.096483,0.111882,0.047578,-0.117113,1.376052,0.433405,0.834497,-0.525473,0.165351,-0.012356,-0.094983,1.432613,0.494502,0.757717,0.637824,0.137814,-0.007195,-0.0884,1.387294,0.482261,0.385646,0.913599,0.125052,-0.031238,-0.065609,1.395485,0.495895,0.618395,0.083267,-0.466044,-0.627262,-0.077997,1.36342,0.441802,0.503437,-0.319081,-0.014626,-0.802823,-0.06141,1.374913,0.468335,0.641669,-0.165146,-0.273857,-0.69713,-0.081888,1.408426,0.510205,0.618395,0.083267,-0.466044,-0.627262,55,-0.113834,1.3447,0.409914,0.834497,-0.525473,0.165351,-0.012356,36,U,Static,Left
5,6,-0.000932,1.521959,0.062811,0.996874,0.049759,-0.03871,0.047629,-0.058602,1.478593,0.480777,0.844556,-0.528898,0.034377,0.076228,-0.061846,1.423327,0.44907,0.862149,-0.50424,0.044495,0.021468,-0.085567,1.370279,0.433812,0.834775,-0.525535,0.163901,-0.009982,-0.059705,1.457212,0.468028,0.868125,-0.491413,0.051901,0.046666,-0.059592,1.499619,0.489932,0.844556,-0.528898,0.034377,0.076228,-0.076731,1.485168,0.495929,0.865797,-0.483946,0.085119,0.094587,-0.083879,1.429431,0.450507,0.899773,-0.427353,0.076807,0.04334,-0.102556,1.373309,0.433713,0.834775,-0.525535,0.163901,-0.009982,-0.079426,1.463572,0.477924,0.903175,-0.418543,0.078164,0.054661,-0.075895,1.507603,0.508282,0.865797,-0.483946,0.085119,0.094587,-0.098851,1.387321,0.430278,0.834775,-0.525535,0.163901,-0.009982,-0.105087,1.393205,0.490706,0.312001,0.927841,0.198625,-0.048119,-0.122948,1.415533,0.463328,0.975823,0.050049,0.201855,0.067223,-0.124702,1.375882,0.43852,0.84279,-0.460921,0.15013,0.23392,-0.110328,1.413312,0.4921,0.683029,0.706734,0.184386,-0.000146,-0.103579,1.378942,0.473354,0.312001,0.927841,0.198625,-0.048119,-0.089871,1.406791,0.498746,0.385447,0.913372,0.127568,-0.030147,-0.103884,1.425089,0.456476,0.987785,-0.096394,0.111619,0.050312,-0.117275,1.376522,0.43357,0.834775,-0.525535,0.163901,-0.009982,-0.095455,1.433152,0.494719,0.757545,0.637668,0.139568,-0.005077,-0.088624,1.387877,0.48245,0.385447,0.913372,0.127568,-0.030147,-0.065946,1.396125,0.496138,0.619603,0.085184,-0.465377,-0.626307,-0.078102,1.3641,0.441967,0.505762,-0.318019,-0.015026,-0.801775,-0.061609,1.375626,0.468544,0.643395,-0.16341,-0.274017,-0.695884,-0.082293,1.408961,0.510466,0.619603,0.085184,-0.465377,-0.626307,66,-0.113823,1.345211,0.410049,0.834775,-0.525535,0.163901,-0.009982,36,U,Static,Left
6,7,-0.000991,1.522027,0.062994,0.996814,0.049771,-0.039174,0.048489,-0.058803,1.47833,0.480802,0.844561,-0.528981,0.034425,0.075578,-0.062092,1.423066,0.449097,0.862184,-0.504206,0.044526,0.020808,-0.08586,1.37003,0.433869,0.834585,-0.525808,0.163952,-0.010662,-0.059922,1.456947,0.468057,0.868119,-0.491485,0.051917,0.046013,-0.059775,1.499359,0.489953,0.844561,-0.528981,0.034425,0.075578,-0.076925,1.484949,0.49591,0.865693,-0.484249,0.085215,0.093905,-0.084119,1.429196,0.450516,0.899722,-0.427523,0.076855,0.042645,-0.102845,1.373078,0.433759,0.834585,-0.525808,0.163952,-0.010662,-0.079637,1.463343,0.47792,0.90308,-0.418829,0.078201,0.053975,-0.076068,1.507392,0.508247,0.865693,-0.484249,0.085215,0.093905,-0.099126,1.387084,0.430315,0.834585,-0.525808,0.163952,-0.010662,-0.105388,1.393041,0.49075,0.312865,0.927689,0.197938,-0.048276,-0.123211,1.415352,0.463327,0.975942,0.049449,0.201687,0.066437,-0.124994,1.375681,0.438553,0.842759,-0.461273,0.15025,0.233259,-0.110604,1.413156,0.492107,0.683682,0.706256,0.183794,-0.00058,-0.10389,1.378744,0.473425,0.312865,0.927689,0.197938,-0.048276,-0.090163,1.4066,0.498765,0.385683,0.913364,0.126896,-0.030207,-0.104132,1.424881,0.456478,0.987804,-0.096747,0.11144,0.049655,-0.117563,1.376309,0.433607,0.834585,-0.525808,0.163952,-0.010662,-0.095714,1.432965,0.494718,0.757789,0.637502,0.138989,-0.005428,-0.088933,1.387677,0.482479,0.385683,0.913364,0.126896,-0.030207,-0.066222,1.395904,0.496179,0.619217,0.084876,-0.465893,-0.626347,-0.078403,1.36385,0.44203,0.505175,-0.318135,-0.015222,-0.802096,-0.061903,1.375378,0.468602,0.642899,-0.163749,-0.274267,-0.696164,-0.082566,1.408767,0.510485,0.619217,0.084876,-0.465893,-0.626347,78,-0.114133,1.344973,0.410115,0.834585,-0.525808,0.163952,-0.010662,36,U,Static,Left
7,8,-0.001012,1.521968,0.063113,0.996786,0.050026,-0.039284,0.048704,-0.058362,1.47814,0.480946,0.84524,-0.527979,0.035273,0.07459,-0.061814,1.422945,0.44914,0.862662,-0.503351,0.045384,0.01981,-0.085726,1.369987,0.433864,0.834811,-0.525144,0.164865,-0.011537,-0.059545,1.456785,0.468161,0.868624,-0.490596,0.052737,0.04501,-0.059272,1.499152,0.490143,0.84524,-0.527979,0.035273,0.07459,-0.076433,1.484822,0.496016,0.86577,-0.484145,0.086162,0.092855,-0.083824,1.429131,0.450577,0.900046,-0.426784,0.077798,0.04148,-0.102703,1.37308,0.433767,0.834811,-0.525144,0.164865,-0.011537,-0.079219,1.463227,0.478023,0.903171,-0.41861,0.079093,0.052849,-0.075507,1.507264,0.50835,0.86577,-0.484145,0.086162,0.092855,-0.098952,1.387081,0.430339,0.834811,-0.525144,0.164865,-0.011537,-0.105165,1.393009,0.490801,0.31263,0.927973,0.196812,-0.048929,-0.122945,1.415376,0.463393,0.975963,0.049892,0.201897,0.06516,-0.124846,1.375737,0.438578,0.843275,-0.460561,0.150948,0.232349,-0.110328,1.413138,0.492165,0.683552,0.706572,0.183059,-0.001657,-0.103715,1.378713,0.473471,0.31263,0.927973,0.196812,-0.048929,-0.089899,1.406496,0.498814,0.385318,0.913651,0.12575,-0.030971,-0.103845,1.424862,0.456544,0.987891,-0.09602,0.111878,0.048324,-0.117416,1.37635,0.433628,0.834811,-0.525144,0.164865,-0.011537,-0.095379,1.432879,0.494788,0.757521,0.637952,0.138327,-0.006627,-0.088731,1.38758,0.482515,0.385318,0.913651,0.12575,-0.030971,-0.065943,1.395742,0.496185,0.618575,0.084252,-0.465394,-0.627436,-0.078278,1.363778,0.442011,0.504296,-0.318265,-0.014142,-0.802616,-0.061723,1.375235,0.46858,0.642167,-0.164279,-0.273185,-0.69714,-0.082239,1.408635,0.51052,0.618575,0.084252,-0.465394,-0.627436,89,-0.11408,1.345031,0.410101,0.834811,-0.525144,0.164865,-0.011537,36,U,Static,Left
8,9,-0.00101,1.521837,0.063206,0.996733,0.051001,-0.03938,0.048699,-0.057973,1.47797,0.481085,0.845908,-0.52698,0.036043,0.073702,-0.061571,1.422839,0.449184,0.863111,-0.502544,0.04616,0.018919,-0.085611,1.369952,0.433862,0.835026,-0.524528,0.165683,-0.012309,-0.059212,1.45664,0.468262,0.869108,-0.489741,0.053479,0.044113,-0.058825,1.498964,0.49033,0.845908,-0.52698,0.036043,0.073702,-0.075993,1.484713,0.496112,0.865749,-0.484206,0.087046,0.091907,-0.083566,1.429075,0.450638,0.90034,-0.426102,0.078688,0.040416,-0.102581,1.373085,0.433777,0.835026,-0.524528,0.165683,-0.012309,-0.078846,1.463124,0.478123,0.90319,-0.418536,0.07993,0.051831,-0.075004,1.507158,0.508435,0.865749,-0.484206,0.087046,0.091907,-0.098802,1.387081,0.430364,0.835026,-0.524528,0.165683,-0.012309,-0.104971,1.392984,0.490853,0.312411,0.928225,0.195825,-0.049507,-0.122714,1.415399,0.463458,0.975979,0.050271,0.202082,0.064042,-0.124719,1.37579,0.438603,0.843746,-0.459899,0.151569,0.231545,-0.110087,1.413124,0.492223,0.683439,0.706844,0.182418,-0.002602,-0.103562,1.378688,0.473519,0.312411,0.928225,0.195825,-0.049507,-0.089667,1.406404,0.498867,0.385069,0.913873,0.124724,-0.03167,-0.103595,1.424847,0.45661,0.987968,-0.095343,0.112292,0.047114,-0.11729,1.376391,0.433651,0.835026,-0.524528,0.165683,-0.012309,-0.095083,1.432802,0.494857,0.757317,0.63831,0.137739,-0.007719,-0.088555,1.387491,0.48256,0.385069,0.913873,0.124724,-0.03167,-0.065692,1.395597,0.496196,0.618011,0.083658,-0.464882,-0.628449,-0.078171,1.363717,0.441996,0.503522,-0.318379,-0.013141,-0.803074,-0.061566,1.375108,0.468562,0.641515,-0.164798,-0.272125,-0.698032,-0.081941,1.408516,0.510559,0.618011,0.083658,-0.464882,-0.628449,100,-0.114039,1.345087,0.41009,0.835026,-0.524528,0.165683,-0.012309,36,U,Static,Left
9,10,-0.000968,1.521651,0.063253,0.996678,0.05225,-0.039227,0.04863,-0.058629,1.478866,0.480463,0.844053,-0.529536,0.035025,0.077077,-0.061877,1.423519,0.448898,0.861528,-0.505214,0.045077,0.022303,-0.08559,1.370417,0.433817,0.833946,-0.526646,0.16459,-0.009384,-0.059733,1.457448,0.467776,0.867365,-0.492611,0.052511,0.047499,-0.05962,1.499907,0.489586,0.844053,-0.529536,0.035025,0.077077,-0.07663,1.485519,0.49556,0.863974,-0.486885,0.086376,0.095032,-0.083911,1.429614,0.450366,0.899176,-0.428337,0.078166,0.043597,-0.10258,1.373435,0.433748,0.833946,-0.526646,0.16459,-0.009384,-0.079368,1.463816,0.47769,0.901827,-0.42115,0.079437,0.055045,-0.075774,1.50804,0.507753,0.863974,-0.486885,0.086376,0.095032,-0.098898,1.387443,0.430274,0.833946,-0.526646,0.16459,-0.009384,-0.105005,1.393537,0.490764,0.314273,0.926909,0.198968,-0.049844,-0.122944,1.415724,0.463302,0.97568,0.047628,0.203309,0.06667,-0.124725,1.376009,0.438599,0.84198,-0.461785,0.151155,0.23447,-0.110248,1.41365,0.492053,0.684884,0.704691,0.185318,-0.001463,-0.103541,1.37918,0.473486,0.314273,0.926909,0.198968,-0.049844,-0.089775,1.407125,0.498718,0.387446,0.912414,0.128053,-0.03146,-0.1039,1.425274,0.456387,0.987479,-0.098001,0.112952,0.050218,-0.117308,1.376641,0.433631,0.833946,-0.526646,0.16459,-0.009384,-0.095375,1.433466,0.494581,0.758871,0.635873,0.140511,-0.006056,-0.088561,1.388136,0.482508,0.387446,0.912414,0.128053,-0.03146,-0.065769,1.396471,0.495998,0.620784,0.083709,-0.465741,-0.625065,-0.078098,1.364262,0.441966,0.505651,-0.32014,-0.01561,-0.800989,-0.061528,1.375889,0.468451,0.643868,-0.165686,-0.273888,-0.694959,-0.082104,1.409332,0.510316,0.620784,0.083709,-0.465741,-0.625065,111,-0.113885,1.345273,0.410182,0.833946,-0.526646,0.16459,-0.009384,36,U,Static,Left
10,11,-0.000912,1.521481,0.063304,0.996669,0.053079,-0.038721,0.048324,-0.058408,1.478391,0.479849,0.842632,-0.531932,0.03624,0.075541,-0.061858,1.422884,0.448588,0.860213,-0.507424,0.046113,0.020692,-0.085749,1.369796,0.433738,0.832779,-0.528192,0.165436,-0.011149,-0.05959,1.456905,0.467284,0.866044,-0.494968,0.053585,0.045865,-0.059324,1.499488,0.488849,0.842632,-0.531932,0.03624,0.075541,-0.076412,1.4852,0.494899,0.862475,-0.489664,0.087395,0.093422,-0.083872,1.429058,0.450027,0.898087,-0.430631,0.078992,0.041921,-0.102729,1.372871,0.433655,0.832779,-0.528192,0.165436,-0.011149,-0.079216,1.463393,0.477167,0.900571,-0.423885,0.080256,0.053398,-0.075489,1.5078,0.50694,0.862475,-0.489664,0.087395,0.093422,-0.098999,1.386851,0.430119,0.832779,-0.528192,0.165436,-0.011149,-0.105082,1.393251,0.490609,0.316893,0.926297,0.197439,-0.0507,-0.122952,1.415356,0.463023,0.975913,0.045524,0.203324,0.064665,-0.124864,1.37554,0.438493,0.841363,-0.463375,0.152425,0.232721,-0.110267,1.413386,0.491785,0.686848,0.70307,0.184184,-0.002877,-0.103653,1.37879,0.473414,0.316893,0.926297,0.197439,-0.0507,-0.089806,1.406846,0.498514,0.390205,0.911417,0.126541,-0.032357,-0.103876,1.424812,0.456067,0.9873,-0.100426,0.113217,0.048329,-0.117446,1.376126,0.433523,0.832779,-0.528192,0.165436,-0.011149,-0.095326,1.433178,0.494218,0.760788,0.633794,0.139461,-0.007583,-0.088648,1.387754,0.482422,0.390205,0.911417,0.126541,-0.032357,-0.065864,1.396051,0.495808,0.619853,0.081837,-0.467441,-0.624967,-0.078278,1.363652,0.441914,0.503605,-0.321187,-0.016829,-0.801834,-0.061673,1.375336,0.468353,0.642339,-0.167327,-0.275309,-0.695419,-0.082168,1.409025,0.510058,0.619853,0.081837,-0.467441,-0.624967,122,-0.114127,1.344644,0.410211,0.832779,-0.528192,0.165436,-0.011149,36,U,Static,Left
