,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.000321,1.626057,-0.017512,0.977532,0.200551,0.06283,-0.016234,0.11856,1.526083,0.271062,-0.805721,0.575102,0.10553,0.094528,0.127407,1.465295,0.248394,-0.812665,0.570662,0.111056,0.039836,0.145732,1.406585,0.235037,-0.793786,0.580759,0.177609,0.032839,0.122016,1.502677,0.26133,-0.828516,0.543122,0.121735,0.061316,0.11771,1.548704,0.277614,-0.805721,0.575102,0.10553,0.094528,0.136768,1.445804,0.294063,-0.267285,-0.962557,0.018703,-0.041147,0.15027,1.470118,0.251078,-0.989681,0.048409,0.132534,0.024977,0.162713,1.407687,0.238221,-0.793786,0.580759,0.177609,0.032839,0.138525,1.474746,0.294464,-0.698745,-0.702893,0.113378,-0.069596,0.138841,1.431212,0.272271,-0.267285,-0.962557,0.018703,-0.041147,0.163739,1.423691,0.236943,-0.793786,0.580759,0.177609,0.032839,0.167572,1.43216,0.290295,-0.07,-0.969345,0.207937,-0.110598,0.187982,1.454847,0.269251,-0.96197,-0.075358,0.242622,0.100343,0.188529,1.411277,0.248994,-0.79718,0.506283,0.18137,0.274385,0.172398,1.451734,0.297413,-0.576969,-0.783439,0.229577,-0.024986,0.171081,1.426911,0.268061,-0.07,-0.969345,0.207937,-0.110598,0.152603,1.434219,0.290916,-0.114127,-0.982966,0.113912,-0.088184,0.169853,1.465042,0.259444,-0.983343,-0.058269,0.164531,0.050715,0.181397,1.411826,0.243229,-0.793786,0.580759,0.177609,0.032839,0.156328,1.461023,0.29799,-0.609441,-0.77349,0.167825,-0.046158,0.156224,1.426299,0.266775,-0.114127,-0.982966,0.113912,-0.088184,0.071049,1.41444,0.262208,-0.352689,0.569708,0.273331,-0.690169,0.134177,1.400693,0.237031,-0.44184,0.485409,0.174413,-0.733986,0.104516,1.406611,0.253045,-0.470759,0.559779,0.240517,-0.638112,0.045442,1.414989,0.266161,-0.352689,0.569708,0.273331,-0.690169,13,0.177208,1.377264,0.222809,-0.793786,0.580759,0.177609,0.032839,28,L,Static,Right
1,2,-9.5e-05,1.626114,-0.017153,0.977626,0.20001,0.063036,-0.016416,0.118188,1.525768,0.271638,-0.80674,0.573819,0.105137,0.094068,0.127064,1.465073,0.248735,-0.813857,0.56905,0.110781,0.03934,0.145361,1.4064,0.23518,-0.79477,0.579613,0.176963,0.032766,0.121653,1.502399,0.261822,-0.829545,0.541678,0.121383,0.060878,0.117329,1.548368,0.278265,-0.80674,0.573819,0.105137,0.094068,0.136489,1.445431,0.294314,-0.265355,-0.963122,0.018551,-0.040474,0.149931,1.469884,0.251401,-0.989847,0.046823,0.131817,0.025189,0.162347,1.40749,0.238343,-0.79477,0.579613,0.176963,0.032766,0.138246,1.474372,0.294818,-0.697536,-0.704214,0.113021,-0.068935,0.138534,1.430927,0.272461,-0.265355,-0.963122,0.018551,-0.040474,0.163373,1.423497,0.23711,-0.79477,0.579613,0.176963,0.032766,0.167286,1.431804,0.290464,-0.068473,-0.969533,0.208098,-0.109601,0.187666,1.454553,0.269477,-0.962008,-0.076808,0.241811,0.100844,0.188178,1.411043,0.24909,-0.798036,0.505299,0.180367,0.274369,0.17212,1.451352,0.29765,-0.575643,-0.784535,0.229257,-0.024108,0.170766,1.426631,0.268208,-0.068473,-0.969533,0.208098,-0.109601,0.152312,1.433865,0.291132,-0.112879,-0.98317,0.114081,-0.087301,0.169524,1.46478,0.259725,-0.983364,-0.059693,0.163774,0.051095,0.181038,1.41161,0.243336,-0.79477,0.579613,0.176963,0.032766,0.156053,1.460648,0.298278,-0.608446,-0.774384,0.167545,-0.0453,0.155896,1.42601,0.266964,-0.112879,-0.98317,0.114081,-0.087301,0.070723,1.414164,0.262507,-0.353899,0.568452,0.274024,-0.69031,0.133808,1.400505,0.237174,-0.442716,0.484045,0.175203,-0.734171,0.104175,1.406368,0.253259,-0.471817,0.558451,0.241133,-0.63826,0.045124,1.414703,0.266515,-0.353899,0.568452,0.274024,-0.69031,28,0.176814,1.37711,0.222819,-0.79477,0.579613,0.176963,0.032766,28,L,Static,Right
2,3,0.000286,1.626042,-0.016553,0.977763,0.199217,0.063295,-0.01689,0.116468,1.52564,0.269794,-0.80352,0.577503,0.110635,0.092769,0.125933,1.464756,0.247637,-0.810433,0.57298,0.115975,0.037971,0.14463,1.406061,0.234714,-0.791659,0.582609,0.181218,0.031672,0.120166,1.502185,0.260272,-0.826192,0.545755,0.126644,0.059321,0.115402,1.548304,0.276165,-0.80352,0.577503,0.110635,0.092769,0.135172,1.445579,0.293439,-0.268933,-0.961997,0.01665,-0.044274,0.148756,1.469715,0.250405,-0.98927,0.050846,0.135154,0.02222,0.161587,1.407269,0.237981,-0.791659,0.582609,0.181218,0.031672,0.136775,1.474532,0.293706,-0.7,-0.701296,0.113087,-0.073453,0.137431,1.430917,0.271713,-0.268933,-0.961997,0.01665,-0.044274,0.162538,1.423275,0.23662,-0.791659,0.582609,0.181218,0.031672,0.166077,1.432086,0.289883,-0.070549,-0.96954,0.205007,-0.113962,0.186456,1.454754,0.268859,-0.961823,-0.073589,0.245113,0.096956,0.187333,1.411065,0.24887,-0.795903,0.507529,0.185524,0.273008,0.170747,1.451713,0.296959,-0.577616,-0.783033,0.228825,-0.029326,0.169749,1.42679,0.267686,-0.070549,-0.96954,0.205007,-0.113962,0.15107,1.434069,0.290467,-0.116253,-0.982718,0.111515,-0.091185,0.168323,1.464794,0.258899,-0.983227,-0.055941,0.166909,0.04772,0.180227,1.411542,0.243065,-0.791659,0.582609,0.181218,0.031672,0.154631,1.460932,0.297403,-0.611158,-0.772012,0.16729,-0.049983,0.154849,1.426039,0.266387,-0.116253,-0.982718,0.111515,-0.091185,0.069752,1.4135,0.261502,-0.34867,0.57067,0.274007,-0.691148,0.133095,1.400118,0.236671,-0.437461,0.487425,0.175485,-0.735017,0.103318,1.405885,0.252525,-0.466422,0.561397,0.242168,-0.639249,0.04413,1.413901,0.265379,-0.34867,0.57067,0.274007,-0.691148,42,0.176321,1.376835,0.222836,-0.791659,0.582609,0.181218,0.031672,28,L,Static,Right
3,4,0.000562,1.626105,-0.01624,0.9776,0.199809,0.063739,-0.017664,0.116028,1.525679,0.2702,-0.804661,0.57591,0.111035,0.092302,0.12561,1.464903,0.247797,-0.811669,0.571154,0.1165,0.037471,0.144411,1.406285,0.234676,-0.792672,0.581081,0.181749,0.031361,0.119769,1.502267,0.260589,-0.827274,0.544061,0.127086,0.058854,0.114921,1.548317,0.276656,-0.804661,0.57591,0.111035,0.092302,0.134878,1.445561,0.293515,-0.266603,-0.962643,0.015772,-0.044634,0.148424,1.469892,0.250587,-0.989371,0.048775,0.135283,0.021533,0.161366,1.407512,0.237951,-0.792672,0.581081,0.181749,0.031361,0.136423,1.474516,0.293904,-0.698442,-0.702863,0.112628,-0.074013,0.137173,1.431007,0.271721,-0.266603,-0.962643,0.015772,-0.044634,0.162289,1.423524,0.236646,-0.792672,0.581081,0.181749,0.031361,0.165803,1.432155,0.289924,-0.068426,-0.969842,0.204443,-0.1137,0.186145,1.454932,0.268998,-0.961741,-0.075624,0.244929,0.096674,0.187102,1.411314,0.248858,-0.796995,0.505965,0.185573,0.272692,0.170438,1.45176,0.297085,-0.575921,-0.78443,0.228295,-0.029426,0.169488,1.426957,0.267707,-0.068426,-0.969842,0.204443,-0.1137,0.150789,1.434108,0.290521,-0.114269,-0.983025,0.110888,-0.091155,0.167997,1.464975,0.259069,-0.983149,-0.057878,0.166848,0.047237,0.179997,1.411799,0.243054,-0.792672,0.581081,0.181749,0.031361,0.154306,1.46095,0.297556,-0.609682,-0.773267,0.166808,-0.050223,0.154586,1.426177,0.26641,-0.114269,-0.983025,0.110888,-0.091155,0.069514,1.413495,0.261477,-0.349337,0.569678,0.275435,-0.691062,0.132886,1.400316,0.23661,-0.43763,0.486561,0.177251,-0.735065,0.103096,1.405972,0.252479,-0.466802,0.560414,0.243835,-0.6392,0.043894,1.413853,0.265372,-0.349337,0.569678,0.275435,-0.691062,56,0.176155,1.377155,0.222704,-0.792672,0.581081,0.181749,0.031361,28,L,Static,Right
4,5,0.000781,1.62584,-0.015903,0.977465,0.200198,0.064443,-0.018192,0.1156,1.525709,0.270585,-0.805749,0.574381,0.111394,0.091902,0.12529,1.465039,0.247942,-0.812874,0.569368,0.116982,0.037034,0.144194,1.406495,0.23464,-0.793597,0.579658,0.182308,0.031066,0.119381,1.502339,0.260888,-0.828317,0.542422,0.127488,0.058453,0.114456,1.548322,0.277121,-0.805749,0.574381,0.111394,0.091902,0.134583,1.445541,0.29358,-0.264361,-0.963256,0.014898,-0.045045,0.148094,1.470057,0.250755,-0.989457,0.046802,0.135465,0.020829,0.161146,1.40774,0.237924,-0.793597,0.579658,0.182308,0.031066,0.136069,1.474497,0.294084,-0.696949,-0.704348,0.112194,-0.074623,0.136917,1.431091,0.27172,-0.264361,-0.963256,0.014898,-0.045045,0.162043,1.423757,0.23667,-0.793597,0.579658,0.182308,0.031066,0.165527,1.432222,0.289963,-0.066455,-0.970117,0.203907,-0.113487,0.185836,1.455103,0.269129,-0.96165,-0.077548,0.244793,0.096392,0.186872,1.411551,0.248851,-0.798003,0.504496,0.185685,0.272389,0.170128,1.451806,0.297201,-0.574327,-0.785734,0.22781,-0.029555,0.169225,1.427115,0.267727,-0.066455,-0.970117,0.203907,-0.113487,0.150507,1.434145,0.290568,-0.112401,-0.983307,0.110272,-0.09118,0.167674,1.465147,0.259227,-0.983065,-0.059695,0.166836,0.046748,0.179768,1.412042,0.243046,-0.793597,0.579658,0.182308,0.031066,0.15398,1.460969,0.297697,-0.608291,-0.774439,0.166361,-0.050505,0.154322,1.426308,0.266431,-0.112401,-0.983307,0.110272,-0.09118,0.069278,1.413496,0.261441,-0.34997,0.568793,0.276702,-0.690964,0.132678,1.4005,0.236552,-0.437765,0.485829,0.178885,-0.735073,0.102874,1.406057,0.25243,-0.467124,0.559566,0.245383,-0.639116,0.04366,1.413816,0.265352,-0.34997,0.568793,0.276702,-0.690964,69,0.175991,1.377457,0.222584,-0.793597,0.579658,0.182308,0.031066,28,L,Static,Right
5,6,0.001067,1.625815,-0.015544,0.977282,0.200814,0.065123,-0.018767,0.115363,1.525866,0.270106,-0.804807,0.575727,0.111804,0.091236,0.125124,1.465141,0.247641,-0.812131,0.570403,0.117331,0.036303,0.14408,1.406581,0.234492,-0.792879,0.580617,0.182497,0.030362,0.119169,1.502469,0.260486,-0.827466,0.543716,0.127831,0.057738,0.114195,1.548501,0.276563,-0.804807,0.575727,0.111804,0.091236,0.134449,1.44578,0.293327,-0.265534,-0.962942,0.014325,-0.045045,0.147924,1.470188,0.250433,-0.989421,0.048134,0.135363,0.020178,0.161032,1.407852,0.237765,-0.792879,0.580617,0.182497,0.030362,0.135908,1.474739,0.293753,-0.697875,-0.703477,0.111654,-0.074999,0.136791,1.431279,0.271503,-0.265534,-0.962942,0.014325,-0.045045,0.161912,1.423864,0.236465,-0.792879,0.580617,0.182497,0.030362,0.165412,1.432463,0.289722,-0.067489,-0.97019,0.203067,-0.113757,0.185686,1.455317,0.268834,-0.961825,-0.076496,0.244817,0.095425,0.186757,1.411714,0.24867,-0.797498,0.505498,0.186155,0.27169,0.169985,1.45207,0.296916,-0.575185,-0.785259,0.227194,-0.030234,0.169118,1.42731,0.267498,-0.067489,-0.97019,0.203067,-0.113757,0.150386,1.434379,0.290335,-0.11361,-0.983235,0.109611,-0.091255,0.167511,1.465318,0.258912,-0.983187,-0.058525,0.166736,0.046015,0.17965,1.412183,0.242866,-0.792879,0.580617,0.182497,0.030362,0.153832,1.461224,0.297396,-0.609247,-0.773778,0.165799,-0.050949,0.154204,1.426485,0.266216,-0.11361,-0.983235,0.109611,-0.091255,0.069182,1.413549,0.261365,-0.349451,0.568329,0.275595,-0.69205,0.13257,1.400582,0.236429,-0.436799,0.48578,0.178085,-0.735874,0.102778,1.406135,0.25233,-0.466176,0.559564,0.244729,-0.64006,0.043573,1.413867,0.265335,-0.349451,0.568329,0.275595,-0.69205,84,0.175899,1.377541,0.222497,-0.792879,0.580617,0.182497,0.030362,28,L,Static,Right
6,7,0.001599,1.625689,-0.014746,0.97711,0.201192,0.06628,-0.019636,0.114856,1.52615,0.269218,-0.802939,0.578333,0.112757,0.090035,0.124767,1.465323,0.247093,-0.810711,0.572329,0.118175,0.034959,0.143835,1.406742,0.234229,-0.791568,0.582304,0.183021,0.029079,0.118715,1.502701,0.259747,-0.825793,0.546194,0.12866,0.05643,0.11364,1.548825,0.275521,-0.802939,0.578333,0.112757,0.090035,0.134142,1.446223,0.292877,-0.267831,-0.962314,0.013249,-0.045201,0.147559,1.470428,0.249856,-0.989326,0.050639,0.135324,0.018905,0.160787,1.408063,0.237486,-0.791568,0.582304,0.183021,0.029079,0.135546,1.475186,0.293154,-0.699622,-0.701798,0.110706,-0.075848,0.136505,1.43162,0.271123,-0.267831,-0.962314,0.013249,-0.045201,0.161632,1.424066,0.236101,-0.791568,0.582304,0.183021,0.029079,0.16515,1.432899,0.289291,-0.069326,-0.970347,0.201285,-0.114475,0.185354,1.455717,0.268315,-0.962109,-0.074683,0.245053,0.093374,0.186505,1.412021,0.248356,-0.796599,0.507226,0.187171,0.270404,0.169655,1.45255,0.296407,-0.576692,-0.784441,0.22598,-0.031804,0.16888,1.427664,0.267091,-0.069326,-0.970347,0.201285,-0.114475,0.15011,1.434801,0.289914,-0.11579,-0.983102,0.108251,-0.091575,0.167157,1.465635,0.258351,-0.983382,-0.056463,0.166713,0.044488,0.179396,1.412449,0.242552,-0.791568,0.582304,0.183021,0.029079,0.153492,1.461686,0.296855,-0.610913,-0.772621,0.164736,-0.052003,0.153943,1.426804,0.265831,-0.11579,-0.983102,0.108251,-0.091575,0.068976,1.413625,0.26125,-0.34863,0.567233,0.273518,-0.694184,0.13234,1.400732,0.236214,-0.434977,0.485536,0.176721,-0.737442,0.102571,1.406268,0.252164,-0.464417,0.559402,0.24363,-0.641896,0.043387,1.413937,0.265345,-0.34863,0.567233,0.273518,-0.694184,97,0.175706,1.377704,0.222346,-0.791568,0.582304,0.183021,0.029079,28,L,Static,Right
7,8,0.00188,1.625637,-0.014314,0.977029,0.201292,0.067011,-0.020127,0.114593,1.525457,0.270015,-0.805208,0.575443,0.112222,0.088948,0.124598,1.464822,0.247413,-0.812979,0.569236,0.117848,0.033875,0.143778,1.406325,0.234337,-0.792664,0.580832,0.183103,0.028131,0.118488,1.502091,0.260354,-0.828103,0.542899,0.128219,0.05537,0.113341,1.548084,0.276482,-0.805208,0.575443,0.112222,0.088948,0.134086,1.445566,0.293078,-0.265227,-0.963063,0.011798,-0.044998,0.147382,1.469967,0.250162,-0.989524,0.048612,0.134764,0.017856,0.160732,1.407673,0.237575,-0.792664,0.580832,0.183103,0.028131,0.135409,1.474532,0.293493,-0.697891,-0.703674,0.109488,-0.076179,0.136467,1.431086,0.271244,-0.265227,-0.963063,0.011798,-0.044998,0.161539,1.423682,0.236238,-0.792664,0.580832,0.183103,0.028131,0.165106,1.432353,0.289453,-0.067625,-0.970758,0.200374,-0.113603,0.185233,1.45528,0.268525,-0.96225,-0.076408,0.244179,0.092807,0.186454,1.411652,0.248422,-0.797841,0.505897,0.186774,0.269505,0.169579,1.45199,0.296628,-0.575499,-0.785661,0.224816,-0.031536,0.168821,1.427204,0.267229,-0.067625,-0.970758,0.200374,-0.113603,0.150082,1.434218,0.29006,-0.112997,-0.983621,0.106868,-0.091104,0.167002,1.465191,0.258617,-0.983439,-0.058261,0.166011,0.043525,0.179336,1.412083,0.242629,-0.792664,0.580832,0.183103,0.028131,0.15339,1.46108,0.297123,-0.609118,-0.774301,0.163429,-0.052193,0.153923,1.426365,0.265932,-0.112997,-0.983621,0.106868,-0.091104,0.068948,1.412951,0.261503,-0.349185,0.565666,0.274837,-0.694664,0.132299,1.400285,0.23632,-0.435092,0.484003,0.178128,-0.738042,0.102544,1.4057,0.252337,-0.464819,0.557825,0.244938,-0.642481,0.043367,1.4132,0.265653,-0.349185,0.565666,0.274837,-0.694664,110,0.175697,1.377396,0.222315,-0.792664,0.580832,0.183103,0.028131,28,L,Static,Right
8,9,0.002081,1.625683,-0.013847,0.976907,0.201545,0.067841,-0.020764,0.11477,1.525645,0.269421,-0.80463,0.576087,0.112534,0.089614,0.124747,1.464967,0.246923,-0.812477,0.569854,0.118131,0.034524,0.143877,1.406432,0.233962,-0.792133,0.581475,0.183255,0.028803,0.118655,1.502261,0.259803,-0.82756,0.543586,0.128535,0.056012,0.113531,1.548284,0.27585,-0.80463,0.576087,0.112534,0.089614,0.134159,1.44575,0.292626,-0.265646,-0.962921,0.012471,-0.045392,0.147534,1.47009,0.249692,-0.989409,0.049202,0.135317,0.01838,0.160829,1.407767,0.237214,-0.792133,0.581475,0.183255,0.028803,0.135516,1.474714,0.293004,-0.698337,-0.703105,0.110264,-0.076229,0.136548,1.431248,0.270807,-0.265646,-0.962921,0.012471,-0.045392,0.161654,1.423769,0.23585,-0.792133,0.581475,0.183255,0.028803,0.165166,1.432495,0.289052,-0.068275,-0.970528,0.200914,-0.114228,0.185346,1.455385,0.26812,-0.962084,-0.075912,0.244861,0.09314,0.18654,1.411727,0.24808,-0.797221,0.506404,0.187142,0.270133,0.169654,1.452136,0.296207,-0.575908,-0.785133,0.225578,-0.031788,0.168898,1.42731,0.26684,-0.068275,-0.970528,0.200914,-0.114228,0.150135,1.434382,0.289658,-0.11399,-0.98338,0.107627,-0.091575,0.167138,1.465303,0.258177,-0.98335,-0.057639,0.166608,0.044067,0.17943,1.412158,0.242278,-0.792133,0.581475,0.183255,0.028803,0.15348,1.461252,0.296673,-0.609827,-0.77356,0.164286,-0.052224,0.153985,1.426475,0.265549,-0.11399,-0.98338,0.107627,-0.091575,0.069049,1.413174,0.261112,-0.349269,0.566008,0.274017,-0.694666,0.13239,1.400409,0.235951,-0.435161,0.484409,0.177427,-0.737905,0.102639,1.405876,0.251959,-0.464787,0.558279,0.24426,-0.642367,0.043469,1.41346,0.265265,-0.349269,0.566008,0.274017,-0.694666,123,0.175775,1.377448,0.222008,-0.792133,0.581475,0.183255,0.028803,28,L,Static,Right
9,10,0.002347,1.625618,-0.013466,0.976801,0.201816,0.068446,-0.021104,0.114912,1.525832,0.26883,-0.803965,0.576846,0.112921,0.090209,0.124872,1.465105,0.246456,-0.811886,0.570589,0.118479,0.0351,0.143959,1.406536,0.233609,-0.791614,0.582094,0.183439,0.029407,0.118791,1.502426,0.259263,-0.826921,0.544409,0.128916,0.056581,0.113683,1.548485,0.275214,-0.803965,0.576846,0.112921,0.090209,0.13421,1.445928,0.2922,-0.266119,-0.962764,0.013091,-0.045775,0.14766,1.470209,0.249244,-0.989298,0.049785,0.135851,0.018842,0.16091,1.407859,0.236875,-0.791614,0.582094,0.183439,0.029407,0.135599,1.474892,0.292538,-0.69882,-0.702504,0.110986,-0.076299,0.136607,1.431403,0.270397,-0.266119,-0.962764,0.013091,-0.045775,0.16175,1.423855,0.235482,-0.791614,0.582094,0.183439,0.029407,0.165207,1.432633,0.288672,-0.068926,-0.970314,0.201374,-0.11484,0.185437,1.455491,0.267736,-0.961925,-0.07547,0.245526,0.09339,0.18661,1.411805,0.247757,-0.79663,0.50689,0.187532,0.270694,0.169707,1.452279,0.295806,-0.576312,-0.784628,0.226263,-0.032076,0.168957,1.427413,0.266471,-0.068926,-0.970314,0.201374,-0.11484,0.150167,1.434541,0.289282,-0.115084,-0.983133,0.108351,-0.09201,0.16725,1.465414,0.257758,-0.983266,-0.057049,0.167176,0.044559,0.179507,1.412236,0.241946,-0.791614,0.582094,0.183439,0.029407,0.153547,1.46142,0.296244,-0.610587,-0.772786,0.16509,-0.052252,0.154025,1.426576,0.265193,-0.115084,-0.983133,0.108351,-0.09201,0.069136,1.413381,0.260751,-0.349324,0.566282,0.273234,-0.694724,0.132465,1.400529,0.235604,-0.43519,0.484749,0.17675,-0.737826,0.102719,1.406042,0.251606,-0.464729,0.558668,0.243609,-0.642317,0.043558,1.4137,0.264911,-0.349324,0.566282,0.273234,-0.694724,133,0.175841,1.377501,0.22172,-0.791614,0.582094,0.183439,0.029407,28,L,Static,Right
10,11,0.002582,1.625606,-0.013144,0.976663,0.202284,0.0689,-0.021546,0.115326,1.525351,0.269415,-0.804234,0.576633,0.111835,0.090526,0.125161,1.46464,0.246943,-0.812341,0.570136,0.117449,0.0354,0.144136,1.406037,0.234096,-0.791633,0.582347,0.182499,0.029721,0.119155,1.501951,0.259811,-0.827337,0.543985,0.127879,0.05692,0.114144,1.547999,0.275822,-0.804234,0.576633,0.111835,0.090526,0.134526,1.445458,0.292657,-0.265649,-0.962921,0.013635,-0.04504,0.147961,1.469706,0.249705,-0.989354,0.050029,0.135243,0.01964,0.161094,1.407334,0.237338,-0.791633,0.582347,0.182499,0.029721,0.135958,1.474419,0.293011,-0.698722,-0.702678,0.11114,-0.075362,0.136878,1.430953,0.270835,-0.265649,-0.962921,0.013635,-0.04504,0.161958,1.423325,0.235936,-0.791633,0.582347,0.182499,0.029721,0.165494,1.432139,0.289124,-0.068799,-0.970227,0.202107,-0.11436,0.185735,1.454928,0.268156,-0.962031,-0.074653,0.245008,0.094306,0.186811,1.411236,0.248185,-0.796457,0.507285,0.186677,0.271055,0.170036,1.451778,0.29625,-0.576511,-0.78441,0.226637,-0.031174,0.16922,1.426926,0.266917,-0.068799,-0.970227,0.202107,-0.11436,0.150465,1.434058,0.289724,-0.114485,-0.983192,0.108873,-0.09151,0.167553,1.464879,0.258197,-0.983337,-0.056625,0.166694,0.045331,0.179702,1.411677,0.242382,-0.791633,0.582347,0.182499,0.029721,0.153885,1.460929,0.2967,-0.610455,-0.772894,0.165316,-0.051477,0.154297,1.426122,0.265621,-0.114485,-0.983192,0.108873,-0.09151,0.069376,1.413024,0.261374,-0.350217,0.565882,0.272244,-0.694988,0.132635,1.400052,0.236114,-0.435967,0.484276,0.175827,-0.737898,0.102929,1.405623,0.252169,-0.465473,0.558347,0.242604,-0.642438,0.043807,1.413394,0.265586,-0.350217,0.565882,0.272244,-0.694988,146,0.175954,1.376944,0.222167,-0.791633,0.582347,0.182499,0.029721,28,L,Static,Right
