,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.044094,1.74925,-0.055929,0.996977,0.056495,0.037308,0.038118,0.152269,1.600385,0.332018,-0.408657,-0.903344,-0.067396,-0.111473,0.158829,1.60828,0.289903,-0.964718,0.222933,0.104961,-0.092758,0.172898,1.54797,0.297998,-0.679293,0.71669,0.155765,0.025591,0.149143,1.624591,0.324799,-0.791555,-0.598282,0.015752,-0.123494,0.158608,1.582807,0.317856,-0.408657,-0.903344,-0.067396,-0.111473,0.168776,1.603658,0.339008,-0.495898,-0.866502,0.003734,-0.056972,0.1819,1.612086,0.290779,-0.965296,0.219735,0.140042,-0.017586,0.189947,1.548889,0.300424,-0.679293,0.71669,0.155765,0.025591,0.169398,1.630935,0.329629,-0.807124,-0.574152,0.088313,-0.105365,0.171506,1.58059,0.326949,-0.495898,-0.866502,0.003734,-0.056972,0.191863,1.563055,0.293514,-0.679293,0.71669,0.155765,0.025591,0.220747,1.650366,0.329892,-0.871257,0.367459,0.24397,0.215323,0.218737,1.601432,0.313026,-0.722939,0.642584,0.1148,0.226421,0.215924,1.553874,0.309051,-0.68727,0.645506,0.204303,0.263141,0.222758,1.632995,0.317782,-0.848851,0.426467,0.182919,0.253214,0.215123,1.66834,0.343085,-0.871257,0.367459,0.24397,0.215323,0.182218,1.609483,0.344814,-0.562855,-0.805578,0.161431,-0.090435,0.201192,1.608846,0.300352,-0.93732,0.301449,0.16533,0.056799,0.208748,1.552913,0.303471,-0.679293,0.71669,0.155765,0.025591,0.189934,1.632691,0.331536,-0.858045,-0.475373,0.188285,-0.048255,0.180943,1.585065,0.337463,-0.562855,-0.805578,0.161431,-0.090435,0.12394,1.590832,0.328219,-0.735344,0.089421,-0.489014,-0.460585,0.161168,1.544214,0.302284,-0.389998,0.607158,-0.01733,-0.69207,0.133014,1.561155,0.311209,-0.629141,0.457964,-0.223471,-0.586951,0.139585,1.606835,0.341023,-0.735344,0.089421,-0.489014,-0.460585,11,0.201827,1.514023,0.296249,-0.679293,0.71669,0.155765,0.025591,31,I,Static,Right
1,2,0.043144,1.749423,-0.055826,0.997199,0.051623,0.038081,0.03845,0.151107,1.599787,0.332624,-0.408492,-0.903182,-0.070741,-0.111322,0.157486,1.607728,0.29049,-0.964614,0.222383,0.104126,-0.096034,0.171909,1.547496,0.29855,-0.679531,0.716361,0.156693,0.022628,0.147811,1.623974,0.325419,-0.791156,-0.598579,0.012697,-0.124956,0.157508,1.582238,0.318454,-0.408492,-0.903182,-0.070741,-0.111322,0.167607,1.603185,0.339565,-0.495963,-0.866469,0.000595,-0.057032,0.180538,1.61166,0.291295,-0.965397,0.219573,0.139185,-0.020596,0.188959,1.548508,0.300925,-0.679531,0.716361,0.156693,0.022628,0.16805,1.630461,0.330173,-0.80708,-0.574387,0.085491,-0.106739,0.170428,1.580126,0.327508,-0.495963,-0.866469,0.000595,-0.057032,0.190778,1.562685,0.294008,-0.679531,0.716361,0.156693,0.022628,0.219348,1.650197,0.330179,-0.871719,0.368402,0.243453,0.21241,0.2175,1.601212,0.313432,-0.722993,0.643466,0.115271,0.223482,0.214935,1.553639,0.309473,-0.688238,0.645408,0.205045,0.260259,0.221391,1.632803,0.318107,-0.849181,0.427644,0.182606,0.250334,0.213693,1.668179,0.343348,-0.871719,0.368402,0.243453,0.21241,0.181037,1.609141,0.345322,-0.563412,-0.805742,0.15845,-0.090778,0.199877,1.608528,0.30081,-0.937454,0.301913,0.164709,0.05385,0.207748,1.552638,0.303915,-0.679531,0.716361,0.156693,0.022628,0.188593,1.632369,0.331987,-0.858546,-0.475303,0.185739,-0.049865,0.179865,1.584707,0.338008,-0.563412,-0.805742,0.15845,-0.090778,0.122797,1.59008,0.328919,-0.733258,0.090128,-0.489898,-0.462828,0.160212,1.543675,0.30287,-0.387974,0.606138,-0.016203,-0.694126,0.131989,1.560455,0.311882,-0.627096,0.457708,-0.223135,-0.589462,0.138389,1.606174,0.341675,-0.733258,0.090128,-0.489898,-0.462828,22,0.201018,1.513709,0.296722,-0.679531,0.716361,0.156693,0.022628,31,I,Static,Right
2,3,0.04224,1.74951,-0.056008,0.997314,0.048547,0.038488,0.039075,0.150006,1.599213,0.333209,-0.408317,-0.903023,-0.073869,-0.111221,0.156218,1.607199,0.291059,-0.964508,0.221845,0.103382,-0.099105,0.170976,1.547042,0.299081,-0.679779,0.716008,0.157604,0.019856,0.146551,1.623382,0.326019,-0.790755,-0.598868,0.009857,-0.126357,0.156467,1.581693,0.319031,-0.408317,-0.903023,-0.073869,-0.111221,0.166499,1.602723,0.340105,-0.495969,-0.866456,-0.002346,-0.057124,0.179252,1.611251,0.291799,-0.965498,0.21933,0.138415,-0.023425,0.188028,1.548144,0.301408,-0.679779,0.716008,0.157604,0.019856,0.166774,1.629999,0.330705,-0.806983,-0.574663,0.082863,-0.108052,0.169406,1.579675,0.328049,-0.495969,-0.866456,-0.002346,-0.057124,0.189753,1.562329,0.294487,-0.679779,0.716008,0.157604,0.019856,0.218015,1.650024,0.330483,-0.872197,0.369129,0.243023,0.209658,0.216329,1.600997,0.313833,-0.723129,0.644178,0.115775,0.220718,0.214,1.55341,0.309885,-0.689174,0.645261,0.205768,0.257561,0.220091,1.632613,0.318442,-0.849555,0.428589,0.18237,0.247608,0.212325,1.668009,0.343634,-0.872197,0.369129,0.243023,0.209658,0.179917,1.608798,0.345818,-0.563812,-0.80597,0.155634,-0.09114,0.198633,1.60822,0.30126,-0.937609,0.302209,0.164168,0.051058,0.206803,1.552372,0.304347,-0.679779,0.716008,0.157604,0.019856,0.187321,1.632047,0.332437,-0.858932,-0.475366,0.183355,-0.051421,0.178845,1.58435,0.338532,-0.563812,-0.80597,0.155634,-0.09114,0.121721,1.58936,0.329594,-0.731295,0.090759,-0.490696,-0.46496,0.159311,1.543161,0.303433,-0.386091,0.605159,-0.0151,-0.696052,0.131024,1.559787,0.312527,-0.625189,0.457435,-0.22278,-0.591829,0.137263,1.605537,0.342305,-0.731295,0.090759,-0.490696,-0.46496,33,0.200255,1.513408,0.297175,-0.679779,0.716008,0.157604,0.019856,31,I,Static,Right
3,4,0.041317,1.749564,-0.056427,0.997334,0.047365,0.038571,0.03991,0.149365,1.598551,0.334507,-0.407628,-0.90342,-0.074512,-0.110086,0.15545,1.606657,0.292324,-0.96497,0.220203,0.102101,-0.099594,0.170263,1.546474,0.300079,-0.68126,0.714832,0.156679,0.018785,0.145881,1.622729,0.327362,-0.790301,-0.599634,0.00873,-0.125649,0.155793,1.581051,0.320289,-0.407628,-0.90342,-0.074512,-0.110086,0.165882,1.60206,0.341345,-0.494938,-0.86712,-0.003316,-0.055925,0.178483,1.61072,0.293003,-0.965998,0.21795,0.137015,-0.023939,0.18732,1.547578,0.302362,-0.68126,0.714832,0.156679,0.018785,0.166114,1.629354,0.331999,-0.806505,-0.575657,0.081571,-0.107311,0.168766,1.579041,0.329226,-0.494938,-0.86712,-0.003316,-0.055925,0.18902,1.561795,0.295491,-0.68126,0.714832,0.156679,0.018785,0.217377,1.649403,0.331631,-0.873149,0.368239,0.241372,0.209164,0.215637,1.600412,0.314883,-0.724001,0.643815,0.114289,0.219687,0.213322,1.552838,0.31078,-0.690677,0.644437,0.204402,0.256682,0.219414,1.632019,0.319544,-0.850352,0.428081,0.180647,0.247012,0.211723,1.667349,0.344849,-0.873149,0.368239,0.241372,0.209164,0.179318,1.60813,0.347023,-0.562963,-0.806905,0.154633,-0.089808,0.197897,1.607667,0.302392,-0.938268,0.301051,0.162684,0.05054,0.206108,1.551814,0.305262,-0.68126,0.714832,0.156679,0.018785,0.186672,1.63141,0.333666,-0.858729,-0.476362,0.18194,-0.050608,0.178237,1.583701,0.339675,-0.562963,-0.806905,0.154633,-0.089808,0.121018,1.588657,0.330787,-0.730902,0.089604,-0.490464,-0.466045,0.158612,1.542563,0.304441,-0.386688,0.604123,-0.014112,-0.696641,0.130324,1.559141,0.313623,-0.625449,0.456235,-0.222137,-0.592721,0.136563,1.60481,0.343525,-0.730902,0.089604,-0.490464,-0.466045,44,0.199558,1.512871,0.297978,-0.68126,0.714832,0.156679,0.018785,31,I,Static,Right
4,5,0.040398,1.749457,-0.05681,0.997309,0.047296,0.038404,0.040777,0.148284,1.597377,0.335681,-0.406848,-0.903651,-0.074656,-0.110978,0.154411,1.6056,0.293504,-0.965145,0.218887,0.102924,-0.099955,0.16928,1.545405,0.301056,-0.682477,0.71352,0.157328,0.019037,0.144782,1.621564,0.328575,-0.789688,-0.600261,0.009019,-0.126482,0.154751,1.579908,0.321442,-0.406848,-0.903651,-0.074656,-0.110978,0.164794,1.600892,0.342538,-0.494015,-0.867602,-0.00337,-0.056605,0.17744,1.609684,0.294219,-0.966193,0.216659,0.13765,-0.024132,0.186334,1.546517,0.303359,-0.682477,0.71352,0.157328,0.019037,0.165012,1.628206,0.33325,-0.805817,-0.576471,0.081863,-0.107883,0.16771,1.577902,0.330375,-0.494015,-0.867602,-0.00337,-0.056605,0.188026,1.560762,0.296541,-0.682477,0.71352,0.157328,0.019037,0.216261,1.648275,0.332997,-0.873853,0.36635,0.241677,0.209192,0.214585,1.599336,0.316096,-0.725044,0.642563,0.114555,0.219776,0.212323,1.551775,0.31182,-0.691871,0.642975,0.204592,0.256983,0.218327,1.630932,0.320857,-0.851092,0.426508,0.180845,0.24704,0.210569,1.666165,0.346276,-0.873853,0.36635,0.241677,0.209192,0.178224,1.606964,0.348241,-0.562048,-0.807483,0.154726,-0.090188,0.196848,1.606618,0.303615,-0.938582,0.299812,0.163174,0.050512,0.205114,1.550763,0.306292,-0.682477,0.71352,0.157328,0.019037,0.185576,1.630274,0.334936,-0.858171,-0.477225,0.182231,-0.050896,0.177165,1.58255,0.340843,-0.562048,-0.807483,0.154726,-0.090188,0.119954,1.587436,0.331848,-0.731134,0.088964,-0.489133,-0.467201,0.157629,1.541466,0.305394,-0.38742,0.603891,-0.012432,-0.696467,0.129316,1.557988,0.314598,-0.626044,0.455712,-0.220468,-0.593118,0.135464,1.603563,0.344661,-0.731134,0.088964,-0.489133,-0.467201,55,0.198612,1.51184,0.298862,-0.682477,0.71352,0.157328,0.019037,31,I,Static,Right
5,6,0.039477,1.749168,-0.057304,0.997232,0.048556,0.038028,0.041519,0.147237,1.596259,0.336809,-0.406158,-0.903831,-0.074883,-0.111882,0.153404,1.604584,0.294637,-0.96527,0.217741,0.103745,-0.100395,0.168335,1.544382,0.302,-0.683647,0.712249,0.157984,0.019236,0.143713,1.620453,0.329735,-0.789141,-0.60079,0.009243,-0.127369,0.153744,1.57882,0.322552,-0.406158,-0.903831,-0.074883,-0.111882,0.163739,1.599781,0.343686,-0.493253,-0.867992,-0.003429,-0.05727,0.176428,1.608691,0.295387,-0.96636,0.215497,0.138263,-0.024343,0.185386,1.545506,0.304319,-0.683647,0.712249,0.157984,0.019236,0.163943,1.627112,0.334447,-0.805205,-0.577181,0.082129,-0.108452,0.166688,1.576813,0.331487,-0.493253,-0.867992,-0.003429,-0.05727,0.187066,1.559773,0.297549,-0.683647,0.712249,0.157984,0.019236,0.215167,1.647193,0.334322,-0.874612,0.364335,0.242029,0.209133,0.213565,1.598309,0.31726,-0.726153,0.641243,0.114888,0.219795,0.21136,1.55076,0.312819,-0.69303,0.64156,0.204804,0.257227,0.217266,1.629895,0.322125,-0.851896,0.424828,0.181092,0.246983,0.209431,1.665022,0.347665,-0.874612,0.364335,0.242029,0.209133,0.177164,1.605856,0.349412,-0.561311,-0.807939,0.154807,-0.090554,0.195831,1.605614,0.304788,-0.938864,0.298677,0.163647,0.050454,0.204158,1.54976,0.30728,-0.683647,0.712249,0.157984,0.019236,0.184513,1.629192,0.336153,-0.85768,-0.477976,0.182493,-0.051192,0.176124,1.581453,0.341975,-0.561311,-0.807939,0.154807,-0.090554,0.118944,1.586268,0.332896,-0.73125,0.088236,-0.487992,-0.46835,0.156685,1.540418,0.306318,-0.388154,0.60349,-0.010894,-0.696432,0.128353,1.556886,0.315557,-0.626573,0.45507,-0.218973,-0.593607,0.134425,1.60237,0.345775,-0.73125,0.088236,-0.487992,-0.46835,67,0.197705,1.510855,0.299711,-0.683647,0.712249,0.157984,0.019236,31,I,Static,Right
6,7,0.038588,1.749146,-0.057847,0.997108,0.050963,0.037621,0.041983,0.146239,1.596444,0.337708,-0.406183,-0.903426,-0.076085,-0.114227,0.152505,1.604834,0.295544,-0.964999,0.217181,0.105759,-0.102101,0.167645,1.54468,0.30288,-0.683851,0.711517,0.160399,0.019092,0.142636,1.620624,0.330627,-0.788798,-0.600676,0.009277,-0.13,0.152866,1.579028,0.323479,-0.406183,-0.903426,-0.076085,-0.114227,0.162713,1.59999,0.344616,-0.492702,-0.868142,-0.004407,-0.059621,0.17551,1.609029,0.296368,-0.966268,0.214484,0.140185,-0.025923,0.184684,1.545867,0.305254,-0.683851,0.711517,0.160399,0.019092,0.162831,1.627336,0.33542,-0.804402,-0.577815,0.082225,-0.110933,0.165793,1.577047,0.332402,-0.492702,-0.868142,-0.004407,-0.059621,0.186331,1.56015,0.298507,-0.683851,0.711517,0.160399,0.019092,0.213957,1.647639,0.335457,-0.874885,0.362997,0.244099,0.207908,0.21262,1.598766,0.318343,-0.726733,0.640328,0.11729,0.219277,0.210613,1.551214,0.313841,-0.693583,0.640367,0.206958,0.256983,0.21617,1.630362,0.323248,-0.852369,0.423601,0.183233,0.245877,0.2081,1.665427,0.3488,-0.874885,0.362997,0.244099,0.207908,0.176087,1.606121,0.350406,-0.560793,-0.808178,0.154089,-0.092826,0.194896,1.606017,0.305826,-0.938934,0.297566,0.165696,0.049004,0.203431,1.550192,0.308279,-0.683851,0.711517,0.160399,0.019092,0.18338,1.6295,0.337189,-0.857078,-0.478661,0.182833,-0.053599,0.175164,1.581716,0.342958,-0.560793,-0.808178,0.154089,-0.092826,0.117955,1.586332,0.333638,-0.731182,0.089966,-0.486116,-0.470075,0.155997,1.540663,0.307154,-0.387115,0.604518,-0.008661,-0.69615,0.127568,1.55701,0.316312,-0.625844,0.456475,-0.216406,-0.594237,0.13331,1.602493,0.346594,-0.731182,0.089966,-0.486116,-0.470075,78,0.197153,1.511271,0.300646,-0.683851,0.711517,0.160399,0.019092,31,I,Static,Right
7,8,0.037729,1.749096,-0.058302,0.997017,0.052931,0.037161,0.042132,0.145724,1.59547,0.337989,-0.407711,-0.902634,-0.078515,-0.113398,0.151816,1.603799,0.295755,-0.964791,0.217662,0.104377,-0.104438,0.167197,1.543709,0.303115,-0.683684,0.711735,0.160431,0.016469,0.142011,1.619615,0.330844,-0.789518,-0.599665,0.006698,-0.130458,0.152368,1.578019,0.32381,-0.407711,-0.902634,-0.078515,-0.113398,0.162213,1.599105,0.344814,-0.494138,-0.867353,-0.006838,-0.059002,0.174809,1.608077,0.296489,-0.96622,0.215278,0.138843,-0.028244,0.18424,1.544959,0.305427,-0.683684,0.711735,0.160431,0.016469,0.162201,1.626426,0.335544,-0.805126,-0.577066,0.079636,-0.111471,0.165331,1.576129,0.332672,-0.494138,-0.867353,-0.006838,-0.059002,0.185812,1.55924,0.298656,-0.683684,0.711735,0.160431,0.016469,0.213257,1.646888,0.335355,-0.875383,0.363733,0.243354,0.205385,0.212036,1.597976,0.318343,-0.726712,0.641242,0.117317,0.216647,0.210181,1.550411,0.313913,-0.693974,0.640943,0.20701,0.254439,0.215489,1.629595,0.323172,-0.852743,0.42455,0.182664,0.243354,0.207384,1.664679,0.348687,-0.875383,0.363733,0.243354,0.205385,0.175589,1.605304,0.350535,-0.562306,-0.807627,0.151667,-0.092451,0.19424,1.605147,0.30588,-0.938944,0.298539,0.164562,0.04667,0.202983,1.549356,0.308379,-0.683684,0.711735,0.160431,0.016469,0.182758,1.628669,0.337227,-0.857991,-0.477853,0.180416,-0.054382,0.174714,1.580871,0.343174,-0.562306,-0.807627,0.151667,-0.092451,0.117435,1.585226,0.333967,-0.729451,0.090926,-0.487336,-0.471316,0.155578,1.539655,0.307436,-0.385414,0.603686,-0.008753,-0.697813,0.127122,1.555915,0.316662,-0.623928,0.456613,-0.216821,-0.595993,0.132759,1.601472,0.346853,-0.729451,0.090926,-0.487336,-0.471316,89,0.196815,1.510403,0.300822,-0.683684,0.711735,0.160431,0.016469,31,I,Static,Right
8,9,0.036858,1.749051,-0.058489,0.996994,0.053695,0.036857,0.041963,0.145203,1.59452,0.338293,-0.409374,-0.90177,-0.080804,-0.112671,0.151133,1.60279,0.295987,-0.964584,0.218104,0.103103,-0.106671,0.166747,1.542761,0.303365,-0.683561,0.711891,0.160502,0.013974,0.141385,1.618629,0.331082,-0.790258,-0.598607,0.004279,-0.130933,0.151866,1.577029,0.324172,-0.409374,-0.90177,-0.080804,-0.112671,0.161702,1.598258,0.34504,-0.495792,-0.866422,-0.009122,-0.058472,0.174113,1.607149,0.296638,-0.966125,0.216186,0.137614,-0.030483,0.183793,1.544074,0.305617,-0.683561,0.711891,0.160502,0.013974,0.161567,1.62555,0.335688,-0.805937,-0.576155,0.077191,-0.112037,0.164858,1.575243,0.332982,-0.495792,-0.866422,-0.009122,-0.058472,0.185293,1.558353,0.298824,-0.683561,0.711891,0.160502,0.013974,0.212562,1.64615,0.335292,-0.875841,0.364448,0.242643,0.20299,0.211449,1.597203,0.318376,-0.726687,0.642103,0.117346,0.214149,0.209744,1.549626,0.314009,-0.694384,0.641432,0.207082,0.252018,0.21481,1.628843,0.323133,-0.853083,0.425464,0.182122,0.240958,0.206672,1.663944,0.348612,-0.875841,0.364448,0.242643,0.20299,0.175084,1.604522,0.350689,-0.563894,-0.806979,0.149409,-0.092114,0.193587,1.604297,0.305966,-0.938885,0.29964,0.163499,0.044483,0.202531,1.54854,0.308501,-0.683561,0.711891,0.160502,0.013974,0.182138,1.627868,0.337287,-0.858921,-0.476944,0.178156,-0.055131,0.174251,1.58006,0.343419,-0.563894,-0.806979,0.149409,-0.092114,0.116913,1.584144,0.334308,-0.727795,0.091836,-0.488443,-0.472551,0.155157,1.538672,0.307728,-0.383813,0.602875,-0.008784,-0.699395,0.126673,1.554848,0.317021,-0.622103,0.456735,-0.217143,-0.597687,0.132204,1.600472,0.347131,-0.727795,0.091836,-0.488443,-0.472551,100,0.196472,1.509557,0.301011,-0.683561,0.711891,0.160502,0.013974,31,I,Static,Right
9,10,0.036002,1.749217,-0.058643,0.997044,0.053507,0.036377,0.041442,0.144676,1.593588,0.338615,-0.411131,-0.900852,-0.082982,-0.112028,0.150455,1.601802,0.296237,-0.964377,0.21851,0.101917,-0.108824,0.166294,1.541833,0.303625,-0.683474,0.711994,0.160603,0.011582,0.140758,1.61766,0.331338,-0.791008,-0.597519,0.001987,-0.131427,0.15136,1.576055,0.324557,-0.411131,-0.900852,-0.082982,-0.112028,0.161183,1.597439,0.34529,-0.497605,-0.865388,-0.011292,-0.058016,0.173422,1.606239,0.296809,-0.965993,0.217174,0.136479,-0.032658,0.183343,1.543205,0.305821,-0.683474,0.711994,0.160603,0.011582,0.160931,1.6247,0.335849,-0.806808,-0.575127,0.074865,-0.112628,0.164378,1.574381,0.333325,-0.497605,-0.865388,-0.011292,-0.058016,0.184773,1.557483,0.29901,-0.683474,0.711994,0.160603,0.011582,0.211869,1.645423,0.33526,-0.87627,0.365139,0.241962,0.200696,0.210861,1.596441,0.318436,-0.726661,0.642919,0.11738,0.211757,0.209303,1.548855,0.314124,-0.694811,0.641849,0.20717,0.249698,0.214133,1.628101,0.323125,-0.8534,0.426343,0.181605,0.238665,0.205964,1.66322,0.34857,-0.87627,0.365139,0.241962,0.200696,0.174573,1.603766,0.350862,-0.565531,-0.806259,0.147279,-0.091811,0.192935,1.603462,0.306077,-0.938775,0.300829,0.162498,0.042409,0.202076,1.547738,0.30864,-0.683474,0.711994,0.160603,0.011582,0.181517,1.627091,0.337366,-0.859859,-0.475962,0.176021,-0.055855,0.17378,1.579275,0.343687,-0.565531,-0.806259,0.147279,-0.091811,0.116389,1.583082,0.33466,-0.7262,0.092706,-0.489457,-0.473784,0.154732,1.537709,0.308029,-0.382293,0.602081,-0.008764,-0.700909,0.126223,1.553801,0.317387,-0.620352,0.456844,-0.217388,-0.599333,0.131646,1.599486,0.347424,-0.7262,0.092706,-0.489457,-0.473784,111,0.196124,1.508727,0.30121,-0.683474,0.711994,0.160603,0.011582,31,I,Static,Right
10,11,0.035153,1.749183,-0.058686,0.997127,0.052371,0.035947,0.041263,0.143603,1.594229,0.338276,-0.412888,-0.899685,-0.081975,-0.115635,0.149711,1.602288,0.295929,-0.963491,0.220765,0.105656,-0.108557,0.165516,1.542349,0.303607,-0.681892,0.712838,0.163373,0.013978,0.13972,1.618273,0.330889,-0.791908,-0.595704,0.0046,-0.134158,0.150414,1.576656,0.324329,-0.412888,-0.899685,-0.081975,-0.115635,0.160063,1.598085,0.345061,-0.498607,-0.8646,-0.009575,-0.061374,0.172671,1.606735,0.296666,-0.965102,0.218864,0.140177,-0.03206,0.182547,1.543733,0.305927,-0.681892,0.712838,0.163373,0.013978,0.159877,1.625322,0.335547,-0.807247,-0.57365,0.077757,-0.115025,0.163354,1.575001,0.333172,-0.498607,-0.8646,-0.009575,-0.061374,0.184022,1.557989,0.299085,-0.681892,0.712838,0.163373,0.013978,0.210732,1.646013,0.335349,-0.875409,0.364159,0.246199,0.201084,0.209947,1.59701,0.318606,-0.725622,0.642801,0.120956,0.213657,0.208438,1.549411,0.31441,-0.693187,0.641784,0.210292,0.251758,0.213136,1.628684,0.32325,-0.852689,0.425546,0.18576,0.239429,0.20467,1.6638,0.3486,-0.875409,0.364159,0.246199,0.201084,0.17341,1.604395,0.350723,-0.565818,-0.805332,0.149,-0.095342,0.192114,1.60399,0.30609,-0.93775,0.301874,0.166277,0.043009,0.201254,1.548277,0.308875,-0.681892,0.712838,0.163373,0.013978,0.180439,1.627695,0.337227,-0.859699,-0.474822,0.179069,-0.058267,0.172694,1.579888,0.343597,-0.565818,-0.805332,0.149,-0.095342,0.115368,1.583656,0.334197,-0.727617,0.095468,-0.487452,-0.473127,0.153923,1.538236,0.307939,-0.381475,0.604888,-0.008217,-0.698942,0.125346,1.55434,0.317067,-0.62031,0.459807,-0.215773,-0.597692,0.130522,1.600104,0.347027,-0.727617,0.095468,-0.487452,-0.473127,122,0.195374,1.509244,0.301505,-0.681892,0.712838,0.163373,0.013978,31,I,Static,Right
