,A,Æ,B,C,D,E,F,G,Gesture,H,I,K,L,M,N,Nummer0,Nummer1,Nummer2,Nummer3,Nummer4,Nummer5,Nummer6,Nummer7,Nummer8,Nummer9,O,P,Q,R,S,Success,T,Time,U,V,W,X,Y,Participant
0,0.0,0.0,0.99998,0.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1e-05,0.0,True,0.0,15,0.0,0.0,0.0,0.0,0.0,5
1,0.0,0.0,0.99998,0.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,True,0.0,26,0.0,0.0,0.0,0.0,0.0,5
2,0.0,0.0,0.999981,0.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9e-05,0.0,True,0.0,37,0.0,0.0,0.0,0.0,0.0,5
3,0.0,0.0,0.999982,0.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.0,True,0.0,49,0.0,0.0,0.0,0.0,0.0,5
4,0.0,0.0,0.999984,0.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,0.0,True,0.0,60,0.0,0.0,0.0,0.0,0.0,5
5,0.0,0.0,0.999985,0.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-05,0.0,True,0.0,71,0.0,0.0,0.0,0.0,0.0,5
6,0.0,0.0,0.999986,0.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-05,0.0,True,0.0,82,0.0,0.0,0.0,0.0,0.0,5
7,0.0,0.0,0.999987,0.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-05,0.0,True,0.0,93,0.0,0.0,0.0,0.0,0.0,5
8,0.0,0.0,0.999989,0.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-05,0.0,True,0.0,104,0.0,0.0,0.0,0.0,0.0,5
9,0.0,0.0,0.99999,0.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,True,0.0,115,0.0,0.0,0.0,0.0,0.0,5
